date,open,high,low,close,volume,trade
01/01/2018,62.1,64.9,61.9,62.1,963528.0,2623.0
01/02/2018,62.3,63.5,62.3,62.5,218133.0,2806.0
01/03/2018,61.0,62.8,60.8,62.4,899648.0,2187.0
01/04/2018,62.5,63.6,61.7,62.0,1055473.0,2391.0
01/07/2018,62.4,62.9,60.5,60.7,716271.0,1623.0
01/08/2018,61.2,61.2,58.3,58.7,1000034.0,2312.0
01/09/2018,59.0,59.8,57.4,57.7,777336.0,1617.0
01/10/2018,57.8,58.4,55.8,56.0,846656.0,1663.0
01/11/2018,56.2,57.3,55.6,56.0,893685.0,2642.0
01/14/2018,56.1,56.3,54.0,54.3,862573.0,3159.0
01/15/2018,54.3,56.5,54.3,55.1,980829.0,2345.0
01/16/2018,55.4,56.2,54.5,54.8,614181.0,1520.0
01/17/2018,54.8,55.1,52.7,53.1,654236.0,1508.0
01/18/2018,53.2,53.3,50.3,51.0,860336.0,1698.0
01/21/2018,51.1,52.5,50.6,51.0,463493.0,1244.0
01/22/2018,51.0,54.0,51.0,53.4,1268488.0,2412.0
01/23/2018,53.9,54.1,51.7,52.1,1076272.0,1625.0
01/24/2018,52.2,52.8,51.3,51.4,541636.0,1012.0
01/25/2018,51.5,52.4,51.0,51.3,613204.0,938.0
01/28/2018,51.3,51.7,49.4,49.7,453494.0,936.0
01/29/2018,49.7,54.6,49.7,54.6,2052702.0,2513.0
01/30/2018,55.4,55.4,51.9,52.4,1601488.0,2039.0
01/31/2018,52.3,52.4,50.2,50.6,685329.0,1316.0
02/01/2018,51.0,52.5,50.7,51.0,485886.0,959.0
02/04/2018,51.3,51.4,49.0,49.3,385319.0,792.0
02/05/2018,49.6,50.6,48.7,49.3,498820.0,895.0
02/06/2018,50.0,50.6,49.3,49.8,299953.0,601.0
02/07/2018,49.8,49.9,47.9,48.2,465581.0,971.0
02/08/2018,48.2,48.7,46.1,46.4,475597.0,868.0
02/11/2018,47.0,48.5,46.6,47.7,531962.0,1005.0
02/12/2018,48.2,49.0,47.3,47.7,529049.0,878.0
02/13/2018,47.7,48.2,46.6,46.8,589409.0,1077.0
02/14/2018,46.9,47.8,46.6,46.9,533770.0,875.0
02/15/2018,47.5,47.7,46.6,46.7,398175.0,754.0
02/18/2018,46.9,47.0,44.6,44.9,440754.0,937.0
02/19/2018,45.5,45.8,43.5,43.8,349042.0,811.0
02/20/2018,44.3,45.0,42.6,42.9,360512.0,726.0
02/22/2018,43.3,43.9,42.6,42.7,302730.0,604.0
02/25/2018,42.9,43.1,41.4,41.5,285770.0,555.0
02/26/2018,41.7,41.8,40.3,40.5,483049.0,712.0
02/27/2018,41.3,41.4,40.4,40.7,345310.0,475.0
02/28/2018,40.7,43.8,39.5,42.1,1814617.0,2363.0
03/01/2018,42.1,43.2,41.6,42.3,694102.0,1003.0
03/04/2018,42.5,44.2,42.3,43.2,1352204.0,1590.0
03/05/2018,43.9,45.6,43.5,44.4,1534163.0,1959.0
03/06/2018,44.4,48.2,43.5,47.2,1895397.0,2531.0
03/07/2018,47.2,48.5,46.6,47.5,1711629.0,2151.0
03/08/2018,47.2,47.5,46.1,46.4,1075381.0,1372.0
03/11/2018,46.6,47.0,44.3,44.7,780905.0,1067.0
03/12/2018,44.5,45.0,42.8,43.2,709213.0,1034.0
03/13/2018,43.4,43.8,41.8,42.4,649430.0,793.0
03/14/2018,40.9,43.8,40.9,43.4,1023844.0,1327.0
03/15/2018,43.8,44.9,43.3,44.2,1148992.0,1300.0
03/18/2018,44.3,44.9,43.5,43.9,819554.0,986.0
03/19/2018,43.8,44.4,42.9,43.1,675063.0,915.0
03/20/2018,43.1,43.8,41.7,42.4,691536.0,1093.0
03/21/2018,42.3,42.7,40.8,41.0,788645.0,1306.0
03/22/2018,41.5,41.9,40.0,41.1,629403.0,878.0
03/25/2018,42.0,42.1,40.8,41.1,682178.0,871.0
03/27/2018,41.4,41.4,39.3,39.6,659354.0,754.0
03/28/2018,39.8,40.4,39.3,39.8,474997.0,582.0
03/29/2018,40.0,40.8,39.9,40.4,468493.0,685.0
04/01/2018,40.8,42.1,40.8,41.3,735426.0,867.0
04/02/2018,41.5,43.1,41.1,42.7,1399418.0,1341.0
04/03/2018,43.2,43.9,42.2,42.7,1063993.0,1315.0
04/04/2018,42.8,43.6,41.9,42.0,935365.0,1073.0
04/05/2018,42.0,42.5,41.1,42.0,782827.0,866.0
04/08/2018,42.5,44.4,42.4,44.1,1827565.0,1711.0
04/09/2018,44.2,45.8,44.0,44.7,1481998.0,1581.0
04/10/2018,44.7,45.3,42.9,43.2,1143138.0,1115.0
04/11/2018,43.5,43.7,42.1,42.1,606951.0,828.0
04/12/2018,42.1,43.2,41.6,41.8,433998.0,632.0
04/15/2018,42.2,42.5,41.0,41.1,358697.0,523.0
04/16/2018,41.3,42.7,40.8,41.9,727945.0,663.0
04/17/2018,42.2,43.1,41.2,41.5,527537.0,574.0
04/18/2018,41.6,42.3,41.1,41.3,383479.0,519.0
04/19/2018,41.3,41.5,40.4,40.5,291074.0,495.0
04/22/2018,41.1,41.3,40.2,40.4,250427.0,401.0
04/23/2018,40.4,40.8,39.8,39.8,228887.0,398.0
04/24/2018,39.9,40.1,39.5,39.8,341723.0,425.0
04/25/2018,40.3,40.7,39.8,40.4,433703.0,442.0
04/26/2018,40.7,41.1,40.0,40.2,412329.0,594.0
04/30/2018,41.4,41.5,40.5,41.1,697620.0,843.0
05/03/2018,41.1,42.9,41.0,42.2,1045174.0,1250.0
05/06/2018,42.4,44.9,42.4,44.0,1960636.0,2101.0
05/07/2018,44.2,44.5,42.6,42.7,830965.0,1056.0
05/08/2018,42.6,42.9,41.2,41.4,1086529.0,1314.0
05/09/2018,41.4,42.3,41.0,41.6,805388.0,927.0
05/10/2018,42.1,42.6,41.7,41.9,505696.0,577.0
05/13/2018,42.2,42.7,40.6,40.9,528916.0,727.0
05/14/2018,41.0,41.4,40.3,40.4,468649.0,635.0
05/15/2018,40.7,41.2,40.0,40.1,492034.0,586.0
05/16/2018,40.4,41.0,39.6,39.8,389708.0,516.0
05/17/2018,39.7,40.3,38.5,38.7,736414.0,924.0
05/20/2018,39.0,39.9,38.6,39.2,454823.0,625.0
05/21/2018,39.3,40.2,38.9,39.1,554711.0,671.0
05/22/2018,39.3,40.9,38.6,39.8,1018325.0,1197.0
05/23/2018,40.0,41.1,39.9,40.4,926290.0,1132.0
05/24/2018,40.4,43.6,40.4,43.0,2769206.0,2887.0
05/27/2018,43.2,43.8,41.0,41.4,1229261.0,1535.0
05/28/2018,40.2,41.7,40.2,40.6,1760536.0,1951.0
05/29/2018,40.1,44.6,40.1,44.5,4336502.0,3641.0
05/30/2018,44.5,46.0,43.0,43.4,2874957.0,2302.0
05/31/2018,42.9,43.5,41.6,42.1,1853459.0,1794.0
06/03/2018,42.2,46.0,42.2,45.4,2968629.0,3018.0
06/04/2018,45.6,46.9,44.9,45.1,3183317.0,2648.0
06/05/2018,44.9,45.6,43.9,44.2,1631280.0,1508.0
06/06/2018,44.3,44.6,42.7,43.0,1268310.0,1241.0
06/07/2018,41.6,44.3,41.6,42.6,1308667.0,1196.0
06/10/2018,42.6,42.9,41.6,42.0,755688.0,924.0
06/11/2018,42.0,42.7,40.9,41.2,760253.0,771.0
06/12/2018,41.5,42.1,41.0,41.1,539460.0,615.0
06/18/2018,41.1,41.5,40.2,40.4,619421.0,669.0
06/19/2018,40.4,42.7,40.4,41.5,1647255.0,1161.0
06/20/2018,41.6,42.7,41.5,41.6,1375834.0,1189.0
06/21/2018,41.7,42.8,41.0,41.5,1884781.0,1343.0
06/24/2018,41.8,42.4,41.0,41.2,933010.0,987.0
06/25/2018,41.2,42.2,40.9,41.2,1270742.0,989.0
06/26/2018,41.2,41.6,39.9,40.3,964983.0,833.0
06/27/2018,38.2,41.3,38.2,40.2,1024656.0,868.0
06/28/2018,40.0,40.5,38.8,39.5,947509.0,870.0
07/02/2018,39.6,40.2,38.7,38.8,858001.0,862.0
07/03/2018,39.1,39.9,38.6,38.8,427912.0,436.0
07/04/2018,39.1,39.8,38.7,38.9,1071205.0,933.0
07/05/2018,39.3,41.4,39.2,40.7,1085644.0,1103.0
07/08/2018,40.8,41.8,40.2,40.4,950021.0,853.0
07/09/2018,40.4,41.0,40.0,40.1,974516.0,988.0
07/10/2018,40.3,44.1,40.3,43.9,3517337.0,2289.0
07/11/2018,44.1,44.2,41.0,41.4,1255168.0,1251.0
07/12/2018,41.3,42.1,40.4,41.2,869803.0,902.0
07/15/2018,41.2,43.8,41.2,42.0,1721974.0,1492.0
07/16/2018,43.2,43.8,41.3,42.0,1602685.0,1268.0
07/17/2018,42.3,42.5,40.8,41.0,581375.0,637.0
07/18/2018,40.1,42.9,40.1,42.2,992319.0,800.0
07/19/2018,42.6,43.7,42.6,43.3,1597043.0,1429.0
07/22/2018,43.5,47.7,43.5,47.7,5627164.0,3019.0
07/23/2018,46.7,50.6,46.7,47.8,3777321.0,2722.0
07/24/2018,51.4,51.4,46.6,50.7,5123944.0,2981.0
