date,open,high,low,close,volume,trade
10/18/2022,26.4,26.4,26.4,26.4,1182.0,35.0
10/19/2022,29.0,29.0,29.0,29.0,356.0,12.0
10/20/2022,31.9,31.9,31.9,31.9,706.0,24.0
10/23/2022,35.0,35.0,35.0,35.0,2017.0,50.0
10/24/2022,38.5,38.5,38.5,38.5,684.0,11.0
10/25/2022,42.3,42.3,42.3,42.3,1769.0,51.0
10/26/2022,46.5,46.5,46.5,46.5,3202.0,89.0
10/27/2022,51.1,51.1,51.1,51.1,22953.0,586.0
10/30/2022,70.0,99.0,70.0,91.0,7726665.0,118614.0
10/31/2022,92.3,95.0,81.9,82.5,2457627.0,45861.0
11/01/2022,79.0,90.7,77.3,90.7,4573215.0,20104.0
11/02/2022,94.3,99.7,94.0,99.7,4178244.0,22218.0
11/03/2022,102.0,109.6,101.5,109.6,4341149.0,12422.0
11/06/2022,114.1,115.7,105.0,109.3,4617779.0,15811.0
11/07/2022,112.0,120.2,111.0,120.2,3476411.0,11482.0
11/08/2022,124.6,132.0,120.3,121.8,4794959.0,16249.0
11/09/2022,122.6,123.7,110.0,112.2,4063136.0,12628.0
11/10/2022,115.0,119.9,112.6,117.4,3260680.0,10192.0
11/13/2022,118.1,119.8,105.7,106.3,2712131.0,11245.0
11/14/2022,108.1,109.0,95.7,95.7,2056834.0,6844.0
11/15/2022,91.6,97.9,86.2,90.7,3394198.0,9441.0
11/16/2022,91.6,99.7,91.0,99.7,2046902.0,7795.0
11/17/2022,101.1,104.6,98.1,101.0,2908306.0,8201.0
11/20/2022,101.1,101.9,90.9,90.9,1889059.0,6061.0
11/21/2022,88.9,88.9,81.9,85.4,2294312.0,6811.0
11/22/2022,88.0,93.9,87.0,93.3,1642173.0,6746.0
11/23/2022,92.0,95.5,85.0,87.1,2385686.0,6616.0
11/24/2022,87.1,91.5,83.0,90.9,1285112.0,4821.0
11/27/2022,90.9,97.3,89.4,96.2,2157137.0,7252.0
11/28/2022,90.9,97.3,89.4,96.2,2157137.0,0.0
11/29/2022,92.0,92.4,87.2,90.6,2068177.0,4838.0
11/30/2022,92.9,94.3,90.0,91.7,1318537.0,3234.0
12/01/2022,91.3,93.9,88.2,89.3,1533634.0,3673.0
12/04/2022,90.6,90.6,83.8,84.7,952787.0,2893.0
12/05/2022,87.8,87.8,78.0,80.1,1190907.0,4018.0
12/06/2022,81.3,81.9,78.0,81.0,814246.0,2263.0
12/07/2022,81.5,84.4,81.0,81.7,855130.0,2487.0
12/08/2022,80.0,81.2,78.6,79.6,484131.0,1818.0
12/11/2022,80.5,81.8,79.8,80.2,682553.0,1952.0
12/12/2022,80.5,84.6,80.5,83.5,963835.0,2697.0
12/13/2022,84.1,86.5,83.1,83.5,1221021.0,3126.0
12/14/2022,83.6,83.6,81.0,81.3,561800.0,1913.0
12/15/2022,81.3,82.0,80.5,81.0,499153.0,1570.0
12/18/2022,81.2,81.7,79.4,79.6,473501.0,1677.0
12/19/2022,80.0,81.1,79.0,80.1,638992.0,1843.0
12/20/2022,80.6,81.9,79.7,80.1,586584.0,1574.0
12/21/2022,80.0,80.0,73.0,74.0,434127.0,2122.0
12/22/2022,74.0,75.3,70.5,74.4,327949.0,1373.0
12/26/2022,74.2,75.0,73.0,73.5,240150.0,866.0
12/27/2022,73.6,73.9,68.2,69.9,476108.0,1621.0
12/28/2022,69.9,74.7,69.9,74.2,344288.0,1216.0
12/29/2022,74.2,79.9,73.1,78.3,1074694.0,3111.0
01/01/2023,78.5,79.6,75.0,75.6,395022.0,1450.0
01/02/2023,74.2,75.0,72.6,73.2,373579.0,1475.0
01/03/2023,72.0,75.4,70.4,74.6,593849.0,1802.0
01/04/2023,75.0,79.3,75.0,78.5,890287.0,3071.0
01/05/2023,78.5,79.2,76.1,76.4,747288.0,1840.0
01/08/2023,76.4,79.1,74.8,78.2,556231.0,1520.0
01/09/2023,78.7,82.1,78.7,79.9,1501369.0,3895.0
01/10/2023,79.9,84.6,79.8,82.4,1257028.0,3304.0
01/11/2023,82.4,84.5,81.9,82.1,1578560.0,3932.0
01/12/2023,82.0,86.2,80.8,85.7,1608951.0,3764.0
01/15/2023,86.1,89.8,85.5,88.4,1982208.0,4186.0
01/16/2023,88.0,89.4,85.6,86.8,1927034.0,3874.0
01/17/2023,87.0,92.8,87.0,90.7,2312420.0,4292.0
01/18/2023,90.6,90.9,82.1,84.5,1486482.0,3445.0
01/19/2023,85.0,86.8,83.5,85.0,817945.0,2028.0
01/22/2023,85.8,86.0,78.7,79.6,998913.0,3062.0
01/23/2023,79.1,82.3,79.0,79.5,604070.0,1777.0
01/24/2023,80.5,84.0,80.0,83.2,790167.0,2067.0
01/25/2023,85.1,85.1,79.5,79.8,1392774.0,3142.0
01/26/2023,79.8,80.8,76.9,79.3,897511.0,2194.0
01/29/2023,79.4,81.7,79.4,80.2,518775.0,1452.0
01/30/2023,80.2,80.8,77.5,78.0,480669.0,1735.0
01/31/2023,77.6,79.3,77.1,77.6,413415.0,1314.0
02/01/2023,79.0,81.0,77.7,80.4,540444.0,1610.0
02/02/2023,80.5,84.0,80.5,82.7,980466.0,2522.0
02/05/2023,83.4,84.1,81.5,82.2,779342.0,2000.0
02/06/2023,82.0,82.4,79.7,80.1,501455.0,1542.0
02/07/2023,80.1,81.5,79.5,81.0,467753.0,1165.0
02/08/2023,81.4,81.8,79.9,80.3,680968.0,1548.0
02/09/2023,80.8,80.8,78.0,78.2,550923.0,1869.0
02/12/2023,78.0,78.4,75.0,75.6,502307.0,2056.0
02/13/2023,75.6,77.3,75.6,77.0,292451.0,965.0
02/14/2023,77.0,78.0,75.0,75.4,454044.0,1362.0
02/15/2023,75.4,75.9,73.5,74.2,312469.0,1104.0
02/16/2023,74.2,75.0,72.7,73.7,331681.0,906.0
02/19/2023,73.7,74.5,71.5,71.8,176009.0,782.0
02/20/2023,71.8,71.9,68.8,69.3,422861.0,1405.0
02/22/2023,70.0,72.3,69.4,70.7,191318.0,1003.0
02/23/2023,70.4,70.4,68.0,68.3,362018.0,1137.0
02/26/2023,68.3,68.8,63.9,64.2,442910.0,1400.0
02/27/2023,64.2,67.9,62.9,67.3,280380.0,1193.0
02/28/2023,68.0,70.5,67.8,70.3,522747.0,1411.0
03/01/2023,70.3,72.8,69.7,70.9,505168.0,1377.0
03/02/2023,70.9,71.3,67.9,68.5,367491.0,1116.0
03/05/2023,70.0,75.3,69.5,75.1,566466.0,1713.0
03/06/2023,75.5,76.8,73.2,73.9,590306.0,1602.0
03/07/2023,74.1,75.5,72.8,73.2,557668.0,1516.0
03/09/2023,73.3,74.7,72.6,72.9,223044.0,767.0
03/12/2023,72.9,72.9,69.2,69.5,348413.0,1310.0
