date,open,high,low,close,volume,trade
01/01/2018,8.9,8.9,8.9,8.9,2000.0,1.0
01/02/2018,8.9,8.9,8.9,8.9,2000.0,0.0
01/03/2018,9.0,9.1,9.0,9.0,313300.0,19.0
01/04/2018,9.0,9.1,9.0,9.0,313300.0,0.0
01/07/2018,9.0,9.0,8.9,9.0,431000.0,21.0
01/08/2018,9.0,9.0,8.9,9.0,315000.0,10.0
01/09/2018,8.9,8.9,8.9,8.9,10000.0,2.0
01/10/2018,8.9,8.9,8.9,8.9,10000.0,3.0
01/11/2018,8.9,8.9,8.9,8.9,5500.0,2.0
01/14/2018,8.9,8.9,8.9,8.9,500.0,1.0
01/15/2018,8.8,8.8,8.8,8.8,118000.0,5.0
01/16/2018,8.8,8.8,8.8,8.8,166041.0,11.0
01/17/2018,8.8,8.8,8.8,8.8,260000.0,6.0
01/18/2018,8.8,8.8,8.7,8.7,1737.0,4.0
01/21/2018,8.7,8.8,8.7,8.8,60291.0,7.0
01/22/2018,8.8,8.8,8.8,8.8,151500.0,10.0
01/23/2018,8.8,8.8,8.8,8.8,200.0,1.0
01/24/2018,8.8,8.8,8.7,8.8,69710.0,14.0
01/25/2018,8.8,8.9,8.8,8.8,559867.0,29.0
01/28/2018,8.8,8.8,8.8,8.8,141000.0,5.0
01/29/2018,8.8,8.8,8.8,8.8,141000.0,0.0
01/30/2018,8.8,8.8,8.7,8.7,8300.0,5.0
01/31/2018,8.7,8.7,8.6,8.7,30010.0,10.0
02/01/2018,8.7,8.7,8.7,8.7,1000.0,1.0
02/04/2018,8.7,8.7,8.6,8.7,27000.0,9.0
02/05/2018,8.6,8.7,8.6,8.6,77490.0,14.0
02/06/2018,8.6,8.7,8.6,8.6,70000.0,16.0
02/07/2018,8.6,8.7,8.6,8.7,149850.0,13.0
02/08/2018,9.2,9.3,9.0,9.2,1375617.0,179.0
02/11/2018,9.1,9.3,9.1,9.3,1382265.0,146.0
02/12/2018,9.2,9.5,9.1,9.5,770880.0,80.0
02/13/2018,9.5,9.5,9.2,9.4,281062.0,49.0
02/14/2018,9.3,9.4,9.2,9.2,246105.0,48.0
02/15/2018,9.3,9.3,9.1,9.2,295700.0,50.0
02/18/2018,9.2,9.2,9.1,9.1,244687.0,82.0
02/19/2018,9.1,9.2,9.1,9.2,190176.0,45.0
02/20/2018,9.2,9.2,9.1,9.1,40456.0,25.0
02/22/2018,9.2,9.3,9.2,9.3,329750.0,48.0
02/25/2018,9.2,9.4,9.2,9.3,551811.0,83.0
02/26/2018,9.2,9.3,9.2,9.3,193284.0,42.0
02/27/2018,9.3,9.3,9.2,9.2,341088.0,55.0
02/28/2018,9.2,9.3,9.2,9.3,519128.0,122.0
03/01/2018,9.2,9.3,9.2,9.3,519128.0,0.0
03/04/2018,8.4,8.4,8.4,8.4,223454.0,74.0
03/05/2018,8.2,8.2,8.1,8.2,29792.0,18.0
03/06/2018,8.2,8.4,8.0,8.2,12396.0,28.0
03/07/2018,8.3,8.3,8.2,8.2,6010.0,7.0
03/08/2018,8.3,8.3,8.0,8.1,106990.0,21.0
03/11/2018,8.0,8.1,8.0,8.0,34510.0,11.0
03/12/2018,8.2,8.2,8.0,8.0,4947.0,11.0
03/13/2018,8.3,8.3,7.8,8.0,9006.0,6.0
03/14/2018,8.3,8.3,8.1,8.2,5000.0,7.0
03/15/2018,8.2,8.6,8.0,8.0,77574.0,30.0
03/18/2018,8.4,8.4,8.2,8.3,206.0,4.0
03/19/2018,8.3,8.4,8.0,8.1,66302.0,32.0
03/20/2018,8.3,8.3,8.1,8.3,238559.0,56.0
03/21/2018,8.3,8.4,8.1,8.2,7301.0,6.0
03/22/2018,8.0,8.0,7.9,8.0,38826.0,11.0
03/25/2018,8.2,8.2,7.9,7.9,7010.0,5.0
03/27/2018,8.0,8.0,7.8,7.9,14379.0,10.0
03/28/2018,8.0,8.0,7.7,7.8,7026.0,9.0
03/29/2018,7.8,7.9,7.7,7.8,28395.0,31.0
04/01/2018,7.9,8.0,7.8,7.8,31375.0,31.0
04/02/2018,7.8,8.4,7.8,8.3,114405.0,52.0
04/03/2018,8.0,8.2,7.9,8.0,18302.0,34.0
04/04/2018,7.9,8.1,7.9,8.0,39985.0,20.0
04/05/2018,8.0,8.1,8.0,8.0,17330.0,4.0
04/08/2018,7.9,8.0,7.8,7.9,62000.0,12.0
04/09/2018,8.0,8.0,7.9,8.0,32330.0,11.0
04/10/2018,8.0,8.1,8.0,8.1,79200.0,23.0
04/11/2018,8.2,8.2,8.1,8.2,43300.0,14.0
04/12/2018,8.2,8.2,8.1,8.1,19500.0,6.0
04/15/2018,8.1,8.1,8.0,8.1,20500.0,10.0
04/16/2018,8.0,8.3,8.0,8.0,33006.0,11.0
04/17/2018,8.3,8.3,8.0,8.0,70320.0,12.0
04/18/2018,8.3,8.3,8.1,8.3,11000.0,3.0
04/19/2018,8.0,8.1,8.0,8.1,50407.0,10.0
04/22/2018,8.1,8.2,8.1,8.1,24005.0,2.0
04/23/2018,7.9,8.9,7.9,8.9,969764.0,308.0
04/24/2018,8.9,8.9,8.7,8.7,71420.0,32.0
04/25/2018,8.8,9.0,8.2,8.3,1138872.0,207.0
04/26/2018,8.4,8.5,8.2,8.2,30500.0,28.0
04/30/2018,8.3,8.3,7.7,7.7,335535.0,138.0
05/03/2018,8.1,8.3,7.8,7.9,19052.0,25.0
05/06/2018,7.9,7.9,7.8,7.8,127170.0,55.0
05/07/2018,7.8,7.9,7.8,7.9,125185.0,50.0
05/08/2018,7.8,7.9,7.7,7.7,158954.0,43.0
05/09/2018,7.8,7.8,7.7,7.7,162220.0,49.0
05/10/2018,7.8,7.8,7.7,7.8,220859.0,52.0
05/13/2018,7.8,7.8,7.7,7.8,35798.0,26.0
05/14/2018,7.7,7.8,7.7,7.7,104536.0,21.0
05/15/2018,7.7,7.7,7.7,7.7,114300.0,34.0
