date,open,high,low,close,volume,trade
05/27/2019,28.6,28.6,17.5,18.9,8866633.0,13120.0
05/28/2019,19.0,22.7,18.8,22.0,2202014.0,4431.0
05/29/2019,21.9,23.3,21.2,22.8,6485056.0,5063.0
05/30/2019,22.9,23.1,21.6,22.0,3187491.0,2909.0
06/09/2019,22.1,22.3,20.9,21.0,3194975.0,2409.0
06/10/2019,21.0,21.8,21.0,21.2,1826580.0,1676.0
06/11/2019,21.4,23.1,21.2,23.0,4202572.0,2873.0
06/12/2019,22.9,23.1,21.9,22.1,2693150.0,1937.0
06/13/2019,22.1,22.3,21.6,21.9,2840617.0,1932.0
06/16/2019,22.1,23.7,22.1,23.4,4515063.0,2963.0
06/17/2019,23.6,25.3,22.9,24.0,5867911.0,3405.0
06/18/2019,24.0,25.2,23.6,24.0,3959634.0,2299.0
06/19/2019,24.3,24.3,22.8,23.0,2693389.0,1780.0
06/20/2019,23.3,23.8,22.9,23.0,2348203.0,1456.0
06/23/2019,23.1,23.5,21.9,22.1,1637158.0,1300.0
06/24/2019,22.5,22.9,22.0,22.7,1134875.0,977.0
06/25/2019,22.9,23.0,22.2,22.3,1743731.0,1273.0
06/26/2019,22.3,23.2,22.3,22.6,1362908.0,1003.0
06/27/2019,22.7,23.6,22.7,23.0,2127300.0,1406.0
06/30/2019,23.1,23.4,22.7,22.9,1605712.0,1045.0
07/02/2019,23.0,25.0,23.0,24.6,3626286.0,2325.0
07/03/2019,24.6,25.1,23.9,24.3,2799701.0,1565.0
07/04/2019,24.3,25.0,24.1,24.3,2981629.0,1629.0
07/07/2019,24.5,24.5,23.1,23.3,1970040.0,1174.0
07/08/2019,23.1,23.7,23.0,23.3,1750061.0,1143.0
07/09/2019,23.2,23.6,22.6,22.8,1764487.0,1034.0
07/10/2019,22.8,23.0,21.9,22.1,1115696.0,820.0
07/11/2019,22.3,22.5,21.6,22.0,1036146.0,652.0
07/14/2019,22.0,22.3,21.4,21.5,495049.0,536.0
07/15/2019,21.6,21.6,20.0,20.3,958856.0,747.0
07/16/2019,20.5,21.0,20.2,20.8,802477.0,640.0
07/17/2019,21.1,22.2,20.6,21.9,1321855.0,1041.0
07/18/2019,21.9,22.4,21.3,21.5,1595716.0,1132.0
07/21/2019,21.5,21.7,19.9,20.1,1284974.0,937.0
07/22/2019,20.2,20.5,19.5,20.0,992852.0,670.0
07/23/2019,20.1,20.8,20.1,20.6,701185.0,576.0
07/24/2019,20.6,20.7,20.1,20.4,1116196.0,641.0
07/25/2019,20.5,20.8,20.4,20.6,780798.0,529.0
07/28/2019,20.6,20.8,20.1,20.2,713481.0,511.0
07/29/2019,20.4,21.1,20.1,21.0,1230017.0,744.0
07/30/2019,21.0,21.3,20.4,20.5,1001935.0,784.0
07/31/2019,20.5,20.6,20.1,20.2,696689.0,506.0
08/01/2019,20.5,21.0,20.1,20.9,1503713.0,852.0
08/04/2019,21.0,21.8,20.9,21.6,1936498.0,1026.0
08/05/2019,21.6,21.7,21.0,21.2,1110504.0,651.0
08/06/2019,21.4,21.6,21.0,21.1,1058418.0,590.0
