date,open,high,low,close,volume,trade
01/02/2018,29.1,29.1,29.1,29.1,11.0,4.0
01/03/2018,28.9,29.1,28.6,28.7,7663.0,15.0
01/04/2018,29.3,29.8,28.8,29.6,34205.0,28.0
01/07/2018,29.3,29.8,28.8,29.6,34205.0,0.0
01/08/2018,29.3,29.8,28.8,29.6,34205.0,0.0
01/09/2018,29.5,29.6,28.2,29.2,10799.0,11.0
01/10/2018,29.1,29.1,29.1,29.1,5700.0,5.0
01/11/2018,29.1,29.4,28.9,29.1,22860.0,27.0
01/14/2018,28.9,29.4,28.5,29.2,16296.0,18.0
01/15/2018,29.7,29.7,29.1,29.5,16154.0,18.0
01/16/2018,29.8,30.7,29.4,29.8,11382.0,19.0
01/17/2018,29.4,29.8,29.4,29.6,5013.0,9.0
01/18/2018,29.4,29.4,29.0,29.2,9992.0,18.0
01/21/2018,29.0,29.0,29.0,29.0,1185.0,2.0
01/22/2018,29.0,29.0,29.0,29.0,11400.0,29.0
01/23/2018,29.1,29.5,29.1,29.2,24832.0,28.0
01/24/2018,29.1,29.1,29.0,29.0,20816.0,21.0
01/25/2018,29.1,29.1,29.0,29.1,17556.0,27.0
01/28/2018,29.1,29.1,29.0,29.1,17556.0,0.0
01/29/2018,28.9,28.9,28.8,28.9,19675.0,26.0
01/30/2018,28.8,29.0,28.7,28.9,17228.0,29.0
01/31/2018,28.9,28.9,28.9,28.9,30148.0,40.0
02/01/2018,28.9,28.9,28.9,28.9,27360.0,33.0
02/04/2018,28.9,28.9,28.5,28.7,38760.0,43.0
02/05/2018,28.6,28.6,28.6,28.6,15655.0,27.0
02/06/2018,28.6,28.7,28.6,28.7,1456.0,3.0
02/07/2018,28.7,28.7,28.7,28.7,272.0,1.0
02/08/2018,28.9,28.9,28.9,28.9,3542.0,8.0
02/11/2018,28.9,28.9,28.9,28.9,3542.0,0.0
02/12/2018,28.9,28.9,28.9,28.9,3542.0,0.0
02/13/2018,27.6,27.6,27.6,27.6,122.0,3.0
02/14/2018,27.6,27.6,27.6,27.6,122.0,0.0
02/15/2018,27.9,27.9,27.9,27.9,123.0,3.0
02/18/2018,28.1,28.1,28.1,28.1,8694.0,16.0
02/19/2018,28.2,28.2,28.1,28.1,36480.0,29.0
02/20/2018,28.1,28.1,28.0,28.1,47995.0,51.0
02/22/2018,28.1,28.2,28.1,28.2,23985.0,21.0
02/25/2018,27.7,28.1,27.7,28.0,1338.0,3.0
02/26/2018,28.1,28.1,28.0,28.0,17100.0,22.0
02/27/2018,28.0,28.0,28.0,28.0,45600.0,28.0
02/28/2018,28.0,28.0,28.0,28.0,35340.0,22.0
03/01/2018,28.1,28.1,28.1,28.1,57697.0,40.0
