date,open,high,low,close,volume,trade
01/01/2018,58.5,59.5,58.3,58.5,45771.0,119.0
01/02/2018,59.3,60.3,59.1,60.2,34182.0,273.0
01/03/2018,59.5,60.3,59.5,59.7,97912.0,212.0
01/04/2018,59.3,60.7,59.3,60.3,143203.0,329.0
01/07/2018,60.0,60.7,59.9,60.1,134335.0,337.0
01/08/2018,59.9,60.5,59.5,59.6,74763.0,226.0
01/09/2018,60.1,60.1,59.1,59.2,73903.0,164.0
01/10/2018,59.5,59.9,59.2,59.3,84883.0,213.0
01/11/2018,59.1,59.6,59.1,59.2,60686.0,163.0
01/14/2018,59.0,59.9,58.6,58.9,46616.0,128.0
01/15/2018,58.7,59.1,58.3,58.5,121702.0,186.0
01/16/2018,59.0,59.1,58.3,58.5,102014.0,212.0
01/17/2018,59.0,59.0,57.5,57.7,85718.0,255.0
01/18/2018,57.4,58.3,57.1,57.7,67013.0,194.0
01/21/2018,57.6,59.6,57.6,58.8,147585.0,258.0
01/22/2018,59.2,59.9,59.2,59.8,103265.0,260.0
01/23/2018,59.5,60.3,58.8,59.3,90320.0,247.0
01/24/2018,59.7,59.7,58.9,58.9,52896.0,116.0
01/25/2018,58.8,59.8,58.8,58.9,78151.0,198.0
01/28/2018,57.8,57.8,55.1,55.6,246830.0,524.0
01/29/2018,55.8,56.0,55.1,55.3,75143.0,181.0
01/30/2018,55.7,55.7,53.5,53.7,87126.0,204.0
01/31/2018,53.3,53.7,52.1,53.1,43255.0,133.0
02/01/2018,52.3,53.0,51.4,51.8,51320.0,163.0
02/04/2018,52.3,52.3,49.9,50.1,36200.0,110.0
02/05/2018,50.1,50.9,49.4,50.1,68957.0,146.0
02/06/2018,50.9,51.6,49.9,51.1,55450.0,164.0
02/07/2018,50.5,50.7,50.2,50.3,24216.0,68.0
02/08/2018,50.9,51.6,50.8,51.3,33920.0,81.0
02/11/2018,50.8,53.7,50.8,53.3,44918.0,156.0
02/12/2018,52.7,54.2,51.9,53.4,138983.0,293.0
02/13/2018,52.9,56.4,52.9,54.8,64362.0,163.0
02/14/2018,55.4,55.4,53.7,54.8,102567.0,322.0
02/15/2018,55.1,56.8,55.1,55.7,153656.0,401.0
02/18/2018,55.7,55.8,54.4,54.9,65857.0,151.0
02/19/2018,54.8,55.6,54.6,55.0,69509.0,179.0
02/20/2018,55.0,55.8,54.4,54.8,62222.0,170.0
02/22/2018,55.7,55.7,54.0,54.4,27822.0,102.0
02/25/2018,54.2,54.6,53.3,53.4,52750.0,133.0
02/26/2018,54.6,54.6,52.4,53.1,89485.0,162.0
02/27/2018,54.4,54.4,52.5,52.7,75735.0,117.0
02/28/2018,53.3,53.6,52.4,52.6,73421.0,148.0
03/01/2018,52.7,53.7,52.4,53.5,15186.0,44.0
03/04/2018,54.6,54.7,53.3,53.8,68831.0,174.0
03/05/2018,54.4,55.4,53.5,55.1,141195.0,351.0
03/06/2018,55.8,57.2,55.4,57.0,347532.0,763.0
03/07/2018,56.6,56.6,55.1,55.5,106224.0,232.0
03/08/2018,55.5,55.5,54.4,55.2,56502.0,130.0
03/11/2018,54.6,54.8,54.0,54.2,72230.0,171.0
03/12/2018,53.9,54.0,53.1,53.4,61412.0,201.0
03/13/2018,52.9,53.1,52.1,52.3,38144.0,127.0
03/14/2018,53.0,53.7,51.5,52.0,57288.0,139.0
03/15/2018,51.8,53.8,51.7,53.6,90939.0,181.0
03/18/2018,53.1,54.2,52.9,53.7,56973.0,132.0
03/19/2018,53.1,54.0,52.3,52.5,78743.0,207.0
03/20/2018,52.9,53.2,52.3,52.5,23948.0,63.0
03/21/2018,52.5,52.5,51.4,51.9,30798.0,164.0
03/22/2018,52.9,54.9,51.1,52.3,34827.0,104.0
03/25/2018,52.8,52.8,51.7,51.9,18204.0,54.0
03/27/2018,51.5,52.3,50.1,50.5,31689.0,110.0
03/28/2018,49.9,51.6,49.8,51.1,20272.0,68.0
03/29/2018,51.3,52.4,51.0,51.8,21452.0,97.0
04/01/2018,52.7,54.3,52.7,52.9,46390.0,145.0
04/02/2018,52.6,54.4,52.5,54.0,52790.0,152.0
04/03/2018,55.0,55.0,53.1,53.5,93568.0,184.0
04/04/2018,53.1,54.6,52.9,53.7,100751.0,254.0
04/05/2018,53.7,54.4,53.0,53.7,77378.0,259.0
04/08/2018,53.7,54.3,53.4,53.5,87942.0,245.0
04/09/2018,54.0,54.0,53.2,53.4,55136.0,149.0
04/10/2018,53.5,54.2,53.1,53.1,86854.0,172.0
04/11/2018,53.8,53.8,52.7,52.9,18508.0,77.0
04/12/2018,53.7,53.7,52.3,52.5,19402.0,84.0
04/15/2018,52.5,52.5,51.7,51.8,53481.0,214.0
04/16/2018,53.1,53.3,51.8,53.1,45525.0,111.0
04/17/2018,53.9,53.9,51.8,52.5,92093.0,330.0
04/18/2018,52.9,52.9,52.1,52.3,30364.0,87.0
04/19/2018,52.5,52.5,52.1,52.2,45938.0,106.0
04/22/2018,53.1,53.6,52.1,53.1,81975.0,279.0
04/23/2018,52.8,53.1,51.7,51.9,97604.0,255.0
04/24/2018,52.3,52.3,51.6,51.7,40945.0,108.0
04/25/2018,51.7,53.1,51.7,52.6,47996.0,113.0
04/26/2018,53.1,56.0,53.1,54.8,395307.0,871.0
04/30/2018,54.9,55.2,53.1,53.5,152227.0,242.0
05/03/2018,53.5,54.4,53.3,53.4,91817.0,230.0
05/06/2018,53.7,55.1,53.5,54.5,130488.0,360.0
05/07/2018,55.1,55.3,54.0,54.0,125473.0,258.0
05/08/2018,54.1,54.6,53.7,54.2,95914.0,227.0
05/09/2018,54.2,54.7,54.0,54.5,75372.0,179.0
05/10/2018,54.5,55.0,54.2,54.8,134265.0,241.0
