date,open,high,low,close,volume,trade
01/01/2018,615.0,619.8,610.3,612.3,5279.0,133.0
01/02/2018,617.0,617.0,613.0,613.0,265.0,271.0
01/03/2018,624.6,624.6,610.0,616.7,7193.0,202.0
01/04/2018,617.0,624.9,617.0,619.2,3425.0,134.0
01/07/2018,620.0,621.0,610.0,611.6,3930.0,148.0
01/08/2018,610.1,618.5,610.1,616.6,1120.0,47.0
01/09/2018,613.0,619.5,613.0,617.1,3935.0,142.0
01/10/2018,613.2,618.0,609.9,610.2,4551.0,99.0
01/11/2018,611.5,615.0,611.3,611.9,1736.0,62.0
01/14/2018,608.0,614.8,608.0,612.1,1023.0,44.0
01/15/2018,610.0,613.0,607.0,607.9,7576.0,178.0
01/16/2018,602.1,619.0,602.1,607.2,1368.0,66.0
01/17/2018,617.9,617.9,604.1,605.5,7000.0,161.0
01/18/2018,609.9,637.9,609.9,634.5,23695.0,580.0
01/21/2018,635.1,649.8,635.1,644.7,27919.0,815.0
01/22/2018,645.1,660.0,644.8,648.1,53139.0,1240.0
01/23/2018,657.8,657.8,639.1,643.0,34043.0,671.0
01/24/2018,640.5,655.0,640.0,647.2,22484.0,510.0
01/25/2018,661.0,690.7,658.0,665.1,79236.0,1558.0
01/28/2018,663.8,667.0,645.0,647.7,32135.0,744.0
01/29/2018,649.0,654.0,635.0,639.2,19914.0,689.0
01/30/2018,646.8,653.0,640.0,640.6,20214.0,540.0
01/31/2018,644.0,644.0,625.0,626.4,17814.0,410.0
02/01/2018,627.0,639.9,626.5,628.9,9832.0,238.0
02/04/2018,630.6,631.0,609.0,610.7,9740.0,435.0
02/05/2018,612.3,623.0,604.9,611.9,11732.0,378.0
02/06/2018,621.0,632.0,612.1,622.6,5353.0,270.0
02/07/2018,621.0,645.9,616.0,639.8,19547.0,731.0
02/08/2018,643.8,668.0,643.3,663.1,42284.0,1173.0
02/11/2018,669.0,689.5,661.1,665.9,46510.0,1097.0
