date,open,high,low,close,volume,trade
01/01/2018,106.6,111.2,106.6,109.9,460732.0,1404.0
01/02/2018,110.9,110.9,109.5,109.5,105520.0,1956.0
01/03/2018,113.2,114.0,111.3,112.2,831842.0,1942.0
01/04/2018,112.4,113.1,109.9,112.3,697134.0,1543.0
01/07/2018,112.8,117.4,111.3,116.3,1621320.0,4007.0
01/08/2018,116.9,118.1,114.0,115.3,1172143.0,3510.0
01/09/2018,115.2,118.3,112.9,117.7,907944.0,2862.0
01/10/2018,118.5,121.1,118.0,119.4,1045611.0,2710.0
01/11/2018,119.5,120.5,117.9,120.0,844855.0,2051.0
01/14/2018,120.5,121.5,116.5,117.0,999587.0,2113.0
01/15/2018,117.0,118.0,111.6,112.9,943552.0,2329.0
01/16/2018,113.8,114.9,112.4,113.8,538608.0,1491.0
01/17/2018,113.8,114.9,108.9,109.8,754461.0,1851.0
01/18/2018,109.4,111.2,108.7,109.8,433107.0,1331.0
01/21/2018,109.9,114.7,109.9,113.4,603260.0,1672.0
01/22/2018,114.5,116.9,114.0,115.2,788079.0,2509.0
01/23/2018,115.4,115.4,112.9,113.8,728268.0,1940.0
01/24/2018,114.6,117.6,113.8,116.9,742981.0,2491.0
01/25/2018,117.4,118.1,113.4,114.1,670010.0,2078.0
01/28/2018,114.1,114.1,112.0,112.2,402298.0,1307.0
01/29/2018,112.4,114.7,112.4,113.9,364383.0,1294.0
01/30/2018,115.5,116.1,110.6,111.0,593288.0,1738.0
01/31/2018,111.6,112.1,109.6,110.4,367634.0,1113.0
02/01/2018,110.7,114.8,110.7,113.1,525195.0,1654.0
02/04/2018,113.6,114.3,111.1,111.7,506414.0,1426.0
02/05/2018,112.2,112.4,108.1,109.4,468879.0,1420.0
02/06/2018,109.5,111.2,108.5,108.8,335357.0,1151.0
02/07/2018,109.1,111.5,107.6,108.8,437778.0,1398.0
02/08/2018,109.8,110.2,108.5,109.5,345112.0,991.0
02/11/2018,109.9,112.3,109.9,111.7,538473.0,1660.0
02/12/2018,112.4,115.2,111.9,114.5,1023473.0,2844.0
02/13/2018,114.5,115.5,112.6,113.1,779528.0,2119.0
02/14/2018,113.8,114.0,111.5,111.9,822861.0,2026.0
02/15/2018,112.0,113.6,111.3,111.7,676612.0,1815.0
02/18/2018,112.4,113.3,110.9,111.2,553074.0,1620.0
02/19/2018,111.2,112.6,109.2,109.8,522617.0,1596.0
02/20/2018,110.5,111.3,108.8,109.1,411599.0,1179.0
02/22/2018,110.2,110.7,109.1,109.7,246777.0,812.0
02/25/2018,109.9,111.0,108.9,109.6,264849.0,889.0
02/26/2018,109.9,113.6,109.6,111.5,958650.0,2328.0
02/27/2018,112.5,113.0,109.7,109.9,207311.0,715.0
02/28/2018,110.7,110.7,108.8,109.2,391508.0,1079.0
