date,open,high,low,close,volume,trade
01/01/2018,43.7,44.4,43.4,43.5,189244.0,436.0
01/02/2018,43.6,43.7,43.3,43.3,66737.0,929.0
01/03/2018,42.6,43.7,42.6,43.3,293834.0,577.0
01/04/2018,43.5,44.6,43.5,44.3,548038.0,1047.0
01/07/2018,44.3,45.4,44.3,44.5,334847.0,782.0
01/08/2018,44.3,44.8,43.6,43.8,197166.0,473.0
01/09/2018,43.6,44.3,43.1,43.3,218254.0,463.0
01/10/2018,43.3,43.8,42.5,42.7,242052.0,599.0
01/11/2018,42.7,43.1,42.4,42.6,272859.0,623.0
01/14/2018,42.1,42.9,42.1,42.2,213183.0,494.0
01/15/2018,42.3,42.9,42.1,42.5,278771.0,468.0
01/16/2018,42.5,42.7,41.1,41.8,823314.0,1243.0
01/17/2018,41.5,41.5,40.1,40.5,1075369.0,2009.0
01/18/2018,41.4,41.4,38.3,38.7,641825.0,1428.0
01/21/2018,38.7,38.8,36.7,37.1,624251.0,1301.0
01/22/2018,37.1,38.7,36.9,38.4,643303.0,1164.0
01/23/2018,38.5,39.1,37.1,37.4,461366.0,979.0
01/24/2018,37.1,37.5,35.9,36.3,511192.0,1147.0
01/25/2018,36.3,36.4,35.5,35.7,348212.0,699.0
01/28/2018,35.6,35.7,34.6,34.8,402659.0,799.0
01/29/2018,34.8,37.5,34.6,36.7,552921.0,1203.0
01/30/2018,36.8,36.8,34.3,34.5,581136.0,1049.0
01/31/2018,34.3,34.3,32.8,33.1,566744.0,924.0
02/01/2018,33.4,34.0,32.8,33.0,408186.0,805.0
02/04/2018,33.0,33.0,31.0,31.1,401258.0,737.0
02/05/2018,31.4,32.4,30.4,30.8,442945.0,710.0
02/06/2018,30.8,31.6,30.8,31.0,256673.0,493.0
02/07/2018,31.0,31.0,29.1,29.2,1157731.0,1774.0
02/08/2018,29.4,29.4,28.6,29.1,508406.0,905.0
02/11/2018,29.1,30.9,29.1,30.4,706873.0,1134.0
02/12/2018,30.4,30.8,29.6,29.8,650643.0,1002.0
02/13/2018,29.4,29.9,29.2,29.4,432966.0,762.0
02/14/2018,29.8,30.4,29.6,29.7,517906.0,763.0
02/15/2018,29.8,30.8,29.6,30.0,603146.0,924.0
02/18/2018,30.0,30.6,29.6,29.7,470744.0,649.0
02/19/2018,30.1,30.3,29.1,29.2,435811.0,664.0
02/20/2018,29.2,30.0,28.2,28.5,415775.0,646.0
02/22/2018,28.6,29.2,27.4,27.8,508825.0,763.0
02/25/2018,27.8,28.2,26.9,27.0,409914.0,630.0
02/26/2018,27.2,27.4,26.3,26.5,481611.0,596.0
02/27/2018,27.0,27.4,26.6,26.8,529376.0,622.0
02/28/2018,26.9,29.3,26.8,28.5,1349723.0,1471.0
03/01/2018,28.6,29.0,28.1,28.4,599081.0,738.0
03/04/2018,28.8,29.8,28.6,29.4,910990.0,980.0
03/05/2018,29.6,30.9,29.6,30.6,1356139.0,1462.0
03/06/2018,30.6,32.2,30.2,31.8,1442199.0,1656.0
03/07/2018,31.8,33.2,31.7,32.2,1279968.0,1397.0
03/08/2018,32.2,32.2,31.5,31.8,655803.0,668.0
03/11/2018,31.8,31.9,30.1,30.3,517825.0,658.0
03/12/2018,30.4,30.4,29.1,29.5,436291.0,602.0
03/13/2018,29.7,29.9,27.8,28.4,492292.0,608.0
03/14/2018,28.6,29.4,28.3,29.2,607072.0,632.0
03/15/2018,29.1,29.6,28.8,29.4,405234.0,456.0
03/18/2018,29.5,30.0,29.0,29.7,612081.0,638.0
03/19/2018,29.8,30.2,29.1,29.2,492712.0,579.0
03/20/2018,29.1,29.3,28.4,28.6,374915.0,563.0
03/21/2018,28.6,28.8,27.5,27.7,360845.0,547.0
03/22/2018,27.8,28.3,27.1,27.7,356924.0,536.0
03/25/2018,28.2,28.3,27.0,27.3,305431.0,413.0
03/27/2018,27.3,27.3,26.2,26.3,483996.0,554.0
03/28/2018,26.5,27.2,26.3,26.6,284587.0,358.0
03/29/2018,27.0,28.4,26.9,28.2,549344.0,677.0
04/01/2018,28.6,29.0,28.4,28.7,373150.0,442.0
04/02/2018,29.0,29.3,28.3,28.8,575646.0,667.0
