date,open,high,low,close,volume,trade
01/01/2018,50.4,50.5,50.1,50.3,15042.0,53.0
01/02/2018,50.7,50.9,50.7,50.9,18117.0,122.0
01/03/2018,50.7,51.1,50.5,50.8,45060.0,115.0
01/04/2018,50.7,50.7,50.2,50.3,60373.0,138.0
01/07/2018,50.5,50.7,50.2,50.3,52342.0,96.0
01/08/2018,50.3,50.5,50.2,50.4,31566.0,86.0
01/09/2018,50.6,50.9,50.1,50.7,74303.0,156.0
01/10/2018,50.4,50.5,50.2,50.2,39953.0,129.0
01/11/2018,50.5,50.8,50.1,50.5,44198.0,91.0
01/14/2018,50.5,50.6,50.2,50.3,56648.0,116.0
01/15/2018,50.3,50.4,49.6,50.0,85541.0,219.0
01/16/2018,50.1,50.6,49.9,50.1,57786.0,139.0
01/17/2018,50.5,50.5,49.8,49.9,40218.0,93.0
01/18/2018,49.9,50.2,49.6,50.2,54233.0,111.0
01/21/2018,49.7,50.0,49.5,49.7,65622.0,137.0
01/22/2018,49.8,50.5,49.7,50.3,25617.0,82.0
01/23/2018,50.3,50.4,49.8,50.0,43422.0,94.0
01/24/2018,49.8,50.1,49.7,49.7,59078.0,110.0
01/25/2018,49.8,50.0,49.7,49.8,52816.0,96.0
01/28/2018,50.0,50.0,49.5,49.5,16230.0,59.0
01/29/2018,50.4,51.5,49.7,50.9,139409.0,414.0
01/30/2018,51.2,51.2,49.8,50.0,49139.0,145.0
01/31/2018,50.5,50.5,49.5,49.7,65796.0,191.0
02/01/2018,49.7,49.7,49.2,49.3,33993.0,94.0
02/04/2018,49.2,49.2,47.5,47.6,95639.0,214.0
02/05/2018,47.6,47.6,45.5,46.8,31858.0,120.0
02/06/2018,47.3,48.2,47.3,47.5,33114.0,116.0
02/07/2018,47.1,47.7,47.0,47.3,25010.0,83.0
02/08/2018,47.3,48.7,46.8,48.4,47119.0,121.0
02/11/2018,48.5,49.9,48.5,49.7,84195.0,269.0
02/12/2018,49.7,49.7,49.0,49.1,71042.0,154.0
02/13/2018,49.5,51.1,49.5,50.3,96174.0,288.0
02/14/2018,50.8,52.8,50.0,51.9,337988.0,622.0
02/15/2018,52.5,52.5,50.8,51.0,91020.0,228.0
02/18/2018,51.0,51.2,49.5,49.6,79509.0,190.0
