date,open,high,low,close,volume,trade
01/01/2018,48.2,48.8,48.1,48.5,39019.0,76.0
01/02/2018,48.1,49.0,48.1,48.9,1335.0,127.0
01/03/2018,48.3,48.9,48.0,48.2,144077.0,199.0
01/04/2018,48.2,48.5,47.9,48.1,54441.0,81.0
01/07/2018,48.0,48.9,47.8,48.0,121535.0,119.0
01/08/2018,47.9,49.4,47.9,48.1,93818.0,117.0
01/09/2018,48.7,48.9,48.1,48.6,177155.0,131.0
01/10/2018,48.2,48.8,48.2,48.6,63666.0,55.0
01/11/2018,48.1,49.2,47.9,48.7,243472.0,154.0
01/14/2018,48.7,48.8,47.8,48.0,260783.0,181.0
01/15/2018,48.5,48.5,47.7,47.9,91529.0,139.0
01/16/2018,47.9,49.4,47.8,48.2,211785.0,172.0
01/17/2018,48.2,48.7,48.0,48.1,115837.0,81.0
01/18/2018,48.0,48.2,47.9,48.1,48076.0,64.0
01/21/2018,48.7,48.9,48.1,48.5,77910.0,97.0
01/22/2018,48.7,49.5,48.3,49.1,342265.0,250.0
01/23/2018,49.1,50.0,48.4,49.3,320992.0,248.0
01/24/2018,49.6,49.6,49.0,49.5,79248.0,113.0
01/25/2018,48.4,49.2,48.4,48.8,112032.0,110.0
01/28/2018,48.5,48.9,48.0,48.4,96590.0,106.0
01/29/2018,48.0,48.4,47.8,48.1,219937.0,229.0
01/30/2018,48.0,48.4,47.8,47.9,63287.0,117.0
01/31/2018,47.8,48.0,47.1,47.2,222343.0,178.0
02/01/2018,47.8,47.8,47.2,47.4,87114.0,78.0
02/04/2018,47.8,48.5,46.8,47.0,143476.0,143.0
02/05/2018,47.2,47.6,46.6,47.3,102034.0,153.0
02/06/2018,46.8,47.8,46.8,47.7,141577.0,105.0
02/07/2018,47.0,48.5,47.0,47.8,279506.0,180.0
02/08/2018,48.3,48.4,47.4,47.5,181567.0,152.0
02/11/2018,47.0,49.0,47.0,48.9,147901.0,123.0
02/12/2018,48.0,48.7,47.9,48.0,225772.0,131.0
02/13/2018,48.0,49.0,47.9,48.2,145464.0,160.0
02/14/2018,48.5,49.2,48.2,48.9,112686.0,101.0
02/15/2018,49.0,49.5,47.8,47.9,311195.0,179.0
02/18/2018,47.7,48.8,47.4,48.5,123429.0,170.0
02/19/2018,48.6,48.8,47.4,47.5,186342.0,205.0
02/20/2018,48.4,49.0,47.4,47.5,279171.0,185.0
02/22/2018,47.6,48.5,47.4,47.5,95564.0,56.0
02/25/2018,48.4,48.4,47.3,47.4,49586.0,70.0
02/26/2018,47.1,48.2,47.0,47.1,131818.0,118.0
02/27/2018,47.8,47.9,46.7,46.8,67493.0,103.0
02/28/2018,46.8,49.0,46.8,47.8,319122.0,152.0
03/01/2018,48.0,48.2,47.6,47.7,82617.0,55.0
03/04/2018,47.4,48.5,47.0,47.1,286695.0,190.0
03/05/2018,47.9,48.6,47.1,47.8,676768.0,153.0
03/06/2018,47.7,48.5,47.7,48.4,178279.0,114.0
03/07/2018,48.5,48.6,47.6,48.6,179913.0,83.0
03/08/2018,47.6,48.0,47.6,47.7,28177.0,46.0
03/11/2018,47.8,48.4,47.3,48.2,153321.0,98.0
03/12/2018,47.5,47.6,47.3,47.4,61130.0,73.0
03/13/2018,48.0,48.0,47.1,47.2,51321.0,68.0
03/14/2018,47.7,48.5,47.3,47.9,256305.0,101.0
03/15/2018,47.3,47.8,47.3,47.7,252405.0,125.0
03/18/2018,47.7,47.9,47.4,47.5,134516.0,37.0
03/19/2018,47.2,47.3,47.2,47.3,4838.0,34.0
03/20/2018,47.0,47.8,46.5,46.8,85480.0,80.0
03/21/2018,47.0,48.0,46.2,46.5,203349.0,137.0
03/22/2018,46.5,47.9,46.1,46.9,288956.0,132.0
03/25/2018,47.0,47.0,46.2,46.5,42110.0,53.0
03/27/2018,46.4,46.9,46.0,46.1,145339.0,88.0
03/28/2018,46.5,46.5,45.9,46.0,65995.0,106.0
03/29/2018,46.0,47.9,45.9,47.8,420163.0,179.0
04/01/2018,47.8,48.7,47.3,48.5,345710.0,198.0
04/02/2018,48.5,48.9,47.6,48.3,472465.0,178.0
04/03/2018,48.7,48.9,47.3,47.4,83400.0,108.0
04/04/2018,47.3,48.0,46.5,46.7,212668.0,188.0
04/05/2018,46.8,46.9,46.0,46.4,320123.0,204.0
04/08/2018,47.0,47.0,46.0,46.5,418462.0,313.0
04/09/2018,46.5,46.9,46.2,46.6,76572.0,143.0
04/10/2018,46.9,46.9,46.0,46.1,393671.0,302.0
04/11/2018,46.5,46.6,45.9,46.0,133290.0,119.0
04/12/2018,46.2,46.9,45.6,45.8,205570.0,204.0
04/15/2018,46.5,46.5,45.0,45.2,210060.0,176.0
04/16/2018,45.2,46.5,45.1,45.4,65811.0,119.0
04/17/2018,45.9,45.9,44.6,44.7,258911.0,247.0
04/18/2018,44.7,45.5,44.7,45.0,97728.0,128.0
04/19/2018,45.4,46.4,44.7,44.9,194198.0,153.0
04/22/2018,45.0,45.3,44.7,44.8,15123.0,79.0
04/23/2018,44.8,45.3,44.5,44.7,38483.0,129.0
04/24/2018,44.7,44.8,44.3,44.6,278942.0,114.0
04/25/2018,44.9,45.0,44.6,45.0,124280.0,96.0
04/26/2018,45.0,45.0,44.6,44.7,26520.0,58.0
04/30/2018,44.8,45.0,44.2,44.5,29610.0,74.0
05/03/2018,44.5,45.0,44.2,44.3,30751.0,86.0
05/06/2018,44.1,44.7,43.9,44.1,64573.0,123.0
05/07/2018,44.1,44.9,43.9,44.7,227993.0,250.0
05/08/2018,44.7,44.7,44.0,44.0,69808.0,115.0
05/09/2018,44.0,44.5,44.0,44.0,62730.0,102.0
05/10/2018,44.0,44.2,43.9,44.0,77865.0,134.0
05/13/2018,44.5,44.5,43.6,43.7,53457.0,147.0
