date,open,high,low,close,volume,trade
01/01/2018,50.9,52.0,50.6,51.7,398900.0,736.0
01/02/2018,51.7,52.0,50.7,51.1,125025.0,767.0
01/03/2018,50.2,50.6,49.6,50.0,645301.0,658.0
01/04/2018,50.5,50.5,48.4,48.6,733187.0,878.0
01/07/2018,49.0,49.8,48.5,48.8,347206.0,415.0
01/08/2018,48.9,49.2,48.1,48.4,371647.0,362.0
01/09/2018,48.3,49.4,47.7,48.0,219051.0,360.0
01/10/2018,48.0,49.1,48.0,48.7,275488.0,330.0
01/11/2018,49.2,49.6,48.3,49.4,202347.0,339.0
01/14/2018,49.6,49.6,47.5,47.7,279295.0,463.0
01/15/2018,47.8,48.1,47.2,47.6,104573.0,199.0
01/16/2018,48.1,48.6,47.0,47.6,113749.0,303.0
01/17/2018,47.8,48.4,47.0,47.9,155332.0,310.0
01/18/2018,48.0,48.7,47.8,48.0,127878.0,306.0
01/21/2018,48.0,48.4,47.1,47.4,103320.0,203.0
01/22/2018,47.9,47.9,46.7,46.8,166761.0,244.0
01/23/2018,46.8,47.8,46.8,47.5,235465.0,294.0
01/24/2018,47.0,47.5,46.5,46.9,108658.0,222.0
01/25/2018,47.0,48.3,47.0,47.4,244773.0,451.0
01/28/2018,47.5,48.2,47.3,47.6,288113.0,364.0
01/29/2018,47.1,47.8,47.1,47.4,85613.0,156.0
01/30/2018,47.7,48.6,47.1,47.4,441237.0,429.0
01/31/2018,47.2,47.6,45.5,46.1,207673.0,244.0
02/01/2018,47.1,47.1,45.8,46.1,79279.0,178.0
02/04/2018,47.3,47.6,43.8,44.1,278398.0,298.0
02/05/2018,45.5,45.9,41.0,42.6,164294.0,318.0
02/06/2018,42.2,43.2,42.0,42.2,187702.0,320.0
02/07/2018,42.3,42.8,40.6,41.4,722603.0,499.0
02/08/2018,41.5,42.5,41.4,42.1,54733.0,168.0
02/11/2018,42.3,42.9,41.6,42.2,165375.0,275.0
02/12/2018,42.5,43.5,42.1,43.1,489428.0,587.0
02/13/2018,43.4,44.7,43.2,43.9,247694.0,492.0
02/14/2018,43.8,44.1,41.7,42.0,387225.0,681.0
02/15/2018,42.4,42.4,41.1,41.6,262096.0,513.0
02/18/2018,41.4,41.8,40.7,41.2,155482.0,311.0
02/19/2018,40.9,42.6,40.9,42.4,501147.0,646.0
02/20/2018,42.7,43.3,42.3,43.1,327437.0,453.0
02/22/2018,43.6,44.7,43.4,43.8,481126.0,650.0
02/25/2018,43.5,43.6,41.7,42.0,54128.0,111.0
02/26/2018,41.9,42.3,41.3,41.6,96445.0,187.0
02/27/2018,41.7,41.9,41.0,41.3,59019.0,134.0
02/28/2018,42.2,42.7,41.1,41.3,96257.0,117.0
03/01/2018,41.5,42.1,41.4,41.9,65701.0,121.0
03/04/2018,42.6,43.0,41.9,42.1,160833.0,264.0
03/05/2018,42.3,43.9,42.3,43.5,676301.0,873.0
03/06/2018,43.7,45.0,43.0,44.2,616397.0,693.0
03/07/2018,44.4,44.7,42.8,43.1,229715.0,343.0
03/08/2018,43.5,43.9,42.6,42.9,418428.0,365.0
03/11/2018,42.6,42.6,41.6,41.7,119152.0,174.0
03/12/2018,41.9,42.8,41.5,42.3,171479.0,256.0
03/13/2018,42.9,42.9,41.7,41.8,110376.0,150.0
03/14/2018,42.4,42.5,41.6,41.8,99709.0,139.0
03/15/2018,41.5,42.3,41.4,41.9,112090.0,186.0
03/18/2018,41.6,42.0,41.6,41.8,80967.0,102.0
03/19/2018,42.1,42.1,41.2,41.3,104358.0,135.0
03/20/2018,41.9,41.9,41.1,41.3,97570.0,128.0
03/21/2018,41.7,41.8,40.8,41.1,110022.0,177.0
03/22/2018,41.2,41.5,39.0,41.2,218845.0,214.0
03/25/2018,42.5,42.5,40.7,41.5,93186.0,107.0
03/27/2018,42.0,42.0,39.0,40.3,211475.0,298.0
03/28/2018,40.9,41.5,39.7,40.0,58556.0,88.0
03/29/2018,40.5,41.3,39.3,39.7,97281.0,210.0
04/01/2018,40.2,40.8,39.9,40.2,154007.0,267.0
04/02/2018,40.2,41.9,40.2,41.6,120692.0,220.0
04/03/2018,41.6,41.8,40.0,40.2,169357.0,291.0
04/04/2018,40.7,43.8,40.7,43.2,721389.0,770.0
04/05/2018,43.7,45.3,43.0,44.2,1476167.0,1328.0
04/08/2018,44.2,45.0,43.2,44.7,1001147.0,920.0
04/09/2018,45.2,45.4,43.1,43.5,685591.0,663.0
04/10/2018,43.5,44.2,42.3,42.5,387844.0,424.0
04/11/2018,42.7,44.4,42.6,43.0,732415.0,526.0
04/12/2018,43.1,44.7,43.0,43.8,1748732.0,1151.0
04/15/2018,44.1,47.0,44.1,45.4,2155831.0,1960.0
04/16/2018,45.5,45.7,43.5,44.3,913435.0,1220.0
04/17/2018,44.3,45.5,43.9,44.2,862193.0,879.0
04/18/2018,44.6,45.3,43.9,44.7,750106.0,962.0
04/19/2018,44.2,45.1,43.6,43.7,641090.0,653.0
04/22/2018,44.5,44.6,42.8,43.0,420708.0,525.0
04/23/2018,43.4,44.9,42.5,44.7,831082.0,859.0
04/24/2018,44.6,45.0,43.4,43.7,360778.0,393.0
04/25/2018,44.0,44.7,42.6,42.9,919862.0,941.0
04/26/2018,43.1,43.1,41.3,41.6,462223.0,552.0
04/30/2018,42.0,42.3,39.3,40.1,342701.0,523.0
05/03/2018,40.3,41.6,40.2,40.9,385569.0,570.0
05/06/2018,41.4,42.2,41.0,41.8,379829.0,532.0
05/07/2018,42.2,42.3,40.5,40.6,266919.0,337.0
05/08/2018,40.6,40.9,39.7,40.0,395123.0,453.0
05/09/2018,40.0,40.5,38.5,38.7,351560.0,581.0
05/10/2018,39.0,39.9,38.4,38.5,254533.0,401.0
05/13/2018,39.4,39.4,37.7,38.1,255689.0,344.0
05/14/2018,38.2,39.0,37.7,38.1,199710.0,355.0
05/15/2018,38.6,38.6,37.5,37.8,112835.0,189.0
05/16/2018,38.0,38.0,36.6,37.0,128278.0,199.0
05/17/2018,36.3,37.1,35.5,36.1,203739.0,275.0
05/20/2018,36.8,36.9,35.8,36.0,160507.0,235.0
05/21/2018,36.5,38.5,36.0,37.4,270420.0,478.0
05/22/2018,38.1,38.5,36.7,37.1,221380.0,357.0
05/23/2018,36.4,37.5,35.6,35.8,428969.0,486.0
05/24/2018,36.1,36.6,35.7,35.9,154513.0,207.0
05/27/2018,36.0,37.0,35.8,36.0,218146.0,323.0
05/28/2018,36.0,36.1,35.1,35.4,147958.0,183.0
05/29/2018,35.3,36.1,35.2,35.4,222373.0,303.0
05/30/2018,35.3,35.9,34.2,34.5,100772.0,278.0
05/31/2018,34.3,36.5,34.3,35.9,338537.0,494.0
06/03/2018,36.0,36.0,34.7,35.0,115839.0,218.0
06/04/2018,35.0,35.0,34.1,34.2,143940.0,304.0
06/05/2018,34.7,35.2,33.1,34.2,338071.0,549.0
06/06/2018,34.7,34.7,33.4,34.0,130699.0,207.0
06/07/2018,34.6,34.7,33.3,33.4,124661.0,206.0
06/10/2018,33.3,33.4,32.2,32.3,147635.0,252.0
06/11/2018,32.9,33.7,32.2,33.0,192205.0,268.0
06/12/2018,33.3,35.7,33.3,35.0,348346.0,596.0
