date,open,high,low,close,volume,trade
01/01/2018,238.0,241.0,231.0,238.5,15659.0,116.0
01/02/2018,238.0,241.0,231.0,238.5,15659.0,186.0
01/03/2018,242.4,248.5,242.4,245.7,56568.0,199.0
01/04/2018,248.0,248.8,245.0,245.7,42335.0,145.0
01/07/2018,242.0,245.7,237.1,240.8,32711.0,215.0
01/08/2018,240.2,259.0,237.5,244.9,82172.0,257.0
01/09/2018,245.0,252.0,244.0,248.0,64671.0,250.0
01/10/2018,250.0,252.0,240.6,241.4,52366.0,188.0
01/11/2018,244.8,244.8,237.0,238.4,69103.0,297.0
01/14/2018,238.6,241.3,237.1,238.3,12479.0,84.0
01/15/2018,235.5,239.9,234.1,234.5,18385.0,93.0
01/16/2018,234.5,237.5,234.5,237.3,11566.0,100.0
01/17/2018,237.0,237.0,235.0,235.1,39381.0,129.0
01/18/2018,235.2,238.7,235.2,238.0,57796.0,313.0
01/21/2018,238.8,238.8,235.3,235.7,5248.0,53.0
01/22/2018,235.1,238.7,234.1,235.0,54584.0,299.0
01/23/2018,237.8,238.7,234.3,238.1,30089.0,153.0
01/24/2018,240.0,241.9,238.1,239.4,18956.0,122.0
01/25/2018,240.5,242.0,237.5,239.1,10969.0,53.0
01/28/2018,240.9,244.9,238.0,239.6,24094.0,108.0
01/29/2018,237.1,243.8,237.0,242.5,14643.0,80.0
01/30/2018,241.0,241.2,234.1,234.6,43959.0,228.0
01/31/2018,237.5,240.9,233.2,239.6,22208.0,139.0
02/01/2018,241.0,242.0,236.0,236.7,29985.0,146.0
02/04/2018,239.7,241.7,231.6,233.0,22421.0,148.0
02/05/2018,239.9,239.9,231.5,232.2,18362.0,107.0
02/06/2018,235.7,235.7,232.1,234.0,7048.0,59.0
02/07/2018,231.0,233.2,231.0,232.7,2614.0,27.0
02/08/2018,233.0,239.0,233.0,233.1,11441.0,64.0
02/11/2018,239.0,239.0,234.2,236.0,6997.0,57.0
02/12/2018,235.9,236.2,233.8,234.9,24078.0,115.0
02/13/2018,235.5,237.5,234.2,236.8,10571.0,56.0
02/14/2018,235.4,237.1,234.5,235.4,17522.0,73.0
02/15/2018,236.7,236.7,233.5,233.9,56198.0,236.0
02/18/2018,236.4,238.0,231.2,233.0,32244.0,319.0
02/19/2018,235.0,237.0,233.2,235.0,5652.0,43.0
02/20/2018,235.0,235.9,233.8,234.0,8338.0,80.0
02/22/2018,234.0,234.7,233.0,234.0,36799.0,55.0
02/25/2018,233.0,235.5,233.0,234.1,20732.0,71.0
02/26/2018,233.0,236.0,232.1,234.1,15866.0,80.0
02/27/2018,234.3,234.3,228.0,228.8,21842.0,184.0
02/28/2018,228.0,232.0,228.0,230.7,5777.0,69.0
03/01/2018,229.5,234.0,228.0,232.3,14443.0,86.0
03/04/2018,232.0,233.9,231.1,231.7,6929.0,55.0
03/05/2018,234.7,234.7,231.1,232.1,8383.0,47.0
03/06/2018,232.0,233.6,232.0,232.8,8808.0,50.0
03/07/2018,233.7,233.7,231.4,233.2,2413.0,34.0
03/08/2018,234.8,234.9,231.5,232.8,9644.0,77.0
03/11/2018,232.5,233.5,230.0,231.2,3928.0,53.0
03/12/2018,232.0,233.0,226.0,229.1,26705.0,148.0
03/13/2018,232.0,241.0,225.3,234.8,22384.0,131.0
03/14/2018,235.0,241.0,228.5,230.8,15664.0,116.0
03/15/2018,228.6,234.0,228.6,230.0,4728.0,42.0
03/18/2018,228.5,231.5,228.5,230.7,16125.0,109.0
03/19/2018,234.0,236.0,229.8,230.1,9898.0,64.0
03/20/2018,234.0,234.9,228.9,230.0,14132.0,85.0
03/21/2018,229.1,232.6,226.0,228.8,10432.0,72.0
03/22/2018,231.9,231.9,225.0,226.9,7470.0,59.0
03/25/2018,227.9,228.0,220.2,221.4,15990.0,117.0
03/27/2018,222.0,222.9,218.1,219.2,8362.0,69.0
03/28/2018,220.0,221.0,216.0,216.9,6294.0,82.0
03/29/2018,213.5,217.5,213.5,215.7,21407.0,115.0
04/01/2018,220.0,220.0,217.0,217.6,44188.0,175.0
04/02/2018,219.9,224.0,216.2,223.6,28280.0,147.0
04/03/2018,224.4,224.4,221.3,221.7,12955.0,102.0
04/04/2018,222.0,222.0,218.8,219.4,6437.0,48.0
04/05/2018,219.2,220.8,219.2,219.9,6830.0,77.0
04/08/2018,222.0,222.5,220.5,221.7,17422.0,120.0
04/09/2018,221.7,223.5,221.0,221.8,10790.0,69.0
04/10/2018,223.0,225.7,221.8,224.9,56742.0,244.0
04/11/2018,224.0,227.4,223.5,224.1,15900.0,95.0
04/12/2018,223.7,230.0,218.0,223.1,121410.0,314.0
04/15/2018,220.0,229.7,220.0,226.1,60613.0,204.0
04/16/2018,226.1,229.8,221.2,228.8,45706.0,211.0
04/17/2018,228.8,231.6,227.0,230.0,45480.0,242.0
04/18/2018,228.0,233.0,228.0,229.7,29951.0,180.0
04/19/2018,230.8,231.9,227.6,230.2,45681.0,147.0
04/22/2018,234.0,237.0,230.2,230.7,52548.0,368.0
04/23/2018,230.2,235.0,230.2,234.6,43780.0,249.0
04/24/2018,236.0,245.0,234.6,241.8,92061.0,582.0
04/25/2018,244.8,244.9,240.8,241.6,40093.0,192.0
04/26/2018,242.0,242.0,235.1,235.8,35716.0,236.0
04/30/2018,234.1,237.0,234.1,235.8,20055.0,137.0
05/03/2018,236.5,239.5,234.0,234.2,17320.0,131.0
05/06/2018,233.6,237.0,232.0,235.0,20660.0,118.0
05/07/2018,236.9,237.7,234.2,236.2,31681.0,191.0
05/08/2018,236.0,236.0,234.0,234.5,10504.0,98.0
05/09/2018,230.2,236.0,230.2,233.3,16432.0,145.0
05/10/2018,230.0,233.9,230.0,230.4,11331.0,90.0
05/13/2018,230.5,230.6,229.7,230.0,16270.0,88.0
05/14/2018,229.1,231.0,229.0,230.1,5773.0,50.0
05/15/2018,228.4,230.0,228.4,229.8,10729.0,56.0
05/16/2018,229.3,230.0,229.3,229.6,6398.0,32.0
05/17/2018,229.4,230.0,229.3,229.5,15780.0,89.0
05/20/2018,228.0,229.0,228.0,228.1,8537.0,53.0
05/21/2018,230.0,238.0,228.4,235.1,45912.0,137.0
05/22/2018,230.5,237.0,230.5,231.6,23612.0,117.0
05/23/2018,231.6,234.5,230.8,231.5,6706.0,52.0
05/24/2018,233.0,235.0,232.0,234.1,31000.0,91.0
05/27/2018,234.1,235.0,231.0,233.6,8549.0,57.0
05/28/2018,234.0,236.0,231.5,231.8,14987.0,58.0
05/29/2018,234.0,234.0,231.5,231.9,3387.0,31.0
05/30/2018,230.0,241.9,230.0,233.2,30738.0,176.0
05/31/2018,233.1,235.0,232.0,234.6,4794.0,39.0
06/03/2018,234.9,234.9,230.5,231.1,9301.0,91.0
06/04/2018,232.7,232.7,230.3,230.8,5031.0,58.0
06/05/2018,230.5,232.0,230.5,231.1,5035.0,45.0
06/06/2018,232.0,232.0,230.2,230.6,8640.0,65.0
06/07/2018,231.0,232.0,230.1,230.7,27980.0,119.0
06/10/2018,230.1,231.7,228.0,228.7,10728.0,103.0
06/11/2018,228.6,230.7,225.0,230.0,12539.0,103.0
06/12/2018,230.0,231.0,227.3,228.0,45520.0,77.0
06/18/2018,232.0,235.5,228.0,228.1,13359.0,75.0
06/19/2018,229.5,229.5,226.2,226.8,15748.0,93.0
06/20/2018,229.0,234.0,227.4,230.1,57222.0,106.0
06/21/2018,232.8,232.8,225.0,226.8,26672.0,199.0
06/24/2018,227.3,229.8,227.2,229.0,58354.0,146.0
06/25/2018,229.6,231.5,228.1,229.0,78734.0,224.0
06/26/2018,230.0,231.0,228.0,228.5,52883.0,150.0
06/27/2018,231.8,240.0,228.0,231.6,75929.0,286.0
06/28/2018,233.0,233.4,228.8,229.6,20800.0,106.0
07/02/2018,229.6,230.0,226.7,228.0,11010.0,88.0
07/03/2018,227.2,232.5,224.0,224.8,15543.0,130.0
07/04/2018,224.2,227.0,224.2,225.2,6705.0,71.0
07/05/2018,223.7,230.0,223.7,228.1,8672.0,83.0
07/08/2018,229.0,229.8,226.1,228.8,8765.0,81.0
07/09/2018,227.6,230.0,222.0,224.1,36688.0,281.0
07/10/2018,224.3,229.6,224.1,227.3,10368.0,87.0
07/11/2018,229.8,230.0,225.0,225.6,18352.0,101.0
07/12/2018,224.1,227.4,221.5,224.3,9452.0,91.0
07/15/2018,223.4,228.6,223.3,226.9,9747.0,65.0
07/16/2018,228.5,228.5,225.1,225.4,13248.0,91.0
07/17/2018,224.4,226.0,223.1,223.2,8725.0,78.0
07/18/2018,222.1,223.5,221.0,223.0,24879.0,136.0
07/19/2018,222.6,223.5,222.3,223.4,30060.0,179.0
07/22/2018,224.2,227.5,224.1,226.2,21142.0,136.0
07/23/2018,226.2,227.0,223.5,224.5,22400.0,202.0
07/24/2018,226.0,226.7,224.0,226.0,10151.0,78.0
07/25/2018,226.0,226.8,225.0,225.8,7332.0,58.0
07/26/2018,225.2,226.9,225.2,226.3,19234.0,109.0
07/29/2018,226.3,227.9,224.6,225.0,14265.0,101.0
07/30/2018,225.0,226.6,224.2,224.7,15156.0,
07/31/2018,223.4,225.0,223.4,224.8,9892.0,76.0
08/01/2018,224.2,226.0,224.0,225.2,12961.0,106.0
08/02/2018,225.0,226.0,225.0,225.1,8523.0,55.0
08/05/2018,223.0,227.0,223.0,225.2,6137.0,42.0
08/06/2018,225.1,227.3,225.1,226.1,5819.0,36.0
08/07/2018,226.5,226.5,225.5,225.6,5952.0,36.0
08/08/2018,225.0,228.0,224.0,226.2,5197.0,51.0
08/09/2018,225.3,226.5,225.2,225.5,3329.0,31.0
08/12/2018,224.4,227.0,224.2,225.7,8920.0,48.0
08/13/2018,225.7,227.5,225.6,226.9,11192.0,47.0
08/14/2018,226.5,230.0,226.5,227.5,10301.0,88.0
08/16/2018,229.5,232.0,226.1,229.3,12363.0,114.0
08/19/2018,232.6,232.7,229.5,230.2,18884.0,77.0
08/20/2018,231.2,231.2,228.4,230.1,2589.0,41.0
08/26/2018,230.0,234.8,229.2,233.8,14684.0,120.0
08/27/2018,233.8,237.7,233.0,233.5,46570.0,287.0
08/28/2018,233.6,234.4,232.0,232.4,8904.0,87.0
08/29/2018,231.0,233.7,231.0,231.4,37694.0,170.0
08/30/2018,232.0,244.8,230.7,237.2,109612.0,435.0
09/03/2018,235.1,244.8,235.1,243.4,75052.0,539.0
09/04/2018,243.4,243.4,238.0,238.1,62844.0,411.0
09/05/2018,238.3,239.8,232.3,233.3,53215.0,367.0
09/06/2018,234.5,235.1,232.1,233.1,20472.0,123.0
09/09/2018,233.1,236.5,232.1,232.7,20031.0,123.0
09/10/2018,232.0,234.7,231.2,232.0,13548.0,77.0
09/11/2018,232.6,234.0,230.1,231.4,48887.0,156.0
09/12/2018,231.7,239.9,230.0,231.5,14978.0,120.0
09/13/2018,232.0,232.0,229.0,229.7,14717.0,109.0
09/16/2018,230.5,234.9,230.0,232.4,25831.0,155.0
09/17/2018,234.0,237.0,231.7,232.0,31081.0,147.0
09/18/2018,237.0,240.0,232.5,232.7,18734.0,89.0
09/19/2018,234.0,237.9,232.1,233.6,22681.0,140.0
09/20/2018,234.0,234.0,232.1,232.3,8978.0,57.0
09/23/2018,231.1,231.7,228.0,229.5,16542.0,75.0
09/24/2018,227.9,233.4,227.9,231.9,12923.0,76.0
09/25/2018,234.0,236.8,230.0,232.6,17887.0,101.0
09/26/2018,233.1,234.4,229.0,230.9,12094.0,94.0
09/27/2018,234.4,234.4,229.0,230.9,7015.0,52.0
09/30/2018,233.4,233.4,229.1,231.5,9096.0,85.0
10/01/2018,232.1,234.5,229.2,230.2,16370.0,85.0
10/02/2018,230.5,233.5,229.2,230.7,2232.0,22.0
10/03/2018,230.0,231.8,230.0,230.1,3598.0,24.0
10/04/2018,232.9,234.7,231.7,234.0,9622.0,78.0
10/07/2018,232.0,233.6,230.2,230.5,13921.0,0.0
10/08/2018,230.2,233.0,230.2,231.9,3042.0,
10/09/2018,231.9,233.7,230.2,232.2,11141.0,
10/10/2018,231.0,232.0,230.2,230.6,8048.0,0.0
10/11/2018,230.9,232.8,230.8,231.3,6990.0,38.0
10/14/2018,231.0,232.8,230.4,231.6,4861.0,37.0
10/15/2018,230.5,230.8,230.5,230.7,9058.0,33.0
10/16/2018,231.5,231.5,230.1,230.3,4060.0,35.0
10/17/2018,230.2,230.9,230.2,230.5,2591.0,17.0
10/18/2018,233.0,233.4,227.0,230.3,2237.0,23.0
10/21/2018,232.0,232.0,226.0,227.2,8418.0,71.0
10/22/2018,227.3,233.9,226.0,230.0,9349.0,63.0
10/23/2018,226.3,232.0,226.2,231.3,14889.0,107.0
10/24/2018,226.9,229.3,226.9,228.1,7152.0,47.0
10/25/2018,231.0,231.0,226.5,228.7,5668.0,
10/28/2018,229.0,229.0,226.6,227.0,5374.0,
10/29/2018,227.0,234.0,227.0,229.3,5485.0,
10/30/2018,230.1,231.7,228.3,229.0,3811.0,
10/31/2018,229.2,229.2,228.5,229.0,1077.0,
11/01/2018,227.7,229.0,225.0,225.3,33259.0,
11/04/2018,227.0,236.7,226.0,233.0,45949.0,
11/05/2018,236.0,240.0,233.6,237.5,63517.0,
11/06/2018,235.6,239.5,235.6,239.0,45865.0,
11/07/2018,239.6,243.8,238.2,242.2,75801.0,
11/08/2018,244.9,255.0,244.9,250.5,176512.0,933.0
11/11/2018,254.0,254.0,236.9,241.3,60445.0,512.0
11/12/2018,239.6,240.0,232.6,234.2,86071.0,403.0
11/13/2018,233.0,241.9,233.0,236.4,51332.0,316.0
11/14/2018,239.0,243.9,235.1,236.1,13474.0,140.0
11/15/2018,236.0,245.0,235.0,236.4,49853.0,201.0
11/18/2018,238.0,238.9,232.6,234.6,19919.0,159.0
11/19/2018,238.8,238.8,231.4,234.5,33077.0,197.0
11/20/2018,234.6,236.5,232.6,232.7,19321.0,96.0
11/22/2018,236.9,244.7,235.1,236.2,14357.0,85.0
11/25/2018,236.0,239.7,235.0,235.9,15029.0,71.0
11/26/2018,235.1,236.0,234.2,235.0,8684.0,121.0
11/27/2018,235.0,235.9,230.3,230.8,20837.0,220.0
11/28/2018,231.0,237.0,229.2,232.2,27799.0,200.0
11/29/2018,236.3,237.0,229.7,230.4,48785.0,281.0
12/02/2018,234.8,234.9,229.9,230.7,18980.0,146.0
12/03/2018,236.7,240.5,231.0,233.4,22914.0,89.0
12/04/2018,231.5,234.5,231.5,231.6,26887.0,140.0
12/05/2018,231.6,234.0,231.1,231.7,25103.0,119.0
12/06/2018,234.4,234.7,231.5,232.0,12679.0,93.0
12/09/2018,232.1,235.0,232.1,232.8,19189.0,74.0
12/10/2018,232.6,236.0,232.2,233.1,18634.0,120.0
12/11/2018,232.4,234.9,232.4,233.2,10343.0,117.0
12/12/2018,232.0,234.7,232.0,233.7,28883.0,137.0
12/13/2018,233.0,235.4,232.8,233.1,11870.0,113.0
12/17/2018,230.0,236.0,230.0,233.3,9426.0,107.0
12/18/2018,232.6,235.0,232.5,233.9,34351.0,272.0
12/19/2018,232.6,235.0,232.5,233.9,34351.0,0.0
12/20/2018,222.9,224.1,220.0,221.3,34443.0,179.0
12/23/2018,220.6,223.5,220.6,221.5,18167.0,74.0
12/24/2018,225.0,233.0,223.3,223.5,15611.0,59.0
12/26/2018,226.9,226.9,223.0,223.1,14432.0,140.0
12/27/2018,222.2,225.8,222.2,225.2,12801.0,43.0
01/01/2019,199.5,201.3,198.5,199.2,3093.0,21.0
01/02/2019,199.5,201.5,199.5,201.5,18911.0,82.0
01/03/2019,200.5,204.5,200.5,202.8,18611.0,124.0
01/06/2019,202.8,215.5,201.8,205.5,54649.0,307.0
01/07/2019,209.5,210.5,206.5,207.7,20984.0,141.0
01/08/2019,205.7,210.5,205.7,209.7,29620.0,175.0
01/09/2019,209.7,220.5,209.7,215.9,63670.0,252.0
01/10/2019,219.5,224.5,212.1,216.0,87670.0,290.0
01/13/2019,216.0,222.5,214.5,218.9,34486.0,196.0
01/14/2019,220.2,230.5,220.2,224.0,154027.0,642.0
01/15/2019,224.0,230.4,222.6,226.2,62007.0,383.0
01/16/2019,225.5,228.0,219.5,224.4,50135.0,271.0
01/17/2019,224.5,225.4,214.5,219.0,31154.0,203.0
01/20/2019,222.1,222.1,216.0,218.6,20547.0,157.0
01/21/2019,221.5,224.2,216.5,218.6,15613.0,117.0
01/22/2019,218.0,218.2,214.5,215.8,21433.0,156.0
01/23/2019,214.8,215.4,211.8,212.8,12354.0,130.0
01/24/2019,214.5,214.5,211.5,213.6,14434.0,76.0
01/27/2019,213.6,224.5,213.6,222.0,38134.0,237.0
01/28/2019,217.5,229.4,217.5,221.7,95356.0,497.0
01/29/2019,222.5,225.5,218.5,223.2,62386.0,229.0
01/30/2019,223.2,224.2,217.7,221.5,34092.0,194.0
01/31/2019,219.6,220.6,216.0,217.2,32920.0,205.0
02/03/2019,216.2,227.5,215.5,221.9,44544.0,230.0
02/04/2019,224.5,234.3,222.5,230.4,177849.0,937.0
02/05/2019,230.4,230.4,221.5,222.4,46107.0,234.0
02/06/2019,224.9,228.3,221.5,222.9,65984.0,317.0
02/07/2019,225.5,225.5,217.6,219.8,43175.0,311.0
02/10/2019,224.2,224.2,213.9,214.7,39271.0,265.0
02/11/2019,218.5,219.4,212.5,213.1,43678.0,
02/12/2019,214.5,217.5,212.5,213.3,28860.0,134.0
02/13/2019,213.5,215.4,212.1,212.5,10865.0,97.0
02/14/2019,214.4,214.4,207.0,208.2,49114.0,281.0
02/17/2019,209.0,214.5,208.0,210.9,17847.0,95.0
02/18/2019,210.9,212.5,208.7,211.3,11981.0,75.0
02/19/2019,214.2,214.5,210.5,212.4,13011.0,68.0
02/20/2019,212.4,217.5,212.0,216.6,24161.0,164.0
02/24/2019,216.5,217.5,213.7,215.2,19620.0,145.0
02/25/2019,215.2,216.0,213.4,215.5,38743.0,184.0
02/26/2019,217.5,219.5,214.6,216.4,15690.0,122.0
02/27/2019,217.5,219.5,212.5,213.4,29563.0,163.0
03/03/2019,213.4,216.5,213.4,214.3,15714.0,95.0
03/04/2019,212.6,216.4,211.5,213.9,20467.0,104.0
03/05/2019,215.5,219.5,213.9,214.6,19798.0,97.0
03/06/2019,217.4,218.5,211.5,212.4,21921.0,
03/07/2019,214.5,217.5,212.6,215.1,12662.0,
03/10/2019,216.4,216.4,211.2,211.7,1761.0,
03/11/2019,217.5,217.5,211.8,212.7,3678.0,
03/12/2019,212.5,212.5,211.1,211.4,14154.0,
03/13/2019,212.4,212.4,209.5,209.8,15043.0,
03/14/2019,210.5,210.5,207.5,208.4,23036.0,
03/18/2019,208.5,212.4,204.2,210.4,43613.0,
03/19/2019,212.0,215.0,208.0,210.6,33871.0,
03/20/2019,214.4,216.5,209.7,211.5,32216.0,
03/21/2019,214.0,215.5,208.6,209.3,24083.0,
03/24/2019,214.2,214.5,207.5,208.5,14921.0,
03/25/2019,212.5,212.5,207.5,209.0,13016.0,
03/27/2019,212.5,212.5,207.2,210.7,3375.0,
03/28/2019,213.5,214.2,208.6,209.6,23490.0,
03/31/2019,212.5,212.5,206.6,207.8,2960.0,
04/01/2019,211.5,211.5,207.5,209.1,30640.0,
04/02/2019,212.3,213.2,208.6,209.6,7116.0,
04/03/2019,212.5,212.5,205.9,206.4,25351.0,
04/04/2019,206.5,210.5,204.1,205.8,18274.0,
04/07/2019,208.5,208.5,204.6,204.9,7086.0,
04/08/2019,203.5,209.0,203.5,204.8,8388.0,
04/09/2019,204.8,206.5,200.0,204.0,6967.0,
04/10/2019,208.5,210.5,194.5,199.2,19879.0,
04/11/2019,199.7,202.4,199.7,201.2,10829.0,
04/15/2019,202.0,202.0,198.5,200.3,1557.0,
04/16/2019,201.8,219.5,200.3,207.5,22986.0,
04/17/2019,205.0,209.5,204.3,204.5,9433.0,60.0
04/18/2019,206.5,206.5,202.5,204.7,8306.0,59.0
04/21/2019,209.3,209.4,197.6,201.4,7943.0,65.0
04/23/2019,201.5,203.4,200.6,201.5,408.0,11.0
04/24/2019,200.3,204.5,200.1,204.1,12925.0,66.0
04/25/2019,204.1,205.5,201.7,204.7,3459.0,27.0
04/28/2019,204.4,205.5,201.6,204.3,6242.0,57.0
04/29/2019,204.2,209.5,201.2,205.7,13407.0,70.0
04/30/2019,204.0,204.0,202.0,202.3,2212.0,14.0
05/02/2019,202.3,205.0,200.1,202.2,9388.0,42.0
05/05/2019,203.0,206.5,203.0,205.6,2498.0,25.0
05/06/2019,205.6,205.6,202.1,202.4,14659.0,137.0
05/07/2019,207.0,207.0,198.8,199.4,30650.0,187.0
05/08/2019,200.6,203.6,199.5,201.9,5631.0,43.0
05/09/2019,201.5,203.5,199.5,202.6,11301.0,77.0
05/12/2019,199.7,203.0,199.7,202.5,5758.0,60.0
05/13/2019,200.0,205.2,200.0,202.8,8653.0,54.0
05/14/2019,204.5,204.5,199.5,202.6,7071.0,51.0
05/15/2019,202.6,203.0,200.1,200.7,687.0,11.0
05/16/2019,201.9,201.9,197.5,197.8,27074.0,171.0
05/19/2019,198.1,201.5,198.1,200.6,3878.0,45.0
05/20/2019,201.5,201.5,198.7,199.1,5174.0,58.0
05/21/2019,199.4,199.4,197.0,197.6,22278.0,109.0
05/22/2019,197.6,200.9,197.5,200.6,2265.0,41.0
05/23/2019,201.0,201.0,197.6,198.9,2360.0,23.0
05/26/2019,199.1,200.5,196.8,198.7,5225.0,34.0
05/27/2019,198.7,204.0,197.5,202.4,5659.0,53.0
05/28/2019,202.6,202.6,199.0,202.0,7686.0,54.0
05/29/2019,200.7,203.1,200.7,201.4,957.0,8.0
05/30/2019,200.7,203.5,200.7,202.7,10934.0,87.0
06/09/2019,203.3,204.5,202.8,204.3,9989.0,55.0
06/10/2019,204.8,206.5,204.4,205.5,25437.0,127.0
06/11/2019,206.2,206.2,204.5,204.7,12747.0,80.0
06/12/2019,203.5,205.4,203.5,204.4,7925.0,54.0
06/13/2019,205.7,205.7,202.0,202.1,4338.0,56.0
06/16/2019,204.6,204.6,200.5,201.7,14109.0,70.0
06/17/2019,202.7,202.7,200.6,200.7,6082.0,61.0
06/18/2019,197.6,204.4,196.5,200.1,5100.0,47.0
