date,open,high,low,close,volume,trade
01/01/2018,12.9,13.0,12.9,12.9,51216.0,42.0
01/02/2018,12.9,13.0,12.9,12.9,51216.0,33.0
01/03/2018,13.1,13.2,13.0,13.1,28104.0,32.0
01/04/2018,12.9,13.2,12.9,13.1,32279.0,51.0
01/07/2018,13.0,13.1,12.9,13.1,5714.0,14.0
01/08/2018,12.9,13.1,12.9,12.9,13508.0,21.0
01/09/2018,13.1,13.1,12.9,13.1,18022.0,22.0
01/10/2018,12.9,13.2,12.9,12.9,4029.0,7.0
01/11/2018,12.8,13.1,12.7,12.8,21847.0,28.0
01/14/2018,12.7,13.1,12.7,12.9,35453.0,39.0
01/15/2018,12.7,12.9,12.7,12.7,29418.0,13.0
01/16/2018,12.7,12.9,12.7,12.9,23209.0,31.0
01/17/2018,13.0,13.0,12.7,12.9,30819.0,29.0
01/18/2018,13.0,13.0,13.0,13.0,7.0,1.0
01/21/2018,13.0,13.0,13.0,13.0,3350.0,4.0
01/22/2018,12.7,13.0,12.7,12.7,5879.0,9.0
01/23/2018,12.4,12.8,12.4,12.7,10721.0,13.0
01/24/2018,12.8,12.8,12.7,12.7,20269.0,15.0
01/25/2018,12.7,12.8,12.7,12.7,7528.0,9.0
01/28/2018,12.3,12.7,12.3,12.4,19663.0,6.0
01/29/2018,12.6,12.7,12.2,12.6,8349.0,11.0
01/30/2018,12.7,12.9,12.7,12.7,39835.0,13.0
01/31/2018,12.4,12.4,12.4,12.4,9189.0,13.0
02/01/2018,12.7,12.7,12.7,12.7,294.0,1.0
02/04/2018,11.7,12.7,11.7,12.0,691.0,4.0
02/05/2018,12.7,12.7,11.9,12.0,6313.0,10.0
02/06/2018,12.7,12.7,12.4,12.4,2393.0,7.0
02/07/2018,12.2,12.5,12.2,12.2,21273.0,10.0
02/08/2018,12.7,12.7,12.2,12.2,7970.0,16.0
02/11/2018,12.7,12.7,12.5,12.6,22563.0,29.0
02/12/2018,12.7,12.7,12.7,12.7,12.0,1.0
02/13/2018,12.4,12.7,12.2,12.3,60372.0,38.0
02/14/2018,12.7,12.9,12.7,12.9,22910.0,35.0
02/15/2018,12.6,12.9,12.3,12.7,10946.0,23.0
02/18/2018,12.5,12.7,12.2,12.2,27823.0,30.0
02/19/2018,12.6,12.6,12.2,12.2,17183.0,35.0
02/20/2018,12.7,12.7,12.2,12.2,11219.0,18.0
02/22/2018,12.7,12.7,12.7,12.7,1413.0,3.0
02/25/2018,12.7,12.7,12.2,12.4,12155.0,20.0
02/26/2018,12.3,12.6,12.3,12.4,15268.0,8.0
02/27/2018,12.2,12.2,12.1,12.1,4311.0,7.0
02/28/2018,12.7,12.7,12.2,12.5,1057.0,3.0
03/01/2018,12.4,12.5,12.4,12.4,33663.0,39.0
03/04/2018,12.5,12.5,12.0,12.0,144412.0,44.0
03/05/2018,12.5,12.5,11.9,12.1,67636.0,33.0
03/06/2018,12.3,12.3,12.0,12.0,45705.0,27.0
03/07/2018,12.0,12.0,12.0,12.0,2544.0,3.0
03/08/2018,12.0,12.0,11.8,11.8,5332.0,2.0
03/11/2018,11.7,11.7,11.6,11.7,4490.0,10.0
03/12/2018,11.8,11.8,11.7,11.7,2403.0,9.0
03/13/2018,11.5,12.0,11.4,11.5,9989.0,10.0
03/14/2018,11.7,11.7,11.3,11.5,34320.0,29.0
03/15/2018,11.7,11.7,11.3,11.5,2898.0,7.0
03/18/2018,11.7,11.7,11.5,11.6,30491.0,8.0
03/19/2018,12.3,12.3,11.6,11.6,6644.0,9.0
03/20/2018,12.3,12.3,11.6,11.6,6644.0,0.0
03/21/2018,11.4,11.4,11.2,11.3,9764.0,12.0
03/22/2018,11.2,11.2,11.1,11.2,28599.0,5.0
03/25/2018,11.7,11.7,11.7,11.7,678.0,1.0
03/27/2018,11.4,11.4,11.0,11.3,4555.0,6.0
03/28/2018,11.6,11.6,11.1,11.1,14448.0,6.0
03/29/2018,11.5,11.5,11.1,11.2,4253.0,7.0
04/01/2018,11.7,11.7,11.2,11.2,35908.0,5.0
04/02/2018,11.7,12.2,11.5,11.5,186645.0,51.0
04/03/2018,11.6,11.6,11.5,11.6,3378.0,4.0
04/04/2018,11.5,11.9,11.5,11.7,7474.0,8.0
04/05/2018,11.8,11.9,11.6,11.8,389882.0,70.0
04/08/2018,11.9,11.9,11.4,11.5,46515.0,25.0
04/09/2018,11.5,11.6,11.3,11.4,453220.0,147.0
04/10/2018,11.3,12.0,11.3,11.7,1788463.0,516.0
04/11/2018,11.9,12.1,11.7,11.9,569013.0,346.0
04/12/2018,11.7,11.9,11.5,11.7,416901.0,202.0
04/15/2018,11.8,11.8,11.2,11.3,201715.0,95.0
04/16/2018,11.5,11.5,11.2,11.5,63942.0,49.0
04/17/2018,11.2,11.5,11.2,11.3,68296.0,46.0
04/18/2018,11.3,11.4,11.1,11.2,26719.0,46.0
04/19/2018,11.2,11.4,11.0,11.1,279899.0,137.0
04/22/2018,11.3,11.4,11.2,11.2,24779.0,25.0
04/23/2018,11.2,11.2,11.0,11.0,40317.0,23.0
04/24/2018,11.1,11.2,11.0,11.1,32678.0,29.0
04/25/2018,11.1,11.2,10.8,10.9,175236.0,87.0
04/26/2018,11.2,11.3,11.2,11.2,71110.0,66.0
04/30/2018,11.2,11.2,10.9,10.9,69436.0,53.0
05/03/2018,11.2,11.2,10.7,10.8,87633.0,58.0
05/06/2018,10.8,10.9,10.7,10.8,69577.0,58.0
05/07/2018,10.8,11.0,10.6,10.9,129861.0,84.0
05/08/2018,10.8,10.9,10.6,10.7,73513.0,36.0
05/09/2018,10.9,10.9,10.5,10.6,50539.0,57.0
05/10/2018,10.7,10.8,10.5,10.6,63603.0,47.0
05/13/2018,10.8,10.8,10.7,10.7,25841.0,21.0
05/14/2018,10.7,10.8,10.6,10.8,15720.0,20.0
05/15/2018,10.8,10.8,10.3,10.4,80737.0,45.0
05/16/2018,10.7,10.9,10.6,10.6,56171.0,93.0
05/17/2018,10.7,10.7,10.6,10.6,62910.0,38.0
05/20/2018,10.7,10.7,10.0,10.2,59844.0,31.0
05/21/2018,10.1,10.6,10.1,10.5,36457.0,35.0
05/22/2018,10.1,10.6,10.1,10.5,36457.0,0.0
05/23/2018,10.4,10.7,10.2,10.3,10267.0,13.0
05/24/2018,10.5,10.5,10.4,10.4,18706.0,19.0
05/27/2018,10.5,10.6,10.3,10.5,52763.0,57.0
05/28/2018,10.5,10.6,10.4,10.5,36332.0,31.0
05/29/2018,10.3,10.4,10.3,10.3,36236.0,42.0
05/30/2018,10.4,10.4,10.3,10.3,4279.0,11.0
05/31/2018,10.2,10.2,10.1,10.1,25704.0,20.0
06/03/2018,10.1,10.1,10.0,10.0,6819.0,31.0
06/04/2018,10.4,10.4,10.0,10.0,8045.0,30.0
06/05/2018,10.1,10.3,10.1,10.2,20479.0,21.0
06/06/2018,10.3,10.5,10.1,10.3,52847.0,51.0
06/07/2018,10.4,10.4,10.2,10.3,30947.0,27.0
06/10/2018,10.3,10.3,10.0,10.1,30484.0,28.0
06/11/2018,9.8,10.2,9.8,10.2,55146.0,90.0
06/12/2018,10.1,10.5,10.1,10.3,17836.0,16.0
06/18/2018,10.1,10.4,10.1,10.2,546.0,3.0
06/19/2018,10.4,10.5,10.3,10.4,15876.0,23.0
06/20/2018,10.4,10.5,10.3,10.5,19317.0,18.0
06/21/2018,10.5,10.5,10.1,10.5,65689.0,60.0
06/24/2018,10.5,10.9,10.4,10.7,88739.0,72.0
06/25/2018,10.7,10.7,10.3,10.5,124948.0,53.0
06/26/2018,10.6,10.7,10.3,10.3,34783.0,53.0
06/27/2018,10.5,10.7,10.4,10.6,46530.0,41.0
06/28/2018,10.5,10.5,10.3,10.3,51752.0,52.0
07/02/2018,10.3,10.4,10.1,10.2,37106.0,30.0
07/03/2018,10.5,11.0,10.3,10.3,11566.0,9.0
