date,open,high,low,close,volume,trade
01/01/2018,21.9,21.9,21.2,21.3,10381.0,14.0
01/02/2018,21.9,21.9,21.2,21.3,10381.0,12.0
01/03/2018,21.2,21.7,21.2,21.4,4455.0,11.0
01/04/2018,21.7,21.7,21.3,21.5,5246.0,18.0
01/07/2018,21.3,21.6,20.9,21.0,68764.0,85.0
01/08/2018,21.0,21.4,20.6,20.7,36900.0,74.0
01/09/2018,20.9,21.0,20.2,20.3,69440.0,85.0
01/10/2018,20.4,20.7,20.1,20.2,50616.0,45.0
01/11/2018,20.2,20.6,20.2,20.6,14407.0,35.0
01/14/2018,20.2,20.5,20.0,20.5,16726.0,39.0
01/15/2018,20.2,20.7,20.2,20.6,61107.0,116.0
01/16/2018,20.4,20.6,20.3,20.5,12374.0,20.0
01/17/2018,20.3,20.7,20.2,20.4,17740.0,20.0
01/18/2018,20.5,20.6,20.3,20.4,27283.0,36.0
01/21/2018,20.6,20.6,20.2,20.3,7240.0,11.0
01/22/2018,20.3,20.7,20.2,20.3,26885.0,30.0
01/23/2018,20.2,20.7,20.1,20.4,6230.0,19.0
01/24/2018,20.8,20.8,20.3,20.7,14558.0,18.0
01/25/2018,20.7,20.7,19.9,20.2,5750.0,16.0
01/28/2018,20.2,20.3,20.1,20.2,8793.0,11.0
01/29/2018,20.0,20.1,20.0,20.1,1660.0,6.0
01/30/2018,20.1,20.1,19.8,20.0,4195.0,17.0
01/31/2018,19.8,19.8,19.8,19.8,2995.0,5.0
02/01/2018,20.0,20.3,19.6,19.7,9611.0,25.0
02/04/2018,20.6,20.6,19.0,19.2,12451.0,42.0
02/05/2018,19.0,20.0,18.8,19.6,4892.0,12.0
02/06/2018,19.8,20.0,19.8,19.8,19200.0,32.0
02/07/2018,19.8,20.2,19.8,20.0,19655.0,31.0
02/08/2018,20.1,20.1,19.7,19.9,14300.0,4.0
02/11/2018,19.7,20.6,19.5,20.5,31849.0,31.0
02/12/2018,20.7,20.8,20.5,20.7,16345.0,11.0
02/13/2018,20.3,20.5,20.3,20.3,17346.0,28.0
02/14/2018,20.8,21.2,20.5,20.9,32002.0,59.0
02/15/2018,20.7,21.0,20.7,20.9,3025.0,8.0
02/18/2018,20.8,20.8,20.5,20.6,3460.0,8.0
02/19/2018,20.3,20.8,20.3,20.4,2930.0,8.0
02/20/2018,20.2,20.4,20.1,20.2,3460.0,8.0
02/22/2018,20.5,20.5,20.0,20.1,10805.0,19.0
02/25/2018,20.5,20.7,20.3,20.6,21339.0,33.0
02/26/2018,20.6,20.6,20.0,20.3,14520.0,19.0
02/27/2018,20.3,20.3,20.2,20.2,400.0,2.0
02/28/2018,20.2,20.5,20.2,20.3,4618.0,8.0
03/01/2018,20.4,21.8,20.4,20.8,32742.0,27.0
03/04/2018,20.5,22.0,20.5,21.2,72558.0,65.0
03/05/2018,21.7,21.7,21.0,21.1,24050.0,39.0
03/06/2018,21.0,21.0,21.0,21.0,1000.0,1.0
03/07/2018,20.8,21.6,20.5,20.6,2695.0,17.0
03/08/2018,21.0,21.0,21.0,21.0,4200.0,14.0
03/11/2018,20.5,20.8,20.5,20.7,5029.0,3.0
03/12/2018,20.7,20.7,19.8,20.2,35568.0,40.0
03/13/2018,20.0,20.6,19.8,20.0,17240.0,23.0
03/14/2018,20.4,20.7,20.0,20.6,6435.0,10.0
03/15/2018,20.4,20.5,20.0,20.5,16052.0,19.0
03/18/2018,20.5,20.8,20.5,20.6,1298.0,5.0
03/19/2018,20.2,20.2,20.1,20.1,3005.0,11.0
03/20/2018,20.0,20.5,20.0,20.1,17560.0,38.0
03/21/2018,20.0,21.5,20.0,20.8,41411.0,24.0
03/22/2018,20.1,20.4,20.1,20.3,7060.0,6.0
03/25/2018,20.1,20.5,19.9,20.0,6169.0,11.0
03/27/2018,20.6,20.6,20.0,20.0,7892.0,18.0
03/28/2018,19.6,20.7,19.6,19.7,15116.0,13.0
03/29/2018,20.6,20.7,20.1,20.6,930.0,5.0
04/01/2018,20.5,20.8,20.2,20.5,11640.0,31.0
04/02/2018,20.2,20.7,20.2,20.4,5210.0,19.0
04/03/2018,20.5,20.5,20.4,20.5,13702.0,18.0
04/04/2018,20.2,20.4,20.0,20.1,33971.0,26.0
04/05/2018,20.0,20.4,20.0,20.4,1519.0,8.0
04/08/2018,19.7,20.8,19.7,20.6,57067.0,67.0
04/09/2018,20.1,21.0,20.0,20.9,31473.0,30.0
04/10/2018,20.4,21.0,20.4,20.8,26927.0,33.0
04/11/2018,20.5,20.6,20.2,20.4,18703.0,27.0
04/12/2018,20.1,21.6,20.1,21.2,26721.0,37.0
04/15/2018,21.2,21.2,20.5,20.8,18513.0,25.0
04/16/2018,21.0,21.0,20.6,20.7,290.0,5.0
04/17/2018,20.9,21.0,20.6,20.9,11385.0,17.0
04/18/2018,20.7,20.7,20.5,20.6,9050.0,19.0
04/19/2018,20.4,20.6,20.4,20.5,5753.0,13.0
04/22/2018,20.5,20.5,20.2,20.5,2545.0,4.0
04/23/2018,20.7,20.7,20.5,20.7,252.0,3.0
04/24/2018,20.0,20.3,20.0,20.1,8975.0,10.0
04/25/2018,20.0,20.1,20.0,20.0,2000.0,5.0
04/26/2018,20.4,20.8,20.4,20.4,10051.0,4.0
04/30/2018,20.1,20.4,20.1,20.2,7084.0,17.0
05/03/2018,20.2,20.2,20.2,20.2,2000.0,7.0
05/06/2018,20.0,20.2,19.2,19.8,9041.0,23.0
05/07/2018,20.0,20.0,20.0,20.0,3465.0,9.0
05/08/2018,19.3,20.9,19.3,20.2,6956.0,12.0
05/09/2018,19.9,20.5,19.5,19.7,6280.0,7.0
05/10/2018,19.7,19.7,19.0,19.5,9235.0,16.0
05/13/2018,19.8,19.8,19.2,19.3,1171.0,6.0
05/14/2018,19.5,19.5,19.0,19.0,27175.0,31.0
05/15/2018,19.5,20.0,19.0,19.6,23005.0,16.0
05/16/2018,19.3,20.5,19.3,20.2,103250.0,69.0
05/17/2018,20.8,20.8,19.0,19.0,58035.0,94.0
05/20/2018,20.8,20.8,19.0,19.0,58035.0,0.0
05/21/2018,19.0,19.1,18.9,19.0,52030.0,112.0
05/22/2018,19.1,19.4,19.0,19.0,39386.0,42.0
05/23/2018,19.4,19.5,19.1,19.2,15657.0,33.0
05/24/2018,19.4,20.9,19.4,19.9,48830.0,54.0
05/27/2018,19.6,20.4,19.6,20.2,16442.0,22.0
05/28/2018,20.3,20.5,19.9,20.1,10641.0,29.0
05/29/2018,19.7,19.7,19.5,19.6,1900.0,2.0
05/30/2018,19.5,19.5,19.3,19.5,14257.0,13.0
05/31/2018,19.0,19.5,19.0,19.2,10025.0,17.0
06/03/2018,19.2,19.8,19.0,19.1,14205.0,32.0
06/04/2018,19.0,19.2,18.6,19.0,13402.0,34.0
06/05/2018,19.0,19.1,18.8,19.0,9527.0,16.0
06/06/2018,18.9,19.3,18.9,19.1,16575.0,25.0
06/07/2018,19.1,19.3,19.1,19.2,8645.0,20.0
06/10/2018,19.6,20.1,19.1,19.2,11901.0,28.0
06/11/2018,19.5,19.5,18.7,18.9,52366.0,48.0
06/12/2018,19.0,20.3,19.0,19.4,24846.0,63.0
06/18/2018,19.9,20.0,19.8,19.9,29107.0,23.0
06/19/2018,19.9,20.0,19.8,19.9,29107.0,0.0
06/20/2018,18.1,18.9,18.1,18.9,32188.0,71.0
06/21/2018,18.6,19.2,18.6,18.9,11746.0,25.0
06/24/2018,18.9,18.9,18.9,18.9,828.0,7.0
06/25/2018,19.7,19.7,19.0,19.0,9400.0,24.0
06/26/2018,18.6,19.0,18.6,19.0,5220.0,9.0
06/27/2018,18.9,18.9,18.7,18.9,9699.0,21.0
06/28/2018,18.9,19.0,18.9,18.9,4428.0,13.0
07/02/2018,18.7,18.7,18.7,18.7,10.0,1.0
07/03/2018,19.8,19.8,18.3,18.8,3906.0,13.0
07/04/2018,18.2,18.4,18.1,18.2,2015.0,12.0
07/05/2018,19.9,20.0,19.0,19.8,20250.0,27.0
07/08/2018,18.8,18.8,18.0,18.7,15831.0,24.0
07/09/2018,18.2,18.6,18.2,18.3,2915.0,7.0
07/10/2018,18.4,19.4,18.4,18.9,5310.0,18.0
07/11/2018,19.8,19.8,19.0,19.2,5135.0,27.0
07/12/2018,18.8,19.8,18.4,18.9,2199.0,17.0
07/15/2018,18.0,19.4,18.0,18.3,2635.0,13.0
07/16/2018,18.6,19.3,18.4,18.7,4580.0,17.0
07/17/2018,18.2,18.4,18.1,18.3,1317.0,12.0
07/18/2018,19.2,19.2,18.2,18.4,3026.0,14.0
07/19/2018,18.0,18.2,18.0,18.1,2929.0,8.0
07/22/2018,18.2,18.2,17.5,17.8,17190.0,37.0
07/23/2018,17.6,18.6,17.6,18.1,980.0,10.0
07/24/2018,17.7,17.9,17.7,17.7,2818.0,14.0
07/25/2018,17.7,18.0,17.0,17.1,70180.0,88.0
07/26/2018,17.2,17.5,16.5,16.7,63463.0,78.0
07/29/2018,16.7,17.0,16.7,16.9,8781.0,5.0
07/30/2018,16.5,16.9,16.2,16.8,2849.0,
07/31/2018,16.8,17.2,16.8,17.1,2429.0,16.0
08/01/2018,17.1,17.4,17.1,17.2,8331.0,26.0
08/02/2018,17.5,18.0,17.5,17.9,19708.0,32.0
08/05/2018,17.5,19.4,17.5,18.6,37628.0,40.0
