date,open,high,low,close,volume,trade
01/01/2018,71.9,73.2,71.9,73.0,167496.0,186.0
01/02/2018,73.9,75.2,73.3,73.6,209276.0,232.0
01/03/2018,73.5,73.8,71.2,71.3,32800.0,83.0
01/04/2018,71.4,72.5,71.0,71.2,15598.0,59.0
01/07/2018,71.1,72.3,69.7,70.7,10840.0,31.0
01/08/2018,71.1,71.1,69.5,70.1,10796.0,40.0
01/09/2018,69.6,69.6,69.5,69.6,230.0,2.0
01/10/2018,69.8,69.8,67.0,68.9,11360.0,31.0
01/11/2018,68.5,70.5,68.5,68.7,13890.0,21.0
01/14/2018,69.0,69.0,67.0,68.5,19159.0,34.0
01/15/2018,69.5,72.0,69.5,71.1,138247.0,131.0
01/16/2018,71.1,73.1,71.1,73.0,262039.0,216.0
01/17/2018,72.9,74.3,71.5,73.5,275716.0,223.0
01/18/2018,73.0,75.0,73.0,74.3,466095.0,293.0
01/21/2018,73.0,76.4,73.0,75.5,473259.0,322.0
01/22/2018,76.4,76.5,74.5,75.9,370787.0,260.0
01/23/2018,74.1,76.5,73.0,76.3,84088.0,115.0
01/24/2018,76.5,77.0,75.5,76.0,118585.0,165.0
01/25/2018,76.0,78.7,76.0,78.2,406990.0,320.0
01/28/2018,77.2,78.5,77.1,77.7,304704.0,209.0
01/29/2018,77.7,78.5,76.2,78.1,583697.0,306.0
01/30/2018,76.0,80.0,76.0,79.5,828203.0,440.0
01/31/2018,80.0,80.3,78.6,79.1,201218.0,223.0
02/01/2018,79.8,80.6,79.5,80.0,617025.0,365.0
02/04/2018,80.0,80.4,78.1,79.7,307561.0,223.0
02/05/2018,77.0,80.2,77.0,80.1,378321.0,205.0
02/06/2018,79.5,81.4,79.5,81.1,118528.0,130.0
02/07/2018,81.9,83.8,80.3,82.7,354257.0,475.0
02/08/2018,81.9,83.5,81.9,83.2,117661.0,176.0
02/11/2018,83.5,83.5,82.2,82.9,89021.0,104.0
02/12/2018,81.0,83.0,81.0,82.6,359151.0,175.0
02/13/2018,81.6,84.0,81.5,82.6,385218.0,251.0
02/14/2018,82.6,82.6,80.6,81.7,74917.0,141.0
02/15/2018,81.0,81.5,80.0,80.3,370823.0,329.0
02/18/2018,80.0,80.0,79.0,80.0,78515.0,77.0
02/19/2018,79.0,81.0,79.0,80.3,222546.0,224.0
02/20/2018,80.5,81.0,79.7,80.5,132403.0,163.0
02/22/2018,80.4,81.7,80.4,81.0,65470.0,57.0
02/25/2018,80.1,83.5,80.1,82.4,191888.0,205.0
02/26/2018,83.5,84.6,81.3,84.1,396244.0,381.0
02/27/2018,84.0,86.6,84.0,85.1,304895.0,391.0
02/28/2018,85.2,86.4,85.2,85.9,117794.0,245.0
03/01/2018,86.0,87.3,85.6,86.9,243533.0,397.0
03/04/2018,87.8,91.0,87.8,88.7,204153.0,300.0
03/05/2018,88.1,90.4,87.1,88.2,101472.0,238.0
03/06/2018,88.7,88.7,86.4,87.8,100299.0,189.0
03/07/2018,87.0,88.7,86.8,88.2,51698.0,129.0
03/08/2018,88.6,88.6,86.6,87.1,59105.0,122.0
03/11/2018,87.1,87.9,86.5,87.0,46577.0,99.0
03/12/2018,86.2,87.0,85.1,85.7,105705.0,167.0
03/13/2018,85.2,85.2,82.1,82.6,74569.0,94.0
