date,open,high,low,close,volume,trade
01/01/2018,52.6,52.9,51.7,52.4,84580.0,140.0
01/02/2018,52.1,52.7,52.0,52.4,10290.0,165.0
01/03/2018,52.7,53.5,52.7,53.2,110518.0,159.0
01/04/2018,53.6,55.3,53.6,54.8,1031701.0,827.0
01/07/2018,55.2,55.5,54.1,54.2,237737.0,260.0
01/08/2018,54.3,54.5,52.6,52.9,510777.0,457.0
01/09/2018,53.3,53.8,53.0,53.3,209940.0,249.0
01/10/2018,53.7,54.1,53.3,53.6,224231.0,250.0
01/11/2018,53.9,53.9,53.0,53.0,108328.0,108.0
01/14/2018,53.1,53.1,52.9,53.1,101710.0,115.0
01/15/2018,53.0,53.7,52.7,53.1,85292.0,100.0
01/16/2018,53.1,53.5,52.4,52.7,262643.0,242.0
01/17/2018,53.5,53.5,52.3,52.4,114122.0,151.0
01/18/2018,52.0,52.8,52.0,52.2,203594.0,138.0
01/21/2018,52.3,53.4,52.2,53.1,103766.0,154.0
01/22/2018,53.1,53.6,53.1,53.4,277843.0,218.0
01/23/2018,53.6,54.0,53.5,53.8,189910.0,171.0
01/24/2018,54.0,54.3,53.4,53.7,193550.0,214.0
01/25/2018,53.2,53.9,52.3,52.7,108357.0,176.0
01/28/2018,52.7,53.2,51.9,52.1,119805.0,158.0
01/29/2018,53.1,53.1,52.4,52.7,102505.0,146.0
01/30/2018,52.7,52.9,52.0,52.5,308391.0,261.0
01/31/2018,52.1,52.8,51.8,51.9,92147.0,164.0
02/01/2018,52.1,52.3,51.6,51.7,71678.0,117.0
02/04/2018,51.7,51.8,50.5,50.7,73729.0,114.0
02/05/2018,51.9,51.9,50.4,50.9,192887.0,153.0
02/06/2018,51.7,51.7,50.7,51.2,105125.0,135.0
02/07/2018,51.1,52.0,50.7,51.4,156134.0,168.0
02/08/2018,51.4,51.4,51.0,51.2,69950.0,75.0
02/11/2018,51.2,51.8,51.1,51.8,108157.0,134.0
02/12/2018,51.9,52.4,51.7,52.3,228270.0,268.0
02/13/2018,52.4,52.5,51.6,51.7,245638.0,337.0
02/14/2018,51.7,51.9,51.4,51.5,147246.0,205.0
02/15/2018,51.5,51.8,50.8,51.0,229984.0,239.0
02/18/2018,51.0,51.1,50.7,50.8,69721.0,114.0
02/19/2018,51.0,51.9,50.3,50.4,112960.0,135.0
02/20/2018,51.4,51.4,50.0,50.5,55283.0,98.0
02/22/2018,50.3,51.1,50.3,50.5,33050.0,48.0
02/25/2018,50.5,50.8,50.0,50.0,131506.0,132.0
02/26/2018,50.6,50.6,49.8,49.9,9335.0,36.0
02/27/2018,50.4,50.9,49.8,49.8,45091.0,70.0
02/28/2018,49.8,50.4,49.7,49.8,53017.0,75.0
03/01/2018,49.8,50.3,49.8,50.0,13308.0,17.0
03/04/2018,50.0,51.3,49.9,50.9,82697.0,92.0
03/05/2018,50.8,51.2,50.2,50.2,22084.0,45.0
03/06/2018,50.0,50.3,49.8,50.0,54951.0,87.0
03/07/2018,50.4,50.4,49.8,50.0,39260.0,73.0
03/08/2018,49.9,49.9,49.6,49.8,25319.0,55.0
03/11/2018,50.0,50.0,49.2,49.4,24411.0,58.0
03/12/2018,49.5,49.5,48.7,48.8,35761.0,73.0
03/13/2018,48.6,49.0,48.1,48.2,38371.0,61.0
03/14/2018,48.1,48.4,48.1,48.3,12071.0,27.0
03/15/2018,48.3,48.8,48.3,48.7,16929.0,27.0
03/18/2018,48.4,48.5,47.7,47.9,31045.0,63.0
03/19/2018,47.5,48.2,47.3,47.6,23478.0,70.0
03/20/2018,47.6,47.6,47.3,47.5,18528.0,56.0
03/21/2018,47.3,47.7,46.9,46.9,32002.0,81.0
03/22/2018,46.6,51.0,46.1,47.7,82675.0,145.0
03/25/2018,48.2,48.2,47.0,47.5,6550.0,27.0
03/27/2018,47.0,47.9,46.9,47.0,17425.0,53.0
03/28/2018,47.7,48.0,47.1,47.9,103407.0,120.0
03/29/2018,47.7,48.2,47.5,48.0,120306.0,133.0
04/01/2018,48.9,49.9,48.7,49.7,144250.0,134.0
04/02/2018,50.3,51.8,49.5,51.4,259409.0,211.0
