date,open,high,low,close,volume,trade
01/01/2018,28.8,28.8,27.8,28.0,52025.0,59.0
01/02/2018,28.0,28.0,27.9,27.9,9555.0,116.0
01/03/2018,27.7,28.1,27.7,28.1,30193.0,39.0
01/04/2018,29.2,29.2,27.3,27.7,40916.0,61.0
01/07/2018,28.3,28.3,27.6,28.0,21409.0,43.0
01/08/2018,27.6,28.6,27.6,27.8,50412.0,62.0
01/09/2018,28.4,28.4,27.7,27.8,9874.0,23.0
01/10/2018,28.1,28.1,27.4,27.4,31615.0,45.0
01/11/2018,26.9,27.8,26.2,26.7,95218.0,86.0
01/14/2018,26.8,27.0,26.5,26.6,37168.0,61.0
01/15/2018,26.6,26.7,25.9,26.1,42910.0,74.0
01/16/2018,28.1,28.1,26.0,27.1,8914.0,23.0
01/17/2018,27.2,27.2,26.6,26.9,12993.0,28.0
01/18/2018,26.9,26.9,26.6,26.7,2651.0,10.0
01/21/2018,26.7,26.7,26.0,26.2,23725.0,33.0
01/22/2018,26.6,27.6,26.6,26.9,4819.0,15.0
01/23/2018,26.6,27.0,26.6,26.8,14763.0,21.0
01/24/2018,26.9,26.9,26.5,26.8,26883.0,17.0
01/25/2018,26.6,27.0,26.6,27.0,1477.0,3.0
01/28/2018,25.9,26.8,25.9,26.7,1361.0,6.0
01/29/2018,26.1,27.0,26.1,26.7,8067.0,17.0
01/30/2018,27.7,27.7,26.7,27.0,17531.0,30.0
01/31/2018,26.6,27.2,25.2,26.4,4142.0,8.0
02/01/2018,26.4,27.0,26.4,26.5,12846.0,16.0
02/04/2018,26.2,26.2,25.7,25.9,1307.0,6.0
02/05/2018,25.4,26.8,25.3,25.4,5746.0,17.0
02/06/2018,25.7,27.0,24.8,27.0,11218.0,34.0
02/07/2018,26.7,26.9,26.5,26.7,1470.0,14.0
02/08/2018,27.0,27.1,27.0,27.1,12369.0,5.0
02/11/2018,26.9,27.6,26.9,27.4,20685.0,22.0
02/12/2018,27.1,27.2,27.1,27.1,5354.0,7.0
02/13/2018,27.3,27.3,27.0,27.0,1627.0,6.0
02/14/2018,26.9,27.2,26.9,27.0,8459.0,17.0
02/15/2018,25.9,27.1,25.7,26.3,26697.0,47.0
02/18/2018,26.6,26.6,26.4,26.6,7305.0,8.0
02/19/2018,27.0,27.0,26.2,26.6,7822.0,28.0
02/20/2018,26.3,27.0,26.3,26.8,8992.0,19.0
02/22/2018,26.3,27.0,26.3,26.6,107.0,3.0
02/25/2018,26.0,26.9,25.4,25.9,6310.0,30.0
02/26/2018,26.0,26.9,25.0,25.7,8249.0,23.0
02/27/2018,26.9,26.9,26.9,26.9,105.0,2.0
02/28/2018,26.0,26.9,26.0,26.5,6881.0,14.0
03/01/2018,26.7,27.0,26.4,26.7,21451.0,20.0
03/04/2018,26.7,27.0,26.7,26.9,262.0,2.0
03/05/2018,27.3,27.3,25.8,26.3,3764.0,16.0
03/06/2018,27.0,27.1,26.5,27.0,3266.0,19.0
03/07/2018,26.7,26.7,26.3,26.5,4071.0,12.0
03/08/2018,26.3,26.6,25.9,26.1,10976.0,29.0
03/11/2018,26.8,26.9,26.8,26.8,126.0,2.0
03/12/2018,26.5,26.7,26.0,26.4,4463.0,14.0
03/13/2018,26.2,26.6,25.5,25.9,11565.0,19.0
03/14/2018,26.6,26.6,25.2,25.2,23002.0,34.0
03/15/2018,25.1,26.2,25.0,25.2,157075.0,85.0
03/18/2018,24.9,25.9,24.8,24.9,63202.0,108.0
03/19/2018,24.8,25.2,24.2,24.8,21740.0,42.0
03/20/2018,24.5,25.0,24.5,25.0,48799.0,62.0
03/21/2018,25.0,25.0,24.7,25.0,19110.0,29.0
03/22/2018,25.0,25.2,24.2,24.9,32956.0,37.0
03/25/2018,25.0,25.2,23.8,24.2,17829.0,51.0
03/27/2018,24.8,24.8,24.1,24.2,9093.0,13.0
03/28/2018,25.1,25.1,24.0,24.2,4401.0,19.0
03/29/2018,24.1,24.6,24.0,24.3,15153.0,32.0
04/01/2018,25.6,25.6,25.0,25.0,12736.0,17.0
04/02/2018,25.0,25.5,24.8,25.2,7074.0,35.0
04/03/2018,25.2,25.3,24.8,25.3,30027.0,79.0
04/04/2018,25.6,25.6,24.8,25.4,3493.0,36.0
04/05/2018,24.8,25.7,24.5,25.6,18777.0,55.0
04/08/2018,25.2,25.6,24.3,25.1,42899.0,61.0
04/09/2018,24.5,25.4,24.5,25.0,5427.0,14.0
04/10/2018,25.3,25.3,24.7,25.0,56201.0,107.0
04/11/2018,25.2,25.4,24.6,24.7,120191.0,123.0
04/12/2018,24.6,24.9,22.8,23.9,360989.0,540.0
04/15/2018,24.9,24.9,23.6,23.7,13827.0,72.0
04/16/2018,23.5,24.0,23.1,23.3,57100.0,161.0
04/17/2018,23.6,23.7,23.4,23.5,37975.0,81.0
04/18/2018,23.6,23.6,23.2,23.3,35233.0,77.0
04/19/2018,23.4,23.6,23.3,23.4,30565.0,64.0
04/22/2018,23.7,23.7,23.0,23.1,21416.0,69.0
04/23/2018,23.4,23.4,23.0,23.3,29214.0,73.0
04/24/2018,23.0,23.4,23.0,23.0,9909.0,48.0
04/25/2018,23.4,23.4,23.1,23.2,9985.0,27.0
04/26/2018,23.3,23.7,23.3,23.4,18454.0,43.0
04/30/2018,23.7,24.5,23.4,24.0,74878.0,107.0
05/03/2018,24.3,24.7,23.7,23.8,115593.0,100.0
05/06/2018,24.6,24.6,23.8,23.9,12905.0,33.0
05/07/2018,24.4,24.4,23.7,23.7,37662.0,70.0
05/08/2018,23.9,23.9,23.6,23.7,9334.0,29.0
05/09/2018,24.5,24.6,23.7,23.9,45364.0,73.0
05/10/2018,23.9,24.0,23.3,23.5,77322.0,67.0
05/13/2018,24.3,24.3,23.4,23.6,9817.0,8.0
05/14/2018,24.2,24.2,23.6,23.7,72764.0,95.0
05/15/2018,24.7,24.7,23.7,23.8,28210.0,43.0
05/16/2018,24.4,24.4,23.8,24.1,36918.0,76.0
05/17/2018,23.8,24.3,23.6,23.7,27245.0,40.0
05/20/2018,24.2,24.2,23.3,23.5,18930.0,58.0
05/21/2018,23.5,24.0,23.5,23.8,32198.0,30.0
05/22/2018,24.7,24.7,23.3,23.7,40456.0,30.0
05/23/2018,23.8,24.3,23.1,23.3,32721.0,34.0
05/24/2018,23.6,23.9,23.4,23.5,70578.0,49.0
05/27/2018,24.3,24.3,23.7,24.3,14672.0,50.0
05/28/2018,24.1,24.1,23.7,23.8,72670.0,45.0
05/29/2018,24.3,24.3,23.4,23.5,38587.0,43.0
05/30/2018,24.2,24.3,23.6,24.0,19660.0,46.0
05/31/2018,24.0,24.0,23.6,23.7,33468.0,34.0
06/03/2018,23.7,24.2,23.6,23.9,67193.0,97.0
06/04/2018,23.8,23.9,23.5,23.6,65577.0,66.0
06/05/2018,23.8,24.0,23.5,23.6,63506.0,93.0
06/06/2018,23.8,24.0,23.5,23.6,63506.0,0.0
06/07/2018,22.5,23.5,22.3,22.6,24900.0,63.0
06/10/2018,22.9,22.9,22.1,22.5,68357.0,68.0
06/11/2018,22.7,22.7,22.3,22.4,31955.0,27.0
06/12/2018,23.4,23.4,22.1,22.8,26098.0,41.0
06/18/2018,22.7,22.7,22.4,22.5,9475.0,15.0
06/19/2018,22.9,22.9,22.4,22.5,2978.0,14.0
06/20/2018,23.0,23.0,22.1,22.7,12918.0,41.0
06/21/2018,23.0,23.0,22.7,23.0,17858.0,47.0
06/24/2018,23.0,23.1,22.5,23.0,12406.0,28.0
06/25/2018,23.0,23.3,22.6,22.9,19370.0,43.0
06/26/2018,23.2,23.3,22.7,23.1,42171.0,89.0
06/27/2018,23.2,23.5,23.0,23.5,42673.0,86.0
06/28/2018,22.9,23.0,22.2,22.4,12620.0,25.0
07/02/2018,23.0,23.0,21.8,22.1,25639.0,65.0
07/03/2018,23.5,23.5,22.5,22.6,2756.0,22.0
07/04/2018,23.0,23.0,21.4,21.6,38852.0,108.0
07/05/2018,22.4,22.9,21.9,22.5,13579.0,31.0
07/08/2018,22.2,22.7,22.0,22.3,24755.0,23.0
07/09/2018,22.4,22.6,22.0,22.2,18831.0,29.0
07/10/2018,22.6,22.7,22.0,22.2,17507.0,43.0
07/11/2018,22.2,23.0,22.1,22.5,30779.0,67.0
07/12/2018,22.5,22.8,22.0,22.1,15074.0,42.0
07/15/2018,22.1,22.1,21.9,22.0,32533.0,76.0
07/16/2018,21.7,22.6,21.7,22.2,82287.0,127.0
07/17/2018,21.2,22.5,21.2,22.2,7437.0,39.0
07/18/2018,22.1,22.2,21.1,21.9,27542.0,65.0
07/19/2018,22.9,22.9,21.8,22.0,25345.0,40.0
07/22/2018,22.3,22.3,21.7,21.8,12421.0,36.0
07/23/2018,22.0,22.2,21.7,21.8,40910.0,56.0
07/24/2018,22.3,22.3,21.8,22.0,17656.0,20.0
07/25/2018,22.7,22.7,21.9,22.1,36501.0,59.0
07/26/2018,22.1,22.5,21.6,21.8,16535.0,34.0
07/29/2018,22.3,23.0,22.3,22.6,60417.0,90.0
07/30/2018,22.1,23.0,22.1,22.4,37692.0,
07/31/2018,22.8,22.8,22.5,22.6,35645.0,60.0
08/01/2018,22.9,23.7,22.6,23.5,111772.0,162.0
08/02/2018,23.9,24.5,23.6,24.0,58039.0,97.0
08/05/2018,24.8,25.4,24.3,24.7,146231.0,161.0
08/06/2018,25.3,25.3,24.3,24.6,21496.0,49.0
08/07/2018,24.6,24.7,23.6,23.8,52148.0,76.0
08/08/2018,25.0,25.0,23.8,24.1,24413.0,61.0
08/09/2018,25.0,25.0,23.7,23.9,19468.0,39.0
08/12/2018,24.1,24.1,23.3,23.5,18955.0,45.0
08/13/2018,23.7,24.5,23.5,23.9,49220.0,73.0
08/14/2018,24.0,24.5,23.8,24.0,59581.0,88.0
08/16/2018,24.5,25.4,24.5,25.0,90234.0,166.0
08/19/2018,25.2,25.5,25.0,25.2,156126.0,135.0
08/20/2018,25.2,25.4,24.5,24.9,56447.0,97.0
08/26/2018,24.6,24.9,24.5,24.7,7938.0,26.0
08/27/2018,24.4,24.4,24.0,24.2,61068.0,105.0
08/28/2018,24.4,24.4,24.0,24.0,45340.0,68.0
08/29/2018,24.2,24.6,23.9,24.1,39573.0,72.0
08/30/2018,24.2,24.2,23.7,23.9,37607.0,60.0
09/03/2018,24.4,24.4,23.6,23.8,53885.0,66.0
09/04/2018,23.8,24.0,23.4,23.5,38818.0,41.0
09/05/2018,23.3,24.3,23.2,23.6,25324.0,66.0
09/06/2018,23.4,24.0,23.4,23.4,24806.0,30.0
09/09/2018,24.0,24.0,23.4,23.7,8588.0,21.0
09/10/2018,23.8,24.0,23.4,23.6,44893.0,78.0
09/11/2018,24.0,24.0,23.6,23.6,6003.0,13.0
09/12/2018,23.9,23.9,23.5,23.6,10423.0,17.0
09/13/2018,24.0,24.0,23.0,23.4,14882.0,23.0
09/16/2018,23.9,23.9,23.2,23.3,13816.0,29.0
09/17/2018,24.0,25.3,22.9,23.0,92469.0,99.0
09/18/2018,23.2,23.5,22.7,23.0,187252.0,145.0
09/19/2018,23.1,24.4,23.1,23.9,323173.0,282.0
09/20/2018,23.7,23.7,23.0,23.1,72068.0,65.0
