date,open,high,low,close,volume,trade
01/01/2018,84.3,84.6,83.2,83.7,30682.0,109.0
01/02/2018,85.0,85.0,83.9,83.9,368.0,73.0
01/03/2018,84.9,85.3,83.7,84.3,68269.0,148.0
01/04/2018,85.6,85.6,83.9,84.0,32787.0,67.0
01/07/2018,85.8,85.8,82.3,82.6,29454.0,81.0
01/08/2018,82.5,83.2,81.7,82.1,11947.0,49.0
01/09/2018,82.2,83.5,82.0,82.2,8512.0,65.0
01/10/2018,83.5,83.5,82.1,82.3,3881.0,24.0
01/11/2018,82.4,82.6,81.4,82.0,28189.0,144.0
01/14/2018,82.0,82.3,81.7,82.0,6134.0,30.0
01/15/2018,82.0,82.8,80.8,82.3,18053.0,74.0
01/16/2018,82.4,83.2,82.0,82.9,8575.0,39.0
01/17/2018,83.2,83.2,81.0,81.9,20489.0,76.0
01/18/2018,82.3,82.3,79.6,81.0,6557.0,45.0
01/21/2018,82.9,82.9,79.9,80.3,11226.0,60.0
01/22/2018,82.7,82.7,80.2,80.3,8628.0,49.0
01/23/2018,81.2,81.2,79.4,80.2,10137.0,56.0
01/24/2018,81.6,81.7,79.8,80.1,5405.0,30.0
01/25/2018,80.5,82.2,80.5,82.1,36925.0,105.0
01/28/2018,79.4,82.3,79.4,79.4,33353.0,16.0
01/29/2018,81.1,81.1,78.3,79.1,12029.0,38.0
01/30/2018,80.5,81.1,79.8,81.0,14662.0,74.0
01/31/2018,78.5,80.8,77.6,78.8,5053.0,38.0
02/01/2018,79.3,80.5,78.4,78.8,9210.0,55.0
02/04/2018,77.6,78.5,74.6,75.5,6712.0,30.0
02/05/2018,76.8,78.2,75.1,76.7,2259.0,20.0
02/06/2018,78.3,79.1,76.8,77.9,26028.0,87.0
02/07/2018,78.7,81.7,78.5,80.2,19215.0,54.0
02/08/2018,81.9,81.9,79.5,80.3,4252.0,11.0
02/11/2018,80.4,80.4,76.4,78.8,19461.0,67.0
02/12/2018,80.5,80.9,79.4,80.2,18846.0,45.0
02/13/2018,80.5,83.3,80.5,82.1,60130.0,121.0
02/14/2018,82.0,82.9,80.5,81.4,96212.0,121.0
02/15/2018,82.7,82.7,79.9,80.6,8672.0,20.0
02/18/2018,81.3,81.3,78.7,79.1,3662.0,21.0
02/19/2018,79.8,79.8,77.6,78.5,19393.0,33.0
02/20/2018,79.1,80.4,78.3,78.5,20678.0,40.0
02/22/2018,78.4,79.8,77.3,78.3,6738.0,40.0
02/25/2018,79.8,79.8,74.9,76.1,7745.0,44.0
02/26/2018,77.8,77.8,75.4,76.0,15750.0,77.0
02/27/2018,76.7,78.3,75.5,76.4,9721.0,50.0
02/28/2018,77.2,77.2,75.4,75.5,20978.0,91.0
03/01/2018,76.8,81.1,76.4,77.4,68690.0,150.0
03/04/2018,77.4,79.6,76.8,78.6,31991.0,85.0
03/05/2018,78.8,79.0,77.4,78.5,36964.0,204.0
03/06/2018,79.1,79.1,77.6,78.1,33572.0,128.0
03/07/2018,77.9,78.8,77.2,77.9,16687.0,84.0
03/08/2018,76.9,78.5,76.5,76.8,15347.0,74.0
03/11/2018,77.6,77.6,75.5,75.6,11242.0,59.0
03/12/2018,75.5,76.1,74.9,75.0,9802.0,28.0
03/13/2018,74.9,75.6,73.8,74.6,15891.0,60.0
03/14/2018,76.4,76.4,74.4,74.7,5061.0,39.0
03/15/2018,75.3,76.7,74.6,75.2,5745.0,33.0
03/18/2018,74.9,76.4,74.4,74.7,9889.0,49.0
03/19/2018,75.5,75.5,73.1,73.5,12444.0,80.0
03/20/2018,74.6,74.6,72.6,73.5,9126.0,54.0
03/21/2018,74.6,75.3,73.4,74.3,11282.0,84.0
03/22/2018,74.4,75.1,72.7,74.4,15640.0,91.0
03/25/2018,76.1,76.1,73.8,74.9,6723.0,44.0
03/27/2018,75.3,76.2,72.5,75.4,40186.0,121.0
03/28/2018,76.1,77.3,76.1,76.7,18948.0,52.0
03/29/2018,76.8,78.1,74.9,77.8,21931.0,107.0
04/01/2018,77.9,78.9,77.6,78.0,17029.0,75.0
04/02/2018,78.3,79.4,77.6,77.8,8557.0,33.0
04/03/2018,77.2,79.3,76.1,77.6,15688.0,65.0
04/04/2018,78.3,80.9,77.6,78.1,106661.0,226.0
04/05/2018,78.5,82.0,78.5,79.4,68285.0,200.0
04/08/2018,80.5,80.5,78.1,78.9,85196.0,210.0
04/09/2018,80.5,80.5,76.8,77.3,43985.0,139.0
04/10/2018,78.3,78.3,76.1,76.4,33403.0,93.0
04/11/2018,79.0,81.2,77.2,78.7,58322.0,226.0
04/12/2018,79.6,83.5,79.6,83.0,167642.0,485.0
04/15/2018,84.6,88.0,81.4,82.7,287470.0,575.0
04/16/2018,83.5,86.4,82.0,82.9,288066.0,588.0
04/17/2018,86.0,88.4,84.1,85.7,156311.0,391.0
04/18/2018,86.5,86.5,83.5,84.0,48064.0,173.0
04/19/2018,85.6,85.6,82.0,82.4,67672.0,263.0
04/22/2018,81.3,83.5,79.8,80.0,24207.0,94.0
04/23/2018,82.0,83.5,80.2,82.9,31949.0,156.0
04/24/2018,83.5,83.5,80.8,81.4,19220.0,92.0
04/25/2018,82.3,82.9,80.3,80.6,40362.0,152.0
04/26/2018,81.2,81.2,79.9,79.9,40320.0,132.0
04/30/2018,82.0,82.0,77.6,78.2,40271.0,114.0
05/03/2018,78.2,82.8,78.2,79.0,21053.0,102.0
05/06/2018,79.6,80.8,79.1,79.9,11766.0,31.0
05/07/2018,79.1,80.4,78.3,78.4,28897.0,85.0
05/08/2018,78.3,79.8,76.8,77.1,18289.0,37.0
05/09/2018,77.1,77.6,76.1,76.4,28325.0,98.0
05/10/2018,77.6,77.6,74.6,75.2,21273.0,93.0
05/13/2018,77.4,77.4,73.8,74.7,18123.0,82.0
05/14/2018,75.2,77.4,74.6,74.9,10021.0,48.0
05/15/2018,76.7,76.7,74.7,75.2,6369.0,25.0
05/16/2018,75.7,76.4,74.6,74.8,26618.0,133.0
05/17/2018,74.7,74.7,71.6,71.7,28903.0,114.0
05/20/2018,72.0,74.5,72.0,72.4,9283.0,65.0
05/21/2018,75.0,75.2,72.3,72.6,11987.0,55.0
05/22/2018,72.6,74.4,71.7,72.1,22320.0,98.0
05/23/2018,73.6,73.6,71.0,71.2,10599.0,36.0
05/24/2018,73.8,73.8,70.5,71.1,26548.0,79.0
05/27/2018,71.5,72.7,69.9,71.1,22352.0,79.0
05/28/2018,71.6,72.6,69.7,71.1,5183.0,31.0
05/29/2018,71.6,72.6,71.1,71.4,10291.0,51.0
05/30/2018,71.6,72.3,70.8,71.0,12591.0,46.0
05/31/2018,69.6,72.3,69.4,69.7,17368.0,89.0
06/03/2018,70.1,70.1,67.9,67.9,6047.0,30.0
06/04/2018,70.1,70.8,68.6,70.1,7200.0,69.0
06/05/2018,71.5,71.5,70.1,70.9,11842.0,70.0
06/06/2018,70.1,72.6,70.1,72.0,12613.0,77.0
06/07/2018,71.7,72.6,70.2,71.4,2130.0,26.0
06/10/2018,71.4,71.4,69.4,70.3,11609.0,45.0
06/11/2018,70.3,72.9,70.3,72.6,24240.0,74.0
06/12/2018,72.7,77.6,72.7,75.5,75376.0,320.0
06/18/2018,77.3,77.3,74.1,75.1,1395.0,12.0
06/19/2018,74.9,74.9,71.4,71.9,46943.0,170.0
06/20/2018,74.5,74.5,72.3,73.2,10503.0,57.0
06/21/2018,73.6,74.6,71.7,73.9,44969.0,120.0
06/24/2018,72.5,75.2,72.0,72.4,14194.0,82.0
06/25/2018,72.3,73.5,70.1,71.1,39115.0,112.0
06/26/2018,72.3,72.3,70.9,71.4,26277.0,103.0
06/27/2018,70.8,73.4,70.4,71.1,18157.0,123.0
06/28/2018,71.0,72.9,70.0,70.1,10821.0,48.0
07/02/2018,69.4,72.3,69.4,70.3,20621.0,65.0
07/03/2018,69.9,72.3,67.9,70.0,13539.0,50.0
07/04/2018,71.5,71.5,69.4,70.1,27515.0,103.0
07/05/2018,71.6,73.0,70.8,72.3,9670.0,49.0
07/08/2018,72.7,74.6,67.9,70.0,43128.0,132.0
07/09/2018,70.8,71.9,69.4,70.2,16985.0,61.0
07/10/2018,71.6,71.6,69.7,69.9,13020.0,57.0
07/11/2018,71.6,71.6,69.1,69.4,16569.0,57.0
07/12/2018,69.3,70.1,69.1,69.3,22206.0,62.0
07/15/2018,69.0,70.0,66.4,67.5,27748.0,91.0
07/16/2018,70.1,73.0,69.5,71.6,38469.0,178.0
07/17/2018,73.1,74.2,71.6,72.6,49744.0,205.0
07/18/2018,73.1,78.3,72.6,77.5,111849.0,330.0
07/19/2018,79.0,79.0,74.6,76.2,27054.0,95.0
07/22/2018,77.6,79.7,76.1,78.3,63812.0,216.0
07/23/2018,79.0,79.0,73.8,75.4,16896.0,80.0
07/24/2018,78.2,78.2,74.6,77.5,39729.0,120.0
07/25/2018,78.2,78.9,73.9,74.8,36770.0,155.0
07/26/2018,76.8,77.6,74.7,75.5,37437.0,143.0
