date,open,high,low,close,volume,trade
01/01/2018,7.2,7.3,7.2,7.3,2010.0,6.0
01/02/2018,7.2,7.3,7.2,7.3,2010.0,10.0
01/03/2018,7.5,7.5,7.4,7.4,2420.0,9.0
01/04/2018,7.5,7.6,7.3,7.5,29700.0,25.0
01/07/2018,7.2,7.5,7.2,7.4,2652.0,6.0
01/08/2018,7.4,7.5,7.3,7.4,27280.0,20.0
01/09/2018,7.5,7.5,7.2,7.3,4280.0,9.0
01/10/2018,7.4,7.4,7.2,7.2,26600.0,15.0
01/11/2018,7.1,7.4,7.1,7.2,13638.0,19.0
01/14/2018,7.2,7.4,7.1,7.1,87320.0,34.0
01/15/2018,7.3,7.3,7.1,7.2,15275.0,9.0
01/16/2018,7.3,7.4,7.3,7.4,45480.0,8.0
01/17/2018,7.2,7.4,7.1,7.2,45510.0,21.0
01/18/2018,7.1,7.4,7.1,7.3,29716.0,13.0
01/21/2018,7.4,7.4,7.3,7.4,60730.0,51.0
01/22/2018,7.4,7.5,7.3,7.5,10897.0,6.0
01/23/2018,7.3,7.4,7.3,7.4,10670.0,12.0
01/24/2018,7.3,7.4,7.2,7.3,52120.0,13.0
01/25/2018,7.2,7.4,7.2,7.2,9040.0,6.0
01/28/2018,7.2,7.4,7.2,7.3,66830.0,31.0
01/29/2018,7.4,7.4,7.2,7.4,25425.0,18.0
01/30/2018,7.4,7.4,7.3,7.3,5960.0,8.0
01/31/2018,7.2,7.4,7.1,7.3,51415.0,36.0
02/01/2018,7.4,7.4,7.2,7.3,6710.0,12.0
02/04/2018,7.2,7.2,7.2,7.2,11500.0,7.0
02/05/2018,7.3,7.3,7.1,7.2,2800.0,4.0
02/06/2018,7.3,7.3,7.1,7.2,1050.0,5.0
02/07/2018,7.2,7.2,7.0,7.1,52741.0,21.0
02/08/2018,7.1,7.2,7.1,7.1,815.0,6.0
02/11/2018,7.3,7.3,7.0,7.2,17998.0,17.0
02/12/2018,7.3,7.3,7.1,7.1,50700.0,20.0
