date,open,high,low,close,volume,trade
01/01/2018,25.1,25.1,24.5,24.5,2745683.0,347.0
01/02/2018,24.5,24.5,24.5,24.5,62976.0,240.0
01/03/2018,24.4,24.5,24.3,24.4,968122.0,218.0
01/04/2018,24.5,24.5,24.1,24.2,596712.0,153.0
01/07/2018,24.1,24.3,23.4,23.5,1132642.0,323.0
01/08/2018,23.9,23.9,23.1,23.2,626369.0,250.0
01/09/2018,23.4,23.6,23.1,23.5,350431.0,103.0
01/10/2018,23.5,23.5,22.9,22.9,803911.0,180.0
01/11/2018,23.0,23.0,22.6,22.8,999881.0,195.0
01/14/2018,22.7,22.9,22.3,22.4,458570.0,171.0
01/15/2018,22.7,22.7,21.4,21.5,2094897.0,372.0
01/16/2018,21.5,22.6,21.3,22.3,885052.0,313.0
01/17/2018,23.0,23.0,21.6,21.8,648060.0,201.0
01/18/2018,21.8,21.9,21.5,21.7,955251.0,290.0
01/21/2018,21.5,22.1,21.5,21.7,352638.0,141.0
01/22/2018,21.6,22.2,21.6,21.8,664846.0,147.0
01/23/2018,21.8,21.9,21.5,21.8,511841.0,158.0
01/24/2018,21.8,22.1,21.7,21.8,422204.0,114.0
01/25/2018,22.3,22.5,22.1,22.3,529629.0,190.0
01/28/2018,22.1,22.1,21.8,22.0,254265.0,83.0
01/29/2018,22.1,22.2,21.7,21.8,610160.0,145.0
01/30/2018,22.0,22.2,21.4,21.5,1356438.0,288.0
01/31/2018,21.3,21.5,21.1,21.3,1113849.0,234.0
02/01/2018,21.4,21.6,21.1,21.1,565720.0,202.0
02/04/2018,20.9,20.9,20.2,20.4,716604.0,233.0
02/05/2018,20.5,20.5,18.6,19.8,1102704.0,249.0
02/06/2018,20.4,20.5,19.9,20.0,920735.0,322.0
02/07/2018,19.7,20.2,19.7,20.1,845490.0,196.0
02/08/2018,20.0,20.5,20.0,20.2,333525.0,145.0
02/11/2018,20.4,21.5,20.4,21.5,345145.0,164.0
02/12/2018,21.5,21.8,21.0,21.4,749151.0,230.0
02/13/2018,21.5,21.6,21.0,21.4,300661.0,105.0
02/14/2018,21.4,21.6,20.9,21.1,223514.0,108.0
02/15/2018,20.9,20.9,20.5,20.6,522069.0,133.0
02/18/2018,20.3,20.5,18.7,19.4,870001.0,244.0
02/19/2018,19.6,19.7,19.3,19.5,775282.0,181.0
02/20/2018,19.7,19.9,19.4,19.4,203030.0,94.0
02/22/2018,19.7,20.2,19.5,19.9,323064.0,105.0
02/25/2018,19.7,19.7,19.2,19.5,283388.0,84.0
02/26/2018,19.1,19.4,18.6,18.9,425366.0,130.0
02/27/2018,19.1,19.3,18.9,19.1,673531.0,136.0
02/28/2018,18.8,20.1,18.7,19.4,694020.0,188.0
03/01/2018,19.5,20.4,19.5,20.1,855079.0,223.0
