date,open,high,low,close,volume,trade
01/01/2018,12.2,12.2,12.0,12.1,148478.0,108.0
01/02/2018,12.2,12.2,12.0,12.1,148478.0,59.0
01/03/2018,11.9,12.4,11.8,11.9,174172.0,90.0
01/04/2018,12.1,12.2,12.0,12.0,49061.0,38.0
01/07/2018,12.1,12.2,11.9,11.9,111830.0,47.0
01/08/2018,11.9,12.0,11.7,11.7,92661.0,68.0
01/09/2018,11.8,11.9,11.8,11.8,24475.0,21.0
01/10/2018,12.0,12.0,11.7,11.7,32150.0,30.0
01/11/2018,11.8,11.8,11.7,11.8,21665.0,26.0
01/14/2018,11.7,11.8,11.6,11.7,86650.0,61.0
01/15/2018,11.9,11.9,11.6,11.7,44900.0,18.0
01/16/2018,11.9,11.9,11.7,11.8,37359.0,18.0
01/17/2018,11.8,11.8,11.6,11.6,42781.0,31.0
01/18/2018,11.5,11.6,11.3,11.4,246792.0,135.0
01/21/2018,11.4,11.6,11.4,11.6,19750.0,17.0
01/22/2018,11.5,12.0,11.5,11.8,87338.0,48.0
01/23/2018,11.7,11.9,11.4,11.6,139795.0,73.0
01/24/2018,11.4,11.7,11.4,11.5,45805.0,118.0
01/25/2018,11.5,11.8,11.4,11.5,83539.0,141.0
01/28/2018,11.5,11.5,11.2,11.2,63007.0,55.0
01/29/2018,11.4,11.7,11.2,11.5,42599.0,38.0
01/30/2018,11.4,11.5,11.3,11.4,61260.0,40.0
01/31/2018,11.4,11.4,11.3,11.3,53112.0,37.0
02/01/2018,11.2,11.2,10.8,11.0,182512.0,95.0
02/04/2018,11.0,11.0,10.7,10.8,90835.0,46.0
02/05/2018,10.5,10.8,10.3,10.3,153592.0,142.0
02/06/2018,10.3,11.0,10.3,11.0,119741.0,95.0
02/07/2018,10.8,11.0,10.7,10.9,15565.0,23.0
02/08/2018,11.2,11.2,10.9,11.0,38644.0,31.0
02/11/2018,11.2,11.4,11.2,11.3,76293.0,40.0
02/12/2018,11.4,11.6,10.7,10.8,88961.0,63.0
02/13/2018,10.8,11.2,10.8,11.0,30391.0,40.0
02/14/2018,10.8,11.4,10.8,11.0,120640.0,77.0
02/15/2018,11.2,11.2,10.9,10.9,73132.0,55.0
02/18/2018,10.8,11.4,10.8,11.1,176114.0,121.0
02/19/2018,11.2,11.5,10.9,11.0,310086.0,109.0
02/20/2018,11.0,11.1,10.8,10.8,61553.0,45.0
02/22/2018,11.0,11.0,10.8,10.8,74076.0,48.0
02/25/2018,10.8,11.0,10.8,10.8,28500.0,20.0
02/26/2018,10.9,10.9,10.6,10.7,58818.0,49.0
02/27/2018,11.4,11.4,10.7,10.9,205210.0,82.0
02/28/2018,11.0,11.1,10.9,11.0,134737.0,71.0
03/01/2018,11.0,11.1,10.9,11.0,84530.0,31.0
03/04/2018,11.0,11.3,11.0,11.1,85963.0,43.0
03/05/2018,11.0,11.0,10.7,10.7,66201.0,42.0
03/06/2018,10.8,10.8,10.7,10.8,87861.0,61.0
03/07/2018,10.8,10.8,10.6,10.7,44500.0,40.0
03/08/2018,10.7,10.7,10.4,10.5,101202.0,65.0
03/11/2018,10.4,11.0,10.3,10.4,48491.0,52.0
03/12/2018,10.4,10.5,10.2,10.4,50257.0,35.0
03/13/2018,10.3,10.3,9.4,10.0,203503.0,86.0
03/14/2018,9.8,10.0,9.8,9.9,49111.0,42.0
03/15/2018,10.0,10.2,9.9,10.1,11640.0,21.0
03/18/2018,10.2,10.3,10.0,10.1,41600.0,32.0
03/19/2018,9.9,9.9,9.6,9.6,283004.0,88.0
03/20/2018,9.8,9.9,9.6,9.7,16635.0,25.0
03/21/2018,9.9,10.6,9.9,10.3,133689.0,80.0
