date,open,high,low,close,volume,trade
01/01/2018,19.5,19.5,19.1,19.4,17262.0,14.0
01/02/2018,19.5,19.5,19.1,19.4,17262.0,11.0
01/03/2018,19.6,19.6,19.3,19.3,23137.0,35.0
01/04/2018,19.4,19.6,19.1,19.2,86557.0,80.0
01/07/2018,19.2,19.2,19.1,19.1,16832.0,14.0
01/08/2018,19.3,19.4,19.0,19.1,36874.0,46.0
01/09/2018,19.2,19.3,18.6,18.8,74368.0,83.0
01/10/2018,19.1,19.1,19.0,19.0,1488.0,4.0
01/11/2018,19.1,19.1,18.9,19.0,7425.0,10.0
01/14/2018,19.2,19.2,18.5,18.6,26492.0,33.0
01/15/2018,18.4,18.8,18.2,18.4,10150.0,21.0
01/16/2018,18.7,18.8,18.5,18.6,8988.0,22.0
01/17/2018,18.9,18.9,18.1,18.2,17610.0,38.0
01/18/2018,18.5,18.5,18.4,18.5,3000.0,4.0
01/21/2018,18.4,18.4,18.1,18.2,13822.0,23.0
01/22/2018,18.2,18.5,18.1,18.1,18182.0,26.0
01/23/2018,18.1,18.3,18.1,18.3,5865.0,9.0
01/24/2018,18.3,18.4,18.2,18.3,21441.0,24.0
01/25/2018,18.3,18.4,18.2,18.3,10590.0,16.0
01/28/2018,18.2,18.2,18.0,18.1,23115.0,31.0
01/29/2018,18.3,18.3,18.0,18.1,24080.0,13.0
01/30/2018,18.2,18.2,18.0,18.1,15297.0,9.0
01/31/2018,18.0,18.1,18.0,18.0,4500.0,6.0
02/01/2018,18.1,18.2,17.9,18.1,15066.0,15.0
02/04/2018,17.3,18.0,17.3,17.7,1177.0,6.0
02/05/2018,17.7,17.9,17.6,17.8,7700.0,13.0
02/06/2018,17.6,18.1,17.6,18.0,5587.0,9.0
02/07/2018,18.3,18.3,17.9,18.0,2663.0,6.0
02/08/2018,18.6,20.3,18.6,20.0,219017.0,319.0
02/11/2018,19.8,20.5,19.6,20.1,52240.0,81.0
02/12/2018,20.1,20.2,19.5,19.5,78820.0,106.0
02/13/2018,19.2,19.8,19.2,19.3,62627.0,65.0
02/14/2018,19.2,19.5,19.1,19.3,133584.0,149.0
02/15/2018,19.4,19.6,19.4,19.5,41250.0,34.0
02/18/2018,19.8,19.8,19.5,19.6,41855.0,63.0
02/19/2018,19.6,19.6,19.5,19.5,24060.0,22.0
02/20/2018,19.7,19.9,19.7,19.9,63473.0,113.0
02/22/2018,20.0,20.8,20.0,20.5,271789.0,294.0
02/25/2018,20.8,20.8,20.1,20.3,53540.0,111.0
02/26/2018,20.0,20.2,19.7,19.9,80447.0,97.0
02/27/2018,20.1,20.1,19.8,19.9,42005.0,77.0
02/28/2018,19.9,20.3,19.9,20.1,52679.0,88.0
03/01/2018,20.0,20.6,19.9,20.5,114811.0,106.0
03/04/2018,20.6,20.6,20.2,20.6,102776.0,135.0
03/05/2018,20.6,20.8,19.8,20.0,202534.0,213.0
03/06/2018,20.6,20.8,19.8,20.0,202534.0,0.0
03/07/2018,19.1,19.1,18.0,18.1,118988.0,171.0
03/08/2018,18.3,18.3,18.0,18.2,9348.0,31.0
03/11/2018,18.0,18.0,17.7,17.7,30731.0,58.0
03/12/2018,18.0,18.0,17.2,17.4,39887.0,85.0
03/13/2018,17.3,17.4,16.8,17.0,28878.0,61.0
03/14/2018,16.9,17.2,16.5,16.8,55072.0,87.0
03/15/2018,16.6,17.3,16.5,17.3,16115.0,31.0
03/18/2018,17.0,17.1,16.8,16.9,45327.0,58.0
03/19/2018,16.8,17.0,16.6,16.7,24198.0,37.0
03/20/2018,16.6,16.9,16.4,16.6,9443.0,26.0
03/21/2018,16.6,16.7,16.3,16.4,13970.0,25.0
03/22/2018,16.7,16.9,16.5,16.7,35280.0,36.0
03/25/2018,16.6,16.7,16.5,16.5,3652.0,10.0
03/27/2018,16.5,16.5,16.0,16.1,31383.0,112.0
03/28/2018,16.5,16.5,16.3,16.5,3496.0,16.0
03/29/2018,16.3,17.0,16.3,16.6,20227.0,34.0
04/01/2018,16.8,17.4,16.8,17.1,13760.0,28.0
04/02/2018,17.6,17.7,17.0,17.5,23759.0,55.0
04/03/2018,17.7,17.7,17.2,17.3,22201.0,33.0
04/04/2018,17.3,17.6,17.2,17.4,7195.0,16.0
04/05/2018,17.4,18.0,17.4,17.6,20241.0,32.0
04/08/2018,17.5,17.5,17.3,17.4,22850.0,13.0
04/09/2018,17.9,17.9,17.4,17.7,36682.0,40.0
04/10/2018,17.4,18.0,17.4,17.9,49252.0,57.0
04/11/2018,18.0,18.0,17.6,17.7,18345.0,32.0
04/12/2018,17.6,17.7,17.2,17.4,19165.0,42.0
04/15/2018,17.1,17.1,17.0,17.1,5667.0,21.0
04/16/2018,17.1,17.1,16.9,17.0,11245.0,18.0
