date,open,high,low,close,volume,trade
01/01/2018,25.0,25.6,25.0,25.2,75166.0,81.0
01/02/2018,25.5,25.6,25.5,25.6,1980.0,140.0
01/03/2018,26.1,26.2,25.5,25.9,83491.0,112.0
01/04/2018,25.9,26.8,25.6,26.6,359425.0,294.0
01/07/2018,26.3,26.8,26.3,26.7,182350.0,191.0
01/08/2018,26.2,26.5,26.0,26.2,161922.0,129.0
01/09/2018,25.4,26.7,25.4,26.3,143120.0,127.0
01/10/2018,26.3,27.0,26.0,26.5,184796.0,115.0
01/11/2018,26.7,27.0,26.3,26.5,146770.0,113.0
01/14/2018,26.4,26.4,25.8,26.0,64840.0,65.0
01/15/2018,25.8,26.2,25.5,25.6,63845.0,70.0
01/16/2018,26.0,26.8,25.8,26.2,136112.0,99.0
01/17/2018,26.2,26.3,25.7,25.7,93926.0,90.0
01/18/2018,26.0,26.0,25.7,25.7,23142.0,37.0
01/21/2018,26.3,26.4,25.6,25.9,114780.0,112.0
01/22/2018,25.8,26.3,25.8,26.0,60067.0,56.0
01/23/2018,25.9,26.3,25.9,26.1,160253.0,113.0
01/24/2018,26.3,26.3,25.9,26.1,92883.0,32.0
01/25/2018,26.2,26.3,25.7,25.9,132857.0,83.0
01/28/2018,26.0,26.6,25.6,25.7,75705.0,61.0
01/29/2018,25.6,25.9,25.3,25.4,40193.0,43.0
01/30/2018,25.7,26.0,25.2,25.8,79055.0,63.0
01/31/2018,25.7,26.0,24.9,25.2,148990.0,99.0
02/01/2018,25.3,25.9,24.3,25.0,105650.0,66.0
02/04/2018,24.8,24.8,23.9,24.0,43850.0,63.0
02/05/2018,24.0,24.2,23.2,23.5,51660.0,52.0
02/06/2018,24.2,24.2,23.5,23.7,55976.0,86.0
02/07/2018,23.6,24.0,23.6,23.9,19159.0,24.0
02/08/2018,23.8,24.0,23.7,23.9,24050.0,23.0
02/11/2018,24.2,24.7,24.2,24.7,43030.0,56.0
02/12/2018,24.7,24.9,24.3,24.6,60357.0,80.0
02/13/2018,24.6,25.4,24.6,25.2,99385.0,96.0
02/14/2018,25.4,25.9,25.2,25.3,103175.0,100.0
02/15/2018,25.3,25.9,25.3,25.6,166537.0,143.0
02/18/2018,25.9,26.2,24.8,24.9,84704.0,98.0
02/19/2018,24.9,25.0,24.8,24.8,39525.0,67.0
02/20/2018,25.0,25.0,24.4,24.5,58577.0,97.0
02/22/2018,24.9,24.9,24.4,24.5,33820.0,43.0
02/25/2018,24.4,24.5,24.1,24.3,47933.0,53.0
02/26/2018,24.0,24.5,23.8,24.0,83799.0,96.0
02/27/2018,24.7,24.7,23.7,23.9,55702.0,58.0
02/28/2018,24.0,24.0,23.5,23.7,96793.0,92.0
03/01/2018,23.9,24.4,23.8,24.1,59250.0,55.0
03/04/2018,24.5,25.2,24.4,24.7,82452.0,62.0
03/05/2018,24.6,25.6,24.5,25.2,122363.0,89.0
03/06/2018,25.1,25.7,25.0,25.6,148120.0,187.0
03/07/2018,25.7,26.0,25.1,25.6,138528.0,152.0
03/08/2018,25.7,25.7,25.2,25.4,49453.0,80.0
03/11/2018,25.8,26.3,25.2,25.8,283291.0,314.0
03/12/2018,25.7,25.7,24.3,24.6,142151.0,181.0
03/13/2018,25.4,25.4,23.9,24.0,69444.0,85.0
03/14/2018,24.5,24.9,24.0,24.4,62330.0,66.0
03/15/2018,24.5,24.7,24.2,24.4,37458.0,70.0
03/18/2018,24.3,24.6,24.2,24.3,65112.0,89.0
03/19/2018,24.5,24.5,23.7,23.8,87344.0,147.0
03/20/2018,23.8,24.2,23.5,23.6,70055.0,69.0
03/21/2018,24.2,24.2,23.1,23.2,74975.0,87.0
03/22/2018,23.6,23.8,23.1,23.5,45606.0,74.0
03/25/2018,24.0,24.0,23.5,23.7,26642.0,51.0
03/27/2018,23.6,23.8,22.7,23.0,70313.0,105.0
03/28/2018,23.1,23.1,22.7,22.8,34400.0,56.0
03/29/2018,23.0,23.3,22.9,23.1,52013.0,60.0
04/01/2018,23.4,23.9,23.4,23.8,52861.0,90.0
04/02/2018,23.8,24.3,23.5,23.9,91072.0,115.0
04/03/2018,24.1,24.4,23.6,23.7,100501.0,140.0
04/04/2018,24.0,24.2,23.6,23.7,52002.0,64.0
04/05/2018,23.9,24.1,23.5,24.0,110803.0,155.0
04/08/2018,24.1,24.7,24.0,24.6,168075.0,161.0
04/09/2018,24.7,25.6,24.7,25.4,311258.0,431.0
04/10/2018,25.5,25.7,24.6,24.7,131696.0,188.0
04/11/2018,24.8,24.9,24.0,24.0,60345.0,122.0
04/12/2018,24.1,24.5,23.8,23.9,39353.0,87.0
04/15/2018,24.0,24.3,23.5,23.6,60653.0,87.0
04/16/2018,23.7,24.1,23.7,24.0,47165.0,66.0
04/17/2018,24.2,24.3,23.5,23.7,98075.0,95.0
04/18/2018,23.6,23.9,23.4,23.5,76286.0,83.0
04/19/2018,23.6,23.9,23.6,23.7,39792.0,64.0
04/22/2018,23.6,23.9,23.5,23.7,71789.0,104.0
04/23/2018,23.9,24.0,23.5,23.8,97653.0,75.0
04/24/2018,23.7,23.8,23.5,23.6,58680.0,81.0
04/25/2018,23.5,23.8,23.4,23.5,140700.0,124.0
04/26/2018,23.6,23.7,23.5,23.5,41490.0,49.0
04/30/2018,23.6,23.8,23.4,23.6,43084.0,57.0
05/03/2018,24.0,25.9,24.0,25.8,645311.0,630.0
05/06/2018,26.3,26.8,25.6,26.6,841279.0,751.0
05/07/2018,26.4,26.7,25.6,25.8,564732.0,539.0
05/08/2018,25.8,25.8,24.6,24.7,238172.0,307.0
05/09/2018,24.7,27.1,24.7,27.1,857543.0,694.0
05/10/2018,27.3,27.7,26.6,26.9,784813.0,772.0
05/13/2018,26.5,27.9,26.5,27.1,968146.0,801.0
05/14/2018,27.0,27.5,26.3,26.5,297062.0,277.0
05/15/2018,26.6,26.8,26.1,26.3,303699.0,325.0
05/16/2018,26.0,26.8,25.4,25.6,295707.0,307.0
05/17/2018,25.6,26.2,24.6,24.6,283524.0,339.0
05/20/2018,24.3,25.5,24.1,24.2,260948.0,324.0
05/21/2018,24.9,26.0,24.5,25.2,285121.0,299.0
05/22/2018,25.6,25.9,25.0,25.2,156593.0,200.0
05/23/2018,25.0,25.7,25.0,25.2,155306.0,153.0
05/24/2018,25.1,27.1,25.1,26.9,671074.0,559.0
05/27/2018,27.1,27.8,26.0,26.2,341284.0,319.0
05/28/2018,26.1,26.5,25.5,25.8,307781.0,324.0
05/29/2018,26.4,27.2,26.2,26.6,682161.0,504.0
05/30/2018,27.3,27.3,25.9,26.0,446072.0,380.0
05/31/2018,26.2,26.3,25.7,25.8,104822.0,175.0
06/03/2018,26.0,26.3,25.2,25.4,217827.0,202.0
06/04/2018,25.8,25.9,24.5,24.8,321054.0,298.0
06/05/2018,25.2,25.5,24.8,24.9,148963.0,199.0
06/06/2018,25.0,25.3,24.8,25.0,190296.0,190.0
06/07/2018,25.1,25.5,25.0,25.1,170448.0,166.0
06/10/2018,25.1,25.4,24.8,24.9,181729.0,199.0
06/11/2018,24.8,25.8,24.8,25.6,213130.0,208.0
06/12/2018,25.8,25.8,25.0,25.3,127621.0,104.0
06/18/2018,25.6,25.6,24.6,24.7,172004.0,197.0
06/19/2018,24.7,25.5,24.5,24.9,245526.0,221.0
06/20/2018,25.0,26.0,24.9,25.3,300195.0,284.0
06/21/2018,25.6,27.8,25.6,27.8,1606782.0,878.0
06/24/2018,28.5,30.5,28.5,30.5,2376937.0,1320.0
06/25/2018,30.5,31.3,29.3,30.2,1799889.0,1065.0
06/26/2018,30.7,32.6,30.5,32.2,2082115.0,1467.0
06/27/2018,32.5,34.5,32.5,33.7,3000591.0,1565.0
06/28/2018,33.8,37.0,32.7,35.2,2552083.0,1349.0
07/02/2018,36.8,38.7,35.2,36.3,4436515.0,1851.0
07/03/2018,36.2,36.6,33.7,34.1,2823030.0,1730.0
07/04/2018,34.3,37.5,34.3,37.5,3709935.0,1429.0
07/05/2018,39.3,41.0,36.5,37.0,3510017.0,2003.0
07/08/2018,37.9,40.7,37.0,40.7,1949078.0,781.0
07/09/2018,43.8,44.7,42.5,43.7,3924544.0,1935.0
07/10/2018,44.0,47.0,42.0,45.4,2432431.0,1669.0
07/11/2018,46.4,48.9,41.0,42.7,2965072.0,1796.0
07/12/2018,43.2,43.2,40.0,42.0,2691000.0,2019.0
07/15/2018,42.1,44.1,41.0,41.7,1579861.0,1399.0
07/16/2018,41.7,42.8,38.0,38.4,1543601.0,1742.0
07/17/2018,38.9,39.5,36.0,37.3,1067798.0,1310.0
07/18/2018,38.0,39.9,37.6,38.8,814670.0,1081.0
07/19/2018,38.8,40.3,37.8,38.0,993435.0,1130.0
07/22/2018,38.9,39.0,37.0,37.4,775326.0,761.0
07/23/2018,37.5,38.1,35.6,35.9,658265.0,810.0
07/24/2018,36.3,37.7,36.0,36.7,701911.0,759.0
07/25/2018,37.1,38.9,37.0,38.3,1061060.0,940.0
07/26/2018,38.3,38.8,35.4,36.2,533799.0,610.0
07/29/2018,36.4,36.9,34.2,34.8,522525.0,628.0
07/30/2018,35.0,36.5,34.5,35.1,410540.0,
07/31/2018,35.6,38.6,35.5,38.3,1113737.0,1139.0
08/01/2018,39.0,39.2,36.4,36.7,737804.0,752.0
08/02/2018,37.0,37.6,35.6,36.9,455856.0,489.0
08/05/2018,37.4,38.0,35.7,36.0,378478.0,435.0
08/06/2018,36.3,36.9,34.6,34.8,448720.0,500.0
08/07/2018,34.8,36.0,33.9,34.2,425371.0,472.0
08/08/2018,34.8,35.1,31.8,32.7,535247.0,553.0
08/09/2018,32.7,34.8,32.4,34.2,624289.0,712.0
08/12/2018,34.1,35.2,32.4,33.1,885411.0,821.0
08/13/2018,33.1,33.4,30.7,31.1,417571.0,447.0
08/14/2018,31.4,32.2,29.7,30.0,681847.0,721.0
08/16/2018,30.1,31.4,30.0,31.0,328179.0,443.0
08/19/2018,31.0,31.2,28.9,29.1,487357.0,509.0
08/20/2018,29.2,30.2,28.9,29.5,235665.0,301.0
08/26/2018,29.4,31.3,29.4,31.1,351472.0,418.0
08/27/2018,31.0,31.7,30.2,30.4,329033.0,475.0
08/28/2018,30.9,30.9,29.8,30.1,442269.0,565.0
08/29/2018,30.6,33.1,30.5,33.1,720409.0,508.0
08/30/2018,35.0,36.4,34.9,36.4,699514.0,310.0
09/03/2018,38.5,39.8,34.8,35.4,2090165.0,1584.0
09/04/2018,35.9,35.9,34.1,34.5,565280.0,666.0
09/05/2018,35.0,35.9,33.8,34.0,725058.0,711.0
09/06/2018,34.4,34.4,32.2,32.6,641439.0,685.0
09/09/2018,33.0,34.5,32.6,32.9,601597.0,523.0
09/10/2018,33.4,33.7,32.5,32.7,488409.0,467.0
09/11/2018,33.0,33.0,30.4,30.9,537312.0,585.0
09/12/2018,31.4,31.8,30.7,31.6,357263.0,424.0
09/13/2018,32.0,34.7,31.8,34.7,1670722.0,1307.0
09/16/2018,34.7,35.0,31.8,32.1,640845.0,721.0
09/17/2018,33.0,33.0,31.1,31.3,488286.0,527.0
09/18/2018,31.7,33.0,31.5,31.8,929332.0,865.0
09/19/2018,32.9,34.4,32.6,33.2,1080774.0,998.0
09/20/2018,33.5,33.5,31.7,31.8,854942.0,640.0
09/23/2018,31.8,32.0,29.3,29.6,688415.0,862.0
09/24/2018,30.2,30.9,28.5,28.6,517916.0,578.0
09/25/2018,29.0,29.5,28.4,28.8,208910.0,301.0
09/26/2018,29.8,30.0,28.2,28.6,272781.0,354.0
09/27/2018,28.8,29.0,27.5,27.6,304838.0,388.0
09/30/2018,27.9,28.4,27.2,27.7,251856.0,323.0
10/01/2018,27.7,30.4,27.7,30.4,435733.0,323.0
10/02/2018,31.9,33.3,31.7,32.9,1993840.0,1381.0
10/03/2018,33.0,33.9,31.8,33.4,1203713.0,786.0
