date,open,high,low,close,volume,trade
01/01/2018,68.2,68.4,67.4,67.8,10554.0,80.0
01/02/2018,68.2,68.4,67.4,67.8,10554.0,52.0
01/03/2018,65.5,68.2,65.5,67.1,6535.0,66.0
01/04/2018,67.2,67.2,66.7,66.8,5640.0,44.0
01/07/2018,71.6,71.6,64.8,65.6,4929.0,55.0
01/08/2018,66.0,66.2,65.1,65.3,3173.0,49.0
01/09/2018,65.0,66.9,61.8,64.1,9716.0,82.0
01/10/2018,65.4,65.5,63.9,64.3,10404.0,64.0
01/11/2018,65.0,65.5,64.3,65.2,4622.0,29.0
01/14/2018,68.2,68.2,63.5,63.6,6717.0,62.0
01/15/2018,63.5,63.5,60.5,61.3,6867.0,84.0
01/16/2018,60.9,65.1,60.9,61.8,4756.0,55.0
01/17/2018,60.6,66.4,60.6,60.8,2404.0,80.0
01/18/2018,63.5,63.5,62.8,63.1,3135.0,17.0
01/21/2018,63.6,67.9,63.6,67.5,10894.0,108.0
01/22/2018,65.4,68.0,65.4,66.5,5496.0,65.0
01/23/2018,65.9,65.9,64.5,65.1,8924.0,62.0
01/24/2018,63.7,67.3,63.7,65.1,1454.0,14.0
01/25/2018,63.8,67.7,62.8,65.4,3417.0,54.0
01/28/2018,64.7,65.0,64.3,64.7,4467.0,38.0
01/29/2018,64.5,65.4,63.6,63.8,16592.0,82.0
01/30/2018,62.9,65.0,60.9,62.1,3539.0,52.0
01/31/2018,60.9,62.3,60.3,61.9,10120.0,59.0
02/01/2018,61.4,61.8,59.1,60.4,6114.0,55.0
02/04/2018,60.0,60.2,57.5,58.6,15711.0,96.0
02/05/2018,56.5,56.5,54.5,55.2,21740.0,85.0
02/06/2018,55.5,60.6,55.4,60.6,32379.0,153.0
02/07/2018,60.1,63.6,60.1,61.9,19012.0,91.0
02/08/2018,65.5,65.5,62.5,63.2,13071.0,111.0
02/11/2018,60.0,63.7,60.0,63.6,20425.0,108.0
02/12/2018,63.9,66.4,63.6,63.8,7568.0,112.0
02/13/2018,65.5,65.9,63.6,63.6,8609.0,69.0
02/14/2018,64.5,64.5,60.9,62.0,13871.0,79.0
02/15/2018,62.7,62.7,59.1,59.3,8452.0,73.0
02/18/2018,59.5,62.3,59.3,59.4,1453.0,12.0
02/19/2018,59.7,60.8,59.6,59.8,10406.0,33.0
02/20/2018,61.8,61.8,59.2,59.7,2607.0,22.0
02/22/2018,59.7,59.7,59.7,59.7,89.0,2.0
02/25/2018,56.8,58.1,56.8,57.6,331.0,6.0
02/26/2018,57.0,57.0,56.4,56.5,11004.0,49.0
02/27/2018,56.9,56.9,56.4,56.5,14605.0,60.0
02/28/2018,61.6,61.6,61.6,61.6,1.0,1.0
03/01/2018,59.5,61.7,59.5,60.9,4269.0,36.0
03/04/2018,67.0,67.0,61.4,61.6,1884.0,27.0
03/05/2018,62.3,62.6,60.3,61.3,4867.0,36.0
03/06/2018,62.3,62.3,60.3,60.5,7177.0,34.0
03/07/2018,60.5,61.8,60.5,61.0,3300.0,19.0
03/08/2018,60.5,60.9,60.5,60.5,4301.0,40.0
03/11/2018,60.5,61.1,60.5,60.7,1045.0,8.0
03/12/2018,61.4,61.4,58.6,58.9,7623.0,23.0
03/13/2018,57.3,57.3,56.6,57.2,5269.0,9.0
03/14/2018,57.1,59.5,57.1,57.3,3521.0,21.0
03/15/2018,57.5,57.5,56.4,56.6,4231.0,24.0
03/18/2018,61.8,61.8,56.8,57.1,2421.0,10.0
03/19/2018,58.5,58.5,58.2,58.2,551.0,3.0
03/20/2018,57.7,57.7,57.7,57.7,330.0,2.0
03/21/2018,59.9,59.9,59.9,59.9,2.0,1.0
03/22/2018,59.1,59.1,59.1,59.1,165.0,1.0
03/25/2018,59.1,59.1,59.1,59.1,165.0,0.0
03/27/2018,58.0,58.1,55.5,56.9,2531.0,28.0
03/28/2018,61.0,61.0,55.5,56.1,2327.0,34.0
03/29/2018,55.3,57.5,55.3,55.5,436.0,7.0
04/01/2018,56.2,58.5,55.7,56.8,3048.0,15.0
04/02/2018,56.0,56.0,55.9,56.0,75.0,2.0
04/03/2018,60.4,60.4,55.9,56.2,1332.0,9.0
04/04/2018,58.1,58.8,56.4,57.1,4026.0,29.0
04/05/2018,59.0,61.3,56.8,57.0,10968.0,83.0
04/08/2018,57.5,59.1,57.5,58.5,2750.0,20.0
04/09/2018,58.5,58.5,56.4,57.0,5769.0,49.0
04/10/2018,57.5,58.9,54.5,55.0,10154.0,50.0
