date,open,high,low,close,volume,trade
01/01/2018,34.0,35.4,33.7,35.0,4893558.0,1629.0
01/02/2018,35.2,35.8,35.2,35.5,1116021.0,1572.0
01/03/2018,35.6,35.6,34.2,34.4,2417163.0,1015.0
01/04/2018,35.0,35.8,34.7,35.0,2534623.0,1133.0
01/07/2018,35.2,35.5,34.3,34.7,3781723.0,1446.0
01/08/2018,34.7,35.9,34.5,35.7,4978975.0,2116.0
01/09/2018,35.9,36.3,35.3,36.1,3736479.0,1516.0
01/10/2018,36.3,36.5,34.5,35.3,3612746.0,1737.0
01/11/2018,35.2,35.6,34.6,35.3,3810769.0,1267.0
01/14/2018,35.7,35.7,34.4,34.6,1058540.0,652.0
01/15/2018,34.5,34.8,33.4,33.7,1443738.0,752.0
01/16/2018,34.0,35.3,33.4,34.8,1637397.0,813.0
01/17/2018,35.1,35.4,34.0,34.1,1356285.0,830.0
01/18/2018,34.2,34.5,33.7,34.4,718989.0,509.0
01/21/2018,34.4,35.3,34.4,34.9,2021915.0,985.0
01/22/2018,35.1,36.0,35.1,35.9,2935088.0,1066.0
01/23/2018,35.7,36.3,35.3,35.7,3478696.0,1097.0
01/24/2018,35.6,36.2,35.3,35.6,1805892.0,737.0
01/25/2018,35.6,35.9,35.3,35.5,2016514.0,857.0
01/28/2018,35.4,36.0,35.3,35.7,2994005.0,958.0
01/29/2018,35.6,36.1,35.5,35.8,3023435.0,842.0
01/30/2018,35.8,36.0,35.1,35.4,1671236.0,505.0
01/31/2018,35.7,35.7,35.0,35.5,3339627.0,772.0
02/01/2018,35.7,36.2,35.6,35.7,1343487.0,462.0
02/04/2018,35.6,35.8,34.7,35.1,1661543.0,570.0
02/05/2018,35.0,35.2,34.4,34.9,1288844.0,589.0
02/06/2018,34.6,35.3,34.6,35.0,1247164.0,524.0
02/07/2018,35.1,35.4,34.5,35.0,1833168.0,427.0
02/08/2018,35.3,35.7,34.9,35.1,1892698.0,498.0
02/11/2018,35.1,35.5,35.0,35.3,1804610.0,733.0
02/12/2018,35.5,38.2,35.0,37.1,3237019.0,1055.0
02/13/2018,37.5,37.9,36.8,37.1,3114945.0,1340.0
02/14/2018,36.9,37.4,36.0,36.3,2938227.0,1024.0
02/15/2018,36.3,36.7,35.9,36.1,2375163.0,1011.0
02/18/2018,36.2,36.3,35.2,35.4,1713631.0,569.0
02/19/2018,35.4,35.9,34.7,35.0,1725458.0,799.0
