date,open,high,low,close,volume,trade
01/01/2018,28.1,28.5,27.6,28.0,1050073.0,369.0
01/02/2018,28.0,28.0,27.6,27.9,45738.0,340.0
01/03/2018,27.8,28.0,27.5,27.6,380939.0,219.0
01/04/2018,28.0,28.0,27.5,27.5,324574.0,157.0
01/07/2018,27.4,27.7,27.1,27.3,396302.0,262.0
01/08/2018,27.1,27.5,26.7,26.8,548028.0,267.0
01/09/2018,26.5,27.2,26.5,26.7,753811.0,285.0
01/10/2018,26.6,27.1,26.4,26.5,606378.0,252.0
01/11/2018,26.5,26.5,26.2,26.5,112706.0,155.0
01/14/2018,26.2,26.4,25.9,26.0,196370.0,221.0
01/15/2018,25.7,26.0,25.7,25.9,206377.0,170.0
01/16/2018,25.7,26.6,25.5,26.5,172278.0,190.0
01/17/2018,26.5,26.5,25.7,25.8,247930.0,191.0
01/18/2018,25.6,26.2,25.5,26.0,111382.0,87.0
01/21/2018,24.6,25.9,24.6,25.5,274836.0,189.0
01/22/2018,25.3,26.3,25.2,26.0,254125.0,175.0
01/23/2018,26.0,26.2,25.7,26.0,122674.0,131.0
01/24/2018,25.8,26.3,25.7,26.2,107850.0,97.0
01/25/2018,26.1,26.5,25.9,26.3,102773.0,105.0
01/28/2018,26.1,26.3,25.8,26.1,378690.0,158.0
01/29/2018,25.8,26.5,25.8,26.4,228032.0,154.0
01/30/2018,26.7,26.8,25.8,26.1,384439.0,181.0
01/31/2018,25.4,26.1,25.4,25.6,451566.0,252.0
02/01/2018,25.7,26.1,25.5,25.6,171616.0,119.0
02/04/2018,25.5,25.5,24.9,25.0,156237.0,166.0
02/05/2018,24.8,25.0,24.0,24.5,175323.0,154.0
02/06/2018,24.7,25.9,24.5,25.7,162180.0,204.0
02/07/2018,25.5,25.9,25.1,25.5,177048.0,166.0
02/08/2018,25.1,25.9,25.1,25.6,137638.0,117.0
02/11/2018,25.9,26.7,25.6,26.5,127911.0,147.0
02/12/2018,26.6,26.6,25.7,26.2,213243.0,166.0
02/13/2018,26.0,26.5,25.8,26.0,167427.0,187.0
02/14/2018,25.9,26.4,25.8,26.0,226173.0,199.0
02/15/2018,26.2,26.5,25.7,25.9,176821.0,237.0
02/18/2018,25.6,26.1,25.1,25.6,198655.0,169.0
02/19/2018,25.5,25.9,25.1,25.5,115513.0,127.0
02/20/2018,25.5,25.7,25.3,25.5,170266.0,168.0
02/22/2018,25.7,25.8,25.2,25.5,72827.0,88.0
02/25/2018,25.2,25.5,25.0,25.4,170270.0,127.0
02/26/2018,23.6,25.1,23.6,24.5,137703.0,123.0
02/27/2018,25.2,25.5,24.5,24.6,193787.0,121.0
02/28/2018,24.5,25.2,24.2,24.4,124625.0,141.0
03/01/2018,24.4,25.2,24.1,24.9,65903.0,65.0
03/04/2018,24.9,25.2,24.6,24.8,32224.0,71.0
03/05/2018,24.5,24.5,24.1,24.2,21612.0,40.0
03/06/2018,24.1,24.8,23.9,24.3,72503.0,101.0
03/07/2018,23.9,24.5,23.9,24.0,43477.0,79.0
03/08/2018,24.5,24.5,23.5,23.7,129727.0,114.0
03/11/2018,23.6,24.2,23.6,23.7,57224.0,60.0
03/12/2018,23.5,24.0,23.3,23.6,158791.0,120.0
03/13/2018,23.4,23.4,22.9,23.0,138067.0,80.0
03/14/2018,22.9,23.4,22.5,22.8,125108.0,131.0
03/15/2018,22.7,23.5,22.5,23.4,109101.0,72.0
03/18/2018,23.5,23.5,22.9,23.1,37218.0,47.0
03/19/2018,22.9,23.3,22.7,22.8,118072.0,120.0
03/20/2018,23.2,23.5,22.7,22.7,50140.0,56.0
03/21/2018,22.7,22.7,21.8,21.9,190726.0,124.0
03/22/2018,21.8,22.4,21.5,22.0,130197.0,123.0
03/25/2018,22.3,22.5,22.0,22.1,151992.0,82.0
03/27/2018,21.9,23.6,21.5,21.5,164773.0,115.0
03/28/2018,22.4,22.4,21.6,21.6,144014.0,94.0
03/29/2018,21.8,22.2,21.6,22.0,159963.0,115.0
04/01/2018,22.0,22.9,22.0,22.4,217070.0,169.0
04/02/2018,22.4,22.9,22.4,22.8,175139.0,170.0
04/03/2018,22.7,23.0,22.3,22.3,271995.0,163.0
04/04/2018,22.6,24.1,22.1,22.6,453560.0,174.0
04/05/2018,22.5,22.6,22.2,22.4,251364.0,168.0
04/08/2018,22.6,22.7,22.3,22.5,213948.0,127.0
04/09/2018,22.4,22.5,22.3,22.3,160761.0,107.0
04/10/2018,22.3,22.8,22.3,22.5,330298.0,174.0
04/11/2018,22.9,23.0,22.4,22.5,156854.0,84.0
04/12/2018,22.6,22.7,22.2,22.3,316005.0,145.0
04/15/2018,22.0,22.7,22.0,22.6,160857.0,114.0
04/16/2018,22.7,22.7,22.4,22.7,552388.0,169.0
04/17/2018,22.7,22.9,22.5,22.7,310792.0,140.0
04/18/2018,22.5,23.6,22.5,23.4,291996.0,215.0
04/19/2018,22.5,23.6,22.5,23.4,291996.0,0.0
04/22/2018,23.5,23.9,22.3,23.0,220796.0,266.0
04/23/2018,23.3,23.3,22.4,22.7,184464.0,161.0
04/24/2018,23.2,23.5,22.6,22.7,381373.0,186.0
04/25/2018,22.8,23.5,22.7,22.9,202324.0,144.0
04/26/2018,22.9,23.0,22.5,22.6,346192.0,147.0
04/30/2018,23.4,23.4,22.5,22.6,255969.0,106.0
05/03/2018,23.0,23.5,22.5,22.6,182120.0,82.0
05/06/2018,23.0,23.4,22.6,22.7,209458.0,96.0
05/07/2018,22.6,23.1,22.5,22.6,271154.0,148.0
05/08/2018,22.8,23.0,22.5,22.5,146866.0,86.0
05/09/2018,22.5,23.0,22.5,22.5,212244.0,71.0
05/10/2018,22.3,23.0,22.1,22.2,218014.0,134.0
05/13/2018,22.6,22.9,21.9,22.0,133211.0,84.0
05/14/2018,21.9,22.2,21.9,22.1,68180.0,59.0
05/15/2018,22.0,22.4,22.0,22.2,62617.0,64.0
05/16/2018,22.2,22.4,22.1,22.1,15534.0,49.0
05/17/2018,22.0,22.3,21.9,22.1,154665.0,122.0
05/20/2018,21.8,22.2,21.8,22.0,43396.0,57.0
05/21/2018,20.1,22.2,20.1,22.1,32804.0,28.0
05/22/2018,22.1,22.7,21.7,22.5,51280.0,55.0
05/23/2018,22.4,22.4,21.8,22.2,34319.0,27.0
05/24/2018,22.4,22.5,22.0,22.4,48544.0,70.0
05/27/2018,22.3,22.3,22.0,22.1,105292.0,64.0
05/28/2018,22.1,22.3,22.1,22.2,67879.0,89.0
05/29/2018,22.0,22.6,22.0,22.4,52594.0,56.0
05/30/2018,22.2,22.3,22.0,22.2,43219.0,58.0
05/31/2018,22.4,23.0,22.1,22.8,158909.0,140.0
06/03/2018,22.5,22.7,22.3,22.3,61289.0,47.0
