date,open,high,low,close,volume,trade
01/01/2018,14.9,14.9,14.6,14.7,47533.0,53.0
01/02/2018,14.9,15.2,14.6,14.8,18807.0,77.0
01/03/2018,14.9,15.0,14.6,14.8,113943.0,95.0
01/04/2018,14.7,15.0,14.6,14.7,56436.0,62.0
01/07/2018,14.5,14.9,14.5,14.7,46787.0,41.0
01/08/2018,14.6,14.8,14.6,14.7,27730.0,70.0
01/09/2018,14.7,14.7,14.4,14.5,269679.0,144.0
01/10/2018,14.5,14.5,14.0,14.3,150775.0,116.0
01/11/2018,14.3,14.5,14.1,14.3,77507.0,100.0
01/14/2018,14.4,14.4,14.1,14.2,36747.0,34.0
01/15/2018,14.1,14.3,14.0,14.0,31635.0,47.0
01/16/2018,14.0,14.5,14.0,14.2,172595.0,96.0
01/17/2018,14.2,14.6,14.0,14.1,65892.0,77.0
01/18/2018,14.1,14.3,13.9,13.9,54597.0,61.0
01/21/2018,13.9,14.1,13.9,13.9,49627.0,52.0
01/22/2018,14.0,14.0,13.9,13.9,50470.0,55.0
01/23/2018,13.9,14.1,13.7,13.9,83895.0,49.0
01/24/2018,13.8,13.9,13.6,13.7,110161.0,59.0
01/25/2018,13.8,14.0,13.7,13.9,49809.0,48.0
01/28/2018,13.8,13.8,13.6,13.7,53261.0,35.0
01/29/2018,13.5,13.9,13.4,13.5,138397.0,93.0
01/30/2018,13.5,13.9,13.5,13.7,22579.0,23.0
01/31/2018,13.5,13.5,12.9,13.2,58049.0,65.0
02/01/2018,13.1,13.4,13.1,13.4,45953.0,36.0
02/04/2018,13.0,13.0,12.8,12.8,41358.0,35.0
02/05/2018,12.3,13.1,12.3,13.0,73119.0,42.0
02/06/2018,13.1,13.4,12.8,12.9,115863.0,87.0
02/07/2018,13.2,13.2,12.8,12.8,78456.0,58.0
02/08/2018,12.8,13.2,12.8,13.0,90828.0,35.0
02/11/2018,13.4,13.9,13.3,13.9,134483.0,121.0
02/12/2018,13.7,13.7,13.5,13.6,29428.0,36.0
02/13/2018,13.6,13.6,13.3,13.4,78824.0,82.0
02/14/2018,13.6,14.5,13.6,13.9,151010.0,86.0
02/15/2018,13.8,13.9,13.4,13.4,188525.0,117.0
02/18/2018,13.8,14.4,13.5,13.5,130643.0,105.0
02/19/2018,13.6,13.6,13.4,13.4,86946.0,95.0
02/20/2018,13.5,13.5,13.0,13.2,72977.0,50.0
02/22/2018,13.2,13.2,12.9,13.0,57679.0,36.0
02/25/2018,13.0,13.0,12.7,12.8,96091.0,70.0
02/26/2018,12.8,12.9,12.3,12.5,100136.0,85.0
02/27/2018,12.7,12.8,12.6,12.7,24407.0,38.0
02/28/2018,12.7,12.9,12.6,12.8,17816.0,27.0
03/01/2018,12.8,12.9,12.6,12.8,96432.0,38.0
03/04/2018,12.9,13.3,12.8,12.8,85675.0,70.0
03/05/2018,13.0,13.1,12.7,12.8,64068.0,47.0
03/06/2018,13.0,13.3,12.8,12.8,136379.0,62.0
03/07/2018,12.8,12.9,12.7,12.8,37017.0,32.0
03/08/2018,12.8,12.8,12.8,12.8,36131.0,19.0
03/11/2018,12.8,12.8,12.5,12.6,22184.0,17.0
03/12/2018,12.6,12.8,12.4,12.5,26835.0,43.0
03/13/2018,12.4,12.8,12.2,12.3,36491.0,35.0
03/14/2018,12.3,12.6,12.3,12.5,19377.0,16.0
03/15/2018,12.6,12.7,12.5,12.7,51450.0,31.0
03/18/2018,12.7,12.7,12.4,12.4,76981.0,46.0
03/19/2018,12.6,12.6,12.3,12.4,23931.0,21.0
03/20/2018,12.5,12.5,12.3,12.3,8026.0,13.0
03/21/2018,12.2,12.4,12.0,12.1,44462.0,48.0
03/22/2018,12.1,12.2,11.8,11.9,78601.0,83.0
03/25/2018,12.2,12.2,11.9,12.0,25962.0,36.0
03/27/2018,11.8,12.0,11.7,11.8,20108.0,28.0
03/28/2018,11.9,12.0,11.7,11.8,15164.0,29.0
03/29/2018,11.9,12.2,11.7,12.1,55301.0,56.0
04/01/2018,12.5,12.7,12.2,12.5,92590.0,114.0
04/02/2018,12.6,12.7,12.3,12.6,64982.0,68.0
04/03/2018,12.6,12.6,12.2,12.3,45580.0,57.0
04/04/2018,12.3,12.7,12.3,12.4,138903.0,77.0
04/05/2018,12.4,12.8,12.3,12.4,134920.0,99.0
04/08/2018,12.5,12.8,12.4,12.8,182636.0,152.0
04/09/2018,12.8,13.1,12.6,13.0,220477.0,106.0
04/10/2018,13.0,13.4,12.8,12.8,249857.0,214.0
04/11/2018,12.9,13.4,12.8,12.9,233536.0,146.0
04/12/2018,13.1,13.3,12.9,13.0,108983.0,83.0
04/15/2018,13.1,13.2,12.9,13.0,76507.0,57.0
04/16/2018,13.0,13.0,12.7,12.8,205952.0,114.0
04/17/2018,13.1,13.1,12.8,13.0,96285.0,67.0
04/18/2018,13.2,13.2,12.6,12.8,91942.0,84.0
04/19/2018,12.9,13.0,12.4,12.8,151627.0,81.0
04/22/2018,12.9,13.1,12.7,13.0,74270.0,47.0
04/23/2018,12.9,12.9,12.3,12.4,35044.0,40.0
04/24/2018,12.5,12.5,12.2,12.3,32487.0,31.0
04/25/2018,12.2,12.7,12.2,12.3,39060.0,28.0
04/26/2018,12.4,12.5,12.2,12.2,42795.0,41.0
04/30/2018,12.2,12.5,12.1,12.2,44229.0,43.0
05/03/2018,12.3,12.8,12.3,12.8,126475.0,78.0
05/06/2018,12.8,12.8,12.3,12.4,37602.0,52.0
05/07/2018,12.4,12.7,12.0,12.4,105334.0,72.0
05/08/2018,12.4,12.5,12.3,12.4,21694.0,29.0
05/09/2018,12.4,12.5,12.0,12.1,139738.0,102.0
05/10/2018,12.1,12.4,12.1,12.2,106557.0,74.0
05/13/2018,12.3,12.3,12.1,12.1,56024.0,61.0
05/14/2018,12.1,12.2,12.1,12.2,73721.0,74.0
05/15/2018,12.2,12.4,12.2,12.3,32441.0,35.0
05/16/2018,12.3,12.4,11.9,12.0,67936.0,51.0
05/17/2018,12.1,12.2,11.8,11.9,33345.0,44.0
05/20/2018,11.7,12.1,11.6,11.8,35444.0,53.0
05/21/2018,12.1,12.1,11.7,11.8,48397.0,38.0
05/22/2018,12.1,12.2,11.8,12.0,52473.0,54.0
05/23/2018,11.8,12.0,11.7,11.8,41470.0,45.0
05/24/2018,11.8,12.0,11.7,11.7,69418.0,59.0
05/27/2018,11.9,12.0,11.7,11.7,90652.0,59.0
05/28/2018,11.9,11.9,11.6,11.6,62712.0,34.0
05/29/2018,11.7,11.8,11.7,11.7,18345.0,15.0
05/30/2018,11.7,11.8,11.6,11.7,40336.0,26.0
05/31/2018,11.7,11.7,11.6,11.6,10295.0,14.0
06/03/2018,11.8,12.1,11.7,12.0,109830.0,58.0
06/04/2018,12.0,12.2,12.0,12.2,139527.0,107.0
06/05/2018,12.0,12.2,11.9,12.1,177071.0,99.0
06/06/2018,12.1,12.2,11.8,12.1,255008.0,123.0
06/07/2018,12.1,12.2,11.8,12.1,255008.0,0.0
06/10/2018,11.5,12.2,11.5,11.9,85710.0,75.0
06/11/2018,12.0,12.2,12.0,12.0,39017.0,44.0
06/12/2018,12.0,12.0,11.8,11.9,58258.0,38.0
06/18/2018,11.9,12.0,11.8,11.8,93413.0,41.0
06/19/2018,11.6,12.0,11.6,11.6,102962.0,72.0
06/20/2018,11.7,11.9,11.5,11.5,135407.0,84.0
06/21/2018,11.6,11.8,11.4,11.5,77311.0,52.0
06/24/2018,11.6,12.0,11.6,11.8,129349.0,62.0
06/25/2018,11.9,11.9,11.5,11.6,94667.0,90.0
06/26/2018,11.6,11.8,11.5,11.5,48889.0,55.0
06/27/2018,11.6,11.7,11.2,11.4,138123.0,105.0
06/28/2018,11.6,11.6,11.4,11.5,52867.0,54.0
07/02/2018,11.6,11.6,11.0,11.1,109078.0,76.0
07/03/2018,11.4,11.5,11.1,11.4,153034.0,118.0
07/04/2018,11.5,11.7,11.5,11.6,32186.0,30.0
07/05/2018,11.7,11.8,11.5,11.7,98904.0,80.0
07/08/2018,11.5,11.8,11.5,11.6,80916.0,48.0
07/09/2018,11.7,11.8,11.6,11.7,159991.0,92.0
07/10/2018,11.8,12.1,11.7,11.9,195766.0,90.0
07/11/2018,11.9,12.6,11.9,12.3,162893.0,153.0
07/12/2018,12.0,12.3,11.8,11.9,58276.0,52.0
07/15/2018,11.9,12.0,11.6,11.7,79734.0,65.0
07/16/2018,11.7,12.3,11.7,11.9,183140.0,158.0
07/17/2018,11.9,12.0,11.6,11.7,49796.0,58.0
07/18/2018,11.9,11.9,11.5,11.6,95818.0,79.0
07/19/2018,11.9,11.9,11.5,11.7,50635.0,42.0
07/22/2018,11.6,11.9,11.5,11.8,55569.0,53.0
07/23/2018,11.7,11.9,11.6,11.7,104096.0,83.0
07/24/2018,11.6,11.9,11.4,11.5,96106.0,91.0
07/25/2018,11.6,11.8,11.5,11.6,35406.0,74.0
07/26/2018,11.6,11.8,11.5,11.6,46010.0,44.0
07/29/2018,11.7,11.7,11.5,11.6,34950.0,53.0
07/30/2018,11.6,11.8,11.4,11.5,93118.0,
07/31/2018,11.6,11.7,11.4,11.5,129686.0,107.0
08/01/2018,11.6,12.1,11.5,12.1,304483.0,180.0
08/02/2018,12.3,12.6,12.1,12.5,549624.0,279.0
08/05/2018,12.6,13.6,12.4,13.2,476260.0,285.0
08/06/2018,13.1,13.2,12.7,12.7,173823.0,123.0
08/07/2018,13.1,13.1,12.2,12.2,164689.0,141.0
08/08/2018,12.3,12.5,12.2,12.4,216438.0,152.0
08/09/2018,12.4,12.8,12.3,12.5,166913.0,97.0
08/12/2018,12.5,12.6,12.2,12.4,66924.0,84.0
08/13/2018,12.5,12.7,11.9,12.1,207654.0,136.0
08/14/2018,12.3,12.8,12.1,12.5,153726.0,133.0
08/16/2018,12.7,13.5,12.6,13.0,559425.0,405.0
08/19/2018,13.1,13.9,13.1,13.8,705907.0,433.0
08/20/2018,14.1,14.1,13.1,13.5,198869.0,133.0
08/26/2018,13.6,13.6,13.0,13.0,215955.0,154.0
08/27/2018,13.2,13.3,12.9,13.0,160091.0,115.0
08/28/2018,13.0,13.2,12.8,12.9,95597.0,91.0
08/29/2018,13.0,13.0,12.7,12.8,150673.0,113.0
08/30/2018,12.9,13.0,12.8,12.8,86764.0,59.0
09/03/2018,12.8,12.9,12.5,12.6,66709.0,77.0
09/04/2018,12.7,12.8,12.2,12.4,76413.0,90.0
09/05/2018,12.5,12.5,12.1,12.2,93736.0,129.0
09/06/2018,12.2,12.5,12.2,12.4,42516.0,58.0
09/09/2018,12.3,12.4,12.1,12.2,96082.0,113.0
09/10/2018,12.3,12.3,11.6,11.9,262404.0,172.0
09/11/2018,12.1,12.1,11.8,11.8,49293.0,65.0
09/12/2018,12.1,12.1,11.6,11.6,155349.0,85.0
09/13/2018,12.0,12.0,11.5,11.6,117320.0,67.0
09/16/2018,11.9,12.0,11.6,11.7,33410.0,38.0
09/17/2018,11.9,12.2,11.8,11.9,70135.0,82.0
09/18/2018,12.0,12.7,12.0,12.4,184809.0,149.0
09/19/2018,12.4,12.8,12.3,12.4,219723.0,184.0
09/20/2018,12.5,12.9,12.1,12.2,305391.0,208.0
09/23/2018,12.4,12.7,12.1,12.2,259203.0,137.0
09/24/2018,12.4,12.4,11.8,11.8,85948.0,59.0
09/25/2018,11.9,12.3,11.8,12.0,96798.0,96.0
09/26/2018,12.4,13.0,12.4,12.7,468567.0,312.0
09/27/2018,12.6,12.9,12.2,12.3,192142.0,136.0
09/30/2018,12.4,12.8,12.2,12.7,167305.0,145.0
10/01/2018,12.9,13.3,12.8,12.9,258385.0,145.0
10/02/2018,13.0,13.0,12.3,12.4,142327.0,128.0
10/03/2018,12.4,12.7,12.3,12.5,164268.0,122.0
10/04/2018,12.6,12.6,12.2,12.3,93462.0,80.0
10/07/2018,12.8,12.8,11.9,12.1,96180.0,0.0
10/08/2018,12.3,12.4,12.0,12.1,86272.0,
10/09/2018,12.2,12.3,11.9,11.9,160152.0,
10/10/2018,11.9,12.1,11.9,11.9,29229.0,0.0
10/11/2018,11.9,12.0,11.6,11.8,203931.0,204.0
10/14/2018,11.8,12.0,11.8,11.8,40853.0,62.0
10/15/2018,12.0,12.1,11.6,11.6,82009.0,61.0
10/16/2018,11.7,11.8,11.3,11.5,214463.0,116.0
10/17/2018,11.8,11.9,11.4,11.4,182882.0,73.0
10/18/2018,11.5,11.7,11.4,11.5,49524.0,41.0
10/21/2018,11.5,11.6,11.4,11.5,75883.0,73.0
10/22/2018,11.5,11.7,11.3,11.4,48197.0,58.0
10/23/2018,11.4,11.6,11.4,11.4,38823.0,41.0
10/24/2018,11.5,11.6,11.4,11.4,39312.0,42.0
10/25/2018,11.4,11.5,11.4,11.4,47646.0,
10/28/2018,11.4,11.5,11.4,11.4,156100.0,
10/29/2018,11.4,11.5,11.3,11.4,104336.0,
10/30/2018,11.8,11.8,11.6,11.7,83972.0,
10/31/2018,11.7,12.0,11.7,11.8,145616.0,
11/01/2018,11.7,11.8,11.5,11.6,55368.0,
11/04/2018,11.5,11.6,11.4,11.5,77967.0,
11/05/2018,11.5,11.6,11.4,11.4,47638.0,
11/06/2018,11.4,11.5,11.0,11.2,68357.0,
11/07/2018,11.3,11.5,11.2,11.4,57376.0,
11/08/2018,11.4,11.5,11.2,11.3,21609.0,40.0
11/11/2018,11.4,11.5,11.2,11.3,64222.0,86.0
11/12/2018,11.3,11.4,11.2,11.2,24494.0,44.0
11/13/2018,11.3,11.4,11.2,11.3,11003.0,31.0
11/14/2018,11.3,12.4,11.3,11.5,180523.0,124.0
11/15/2018,11.4,11.7,11.4,11.6,24582.0,39.0
11/18/2018,11.5,11.8,11.4,11.5,54939.0,22.0
11/19/2018,11.4,11.6,11.4,11.4,48299.0,87.0
11/20/2018,11.5,11.7,11.3,11.6,52628.0,46.0
11/22/2018,11.6,11.7,11.4,11.5,140602.0,82.0
11/25/2018,11.5,11.6,11.3,11.4,138772.0,128.0
11/26/2018,11.4,11.6,11.3,11.4,70442.0,176.0
11/27/2018,11.4,11.6,11.4,11.5,34306.0,62.0
11/28/2018,11.6,11.7,11.4,11.4,133778.0,144.0
11/29/2018,11.4,11.5,11.3,11.3,131754.0,120.0
12/02/2018,11.4,11.5,11.3,11.4,52886.0,21.0
12/03/2018,11.4,11.6,11.4,11.4,123988.0,73.0
12/04/2018,11.4,11.7,11.4,11.5,85320.0,51.0
12/05/2018,11.7,11.9,11.6,11.8,141922.0,83.0
12/06/2018,12.0,12.0,11.6,11.7,57025.0,39.0
12/09/2018,11.6,11.8,11.4,11.7,49748.0,72.0
12/10/2018,11.6,11.7,11.4,11.4,53358.0,52.0
12/11/2018,11.5,11.7,11.4,11.6,74062.0,48.0
12/12/2018,11.7,11.9,11.6,11.8,150556.0,93.0
12/13/2018,11.9,12.9,11.9,12.6,701948.0,335.0
12/17/2018,12.4,13.0,12.1,12.3,302135.0,233.0
12/18/2018,12.3,12.3,11.9,12.2,119311.0,116.0
12/19/2018,12.0,12.9,11.9,12.6,247217.0,191.0
12/20/2018,13.0,13.1,12.3,12.4,423074.0,297.0
12/23/2018,12.3,12.6,11.9,12.1,132814.0,71.0
12/24/2018,12.1,12.1,11.8,11.9,108929.0,71.0
12/26/2018,11.9,12.1,11.9,12.1,34738.0,45.0
12/27/2018,12.1,12.4,12.0,12.3,93661.0,62.0
01/01/2019,10.1,10.5,10.0,10.4,134730.0,67.0
01/02/2019,10.4,10.6,10.1,10.6,168046.0,94.0
01/03/2019,10.6,11.0,10.6,10.8,537418.0,247.0
01/06/2019,11.0,11.0,10.6,10.8,334930.0,163.0
01/07/2019,10.8,11.0,10.6,10.6,512488.0,288.0
01/08/2019,10.6,11.5,10.6,11.1,761437.0,369.0
01/09/2019,11.3,11.5,10.9,11.3,954974.0,410.0
01/10/2019,11.3,11.8,11.1,11.7,1247621.0,509.0
01/13/2019,12.0,12.9,11.8,12.6,2325119.0,789.0
01/14/2019,12.7,13.7,12.2,12.9,2298374.0,880.0
01/15/2019,12.8,13.7,12.8,13.5,2222585.0,840.0
01/16/2019,13.6,14.4,13.3,13.4,3115172.0,1076.0
01/17/2019,13.5,14.8,13.5,14.6,6475223.0,1286.0
01/20/2019,14.6,14.8,13.7,13.8,1490427.0,654.0
01/21/2019,13.7,14.5,13.6,13.8,1845917.0,829.0
