date,open,high,low,close,volume,trade
01/01/2018,66.2,67.8,66.2,67.0,125165.0,308.0
01/02/2018,67.2,68.7,67.2,68.1,138419.0,820.0
01/03/2018,68.1,68.5,67.6,67.7,228281.0,453.0
01/04/2018,68.0,68.6,67.7,67.9,271016.0,511.0
01/07/2018,68.0,68.4,67.1,67.3,166860.0,347.0
01/08/2018,68.0,68.2,66.8,67.0,104976.0,313.0
01/09/2018,66.9,67.5,66.3,66.5,183934.0,424.0
01/10/2018,66.7,67.2,66.5,66.6,68729.0,192.0
01/11/2018,66.6,66.9,66.0,66.2,169922.0,376.0
01/14/2018,66.0,67.4,65.9,66.0,70258.0,207.0
01/15/2018,65.9,66.4,64.6,64.8,103730.0,324.0
01/16/2018,65.0,65.7,64.8,65.4,59934.0,192.0
01/17/2018,66.2,66.2,64.8,65.0,75059.0,220.0
01/18/2018,65.3,65.5,64.2,64.5,82050.0,231.0
01/21/2018,65.1,66.2,64.5,65.1,63596.0,167.0
01/22/2018,65.3,65.9,64.9,65.1,122613.0,286.0
01/23/2018,66.0,66.0,65.2,65.4,74897.0,227.0
01/24/2018,65.6,65.6,64.6,64.7,147663.0,349.0
01/25/2018,64.8,65.1,64.2,64.4,105208.0,268.0
01/28/2018,64.1,64.4,63.0,63.4,116514.0,253.0
01/29/2018,62.9,63.8,62.9,63.4,54213.0,178.0
01/30/2018,63.5,64.2,62.8,63.0,90743.0,239.0
01/31/2018,62.2,62.2,59.9,60.4,179676.0,446.0
02/01/2018,61.0,61.0,59.1,59.3,95809.0,312.0
02/04/2018,58.9,58.9,56.1,56.4,115927.0,356.0
02/05/2018,56.9,58.1,55.7,56.6,226331.0,348.0
02/06/2018,57.8,58.4,57.0,57.6,54087.0,272.0
02/07/2018,57.3,58.2,56.6,57.6,78201.0,178.0
02/08/2018,57.1,57.8,57.1,57.3,32437.0,112.0
02/11/2018,58.2,62.1,58.2,61.1,196221.0,547.0
02/12/2018,61.1,61.8,59.9,60.5,120053.0,359.0
02/13/2018,60.2,62.0,59.7,61.3,121683.0,365.0
02/14/2018,61.3,62.8,61.3,61.5,130677.0,364.0
02/15/2018,61.8,61.9,60.6,60.7,150275.0,358.0
02/18/2018,60.7,60.7,58.8,59.2,87881.0,271.0
02/19/2018,60.2,60.2,58.0,58.5,92187.0,305.0
02/20/2018,58.8,61.1,58.4,59.5,161247.0,367.0
02/22/2018,59.6,60.4,59.3,59.7,42317.0,154.0
02/25/2018,59.8,59.8,57.9,58.2,51976.0,177.0
02/26/2018,57.9,58.8,57.8,58.0,41157.0,148.0
02/27/2018,58.8,58.8,57.7,57.8,72754.0,200.0
02/28/2018,58.0,59.1,58.0,58.3,52350.0,164.0
03/01/2018,58.8,60.4,58.7,59.9,71566.0,0.0
03/04/2018,60.5,61.0,59.3,59.5,79990.0,0.0
03/05/2018,59.9,62.9,59.3,62.5,492093.0,943.0
03/06/2018,62.8,65.9,62.8,65.6,885125.0,1704.0
03/07/2018,65.5,66.0,63.6,64.2,435234.0,903.0
03/08/2018,63.6,63.9,62.6,62.9,169984.0,431.0
03/11/2018,63.0,63.2,61.6,61.8,148721.0,352.0
03/12/2018,61.3,61.3,59.8,60.1,87234.0,305.0
03/13/2018,59.8,61.0,58.7,58.9,125528.0,373.0
03/14/2018,59.6,60.9,58.7,59.8,98049.0,279.0
03/15/2018,59.5,61.2,59.5,60.8,75685.0,282.0
03/18/2018,60.1,60.8,58.9,59.5,113043.0,355.0
03/19/2018,59.9,60.3,58.7,58.7,62546.0,169.0
03/20/2018,58.3,59.9,58.2,58.6,129394.0,308.0
03/21/2018,58.7,59.5,58.2,59.3,132040.0,313.0
03/22/2018,59.4,59.7,58.6,59.0,127009.0,187.0
03/25/2018,59.4,60.3,59.4,59.9,101655.0,318.0
03/27/2018,58.9,59.5,58.2,58.3,79924.0,164.0
03/28/2018,58.2,59.6,57.9,58.2,120971.0,193.0
03/29/2018,58.2,59.4,58.2,58.8,63528.0,109.0
04/01/2018,59.6,60.6,59.5,60.3,62275.0,200.0
04/02/2018,60.5,60.8,59.5,60.3,260338.0,528.0
04/03/2018,60.5,61.6,59.7,59.9,164106.0,424.0
04/04/2018,60.2,61.1,60.2,60.8,124931.0,346.0
04/05/2018,60.9,62.8,60.8,61.7,316445.0,912.0
04/08/2018,62.3,62.8,61.4,61.6,205155.0,471.0
04/09/2018,61.6,61.9,60.6,60.9,184789.0,469.0
04/10/2018,61.2,61.6,60.5,60.6,162857.0,365.0
04/11/2018,60.5,61.1,59.4,59.7,125946.0,322.0
04/12/2018,59.6,60.0,58.5,58.8,159252.0,400.0
04/15/2018,59.6,59.9,58.0,58.2,114977.0,298.0
04/16/2018,60.8,60.8,57.7,58.5,140621.0,291.0
04/17/2018,58.8,59.4,57.7,57.9,265248.0,461.0
04/18/2018,58.8,59.3,57.7,57.8,285451.0,397.0
04/19/2018,58.2,58.4,57.7,57.8,141171.0,308.0
04/22/2018,57.8,58.1,57.1,57.2,96910.0,266.0
04/23/2018,57.5,58.1,57.1,57.8,80296.0,203.0
04/24/2018,58.2,58.4,57.0,57.1,93837.0,290.0
04/25/2018,57.1,57.8,57.1,57.6,54259.0,130.0
04/26/2018,58.0,58.3,57.7,58.2,72954.0,164.0
04/30/2018,57.4,57.5,57.1,57.1,54467.0,184.0
05/03/2018,57.1,57.8,55.9,56.3,105487.0,352.0
05/06/2018,56.8,57.7,56.5,56.7,93521.0,223.0
05/07/2018,57.0,57.6,56.5,56.6,99809.0,262.0
05/08/2018,57.0,57.4,56.0,56.2,147398.0,345.0
05/09/2018,56.7,56.7,56.0,56.2,94536.0,278.0
05/10/2018,56.6,58.2,56.3,58.0,249312.0,588.0
05/13/2018,58.2,58.4,56.8,57.0,83750.0,247.0
05/14/2018,57.5,57.5,56.4,56.5,121932.0,235.0
05/15/2018,57.1,57.1,55.7,56.0,113825.0,293.0
05/16/2018,56.1,56.5,54.7,55.1,83958.0,266.0
05/17/2018,55.1,55.3,53.5,53.7,119793.0,332.0
05/20/2018,53.9,53.9,51.9,52.1,90128.0,272.0
05/21/2018,52.1,53.5,52.0,52.3,100225.0,176.0
05/22/2018,52.3,52.6,51.5,51.8,81648.0,230.0
05/23/2018,51.5,52.2,51.0,51.4,119805.0,263.0
05/24/2018,51.0,51.7,49.3,50.5,164428.0,502.0
05/27/2018,51.0,53.0,51.0,52.7,203546.0,605.0
05/28/2018,52.7,52.7,51.1,51.3,88632.0,250.0
05/29/2018,52.0,52.1,51.0,51.7,97350.0,197.0
05/30/2018,51.8,52.2,51.1,51.2,78013.0,265.0
05/31/2018,51.3,51.3,50.2,50.4,66018.0,158.0
06/03/2018,50.6,51.1,50.0,50.3,45535.0,145.0
06/04/2018,50.3,52.6,50.3,51.5,197004.0,539.0
06/05/2018,51.6,54.2,50.9,53.7,318471.0,832.0
06/06/2018,54.1,55.5,53.9,54.7,302755.0,742.0
06/07/2018,54.7,56.0,53.8,54.3,359462.0,678.0
06/10/2018,55.1,55.1,52.6,52.9,108292.0,274.0
06/11/2018,52.0,53.9,52.0,53.4,102141.0,202.0
06/12/2018,53.1,54.7,53.1,54.1,206211.0,521.0
06/18/2018,53.7,54.3,53.2,53.4,118749.0,291.0
06/19/2018,54.0,56.0,53.7,55.5,369460.0,712.0
06/20/2018,55.9,59.0,55.9,58.0,700232.0,1364.0
06/21/2018,58.0,61.6,57.1,60.3,838856.0,1599.0
06/24/2018,60.4,60.9,57.3,58.2,458640.0,845.0
06/25/2018,58.2,58.3,55.2,55.7,359651.0,653.0
06/26/2018,55.4,56.8,54.6,55.2,151624.0,501.0
06/27/2018,56.0,56.9,55.3,55.4,164664.0,384.0
