date,open,high,low,close,volume,trade
01/01/2018,41.3,41.3,40.9,41.3,436713.0,339.0
01/02/2018,41.6,41.6,41.0,41.0,80488.0,564.0
01/03/2018,41.0,41.3,41.0,41.2,762493.0,444.0
01/04/2018,41.2,41.5,40.9,41.0,845419.0,543.0
01/07/2018,41.1,41.2,40.9,41.0,424552.0,369.0
01/08/2018,41.0,41.2,40.8,41.0,534780.0,402.0
01/09/2018,41.0,41.3,40.9,41.1,474889.0,333.0
01/10/2018,41.3,41.3,41.0,41.1,361298.0,406.0
01/11/2018,41.1,41.2,41.0,41.0,459320.0,459.0
01/14/2018,41.0,41.2,40.4,40.6,401243.0,481.0
01/15/2018,41.0,41.0,39.3,39.6,508918.0,586.0
01/16/2018,39.8,40.2,39.3,40.0,352861.0,240.0
01/17/2018,40.2,40.2,39.8,39.8,493126.0,311.0
01/18/2018,40.0,40.0,39.4,39.8,218660.0,239.0
01/21/2018,39.8,40.5,39.6,40.3,349723.0,431.0
01/22/2018,40.5,40.8,40.1,40.2,973128.0,981.0
01/23/2018,40.4,40.4,39.2,39.5,1284721.0,1347.0
01/24/2018,40.0,40.0,39.6,40.0,373193.0,405.0
01/25/2018,40.0,40.0,39.6,39.9,193606.0,244.0
01/28/2018,40.4,40.4,38.9,39.1,358152.0,563.0
01/29/2018,39.5,39.6,38.7,39.1,737326.0,881.0
01/30/2018,39.2,39.6,38.9,39.1,418734.0,486.0
01/31/2018,39.3,39.3,38.3,38.4,377891.0,578.0
02/01/2018,38.4,38.7,38.2,38.3,199824.0,326.0
02/04/2018,38.2,38.2,37.2,37.4,282228.0,392.0
02/05/2018,37.5,37.8,36.2,37.2,544747.0,523.0
02/06/2018,37.3,38.0,37.2,37.8,327101.0,386.0
02/07/2018,37.6,37.8,37.1,37.2,350685.0,407.0
02/08/2018,37.6,37.6,37.4,37.6,176131.0,260.0
02/11/2018,37.6,38.7,37.6,38.5,330119.0,435.0
02/12/2018,38.9,38.9,38.2,38.7,321191.0,399.0
02/13/2018,38.7,38.9,38.4,38.7,186379.0,296.0
02/14/2018,38.7,38.8,38.2,38.5,607068.0,628.0
02/15/2018,38.5,38.5,38.2,38.2,400968.0,459.0
02/18/2018,38.4,38.5,37.8,38.0,573088.0,645.0
02/19/2018,38.4,38.5,37.8,38.0,573088.0,0.0
02/20/2018,37.9,38.9,37.0,37.1,452150.0,700.0
02/22/2018,37.4,37.4,36.1,36.4,212001.0,393.0
02/25/2018,36.4,36.4,35.4,35.6,210250.0,362.0
02/26/2018,35.5,35.5,35.1,35.1,283803.0,388.0
02/27/2018,35.3,35.5,35.2,35.5,203660.0,271.0
02/28/2018,35.5,36.1,35.1,35.8,185313.0,369.0
03/01/2018,35.9,35.9,35.5,35.7,150686.0,245.0
03/04/2018,35.9,35.9,35.5,35.6,181169.0,223.0
03/05/2018,35.7,35.7,35.2,35.2,124071.0,219.0
03/06/2018,35.4,35.7,35.2,35.5,285926.0,339.0
03/07/2018,35.6,35.7,35.2,35.3,292744.0,289.0
03/08/2018,35.3,35.9,35.3,35.5,248499.0,231.0
03/11/2018,35.9,35.9,35.1,35.2,149394.0,212.0
03/12/2018,35.3,35.5,34.6,34.9,152163.0,168.0
03/13/2018,35.0,35.1,34.3,34.5,321744.0,213.0
03/14/2018,35.1,35.1,33.9,34.3,175222.0,234.0
03/15/2018,34.3,34.8,34.3,34.6,157578.0,190.0
03/18/2018,34.8,34.9,34.4,34.6,80449.0,163.0
03/19/2018,34.5,34.6,34.0,34.1,147863.0,169.0
03/20/2018,34.2,34.2,33.7,33.7,143877.0,195.0
03/21/2018,33.7,33.8,33.1,33.3,90348.0,120.0
03/22/2018,33.4,33.7,32.8,33.1,183751.0,282.0
03/25/2018,33.5,33.8,33.3,33.4,101526.0,205.0
03/27/2018,33.4,33.4,32.8,32.9,76493.0,129.0
03/28/2018,33.1,33.4,33.1,33.3,170353.0,267.0
03/29/2018,33.4,36.1,33.2,34.6,155581.0,264.0
04/01/2018,34.7,35.5,34.7,35.0,126769.0,209.0
04/02/2018,35.5,36.0,34.7,35.5,195293.0,261.0
04/03/2018,35.5,36.0,34.8,35.1,271311.0,385.0
04/04/2018,35.5,35.5,34.9,34.9,69144.0,121.0
04/05/2018,34.9,35.6,34.8,35.4,141657.0,213.0
04/08/2018,35.4,36.1,35.3,35.8,271480.0,296.0
04/09/2018,35.8,36.4,35.6,36.3,205189.0,255.0
04/10/2018,36.3,36.7,35.2,35.5,584772.0,517.0
04/11/2018,35.6,36.1,35.5,35.5,232794.0,208.0
04/12/2018,35.5,35.5,35.2,35.3,297797.0,242.0
04/15/2018,35.4,35.4,34.9,35.0,228965.0,217.0
04/16/2018,34.9,35.2,34.6,34.9,146959.0,144.0
04/17/2018,34.9,35.2,34.6,34.8,146422.0,240.0
04/18/2018,34.7,35.1,34.6,34.9,51388.0,132.0
04/19/2018,35.1,35.4,34.6,35.2,272433.0,298.0
04/22/2018,34.9,35.5,34.6,34.7,277404.0,241.0
04/23/2018,34.6,34.9,34.5,34.6,234278.0,255.0
04/24/2018,34.6,34.7,34.0,34.3,208260.0,237.0
04/25/2018,34.2,34.6,34.1,34.3,164411.0,207.0
04/26/2018,34.3,34.6,34.0,34.2,86817.0,217.0
04/30/2018,34.2,34.2,33.4,33.7,184891.0,276.0
05/03/2018,33.7,33.8,33.4,33.5,158402.0,360.0
05/06/2018,33.5,34.0,33.4,33.6,227952.0,394.0
05/07/2018,33.7,34.4,33.7,34.0,333565.0,505.0
05/08/2018,34.1,34.1,33.5,33.6,164787.0,263.0
05/09/2018,33.8,33.8,33.3,33.4,237962.0,353.0
05/10/2018,33.5,33.5,33.1,33.2,341026.0,483.0
05/13/2018,33.4,33.7,33.1,33.2,115478.0,235.0
05/14/2018,32.3,33.4,32.3,33.1,153950.0,273.0
05/15/2018,33.2,33.3,32.9,33.1,154770.0,299.0
05/16/2018,32.7,33.1,32.7,32.8,118050.0,208.0
05/17/2018,32.8,33.1,32.2,32.3,276112.0,381.0
05/20/2018,33.1,33.1,31.9,31.9,178946.0,263.0
05/21/2018,31.9,32.5,31.9,32.1,111024.0,153.0
05/22/2018,32.2,32.3,31.9,32.2,176792.0,208.0
05/23/2018,31.9,32.2,31.9,32.1,111599.0,183.0
05/24/2018,32.1,32.5,32.0,32.2,180011.0,186.0
05/27/2018,32.2,32.8,32.2,32.6,156027.0,240.0
05/28/2018,32.5,32.8,31.9,32.4,214059.0,291.0
05/29/2018,32.4,32.5,31.7,32.2,122039.0,198.0
05/30/2018,32.2,32.4,32.2,32.3,62800.0,127.0
05/31/2018,32.2,32.8,32.0,32.2,116053.0,125.0
06/03/2018,32.5,32.5,31.8,32.1,212956.0,195.0
06/04/2018,32.2,32.2,31.8,32.0,91792.0,121.0
06/05/2018,31.9,32.4,31.8,32.2,118423.0,161.0
06/06/2018,32.1,32.5,32.1,32.2,178247.0,189.0
06/07/2018,32.3,32.5,32.1,32.2,115349.0,213.0
06/10/2018,32.2,32.4,32.0,32.2,57030.0,146.0
06/11/2018,32.4,33.0,32.1,32.2,67726.0,71.0
06/12/2018,32.6,32.6,32.2,32.5,111440.0,155.0
06/18/2018,32.2,32.5,32.0,32.2,153235.0,178.0
06/19/2018,32.2,32.6,31.9,32.0,280628.0,257.0
06/20/2018,32.3,33.3,32.2,32.9,318248.0,430.0
06/21/2018,33.1,33.5,32.6,33.1,381738.0,431.0
06/24/2018,33.4,33.7,32.8,33.5,357917.0,354.0
06/25/2018,33.4,33.9,32.7,32.8,236195.0,321.0
06/26/2018,32.8,33.4,32.4,32.5,235303.0,320.0
06/27/2018,32.9,32.9,32.2,32.4,255862.0,414.0
06/28/2018,32.3,32.7,32.2,32.3,157975.0,242.0
07/02/2018,32.1,33.7,32.0,33.4,556378.0,665.0
07/03/2018,33.7,36.7,33.7,36.7,2425535.0,1318.0
07/04/2018,37.6,38.8,36.7,38.0,2187730.0,1750.0
07/05/2018,38.3,38.8,36.1,36.2,1780424.0,1217.0
07/08/2018,36.2,37.2,35.4,35.5,466969.0,596.0
07/09/2018,35.4,36.4,35.2,35.3,570921.0,578.0
07/10/2018,35.8,37.2,35.2,35.6,971785.0,847.0
07/11/2018,36.1,37.3,35.8,36.1,1387913.0,1026.0
07/12/2018,36.4,36.4,35.0,35.3,454929.0,561.0
07/15/2018,35.3,35.8,34.0,34.4,587468.0,719.0
07/16/2018,34.5,35.5,34.4,35.0,280761.0,328.0
07/17/2018,35.5,35.5,34.1,34.3,409645.0,423.0
07/18/2018,33.8,34.2,32.9,33.1,574421.0,631.0
07/19/2018,33.1,33.1,31.7,32.2,627055.0,766.0
07/22/2018,31.9,35.1,31.9,34.1,643529.0,720.0
07/23/2018,34.2,34.4,33.1,33.2,429161.0,574.0
07/24/2018,32.9,33.7,32.8,33.0,229368.0,351.0
07/25/2018,32.9,34.2,32.9,33.0,230724.0,302.0
07/26/2018,33.2,33.4,32.9,33.1,225667.0,251.0
07/29/2018,33.1,33.1,32.3,32.5,258307.0,308.0
07/30/2018,32.7,32.7,32.1,32.2,149957.0,
07/31/2018,32.2,32.5,32.1,32.2,148001.0,265.0
08/01/2018,32.3,32.8,31.9,32.2,462298.0,457.0
08/02/2018,32.2,32.5,31.9,32.2,541012.0,500.0
08/05/2018,32.2,32.2,31.2,31.3,372023.0,618.0
08/06/2018,31.4,31.8,31.1,31.3,213637.0,338.0
08/07/2018,31.3,31.3,31.0,31.0,443179.0,487.0
08/08/2018,31.0,31.4,30.7,30.8,566148.0,596.0
08/09/2018,30.9,30.9,30.1,30.4,464721.0,484.0
08/12/2018,30.4,30.5,30.0,30.1,190828.0,318.0
08/13/2018,30.1,30.4,29.9,30.1,314639.0,427.0
08/14/2018,30.1,30.4,29.9,30.0,193373.0,413.0
08/16/2018,30.1,31.2,30.1,30.3,225049.0,338.0
08/19/2018,30.3,31.6,30.3,31.1,249369.0,358.0
08/20/2018,31.1,31.3,30.8,31.0,274570.0,278.0
08/26/2018,31.2,31.5,31.0,31.2,182110.0,210.0
08/27/2018,31.0,31.6,30.8,31.3,279025.0,351.0
08/28/2018,31.5,32.2,31.4,31.8,221753.0,361.0
08/29/2018,31.9,31.9,31.4,31.6,255164.0,328.0
08/30/2018,31.6,32.2,31.3,31.6,239348.0,288.0
09/03/2018,38.5,38.8,38.3,38.4,254755.0,295.0
09/04/2018,38.5,38.8,38.3,38.5,158308.0,293.0
09/05/2018,38.5,40.6,38.5,39.9,751470.0,1061.0
09/06/2018,40.3,40.6,39.5,39.9,310396.0,512.0
09/09/2018,39.8,40.1,38.8,38.9,299378.0,354.0
09/10/2018,38.9,39.5,38.3,38.5,260444.0,340.0
09/11/2018,38.5,38.9,38.3,38.3,161694.0,241.0
09/12/2018,38.4,38.6,38.2,38.2,275069.0,282.0
09/13/2018,38.2,38.5,37.8,37.9,234130.0,360.0
09/16/2018,37.9,38.4,37.8,37.9,125825.0,213.0
09/17/2018,38.0,38.2,37.0,37.3,206070.0,345.0
09/18/2018,37.4,37.6,36.9,37.1,163244.0,269.0
09/19/2018,37.1,37.9,36.8,37.1,237266.0,327.0
09/20/2018,37.2,37.6,36.9,37.4,328798.0,281.0
09/23/2018,37.4,38.1,37.2,37.6,238452.0,256.0
09/24/2018,37.5,37.8,37.1,37.2,364197.0,312.0
09/25/2018,37.3,37.8,37.1,37.2,111845.0,189.0
09/26/2018,37.1,37.5,37.1,37.3,114788.0,198.0
09/27/2018,37.2,37.3,37.0,37.1,190663.0,216.0
09/30/2018,37.0,37.4,36.8,37.2,75295.0,134.0
10/01/2018,37.1,37.5,36.9,37.1,80462.0,134.0
10/02/2018,37.1,38.0,37.1,37.6,162169.0,252.0
10/03/2018,37.5,38.0,37.1,37.7,235186.0,233.0
10/04/2018,37.4,38.0,37.2,37.4,104937.0,133.0
10/07/2018,37.4,37.5,37.0,37.3,150826.0,0.0
10/08/2018,36.5,38.1,36.5,37.7,145682.0,
10/09/2018,37.4,38.1,37.4,37.9,169666.0,
10/10/2018,37.6,38.7,37.5,37.7,296238.0,0.0
10/11/2018,38.0,38.2,37.5,37.6,106029.0,160.0
10/14/2018,38.6,38.6,37.3,37.3,93000.0,138.0
10/15/2018,37.4,37.5,37.3,37.4,93734.0,142.0
10/16/2018,37.3,37.5,37.2,37.5,127855.0,124.0
10/17/2018,37.5,37.5,37.1,37.2,126210.0,136.0
10/18/2018,37.1,37.4,36.8,37.1,122735.0,131.0
10/21/2018,37.2,37.4,36.5,36.8,79882.0,133.0
10/22/2018,36.8,36.8,36.4,36.5,122004.0,171.0
10/23/2018,36.4,36.4,34.9,35.3,155972.0,282.0
10/24/2018,35.5,35.5,34.5,34.7,149497.0,258.0
10/25/2018,34.7,35.2,34.6,34.8,76095.0,
10/28/2018,34.7,35.5,34.1,34.3,83414.0,
10/29/2018,34.4,34.9,34.3,34.8,45912.0,
10/30/2018,34.8,35.5,34.5,34.6,119342.0,
10/31/2018,34.7,34.7,34.1,34.2,88965.0,
11/01/2018,34.5,34.9,34.4,34.5,84882.0,
11/04/2018,34.6,35.2,34.5,34.9,60380.0,
11/05/2018,35.3,35.4,34.8,35.0,65248.0,
11/06/2018,34.9,35.1,34.7,34.9,61920.0,
