date,open,high,low,close,volume,trade
01/01/2018,127.1,128.1,126.1,126.4,27137.0,119.0
01/02/2018,127.9,127.9,127.0,127.7,1105.0,331.0
01/03/2018,128.8,131.9,128.8,129.7,40205.0,216.0
01/04/2018,130.9,131.7,128.3,131.0,44069.0,253.0
01/07/2018,131.7,133.4,130.6,133.0,67607.0,346.0
01/08/2018,134.0,134.0,131.1,132.1,40077.0,206.0
01/09/2018,132.6,132.6,131.1,131.5,36366.0,176.0
01/10/2018,131.5,132.8,130.6,130.8,43502.0,249.0
01/11/2018,130.5,131.0,130.0,130.4,42797.0,222.0
01/14/2018,130.9,131.3,127.2,128.1,37319.0,216.0
01/15/2018,128.8,129.0,126.2,127.3,47480.0,200.0
01/16/2018,126.5,129.0,126.5,126.8,39195.0,258.0
01/17/2018,128.0,130.0,126.2,129.4,48189.0,225.0
01/18/2018,128.0,129.9,128.0,128.8,20620.0,90.0
01/21/2018,129.6,130.0,128.4,128.7,24839.0,80.0
01/22/2018,129.9,131.0,129.5,129.5,29589.0,103.0
01/23/2018,130.5,130.9,129.4,130.0,33983.0,146.0
01/24/2018,130.1,133.4,130.1,132.7,54415.0,222.0
01/25/2018,133.0,134.8,131.4,133.1,65233.0,217.0
01/28/2018,133.7,134.0,129.5,131.3,40240.0,111.0
01/29/2018,131.0,132.2,130.4,131.7,12000.0,66.0
01/30/2018,131.7,133.0,128.7,130.1,33423.0,153.0
01/31/2018,130.0,130.4,127.5,127.8,46861.0,93.0
02/01/2018,128.0,130.7,128.0,128.6,28138.0,138.0
02/04/2018,127.5,134.0,126.2,132.6,137333.0,410.0
02/05/2018,130.6,133.0,129.5,130.3,25522.0,127.0
02/06/2018,131.9,131.9,129.1,129.4,12862.0,81.0
02/07/2018,129.3,132.0,129.3,131.0,16741.0,79.0
02/08/2018,131.0,131.5,129.8,131.2,9360.0,33.0
02/11/2018,130.2,135.0,130.0,134.3,57819.0,303.0
02/12/2018,133.4,133.9,131.6,133.1,23633.0,114.0
02/13/2018,132.4,139.9,132.4,136.9,109046.0,446.0
02/14/2018,137.8,139.6,135.1,136.4,71978.0,469.0
02/15/2018,136.1,136.1,132.5,133.0,61415.0,226.0
02/18/2018,134.9,134.9,131.5,132.9,39265.0,218.0
02/19/2018,134.6,141.5,133.6,139.4,188830.0,642.0
02/20/2018,139.4,144.8,138.0,139.5,120693.0,564.0
02/22/2018,140.0,143.8,138.2,138.9,81114.0,403.0
02/25/2018,138.6,141.5,136.8,137.5,49259.0,305.0
02/26/2018,138.0,140.4,133.0,135.2,60412.0,324.0
02/27/2018,138.0,138.0,134.0,134.5,36265.0,191.0
02/28/2018,136.2,137.0,133.6,134.2,56360.0,248.0
03/01/2018,135.1,136.4,133.1,134.1,35197.0,251.0
03/04/2018,134.5,137.6,134.5,137.0,27964.0,167.0
03/05/2018,136.1,142.7,136.1,140.4,156721.0,748.0
03/06/2018,140.4,144.7,139.5,142.2,109779.0,534.0
03/07/2018,140.0,141.3,137.6,137.8,46022.0,313.0
03/08/2018,136.7,138.7,136.4,137.1,27777.0,193.0
03/11/2018,138.2,138.8,135.0,135.5,37860.0,176.0
03/12/2018,134.5,135.1,132.1,133.7,32177.0,157.0
03/13/2018,133.5,133.5,129.4,130.7,35190.0,202.0
03/14/2018,134.1,134.1,129.9,131.6,26093.0,121.0
03/15/2018,133.6,133.8,132.0,133.3,15151.0,140.0
03/18/2018,132.6,133.8,132.5,132.9,13107.0,84.0
03/19/2018,132.1,134.0,130.0,131.0,14863.0,135.0
03/20/2018,132.8,132.8,130.0,130.3,18804.0,106.0
03/21/2018,131.6,131.6,127.0,129.9,23427.0,143.0
03/22/2018,131.8,139.8,129.0,137.9,126171.0,367.0
03/25/2018,135.0,138.0,134.5,134.9,34597.0,163.0
03/27/2018,135.9,136.0,131.0,131.1,20960.0,130.0
03/28/2018,131.1,133.1,129.9,130.9,15132.0,84.0
03/29/2018,131.9,133.4,131.0,131.8,18798.0,103.0
04/01/2018,134.4,134.7,132.2,134.3,20139.0,111.0
04/02/2018,132.5,137.0,132.5,134.3,38704.0,176.0
04/03/2018,134.6,135.6,133.3,133.6,28287.0,192.0
04/04/2018,131.3,136.0,131.3,133.4,27684.0,137.0
04/05/2018,133.5,137.0,133.5,135.8,47235.0,217.0
04/08/2018,137.5,137.5,133.0,133.8,35057.0,217.0
04/09/2018,133.2,134.6,132.9,133.0,42064.0,270.0
04/10/2018,134.0,134.8,132.7,133.0,31143.0,169.0
04/11/2018,132.6,136.0,132.6,135.2,54602.0,273.0
04/12/2018,135.9,139.8,135.9,137.1,80146.0,391.0
04/15/2018,135.0,139.0,135.0,137.3,42112.0,222.0
04/16/2018,135.0,139.8,135.0,138.7,120887.0,583.0
04/17/2018,137.1,140.0,135.3,137.5,67661.0,233.0
04/18/2018,136.0,143.6,136.0,142.7,273459.0,997.0
04/19/2018,140.2,143.7,138.0,139.5,64361.0,340.0
04/22/2018,136.9,138.7,134.5,135.3,82780.0,491.0
04/23/2018,135.3,139.5,135.3,136.8,62369.0,368.0
04/24/2018,135.0,137.9,135.0,135.7,40164.0,187.0
04/25/2018,135.0,136.8,134.0,135.2,29718.0,166.0
04/26/2018,132.3,135.7,132.3,134.1,37170.0,163.0
04/30/2018,132.1,132.2,130.2,131.5,58544.0,291.0
05/03/2018,131.0,133.9,130.6,133.1,22783.0,128.0
05/06/2018,132.4,139.0,132.4,137.3,61946.0,181.0
05/07/2018,134.3,138.0,134.3,137.4,34836.0,189.0
05/08/2018,135.0,139.1,134.6,136.7,37896.0,118.0
05/09/2018,135.0,137.3,135.0,135.4,15892.0,99.0
05/10/2018,132.2,136.9,132.2,134.1,22968.0,108.0
05/13/2018,132.6,137.0,132.6,133.3,7266.0,34.0
05/14/2018,133.0,135.9,133.0,133.2,8389.0,72.0
05/15/2018,133.0,134.9,132.5,133.2,20910.0,103.0
05/16/2018,132.0,134.5,132.0,132.8,9453.0,40.0
05/17/2018,132.8,133.0,132.0,132.4,15435.0,111.0
05/20/2018,132.5,133.5,130.0,130.7,27730.0,158.0
05/21/2018,130.4,133.0,129.0,130.4,32244.0,144.0
05/22/2018,130.4,132.5,129.6,130.4,37983.0,170.0
05/23/2018,135.8,135.8,130.6,130.7,23071.0,59.0
05/24/2018,130.7,131.7,130.0,130.5,18990.0,89.0
05/27/2018,130.5,132.9,130.3,130.5,17918.0,99.0
05/28/2018,130.5,131.7,128.4,128.9,9406.0,53.0
05/29/2018,126.0,130.0,125.9,129.5,8695.0,55.0
05/30/2018,130.6,131.4,127.5,128.4,15699.0,74.0
05/31/2018,129.0,133.8,129.0,131.7,38674.0,159.0
06/03/2018,129.1,131.8,129.1,131.0,3625.0,30.0
06/04/2018,132.2,134.8,132.2,133.2,22201.0,175.0
06/05/2018,134.8,136.9,133.5,135.2,35501.0,214.0
06/06/2018,136.4,138.0,134.6,135.5,144684.0,453.0
06/07/2018,136.0,136.9,132.0,133.0,15513.0,98.0
06/10/2018,130.0,136.5,130.0,133.4,51264.0,288.0
06/11/2018,135.0,137.2,134.1,134.9,34396.0,209.0
06/12/2018,135.5,137.0,134.0,136.1,32631.0,143.0
06/18/2018,136.9,148.0,136.9,145.8,266036.0,1143.0
06/19/2018,147.0,148.0,140.1,141.4,90571.0,483.0
06/20/2018,141.4,145.4,137.3,144.2,180160.0,739.0
06/21/2018,145.0,150.0,142.0,143.7,169119.0,778.0
06/24/2018,143.7,144.0,138.1,138.5,70810.0,413.0
06/25/2018,139.9,139.9,135.4,135.7,48874.0,329.0
06/26/2018,135.0,139.7,135.0,137.1,45646.0,255.0
06/27/2018,139.0,141.9,137.5,138.1,63964.0,340.0
06/28/2018,139.1,144.5,138.2,143.7,183340.0,902.0
07/02/2018,144.0,157.0,144.0,152.4,461212.0,1687.0
07/03/2018,152.9,154.3,143.0,144.3,125510.0,684.0
07/04/2018,145.0,158.7,144.6,158.3,504224.0,1593.0
07/05/2018,167.0,170.0,152.2,156.3,321188.0,1331.0
07/08/2018,156.0,158.0,144.0,146.0,237860.0,1187.0
07/09/2018,145.6,149.8,144.2,145.7,204348.0,824.0
07/10/2018,147.5,152.0,143.0,143.7,135312.0,685.0
07/11/2018,143.4,146.0,138.2,139.0,166704.0,735.0
07/12/2018,142.0,143.9,137.0,141.4,76354.0,738.0
07/15/2018,143.0,146.0,138.8,139.6,102229.0,555.0
07/16/2018,142.7,145.0,140.9,141.3,80823.0,371.0
07/17/2018,141.3,149.4,140.5,148.3,162417.0,739.0
07/18/2018,149.8,154.0,146.0,146.7,153882.0,861.0
07/19/2018,146.5,153.0,145.5,146.2,141455.0,708.0
07/22/2018,147.1,150.7,144.1,144.9,125800.0,660.0
07/23/2018,143.9,159.2,143.9,157.8,443653.0,1650.0
07/24/2018,158.0,166.8,152.0,160.9,524360.0,2182.0
07/25/2018,158.0,164.8,155.6,156.2,212956.0,952.0
07/26/2018,154.7,158.0,148.0,149.0,206568.0,793.0
07/29/2018,154.8,157.8,149.1,150.9,114832.0,613.0
07/30/2018,149.2,153.9,147.1,148.1,112043.0,
07/31/2018,152.0,152.3,147.4,147.9,114440.0,465.0
08/01/2018,152.3,152.3,146.2,146.8,74798.0,355.0
08/02/2018,150.0,150.6,144.1,145.2,95615.0,480.0
08/05/2018,149.7,155.0,145.8,146.7,115105.0,449.0
08/06/2018,147.0,148.9,145.2,147.4,56931.0,263.0
08/07/2018,147.1,152.5,147.1,148.4,75233.0,403.0
08/08/2018,149.8,151.0,145.8,146.7,46093.0,231.0
08/09/2018,146.0,148.3,143.2,144.3,85304.0,367.0
08/12/2018,144.5,150.3,141.0,143.3,75049.0,269.0
08/13/2018,143.5,145.8,142.5,143.1,27147.0,185.0
08/14/2018,143.1,150.0,141.5,146.0,136304.0,432.0
08/16/2018,150.0,151.0,145.5,146.0,76204.0,288.0
08/19/2018,148.6,152.0,143.4,144.9,55442.0,288.0
08/20/2018,143.9,148.0,143.0,146.7,44900.0,210.0
08/26/2018,146.7,150.5,145.6,150.0,65704.0,318.0
08/27/2018,150.9,152.4,147.5,148.2,95377.0,330.0
08/28/2018,149.7,152.4,146.5,149.0,126362.0,380.0
08/29/2018,150.0,150.0,146.4,147.1,60219.0,236.0
08/30/2018,148.0,148.5,146.2,146.8,38502.0,195.0
09/03/2018,148.5,148.5,146.0,146.4,58954.0,171.0
09/04/2018,148.7,151.0,146.2,147.5,32494.0,143.0
09/05/2018,149.0,150.6,147.8,149.4,66601.0,314.0
09/06/2018,151.5,156.8,150.4,155.2,152090.0,645.0
09/09/2018,158.0,165.0,155.0,160.3,185655.0,693.0
09/10/2018,162.3,167.0,160.0,162.8,223046.0,715.0
09/11/2018,163.5,165.9,159.3,160.9,176264.0,671.0
09/12/2018,164.2,174.8,157.7,172.2,363445.0,1435.0
09/13/2018,173.4,178.0,165.0,168.7,197019.0,894.0
09/16/2018,168.7,177.0,165.0,175.9,275234.0,1003.0
09/17/2018,178.0,186.9,178.0,184.7,372318.0,1411.0
09/18/2018,185.0,185.0,178.3,180.4,159589.0,705.0
09/19/2018,182.1,187.0,179.3,180.5,372843.0,1290.0
09/20/2018,180.5,183.1,175.0,177.1,114038.0,466.0
09/23/2018,178.1,181.0,170.0,171.6,81776.0,502.0
09/24/2018,173.4,173.4,162.8,165.0,82738.0,388.0
09/25/2018,167.9,171.4,163.5,168.1,79844.0,305.0
09/26/2018,169.9,173.9,163.7,165.4,63135.0,296.0
09/27/2018,168.5,168.5,158.0,159.6,58191.0,353.0
09/30/2018,160.6,167.0,158.1,165.2,56908.0,254.0
10/01/2018,161.3,170.0,161.3,164.6,52130.0,254.0
10/02/2018,162.1,167.0,160.2,161.4,51862.0,208.0
