date,open,high,low,close,volume,trade
01/01/2018,15.6,15.8,15.4,15.7,602792.0,277.0
01/02/2018,15.7,16.0,15.7,15.9,185536.0,496.0
01/03/2018,16.2,16.5,15.9,16.0,1367629.0,557.0
01/04/2018,16.2,16.2,15.8,16.1,569142.0,288.0
01/07/2018,16.3,16.4,16.0,16.0,793119.0,412.0
01/08/2018,16.1,16.3,15.9,16.0,1067799.0,387.0
01/09/2018,16.2,16.2,15.8,15.9,444596.0,322.0
01/10/2018,16.0,16.0,15.6,15.7,655155.0,412.0
01/11/2018,15.7,15.7,15.5,15.6,417493.0,265.0
01/14/2018,15.6,15.6,15.3,15.4,334677.0,253.0
01/15/2018,15.4,15.6,15.2,15.3,333683.0,204.0
01/16/2018,15.4,15.6,15.3,15.5,371441.0,202.0
01/17/2018,15.5,15.7,15.2,15.3,574154.0,297.0
01/18/2018,15.2,15.4,15.1,15.2,263245.0,169.0
01/21/2018,15.3,15.4,15.1,15.1,402348.0,266.0
01/22/2018,15.1,15.4,15.1,15.3,536158.0,397.0
01/23/2018,15.2,15.3,15.1,15.1,376605.0,275.0
01/24/2018,15.1,15.2,14.9,14.9,315354.0,234.0
01/25/2018,14.9,15.1,14.9,14.9,239028.0,189.0
01/28/2018,14.9,14.9,14.6,14.7,256719.0,176.0
01/29/2018,14.7,14.9,14.6,14.9,167045.0,171.0
01/30/2018,15.0,15.0,14.6,14.7,446059.0,284.0
01/31/2018,14.7,14.7,13.9,14.1,728213.0,374.0
02/01/2018,14.2,14.2,13.6,13.8,496120.0,303.0
02/04/2018,13.8,13.8,13.0,13.1,526394.0,326.0
02/05/2018,13.1,13.4,12.4,13.1,311386.0,294.0
02/06/2018,13.2,13.3,13.1,13.2,179568.0,165.0
02/07/2018,13.3,13.3,12.9,13.0,308989.0,215.0
02/08/2018,13.1,13.2,12.9,12.9,230663.0,166.0
02/11/2018,13.2,13.8,13.1,13.7,707807.0,444.0
02/12/2018,14.0,14.2,13.5,13.9,593121.0,359.0
02/13/2018,13.7,14.2,13.6,14.1,547351.0,361.0
02/14/2018,14.5,15.4,14.4,15.3,2020808.0,1099.0
02/15/2018,15.5,15.6,14.9,14.9,794174.0,487.0
02/18/2018,14.9,15.4,14.8,14.9,1337600.0,712.0
02/19/2018,15.1,15.2,14.8,14.9,485404.0,302.0
02/20/2018,15.0,15.1,14.4,14.4,526414.0,394.0
02/22/2018,14.7,14.8,14.3,14.4,282505.0,203.0
02/25/2018,14.4,14.4,13.8,13.9,349044.0,245.0
02/26/2018,13.8,14.1,13.6,13.7,355845.0,254.0
02/27/2018,14.1,14.2,13.8,13.9,321180.0,230.0
02/28/2018,13.9,14.1,13.6,13.8,276205.0,200.0
03/01/2018,13.9,14.1,13.8,14.0,408953.0,195.0
03/04/2018,14.1,14.2,13.9,14.0,294099.0,184.0
03/05/2018,13.9,14.1,13.7,13.8,361908.0,201.0
03/06/2018,13.8,14.1,13.6,13.9,501655.0,225.0
03/07/2018,13.8,14.2,13.8,14.1,425011.0,265.0
03/08/2018,14.1,14.1,13.8,14.0,188149.0,131.0
03/11/2018,13.9,13.9,13.6,13.6,434339.0,243.0
03/12/2018,13.7,13.8,13.4,13.4,552417.0,218.0
03/13/2018,13.7,13.7,13.2,13.3,346749.0,224.0
03/14/2018,13.4,13.7,13.2,13.3,264956.0,183.0
03/15/2018,13.4,13.7,13.2,13.6,229040.0,165.0
03/18/2018,13.8,14.1,13.7,13.8,671784.0,363.0
03/19/2018,13.8,13.9,13.4,13.5,240113.0,209.0
03/20/2018,13.4,13.6,13.3,13.4,244708.0,135.0
03/21/2018,13.4,13.4,13.2,13.2,314962.0,174.0
03/22/2018,13.3,13.4,13.1,13.2,384675.0,199.0
03/25/2018,13.5,13.5,13.2,13.2,184865.0,122.0
03/27/2018,13.2,13.2,12.8,12.8,206452.0,141.0
03/28/2018,12.8,12.9,12.7,12.8,213962.0,121.0
03/29/2018,12.9,13.2,12.9,13.2,368611.0,206.0
04/01/2018,13.4,13.8,13.3,13.7,515041.0,238.0
04/02/2018,13.8,14.1,13.5,14.1,833784.0,421.0
04/03/2018,14.0,14.2,13.8,13.9,971091.0,367.0
04/04/2018,13.9,14.1,13.7,13.8,587078.0,227.0
04/05/2018,13.8,14.0,13.5,13.9,549858.0,218.0
04/08/2018,13.9,14.3,13.9,14.2,772692.0,317.0
04/09/2018,14.1,14.7,14.1,14.6,1111825.0,510.0
04/10/2018,14.6,14.9,14.3,14.4,692968.0,365.0
04/11/2018,14.4,14.8,14.1,14.7,1220825.0,471.0
04/12/2018,14.8,14.9,14.3,14.5,1262481.0,410.0
04/15/2018,14.5,14.5,14.1,14.1,424229.0,165.0
