date,open,high,low,close,volume,trade
01/01/2018,1750.0,1800.2,1750.0,1767.7,172.0,24.0
01/02/2018,1878.0,1878.0,1810.0,1810.0,6.0,19.0
01/03/2018,1802.0,1802.0,1792.0,1800.3,54.0,9.0
01/04/2018,1820.0,1820.0,1793.1,1800.1,96.0,16.0
01/07/2018,1801.0,1801.1,1770.1,1785.9,167.0,36.0
01/08/2018,1780.0,1780.0,1770.1,1773.0,165.0,23.0
01/09/2018,1764.0,1785.0,1750.0,1762.6,252.0,16.0
01/10/2018,1751.0,1751.0,1750.0,1750.2,103.0,17.0
01/11/2018,1800.0,1800.0,1751.0,1753.9,150.0,19.0
01/14/2018,1794.9,1799.0,1794.9,1798.0,72.0,20.0
01/15/2018,1730.0,1799.0,1730.0,1779.0,119.0,21.0
01/16/2018,1780.0,1780.0,1780.0,1780.0,80.0,5.0
01/17/2018,1753.1,1753.1,1750.0,1751.7,117.0,26.0
01/18/2018,1745.0,1788.6,1745.0,1762.9,716.0,23.0
01/21/2018,1762.0,1771.0,1760.0,1763.8,203.0,19.0
01/22/2018,1788.0,1788.0,1751.2,1773.2,796.0,49.0
01/23/2018,1755.1,1755.1,1755.1,1755.1,10.0,2.0
01/24/2018,1755.1,1794.0,1755.1,1759.8,1055.0,47.0
01/25/2018,1748.0,1849.0,1748.0,1833.5,325.0,46.0
01/28/2018,1833.6,1839.0,1779.0,1780.1,514.0,60.0
01/29/2018,1777.5,1824.5,1777.0,1810.3,191.0,31.0
01/30/2018,1841.7,1850.0,1778.0,1790.6,190.0,46.0
01/31/2018,1790.6,1790.6,1755.1,1766.9,30.0,3.0
02/01/2018,1780.0,1825.0,1780.0,1806.9,665.0,53.0
02/04/2018,1806.9,1819.0,1771.5,1783.0,153.0,21.0
02/05/2018,1751.1,1829.4,1751.1,1804.2,342.0,51.0
02/06/2018,1805.0,1825.0,1805.0,1815.4,621.0,104.0
02/07/2018,1820.0,1838.0,1820.0,1822.6,409.0,57.0
02/08/2018,1830.0,1849.9,1815.9,1816.4,344.0,49.0
02/11/2018,1824.0,1826.9,1790.0,1799.8,1096.0,82.0
02/12/2018,1800.0,1812.0,1780.0,1783.3,1123.0,63.0
02/13/2018,1785.0,1785.0,1760.1,1763.3,1217.0,98.0
02/14/2018,1766.1,1775.0,1760.0,1760.6,668.0,56.0
02/15/2018,1761.2,1797.8,1760.0,1761.5,745.0,58.0
02/18/2018,1761.0,1768.0,1750.0,1753.1,279.0,57.0
02/19/2018,1757.0,1758.0,1735.0,1743.4,507.0,49.0
02/20/2018,1781.9,1781.9,1743.4,1756.7,389.0,21.0
02/22/2018,1751.7,1774.0,1750.0,1752.9,67.0,15.0
02/25/2018,1784.0,1784.0,1735.0,1745.1,583.0,43.0
02/26/2018,1745.1,1745.1,1730.0,1735.1,382.0,22.0
02/27/2018,1732.1,1732.1,1725.0,1730.0,538.0,27.0
02/28/2018,1730.0,1739.0,1670.1,1704.0,256.0,30.0
03/01/2018,1701.0,1701.0,1680.5,1697.1,538.0,32.0
03/04/2018,1700.0,1701.5,1671.0,1675.7,288.0,56.0
03/05/2018,1675.7,1701.7,1670.5,1674.7,405.0,43.0
03/06/2018,1674.8,1674.8,1650.0,1659.6,153.0,22.0
03/07/2018,1689.0,1763.0,1675.0,1748.4,1630.0,177.0
03/08/2018,1795.6,1820.0,1750.0,1800.9,991.0,122.0
03/11/2018,1800.0,1800.0,1760.0,1760.1,1088.0,71.0
03/12/2018,1765.2,1784.0,1746.4,1753.4,353.0,34.0
03/13/2018,1742.0,1742.0,1715.0,1718.6,449.0,43.0
03/14/2018,1720.0,1774.9,1720.0,1765.6,254.0,31.0
03/15/2018,1765.6,1765.6,1736.0,1741.9,457.0,39.0
03/18/2018,1741.1,1800.0,1741.1,1789.3,452.0,41.0
03/19/2018,1849.0,1849.0,1760.0,1771.4,430.0,63.0
03/20/2018,1794.9,1794.9,1773.1,1775.5,266.0,37.0
03/21/2018,1775.5,1789.0,1774.5,1781.9,315.0,39.0
03/22/2018,1820.0,1820.0,1795.1,1800.8,1478.0,149.0
03/25/2018,1801.0,1913.3,1799.9,1909.0,5685.0,285.0
03/27/2018,1910.0,2028.3,1910.0,1973.8,11925.0,847.0
03/28/2018,1930.1,1979.6,1890.0,1951.1,2372.0,193.0
03/29/2018,1999.9,2000.0,1900.0,1906.7,4334.0,221.0
04/01/2018,1880.0,1907.4,1880.0,1883.0,1109.0,128.0
04/02/2018,1880.0,1896.4,1850.2,1855.1,1530.0,175.0
04/03/2018,1850.0,1864.0,1832.5,1835.7,1873.0,126.0
04/04/2018,1840.0,1920.0,1840.0,1894.3,3835.0,151.0
04/05/2018,1930.0,1984.0,1912.1,1919.3,1606.0,195.0
04/08/2018,1976.0,1976.0,1880.0,1909.8,707.0,88.0
04/09/2018,1898.0,1899.9,1812.0,1820.4,1869.0,195.0
04/10/2018,1805.0,1846.9,1803.1,1807.3,1492.0,111.0
04/11/2018,1816.0,1830.0,1805.1,1819.1,1189.0,88.0
04/12/2018,1825.0,1825.0,1800.0,1800.1,1123.0,111.0
04/15/2018,1817.9,1870.0,1817.5,1851.6,636.0,124.0
04/16/2018,1868.0,1950.0,1859.9,1941.2,4244.0,362.0
04/17/2018,1943.0,2050.0,1943.0,1966.5,6800.0,465.0
04/18/2018,1967.6,1979.9,1901.0,1921.0,2135.0,131.0
04/19/2018,1919.0,1936.9,1881.2,1885.9,1102.0,140.0
04/22/2018,1900.0,1907.0,1808.2,1848.5,292.0,67.0
04/23/2018,1890.0,1960.0,1880.0,1897.1,3968.0,244.0
04/24/2018,1897.1,1936.6,1881.0,1902.0,1288.0,193.0
04/25/2018,1884.0,1924.0,1884.0,1916.4,671.0,59.0
04/26/2018,1942.0,1980.0,1917.2,1949.7,742.0,87.0
04/30/2018,1890.0,1939.0,1880.3,1916.2,361.0,50.0
05/03/2018,1921.0,1921.0,1795.0,1802.2,3162.0,281.0
05/06/2018,1800.0,1809.0,1790.0,1796.4,1870.0,157.0
05/07/2018,1814.9,1814.9,1790.0,1790.2,855.0,52.0
05/08/2018,1785.0,1829.9,1785.0,1800.4,775.0,39.0
05/09/2018,1765.0,1800.0,1765.0,1785.1,712.0,52.0
05/10/2018,1790.0,1790.0,1780.0,1782.9,969.0,20.0
05/13/2018,1820.0,1883.0,1800.0,1802.6,1951.0,91.0
05/14/2018,1820.0,1843.0,1800.0,1830.3,58.0,13.0
05/15/2018,1819.0,1819.0,1780.0,1793.7,523.0,74.0
05/16/2018,1770.0,1799.0,1770.0,1787.6,22.0,7.0
05/17/2018,1790.0,1790.0,1770.7,1773.3,666.0,86.0
05/20/2018,1800.0,1800.0,1766.0,1773.2,82.0,22.0
05/21/2018,1773.2,1775.1,1760.0,1771.8,399.0,55.0
05/22/2018,1756.0,1780.0,1756.0,1761.4,450.0,51.0
05/23/2018,1800.0,1800.0,1780.0,1783.2,648.0,48.0
05/24/2018,1800.0,1800.0,1780.0,1783.2,648.0,0.0
05/27/2018,1751.0,1751.0,1672.0,1703.8,2554.0,86.0
05/28/2018,1700.0,1700.0,1690.0,1696.8,64.0,12.0
05/29/2018,1696.8,1710.9,1665.0,1672.8,213.0,32.0
05/30/2018,1678.1,1704.9,1670.0,1670.1,1110.0,74.0
05/31/2018,1677.0,1680.0,1655.0,1662.4,316.0,42.0
06/03/2018,1667.0,1687.0,1601.0,1683.5,374.0,73.0
06/04/2018,1709.9,1709.9,1661.0,1674.3,296.0,45.0
06/05/2018,1645.0,1680.9,1645.0,1662.9,190.0,25.0
06/06/2018,1700.0,1748.8,1673.6,1728.4,599.0,86.0
06/07/2018,1735.0,1836.4,1730.0,1836.4,4490.0,275.0
06/10/2018,1850.0,1951.1,1850.0,1900.9,4610.0,351.0
06/11/2018,1850.1,1880.0,1791.1,1815.9,1351.0,136.0
06/12/2018,1837.0,1898.0,1811.0,1820.9,1192.0,100.0
06/18/2018,1821.6,1869.0,1821.5,1853.8,880.0,149.0
06/19/2018,1857.1,1857.2,1805.3,1810.1,503.0,101.0
06/20/2018,1820.0,1831.0,1770.0,1785.5,699.0,113.0
06/21/2018,1788.0,1815.0,1766.0,1766.9,1638.0,186.0
06/24/2018,1765.0,1787.0,1720.0,1724.6,657.0,107.0
