date,open,high,low,close,volume,trade
01/01/2018,19.0,19.3,18.7,19.0,295634.0,257.0
01/02/2018,18.8,19.2,18.8,19.1,32800.0,489.0
01/03/2018,20.0,20.1,19.7,20.0,636914.0,422.0
01/04/2018,19.9,20.1,19.7,20.0,384373.0,248.0
01/07/2018,20.0,20.0,19.5,19.6,321700.0,177.0
01/08/2018,19.4,19.7,19.2,19.4,304124.0,302.0
01/09/2018,19.5,19.9,19.2,19.4,253170.0,209.0
01/10/2018,19.4,19.5,19.0,19.1,250281.0,206.0
01/11/2018,19.0,19.4,19.0,19.2,158539.0,196.0
01/14/2018,19.0,19.4,18.8,18.9,110877.0,146.0
01/15/2018,18.7,19.0,18.4,18.5,311529.0,240.0
01/16/2018,18.8,19.0,18.3,18.8,207444.0,150.0
01/17/2018,18.8,18.9,18.2,18.3,182028.0,186.0
01/18/2018,18.9,19.0,18.3,18.5,77668.0,89.0
01/21/2018,18.4,18.6,18.2,18.3,250717.0,176.0
01/22/2018,18.5,18.5,18.3,18.3,191908.0,136.0
01/23/2018,18.4,18.5,18.3,18.4,80025.0,97.0
01/24/2018,18.2,18.5,18.2,18.3,99072.0,87.0
01/25/2018,18.2,18.3,18.1,18.2,204341.0,155.0
01/28/2018,18.2,18.2,17.8,17.8,184167.0,169.0
01/29/2018,17.7,18.0,17.7,17.8,61654.0,87.0
01/30/2018,17.9,18.0,17.5,17.6,116909.0,114.0
01/31/2018,17.5,17.5,16.1,16.7,286968.0,285.0
02/01/2018,16.9,16.9,16.1,16.6,193605.0,148.0
02/04/2018,16.5,16.5,15.8,15.9,318238.0,186.0
02/05/2018,15.9,16.2,15.5,15.6,354992.0,249.0
02/06/2018,15.9,16.1,15.6,15.8,126826.0,131.0
02/07/2018,15.7,15.9,15.3,15.5,145236.0,174.0
02/08/2018,15.6,15.9,15.1,15.6,88044.0,101.0
02/11/2018,15.9,16.5,15.7,16.3,259418.0,218.0
02/12/2018,16.4,16.7,16.2,16.5,295015.0,228.0
02/13/2018,16.3,16.8,16.2,16.6,187355.0,183.0
02/14/2018,16.8,17.1,16.6,17.1,251862.0,252.0
02/15/2018,17.2,17.8,17.0,17.2,654760.0,435.0
02/18/2018,17.2,17.5,16.8,16.9,207633.0,150.0
02/19/2018,17.1,17.1,16.4,16.5,192399.0,173.0
02/20/2018,16.8,17.0,16.2,16.3,151453.0,179.0
02/22/2018,16.7,16.8,16.1,16.1,118201.0,111.0
02/25/2018,16.1,16.3,15.9,16.0,69589.0,98.0
02/26/2018,15.9,16.1,15.5,15.6,65766.0,95.0
02/27/2018,16.0,16.0,15.5,15.7,107347.0,103.0
02/28/2018,15.7,16.0,15.0,15.2,418926.0,190.0
03/01/2018,15.4,15.7,15.1,15.6,324696.0,226.0
03/04/2018,15.8,15.9,15.3,15.6,204787.0,154.0
03/05/2018,15.4,15.4,15.2,15.3,138034.0,151.0
03/06/2018,15.5,15.5,15.1,15.4,214913.0,144.0
03/07/2018,15.4,16.0,15.4,15.9,444294.0,267.0
03/08/2018,15.9,16.0,15.7,15.8,279781.0,158.0
03/11/2018,16.0,16.0,15.3,15.4,227507.0,150.0
03/12/2018,15.4,15.4,14.9,15.0,402451.0,233.0
03/13/2018,15.3,15.3,14.8,15.0,147040.0,106.0
03/14/2018,14.9,15.1,14.6,14.8,275569.0,174.0
03/15/2018,14.7,15.1,14.7,15.0,286881.0,179.0
03/18/2018,15.1,15.1,14.9,15.1,267771.0,141.0
03/19/2018,15.0,15.1,14.5,14.6,262869.0,194.0
03/20/2018,14.5,14.6,14.1,14.1,511522.0,286.0
03/21/2018,14.1,14.1,13.7,13.8,350559.0,197.0
03/22/2018,13.8,14.1,13.3,13.6,259001.0,187.0
03/25/2018,13.9,14.0,13.6,13.9,175705.0,155.0
03/27/2018,13.6,13.7,13.4,13.6,192122.0,137.0
03/28/2018,13.6,13.9,13.5,13.6,243152.0,110.0
03/29/2018,13.8,14.1,13.6,14.0,216040.0,179.0
04/01/2018,14.3,14.8,14.3,14.7,372729.0,288.0
04/02/2018,14.8,15.2,14.3,15.1,383166.0,274.0
04/03/2018,15.1,15.5,14.8,15.3,1034707.0,536.0
04/04/2018,15.4,16.6,15.3,16.3,1920627.0,942.0
04/05/2018,16.3,17.0,16.1,16.7,1300892.0,651.0
04/08/2018,16.4,17.3,16.4,17.2,1523840.0,672.0
