date,open,high,low,close,volume,trade
01/01/2018,46.1,46.1,46.1,46.1,8470.0,8.0
01/02/2018,46.1,46.1,46.1,46.1,8470.0,38.0
01/03/2018,46.7,46.8,46.7,46.8,7562.0,5.0
01/04/2018,46.4,46.6,46.4,46.6,15488.0,9.0
01/07/2018,45.5,46.5,45.5,46.2,15548.0,17.0
01/08/2018,46.2,46.6,45.5,46.1,24178.0,23.0
01/09/2018,46.4,46.4,46.4,46.4,21175.0,2.0
01/10/2018,47.0,47.3,47.0,47.3,8833.0,12.0
01/11/2018,46.9,46.9,46.9,46.9,13576.0,6.0
01/14/2018,44.8,44.8,44.8,44.8,605.0,1.0
01/15/2018,45.6,45.9,45.6,45.6,5929.0,15.0
01/16/2018,46.1,46.3,45.9,46.0,7042.0,11.0
01/17/2018,46.2,46.3,46.2,46.3,266.0,2.0
01/18/2018,46.6,46.6,44.8,46.3,21296.0,27.0
01/21/2018,47.3,47.3,47.3,47.3,7986.0,10.0
01/22/2018,46.3,46.6,45.5,46.4,30250.0,33.0
01/23/2018,46.6,46.6,45.7,45.7,18876.0,40.0
01/24/2018,45.5,46.3,45.5,46.0,26506.0,34.0
01/25/2018,45.6,46.2,45.5,46.0,18355.0,27.0
01/28/2018,46.2,46.2,46.0,46.1,28132.0,12.0
01/29/2018,45.3,45.3,44.3,44.6,6906.0,27.0
01/30/2018,46.3,46.3,44.1,46.2,17272.0,14.0
01/31/2018,46.2,46.2,43.8,45.8,12100.0,16.0
02/01/2018,45.5,45.5,43.8,45.3,13450.0,6.0
02/04/2018,43.9,45.4,43.9,45.0,24512.0,19.0
02/05/2018,43.1,45.5,43.1,45.2,25773.0,28.0
02/06/2018,45.5,45.9,45.0,45.8,13686.0,12.0
02/07/2018,47.1,47.1,45.1,46.4,19084.0,28.0
02/08/2018,46.3,46.9,45.9,46.4,37736.0,46.0
02/11/2018,47.9,48.8,46.0,46.6,45459.0,50.0
02/12/2018,45.7,46.8,45.5,46.6,32123.0,24.0
02/13/2018,47.0,47.0,46.0,46.2,25753.0,33.0
02/14/2018,47.0,47.0,44.7,46.2,17605.0,26.0
02/15/2018,44.9,46.4,44.7,46.2,14336.0,16.0
02/18/2018,45.8,45.8,43.1,45.1,7308.0,16.0
02/19/2018,45.5,46.4,45.2,46.2,56200.0,37.0
02/20/2018,46.9,46.9,46.0,46.6,41735.0,67.0
02/22/2018,46.1,46.9,46.0,46.7,15943.0,17.0
02/25/2018,46.4,47.0,46.3,46.5,39390.0,63.0
02/26/2018,46.2,46.2,45.5,46.0,18491.0,24.0
02/27/2018,47.5,47.9,45.5,46.0,41150.0,34.0
