date,open,high,low,close,volume,trade
01/01/2018,623.9,630.0,622.5,629.6,6968.0,160.0
01/02/2018,629.4,632.8,627.2,627.2,1482.0,255.0
01/03/2018,632.8,643.9,632.8,636.2,12039.0,208.0
01/04/2018,641.1,641.1,636.2,638.1,138018.0,211.0
01/07/2018,635.6,641.7,635.6,639.8,42493.0,299.0
01/08/2018,641.1,641.1,635.6,635.6,17005.0,227.0
01/09/2018,633.3,639.8,633.3,639.2,24944.0,282.0
01/10/2018,639.2,639.7,635.6,636.7,19195.0,199.0
01/11/2018,638.3,641.1,633.9,639.3,22172.0,302.0
01/14/2018,642.7,655.0,636.8,643.9,15661.0,205.0
01/15/2018,624.5,684.1,624.5,656.2,48482.0,332.0
01/16/2018,657.8,673.3,657.8,667.9,27236.0,315.0
01/17/2018,668.2,668.9,663.3,666.0,31080.0,424.0
01/18/2018,674.3,683.8,668.9,679.0,19723.0,329.0
01/21/2018,677.7,689.6,677.2,687.7,27175.0,314.0
01/22/2018,693.8,713.2,690.5,708.4,58560.0,614.0
01/23/2018,705.0,706.3,691.3,696.7,20734.0,420.0
01/24/2018,693.8,694.9,686.6,688.5,16996.0,461.0
01/25/2018,685.5,690.2,680.6,687.8,15981.0,296.0
01/28/2018,683.6,692.5,683.6,690.0,12216.0,150.0
01/29/2018,691.1,733.0,688.3,704.1,88511.0,524.0
01/30/2018,704.9,704.9,693.8,694.4,10038.0,210.0
01/31/2018,688.6,689.5,678.9,682.8,26335.0,412.0
02/01/2018,685.5,691.1,684.2,685.2,17999.0,205.0
02/04/2018,688.2,703.8,683.3,690.3,24425.0,343.0
02/05/2018,682.8,727.1,677.5,706.6,143479.0,717.0
02/06/2018,706.0,708.0,690.5,692.2,23040.0,225.0
02/07/2018,692.5,696.3,692.2,694.2,27378.0,359.0
02/08/2018,693.8,704.4,690.3,694.1,4576.0,76.0
02/11/2018,703.7,703.8,695.1,697.2,21867.0,298.0
02/12/2018,698.8,698.8,696.1,696.9,9647.0,124.0
02/13/2018,692.2,706.0,692.2,704.7,10339.0,198.0
02/14/2018,703.3,706.6,696.7,704.7,8456.0,111.0
02/15/2018,707.7,707.7,697.7,705.0,12888.0,105.0
02/18/2018,707.7,707.8,697.2,699.3,4675.0,131.0
02/19/2018,699.3,704.4,693.8,695.3,7467.0,161.0
02/20/2018,694.4,702.2,691.1,696.8,15086.0,183.0
02/22/2018,699.4,702.2,694.4,699.4,7177.0,110.0
02/25/2018,693.9,698.3,693.9,695.2,2996.0,62.0
02/26/2018,693.8,697.7,684.4,686.2,10521.0,184.0
02/27/2018,685.5,688.3,677.2,679.3,22112.0,253.0
02/28/2018,683.8,721.6,683.8,700.0,58097.0,340.0
03/01/2018,709.3,709.3,695.5,702.7,6707.0,58.0
03/04/2018,697.8,701.9,695.3,697.8,6233.0,120.0
03/05/2018,699.3,699.3,693.8,694.4,4003.0,118.0
03/06/2018,696.6,698.8,694.9,695.3,2415.0,48.0
03/07/2018,704.9,704.9,696.9,701.3,7624.0,134.0
03/08/2018,704.8,704.9,699.4,700.1,6943.0,131.0
