date,open,high,low,close,volume,trade
01/01/2018,18.4,19.4,18.4,18.9,72752.0,70.0
01/02/2018,18.4,19.4,18.4,18.9,72752.0,81.0
01/03/2018,18.9,18.9,18.5,18.6,7122.0,13.0
01/04/2018,18.5,18.7,18.5,18.5,35831.0,51.0
01/07/2018,18.4,18.9,18.3,18.7,29604.0,38.0
01/08/2018,18.8,18.8,18.6,18.7,33105.0,14.0
01/09/2018,18.7,18.8,18.5,18.7,11963.0,12.0
01/10/2018,18.6,19.5,18.3,18.6,48778.0,53.0
01/11/2018,18.7,18.7,18.3,18.3,25489.0,28.0
01/14/2018,18.4,18.9,18.3,18.7,129147.0,63.0
01/15/2018,18.9,19.0,18.5,18.8,26597.0,28.0
01/16/2018,18.8,19.2,18.8,19.0,31311.0,36.0
01/17/2018,18.7,18.7,18.3,18.6,9818.0,8.0
01/18/2018,18.3,18.5,18.3,18.3,11177.0,12.0
01/21/2018,18.7,18.7,18.7,18.7,7100.0,1.0
01/22/2018,18.8,18.8,18.5,18.7,1562.0,6.0
01/23/2018,18.6,19.0,18.5,18.8,58356.0,28.0
01/24/2018,18.4,19.1,18.4,18.9,49489.0,28.0
01/25/2018,18.9,18.9,18.6,18.9,16100.0,39.0
01/28/2018,18.5,18.9,18.5,18.7,8366.0,22.0
01/29/2018,18.5,18.8,18.5,18.6,3351.0,12.0
01/30/2018,18.8,18.9,18.8,18.9,6454.0,13.0
01/31/2018,18.5,18.7,18.0,18.5,18886.0,7.0
02/01/2018,18.2,18.8,18.1,18.2,7264.0,15.0
02/04/2018,18.2,18.2,17.6,17.7,5758.0,9.0
02/05/2018,17.0,18.4,17.0,18.0,32838.0,14.0
02/06/2018,18.4,19.6,18.4,19.4,126765.0,246.0
02/07/2018,19.3,19.7,19.2,19.4,71409.0,94.0
02/08/2018,19.4,20.0,19.4,19.9,74548.0,86.0
02/11/2018,20.0,21.1,19.8,20.5,75601.0,67.0
02/12/2018,21.1,21.1,19.9,20.7,91480.0,122.0
02/13/2018,20.4,20.7,19.7,20.6,47981.0,91.0
02/14/2018,21.1,21.1,20.1,20.2,15214.0,26.0
02/15/2018,20.1,21.8,20.0,21.5,367547.0,206.0
02/18/2018,21.8,21.8,21.1,21.6,14629.0,18.0
02/19/2018,19.6,21.4,19.6,20.1,26645.0,27.0
