date,open,high,low,close,volume,trade
05/21/2019,97.3,107.8,92.0,99.8,3522018.0,17356.0
05/22/2019,100.0,101.8,95.0,97.3,561426.0,4970.0
05/23/2019,96.5,96.7,87.7,88.9,1476559.0,6698.0
05/26/2019,87.0,94.5,86.2,90.7,476844.0,2926.0
05/27/2019,91.0,91.0,86.3,87.4,637906.0,2854.0
05/28/2019,87.1,90.5,86.8,88.7,420774.0,2049.0
05/29/2019,90.0,94.8,89.6,92.7,856721.0,3286.0
05/30/2019,93.5,94.7,90.0,90.5,612667.0,2376.0
06/09/2019,90.6,91.2,87.0,87.2,438524.0,1699.0
06/10/2019,88.8,88.8,86.1,86.4,320177.0,1379.0
06/11/2019,87.1,90.6,86.7,88.5,412834.0,1934.0
06/12/2019,88.8,89.0,86.2,86.7,374364.0,1662.0
06/13/2019,87.0,87.7,84.8,85.2,485198.0,2080.0
06/16/2019,86.3,88.0,83.7,84.7,426253.0,1698.0
06/17/2019,85.9,85.9,82.4,82.7,410896.0,1762.0
06/18/2019,83.0,84.4,82.1,82.8,309615.0,1168.0
06/19/2019,83.0,84.7,82.0,82.2,299220.0,1126.0
06/20/2019,82.3,82.7,80.6,80.8,246159.0,936.0
06/23/2019,81.0,81.4,78.0,78.1,287045.0,1630.0
06/24/2019,78.5,82.8,77.7,81.5,309826.0,1845.0
06/25/2019,82.0,89.6,81.7,87.8,1149966.0,3858.0
06/26/2019,89.8,92.5,88.3,90.2,934874.0,3464.0
06/27/2019,89.5,98.9,87.8,96.3,1201221.0,4091.0
06/30/2019,97.7,99.6,95.7,96.3,1146730.0,3124.0
07/02/2019,96.9,105.9,95.0,105.9,1343707.0,3569.0
07/03/2019,108.0,112.1,105.5,109.3,1337570.0,4342.0
07/04/2019,110.0,114.5,105.0,106.4,1396503.0,4229.0
07/07/2019,106.4,107.0,100.9,101.5,1184737.0,3528.0
07/08/2019,101.9,111.6,101.5,111.6,1025246.0,2988.0
07/09/2019,111.6,114.5,102.1,104.3,1731340.0,4813.0
07/10/2019,104.3,105.5,98.7,100.3,881630.0,2622.0
07/11/2019,100.3,103.7,94.5,96.1,631434.0,2638.0
07/14/2019,98.0,98.0,91.0,92.0,564918.0,1910.0
07/15/2019,92.0,94.0,89.0,89.3,538548.0,1924.0
07/16/2019,90.5,92.8,89.4,90.6,473919.0,1652.0
07/17/2019,92.8,94.6,89.7,93.4,463222.0,1859.0
07/18/2019,95.0,99.8,94.5,96.1,706239.0,2421.0
07/21/2019,96.1,96.6,90.5,91.4,430700.0,1423.0
07/22/2019,91.9,92.4,86.3,88.3,537375.0,1849.0
07/23/2019,90.0,92.8,90.0,91.7,364227.0,1176.0
07/24/2019,92.0,92.2,90.0,90.4,409402.0,1196.0
07/25/2019,91.2,91.9,89.6,90.0,340907.0,1177.0
07/28/2019,90.8,91.1,86.7,87.2,365896.0,1152.0
07/29/2019,87.8,90.8,87.3,88.8,410427.0,1212.0
07/30/2019,88.8,91.4,88.3,89.2,348407.0,1287.0
07/31/2019,90.0,90.0,86.1,86.6,437503.0,1505.0
08/01/2019,86.7,95.2,86.7,94.6,894472.0,2239.0
08/04/2019,95.0,99.6,95.0,96.3,765069.0,2141.0
08/05/2019,94.9,97.1,93.5,94.3,666004.0,1764.0
08/06/2019,94.4,99.9,94.3,95.3,832133.0,2158.0
08/07/2019,95.0,97.0,90.5,92.7,379748.0,1095.0
08/08/2019,93.0,94.9,92.4,93.2,264831.0,917.0
08/18/2019,94.0,95.0,92.6,94.6,232179.0,888.0
08/19/2019,94.7,96.3,94.3,94.7,404527.0,1160.0
08/20/2019,95.0,96.3,93.5,94.2,389298.0,1120.0
08/21/2019,94.5,94.8,92.1,92.6,296984.0,1037.0
08/22/2019,91.0,93.5,91.0,91.9,297563.0,1008.0
08/25/2019,92.0,93.4,91.9,92.4,215272.0,749.0
08/26/2019,92.5,94.5,92.0,93.0,355044.0,1406.0
08/27/2019,93.0,97.6,93.0,96.1,1120863.0,2602.0
08/28/2019,96.3,96.5,92.4,93.0,419238.0,1261.0
08/29/2019,93.0,94.3,91.6,92.1,478461.0,1232.0
09/01/2019,92.5,93.0,90.2,90.4,253149.0,841.0
09/02/2019,91.9,91.9,89.5,89.7,263572.0,911.0
09/03/2019,90.5,90.9,89.0,90.2,218893.0,780.0
09/04/2019,91.5,92.6,90.4,91.2,303180.0,998.0
09/05/2019,92.5,92.7,87.5,88.7,489366.0,1350.0
09/08/2019,89.8,91.0,84.7,85.4,467789.0,1479.0
09/09/2019,85.4,86.8,82.0,82.5,274147.0,975.0
09/11/2019,82.5,82.5,75.9,77.2,409154.0,1400.0
09/12/2019,78.7,82.8,76.5,82.3,308749.0,1182.0
09/15/2019,82.9,84.3,78.6,80.0,266658.0,1009.0
09/16/2019,78.5,80.8,76.5,78.4,225036.0,763.0
09/17/2019,78.0,79.5,74.1,76.4,418049.0,1088.0
09/18/2019,76.4,78.5,73.0,73.6,233984.0,873.0
09/19/2019,74.7,75.7,70.6,71.4,163966.0,719.0
09/22/2019,72.0,74.1,71.5,73.9,216697.0,784.0
09/23/2019,74.4,76.5,74.2,75.2,361696.0,937.0
09/24/2019,75.2,75.3,71.5,72.1,207057.0,705.0
09/25/2019,73.7,73.7,71.5,72.0,128946.0,462.0
09/26/2019,72.6,72.8,71.0,71.3,171529.0,541.0
09/29/2019,71.5,72.2,70.2,70.5,133404.0,565.0
09/30/2019,70.5,72.5,70.3,71.0,294202.0,1353.0
10/01/2019,71.3,73.0,71.3,72.6,214064.0,817.0
10/02/2019,73.3,74.8,72.8,73.1,223214.0,723.0
10/03/2019,72.7,74.7,72.5,72.8,212217.0,
10/06/2019,73.0,73.0,71.5,72.0,122490.0,545.0
10/07/2019,72.7,72.7,70.8,71.0,225630.0,693.0
10/09/2019,71.0,71.5,68.1,69.7,244733.0,
10/10/2019,69.0,69.8,66.4,67.1,201248.0,592.0
10/13/2019,66.1,67.9,66.1,66.3,155555.0,477.0
10/14/2019,66.3,66.7,64.0,64.4,182380.0,608.0
10/15/2019,66.3,66.7,64.0,64.4,182380.0,0.0
10/16/2019,63.6,67.4,63.2,64.1,357154.0,803.0
10/17/2019,64.1,64.9,61.7,62.0,118753.0,
10/20/2019,61.5,62.5,59.1,59.5,106924.0,391.0
10/21/2019,59.5,60.9,56.0,56.4,111066.0,407.0
10/22/2019,56.4,56.6,52.3,52.6,112203.0,346.0
10/23/2019,52.6,56.0,51.2,55.1,332179.0,
10/24/2019,54.1,60.6,54.0,60.3,242022.0,529.0
10/27/2019,62.2,62.4,58.8,60.9,323041.0,769.0
10/28/2019,60.5,60.8,59.2,60.1,160073.0,384.0
10/29/2019,60.4,62.9,60.4,61.9,172642.0,468.0
10/30/2019,62.1,66.4,62.1,65.6,223217.0,633.0
10/31/2019,65.2,67.9,65.0,65.6,183974.0,593.0
