date,open,high,low,close,volume,trade
01/01/2018,44.4,45.3,41.8,42.2,1901928.0,1991.0
01/02/2018,42.4,42.7,41.7,41.8,236087.0,1319.0
01/03/2018,41.2,43.1,41.2,42.6,1160479.0,1340.0
01/04/2018,42.7,42.9,41.8,41.9,650525.0,901.0
01/07/2018,41.9,42.1,41.1,41.2,601335.0,918.0
01/08/2018,41.4,41.7,40.9,41.2,507848.0,699.0
01/09/2018,41.2,41.7,40.6,40.8,507129.0,716.0
01/10/2018,41.0,41.2,39.6,40.0,612095.0,829.0
01/11/2018,40.2,40.8,39.7,40.4,427424.0,697.0
01/14/2018,40.4,40.4,39.2,39.3,422049.0,662.0
01/15/2018,39.5,40.1,38.2,38.4,598217.0,927.0
01/16/2018,38.6,39.8,37.6,39.6,370089.0,728.0
01/17/2018,40.4,40.4,38.2,38.5,517600.0,848.0
01/18/2018,38.6,39.1,38.1,38.2,382412.0,550.0
01/21/2018,38.9,39.0,38.0,38.1,377652.0,599.0
01/22/2018,38.2,38.8,38.0,38.2,303834.0,454.0
01/23/2018,38.6,38.6,37.8,38.0,327650.0,488.0
01/24/2018,38.2,38.2,36.9,37.1,490620.0,703.0
01/25/2018,37.1,39.1,37.0,38.5,739391.0,1015.0
01/28/2018,38.6,38.6,37.6,37.9,285106.0,428.0
01/29/2018,38.0,38.7,37.6,38.3,509086.0,602.0
01/30/2018,38.8,40.4,38.3,38.5,840844.0,1169.0
01/31/2018,38.3,39.2,38.2,38.3,357961.0,445.0
02/01/2018,38.9,39.1,38.2,38.2,432000.0,464.0
02/04/2018,38.2,38.2,36.5,36.8,508091.0,681.0
02/05/2018,37.1,37.4,36.1,36.9,464062.0,580.0
02/06/2018,37.2,37.7,36.9,37.2,351076.0,537.0
02/07/2018,37.2,38.0,37.0,37.2,368428.0,523.0
02/08/2018,36.9,37.7,36.9,37.2,160501.0,253.0
02/11/2018,37.6,38.4,37.2,38.2,391213.0,541.0
02/12/2018,37.9,38.7,37.2,37.4,420521.0,706.0
02/13/2018,37.5,39.7,37.4,38.7,1172369.0,1216.0
02/14/2018,39.2,39.4,38.0,38.2,625344.0,636.0
02/15/2018,38.2,38.4,37.6,37.6,361697.0,590.0
02/18/2018,37.6,37.6,36.4,36.5,498352.0,711.0
02/19/2018,36.9,37.2,36.1,36.2,405234.0,632.0
02/20/2018,36.6,37.2,36.2,36.3,339177.0,473.0
02/22/2018,36.8,37.7,36.7,36.9,472134.0,688.0
02/25/2018,36.9,36.9,35.3,35.4,525978.0,721.0
02/26/2018,35.3,35.7,34.2,34.4,307769.0,508.0
02/27/2018,35.0,35.5,35.0,35.3,555654.0,766.0
02/28/2018,35.5,35.5,34.1,34.4,299658.0,400.0
03/01/2018,34.4,35.2,34.4,34.8,264637.0,405.0
03/04/2018,35.3,35.4,34.7,34.8,152058.0,252.0
03/05/2018,34.7,34.8,33.7,33.9,291785.0,475.0
03/06/2018,33.9,35.2,33.9,35.0,345706.0,460.0
03/07/2018,34.9,35.2,34.9,35.0,308998.0,371.0
03/08/2018,34.9,35.0,34.4,34.7,136389.0,192.0
03/11/2018,35.0,35.0,33.8,33.8,120349.0,189.0
03/12/2018,33.9,33.9,32.5,32.6,245875.0,368.0
03/13/2018,32.7,32.7,30.5,30.7,490793.0,599.0
03/14/2018,31.6,31.7,30.5,30.9,231298.0,355.0
03/15/2018,31.0,32.5,30.6,32.3,284754.0,501.0
03/18/2018,32.7,33.8,32.7,33.5,404869.0,763.0
03/19/2018,33.0,33.3,31.7,32.0,187645.0,386.0
03/20/2018,31.7,32.1,30.7,31.7,203843.0,316.0
03/21/2018,31.2,32.1,31.2,31.7,417800.0,540.0
03/22/2018,32.2,32.4,30.9,31.7,182722.0,294.0
03/25/2018,32.5,33.4,32.0,32.2,421919.0,618.0
03/27/2018,31.6,32.1,31.2,31.3,171228.0,251.0
03/28/2018,31.6,32.0,31.0,31.4,130130.0,249.0
03/29/2018,31.8,32.2,31.4,31.6,431781.0,420.0
04/01/2018,32.5,33.6,32.1,33.3,637124.0,729.0
04/02/2018,33.6,35.9,33.1,35.5,1217395.0,1253.0
04/03/2018,35.8,36.4,34.6,34.8,904440.0,906.0
04/04/2018,35.0,35.5,34.1,34.2,680742.0,654.0
04/05/2018,34.6,35.2,34.1,34.9,512357.0,590.0
04/08/2018,35.2,35.5,33.3,33.8,650411.0,671.0
04/09/2018,34.2,34.2,33.4,33.4,317630.0,530.0
04/10/2018,33.4,34.1,33.3,33.4,201615.0,314.0
04/11/2018,33.6,33.7,32.4,32.9,226125.0,306.0
04/12/2018,31.5,33.2,31.5,31.8,212643.0,373.0
04/15/2018,32.7,32.7,31.0,31.2,213158.0,358.0
04/16/2018,31.2,31.8,30.7,31.0,213435.0,343.0
04/17/2018,31.7,31.7,31.2,31.4,157962.0,241.0
04/18/2018,31.3,32.9,31.3,32.4,302656.0,586.0
04/19/2018,33.0,33.2,32.3,32.4,255162.0,344.0
04/22/2018,32.4,32.7,31.7,31.8,184096.0,302.0
04/23/2018,31.9,31.9,31.2,31.4,178484.0,295.0
04/24/2018,31.6,31.7,31.3,31.4,110884.0,152.0
04/25/2018,31.7,32.5,31.4,32.1,212731.0,389.0
04/26/2018,32.6,35.3,32.6,35.2,1576480.0,1844.0
04/30/2018,35.9,36.5,34.0,35.5,765181.0,1025.0
05/03/2018,36.6,37.9,35.7,36.0,1384509.0,1174.0
05/06/2018,36.3,36.7,34.2,34.4,824089.0,958.0
05/07/2018,35.0,35.0,33.2,33.7,531755.0,607.0
