date,open,high,low,close,volume,trade
01/01/2018,19.7,19.7,19.3,19.3,60406.0,30.0
01/02/2018,19.3,19.5,19.3,19.5,3675.0,30.0
01/03/2018,19.5,19.7,19.5,19.6,30086.0,54.0
01/04/2018,19.8,19.8,19.3,19.4,173320.0,87.0
01/07/2018,19.8,19.8,19.3,19.4,25509.0,24.0
01/08/2018,19.4,19.5,19.3,19.3,106868.0,74.0
01/09/2018,19.4,19.5,19.1,19.2,86540.0,64.0
01/10/2018,19.2,19.3,19.2,19.3,26243.0,34.0
01/11/2018,19.0,19.3,19.0,19.2,10670.0,14.0
01/14/2018,19.2,19.2,19.0,19.1,84683.0,44.0
01/15/2018,19.0,19.0,18.7,19.0,14073.0,21.0
01/16/2018,19.0,19.3,19.0,19.3,24201.0,35.0
01/17/2018,19.2,19.4,19.1,19.2,33917.0,32.0
01/18/2018,18.3,19.2,18.3,19.1,11802.0,18.0
01/21/2018,19.2,19.5,19.0,19.1,29006.0,32.0
01/22/2018,19.1,19.2,19.0,19.1,9332.0,18.0
01/23/2018,19.0,19.3,19.0,19.2,9135.0,11.0
01/24/2018,19.2,19.2,18.7,18.8,33879.0,48.0
01/25/2018,18.8,19.0,18.8,19.0,18799.0,18.0
01/28/2018,18.6,18.7,18.4,18.6,19725.0,33.0
01/29/2018,18.5,18.6,18.3,18.4,45727.0,52.0
01/30/2018,18.6,18.6,18.0,18.1,99508.0,81.0
01/31/2018,18.1,18.1,17.7,17.8,38231.0,42.0
02/01/2018,19.0,19.0,17.8,18.1,46964.0,68.0
02/04/2018,17.8,17.8,17.1,17.2,70649.0,51.0
02/05/2018,17.0,17.8,17.0,17.7,59114.0,80.0
02/06/2018,17.6,18.1,17.6,18.0,34539.0,40.0
02/07/2018,18.1,18.1,17.8,18.0,34098.0,29.0
02/08/2018,18.1,18.4,18.1,18.3,37170.0,28.0
02/11/2018,19.0,19.5,18.6,19.1,77626.0,77.0
02/12/2018,18.9,19.0,18.8,18.9,24371.0,40.0
02/13/2018,18.9,19.2,18.7,18.9,10425.0,20.0
02/14/2018,18.7,19.0,18.7,18.7,17112.0,28.0
02/15/2018,18.9,19.0,18.6,18.7,14700.0,13.0
02/18/2018,18.7,18.7,18.4,18.5,13966.0,19.0
02/19/2018,18.6,18.6,18.1,18.1,60858.0,60.0
02/20/2018,18.5,18.5,18.1,18.2,60977.0,54.0
02/22/2018,18.5,18.5,17.9,18.1,33547.0,42.0
02/25/2018,18.0,18.1,17.7,17.8,37048.0,70.0
02/26/2018,17.4,18.1,17.3,17.4,24307.0,21.0
02/27/2018,17.5,17.6,17.3,17.4,41779.0,45.0
02/28/2018,17.2,17.8,17.2,17.4,45445.0,47.0
03/01/2018,17.7,17.9,17.7,17.8,16451.0,11.0
03/04/2018,18.1,19.5,18.1,19.1,55911.0,25.0
03/05/2018,19.2,19.5,18.3,18.3,28108.0,44.0
03/06/2018,18.4,18.4,18.0,18.2,22837.0,17.0
03/07/2018,18.2,18.2,17.8,17.9,44625.0,43.0
03/08/2018,17.9,18.1,17.8,18.0,55938.0,42.0
03/11/2018,17.7,17.8,17.6,17.6,17387.0,31.0
03/12/2018,17.5,17.7,17.3,17.4,31505.0,36.0
03/13/2018,17.2,17.3,17.0,17.0,59558.0,44.0
03/14/2018,17.1,17.3,16.9,16.9,27888.0,47.0
03/15/2018,17.1,17.4,17.0,17.3,23940.0,23.0
03/18/2018,17.3,17.3,17.3,17.3,2730.0,8.0
03/19/2018,17.2,17.2,17.2,17.2,210.0,1.0
03/20/2018,16.8,17.3,16.8,17.2,4925.0,21.0
03/21/2018,17.1,17.1,17.0,17.0,27661.0,39.0
03/22/2018,16.9,17.1,16.9,17.1,38622.0,32.0
03/25/2018,17.1,17.1,17.0,17.1,5355.0,6.0
03/27/2018,17.2,17.2,17.0,17.0,27730.0,33.0
03/28/2018,17.0,17.0,16.9,17.0,3179.0,17.0
03/29/2018,17.0,17.3,17.0,17.1,12204.0,26.0
04/01/2018,17.3,17.8,17.3,17.7,22956.0,39.0
04/02/2018,17.9,18.0,17.6,18.0,30846.0,25.0
04/03/2018,18.0,18.0,17.6,17.7,21420.0,22.0
04/04/2018,17.8,18.0,17.8,17.9,9625.0,17.0
04/05/2018,17.9,18.3,17.9,18.2,62598.0,60.0
04/08/2018,18.0,18.6,18.0,18.3,66776.0,97.0
04/09/2018,18.3,19.0,18.3,18.7,92328.0,78.0
04/10/2018,18.7,19.1,18.6,18.7,115345.0,89.0
04/11/2018,18.7,18.8,18.4,18.7,13870.0,14.0
04/12/2018,18.6,18.8,18.4,18.7,8937.0,20.0
04/15/2018,18.6,18.6,18.5,18.5,10080.0,19.0
04/16/2018,18.9,18.9,17.1,17.7,31925.0,38.0
04/17/2018,17.9,18.4,17.9,18.2,14181.0,30.0
04/18/2018,17.9,17.9,17.9,17.9,1623.0,6.0
04/19/2018,17.7,18.2,17.7,18.1,58335.0,47.0
04/22/2018,17.9,17.9,17.8,17.9,18263.0,17.0
04/23/2018,17.9,18.6,17.9,18.1,52891.0,52.0
04/24/2018,17.9,18.1,17.4,17.6,65967.0,69.0
04/25/2018,17.8,17.8,17.3,17.3,22843.0,59.0
04/26/2018,17.4,17.4,17.2,17.2,20382.0,26.0
04/30/2018,17.2,17.3,16.8,17.1,51947.0,67.0
