date,open,high,low,close,volume,trade
01/01/2018,48.0,49.5,47.8,49.2,950720.0,794.0
01/02/2018,49.3,49.6,48.5,48.5,56610.0,402.0
01/03/2018,48.0,49.4,47.9,48.5,502283.0,491.0
01/04/2018,49.0,49.2,47.8,48.3,385525.0,365.0
01/07/2018,48.9,49.2,47.6,48.0,236848.0,325.0
01/08/2018,47.9,48.7,47.8,48.0,218666.0,265.0
01/09/2018,48.2,48.9,48.0,48.7,281721.0,364.0
01/10/2018,48.9,50.0,48.7,49.1,535997.0,577.0
01/11/2018,49.7,49.8,48.6,49.0,241984.0,273.0
01/14/2018,49.0,49.4,47.8,48.1,172603.0,232.0
01/15/2018,48.5,48.7,47.5,47.7,50117.0,138.0
01/16/2018,48.0,48.5,47.4,47.5,114435.0,186.0
01/17/2018,47.8,48.5,47.5,48.1,138216.0,152.0
01/18/2018,48.3,49.3,48.1,48.4,381618.0,261.0
01/21/2018,48.4,49.0,47.8,48.1,194777.0,205.0
01/22/2018,48.5,48.5,47.8,47.9,159318.0,134.0
01/23/2018,48.5,48.9,47.8,48.3,328064.0,290.0
01/24/2018,48.7,48.8,48.0,48.6,253601.0,214.0
01/25/2018,48.7,49.0,48.2,48.4,153968.0,172.0
01/28/2018,48.7,48.7,47.9,48.3,115786.0,127.0
01/29/2018,48.6,48.6,47.8,48.3,67851.0,126.0
01/30/2018,48.4,48.4,47.9,48.0,124721.0,131.0
01/31/2018,48.0,48.1,47.1,47.6,210007.0,166.0
02/01/2018,48.5,48.6,47.4,47.9,374151.0,242.0
02/04/2018,47.8,48.2,47.3,47.6,245079.0,167.0
02/05/2018,47.4,47.8,46.7,47.0,41497.0,82.0
02/06/2018,47.7,48.3,47.6,48.0,121444.0,171.0
02/07/2018,47.9,48.2,47.9,48.0,199855.0,169.0
02/08/2018,48.8,48.8,47.8,48.0,634356.0,222.0
02/11/2018,47.9,49.7,47.9,49.1,968766.0,488.0
02/12/2018,49.2,49.5,48.7,49.1,440425.0,258.0
02/13/2018,48.5,49.0,48.3,48.4,129548.0,163.0
02/14/2018,48.3,48.7,48.0,48.1,270451.0,130.0
02/15/2018,48.5,48.5,47.2,47.6,184061.0,126.0
02/18/2018,47.4,47.7,47.2,47.3,39138.0,85.0
02/19/2018,47.4,47.9,47.0,47.6,66162.0,84.0
02/20/2018,47.4,47.7,47.4,47.5,33789.0,65.0
02/22/2018,47.9,48.5,47.2,47.5,121636.0,87.0
02/25/2018,47.8,47.8,46.8,47.0,54938.0,45.0
02/26/2018,47.5,47.5,46.5,46.9,41770.0,51.0
02/27/2018,47.5,47.5,47.0,47.0,44554.0,35.0
02/28/2018,47.5,47.5,46.4,46.7,75519.0,37.0
