date,open,high,low,close,volume,trade
01/01/2018,27.8,28.0,27.5,27.5,611111.0,621.0
01/02/2018,27.5,27.6,27.5,27.5,200777.0,1003.0
01/03/2018,27.6,28.5,27.6,28.2,2332259.0,1509.0
01/04/2018,28.4,28.7,28.4,28.6,1448921.0,1179.0
01/07/2018,28.7,28.7,28.0,28.0,1096689.0,802.0
01/08/2018,28.0,28.2,27.8,27.9,729014.0,657.0
01/09/2018,27.9,28.0,27.6,27.7,633249.0,597.0
01/10/2018,28.0,28.0,27.1,27.4,813427.0,683.0
01/11/2018,27.4,27.6,27.1,27.3,699992.0,567.0
01/14/2018,27.4,27.5,27.0,27.1,383060.0,438.0
01/15/2018,27.2,27.3,26.7,26.8,615894.0,541.0
01/16/2018,26.9,27.2,26.7,26.9,433525.0,422.0
01/17/2018,27.0,27.1,26.7,26.9,553624.0,347.0
01/18/2018,27.0,27.0,26.6,26.7,538939.0,466.0
01/21/2018,27.0,27.0,26.2,26.4,753753.0,813.0
01/22/2018,26.7,26.7,26.1,26.2,522554.0,580.0
01/23/2018,26.2,26.5,26.0,26.2,334992.0,381.0
01/24/2018,26.4,26.4,26.0,26.1,635862.0,519.0
01/25/2018,26.2,26.3,25.9,26.0,627099.0,551.0
01/28/2018,26.2,26.2,25.3,25.4,819779.0,680.0
01/29/2018,25.4,25.5,25.3,25.5,444669.0,383.0
01/30/2018,25.5,25.8,25.4,25.5,445076.0,385.0
01/31/2018,25.6,25.6,24.8,24.9,972646.0,637.0
02/01/2018,25.0,25.0,24.4,24.5,708228.0,519.0
02/04/2018,24.5,24.5,22.6,22.9,1125739.0,965.0
02/05/2018,23.0,23.5,22.5,23.3,1272512.0,774.0
02/06/2018,23.4,23.9,23.4,23.8,457121.0,487.0
02/07/2018,23.8,23.8,23.2,23.5,651838.0,419.0
02/08/2018,23.5,23.6,23.4,23.5,275340.0,247.0
02/11/2018,23.7,24.8,23.6,24.7,534374.0,620.0
02/12/2018,25.0,25.2,24.4,24.5,788363.0,675.0
02/13/2018,24.5,24.5,24.0,24.3,686426.0,533.0
02/14/2018,24.4,25.0,24.4,25.0,477497.0,482.0
02/15/2018,25.0,25.1,24.1,24.2,984102.0,891.0
02/18/2018,24.3,24.3,23.3,23.4,1172812.0,1101.0
02/19/2018,23.4,23.7,22.9,23.0,1231818.0,1043.0
02/20/2018,23.3,23.3,22.8,22.9,825867.0,606.0
02/22/2018,23.2,23.2,22.9,23.0,364414.0,286.0
02/25/2018,23.2,23.2,22.6,22.7,640687.0,469.0
02/26/2018,22.8,22.9,22.5,22.5,616594.0,503.0
02/27/2018,22.8,23.0,22.5,22.7,417265.0,311.0
02/28/2018,22.7,22.9,22.5,22.7,697162.0,364.0
03/01/2018,22.9,22.9,22.5,22.8,310608.0,283.0
03/04/2018,23.0,23.4,23.0,23.3,1048063.0,692.0
03/05/2018,23.4,23.4,23.0,23.3,796195.0,413.0
03/06/2018,23.4,24.1,23.1,24.0,1171044.0,730.0
03/07/2018,24.1,24.1,23.5,23.6,938389.0,659.0
03/08/2018,23.8,23.9,23.5,23.7,468627.0,274.0
03/11/2018,23.6,23.8,23.2,23.4,524778.0,457.0
03/12/2018,23.3,23.5,22.8,22.9,1050804.0,487.0
03/13/2018,23.4,23.4,22.5,22.6,530618.0,322.0
03/14/2018,22.9,23.1,22.6,22.7,538046.0,294.0
03/15/2018,22.7,23.0,22.7,22.9,418069.0,276.0
03/18/2018,22.9,23.0,22.7,23.0,282068.0,230.0
03/19/2018,23.0,23.0,22.6,22.7,299310.0,207.0
03/20/2018,22.6,22.7,22.5,22.5,263118.0,228.0
03/21/2018,22.7,22.7,22.0,22.2,689089.0,417.0
03/22/2018,22.5,22.5,21.6,22.0,632578.0,394.0
03/25/2018,22.3,22.5,21.9,22.0,296349.0,313.0
03/27/2018,21.9,21.9,21.0,21.1,634791.0,431.0
03/28/2018,21.0,21.1,20.5,20.7,574567.0,441.0
03/29/2018,20.8,21.5,20.8,21.3,666097.0,435.0
04/01/2018,21.5,23.1,21.5,22.7,976306.0,709.0
04/02/2018,22.8,23.0,22.1,22.9,981799.0,724.0
04/03/2018,22.9,23.1,22.6,22.7,679247.0,468.0
04/04/2018,22.7,23.0,22.5,22.6,471346.0,337.0
04/05/2018,22.6,22.8,22.4,22.7,754480.0,319.0
04/08/2018,22.9,23.5,22.8,23.5,1064467.0,913.0
04/09/2018,23.6,24.1,23.2,24.0,1156468.0,948.0
04/10/2018,24.0,24.1,23.5,23.5,997199.0,688.0
04/11/2018,23.5,23.7,23.1,23.2,981855.0,577.0
04/12/2018,23.1,23.4,23.0,23.1,490137.0,385.0
04/15/2018,23.2,23.2,22.4,22.5,567704.0,627.0
04/16/2018,22.6,22.6,22.0,22.4,613916.0,593.0
04/17/2018,22.5,22.6,22.0,22.1,1067947.0,771.0
04/18/2018,22.5,22.5,22.1,22.2,375513.0,310.0
04/19/2018,22.5,22.5,22.0,22.0,652932.0,440.0
04/22/2018,22.1,22.3,22.0,22.0,614278.0,377.0
04/23/2018,22.0,22.1,21.8,21.9,644136.0,351.0
04/24/2018,21.9,21.9,21.6,21.7,598725.0,376.0
04/25/2018,22.0,22.4,21.5,21.7,535321.0,347.0
04/26/2018,21.6,22.1,21.6,22.0,606587.0,478.0
04/30/2018,22.1,22.3,21.8,21.9,863402.0,496.0
05/03/2018,22.0,22.0,21.6,21.7,714329.0,517.0
05/06/2018,22.0,22.6,21.8,22.5,1278863.0,942.0
05/07/2018,22.6,23.0,22.6,22.8,1318322.0,1103.0
05/08/2018,22.8,22.8,22.1,22.2,808002.0,579.0
05/09/2018,22.2,22.5,22.1,22.3,636937.0,464.0
05/10/2018,22.4,22.6,22.4,22.5,1012923.0,703.0
05/13/2018,22.8,22.8,22.3,22.3,604713.0,502.0
05/14/2018,22.3,22.5,22.0,22.2,400228.0,319.0
05/15/2018,22.3,22.4,21.8,21.9,656234.0,635.0
05/16/2018,22.3,22.5,21.5,21.7,755769.0,545.0
05/17/2018,21.6,21.9,20.9,21.0,909439.0,612.0
05/20/2018,21.0,21.2,20.6,20.6,441234.0,467.0
05/21/2018,20.9,21.3,20.5,21.0,411416.0,362.0
05/22/2018,21.0,21.1,20.8,20.9,470867.0,372.0
05/23/2018,21.0,21.0,20.4,20.5,642171.0,531.0
05/24/2018,20.5,20.8,20.5,20.7,462441.0,398.0
05/27/2018,20.8,21.1,20.8,20.9,718982.0,429.0
05/28/2018,20.9,21.0,20.6,20.6,435488.0,313.0
05/29/2018,20.7,20.8,20.4,20.6,506419.0,403.0
05/30/2018,20.8,21.0,20.5,20.8,545806.0,382.0
05/31/2018,20.7,20.8,20.3,20.5,680353.0,398.0
06/03/2018,20.5,20.6,20.3,20.4,492366.0,296.0
06/04/2018,20.5,20.5,20.2,20.3,324891.0,276.0
06/05/2018,20.4,20.7,20.2,20.5,347738.0,251.0
06/06/2018,20.4,20.7,20.4,20.5,395227.0,378.0
06/07/2018,20.5,20.7,20.4,20.5,421425.0,255.0
06/10/2018,20.4,20.5,20.1,20.2,294856.0,257.0
06/11/2018,20.2,20.5,20.2,20.3,294853.0,199.0
06/12/2018,20.2,20.8,20.2,20.5,289332.0,240.0
06/18/2018,20.6,20.8,20.5,20.7,399362.0,323.0
06/19/2018,20.6,21.0,20.5,20.7,565683.0,414.0
06/20/2018,20.8,21.6,20.7,21.5,1202248.0,717.0
06/21/2018,21.7,22.0,21.3,21.5,862711.0,633.0
06/24/2018,21.5,21.5,21.3,21.4,804289.0,487.0
06/25/2018,21.5,21.5,20.6,20.8,635418.0,490.0
06/26/2018,20.8,21.2,20.5,20.6,774027.0,450.0
06/27/2018,20.8,21.1,20.6,20.7,675111.0,451.0
06/28/2018,20.7,20.9,20.3,20.4,701217.0,479.0
07/02/2018,20.4,20.7,20.0,20.0,915045.0,680.0
07/03/2018,20.1,20.4,19.8,19.9,1009524.0,628.0
07/04/2018,20.0,20.5,19.9,20.3,516070.0,343.0
07/05/2018,20.5,21.4,20.4,21.2,1414016.0,1035.0
07/08/2018,21.3,22.2,21.2,21.5,1870589.0,1233.0
07/09/2018,21.7,21.8,21.0,21.4,1264583.0,750.0
07/10/2018,21.5,22.8,21.5,22.6,3038194.0,1805.0
07/11/2018,22.8,23.9,22.0,22.4,2454646.0,1450.0
07/12/2018,22.5,22.6,21.8,22.0,1144933.0,691.0
07/15/2018,22.3,22.3,21.5,21.6,1575971.0,1011.0
07/16/2018,21.7,22.2,21.4,21.5,1109851.0,656.0
07/17/2018,21.5,21.7,21.0,21.1,1025427.0,762.0
07/18/2018,21.1,21.2,20.7,20.9,1302957.0,788.0
07/19/2018,21.0,22.0,20.7,21.4,1166883.0,921.0
07/22/2018,21.6,23.2,21.6,23.0,3033590.0,1797.0
07/23/2018,23.2,23.9,22.1,22.3,2405248.0,1406.0
07/24/2018,22.3,22.5,21.7,22.0,1031218.0,651.0
07/25/2018,22.0,22.7,22.0,22.5,1464060.0,972.0
07/26/2018,22.8,23.0,22.4,22.9,1885878.0,1385.0
07/29/2018,23.2,23.2,22.0,22.1,1086174.0,804.0
07/30/2018,22.2,22.5,21.6,21.7,1202320.0,
07/31/2018,21.7,22.2,21.7,21.9,952060.0,531.0
08/01/2018,22.0,22.4,21.9,22.0,658639.0,446.0
08/02/2018,22.0,22.0,21.8,21.9,871131.0,580.0
08/05/2018,21.9,22.2,21.7,21.8,617402.0,397.0
08/06/2018,21.9,22.1,21.6,22.0,958537.0,460.0
08/07/2018,22.0,22.3,21.6,21.7,1327863.0,642.0
08/08/2018,21.8,22.0,21.7,21.7,801581.0,383.0
08/09/2018,21.7,21.9,21.5,21.7,933533.0,409.0
08/12/2018,21.7,21.7,21.4,21.5,1260608.0,603.0
08/13/2018,21.5,21.5,21.0,21.2,936894.0,540.0
08/14/2018,21.2,21.5,21.0,21.3,389415.0,272.0
08/16/2018,21.6,22.5,21.5,21.9,1546388.0,826.0
08/19/2018,22.0,22.0,21.6,21.8,634923.0,355.0
08/20/2018,21.8,22.1,21.8,22.0,552648.0,352.0
08/26/2018,22.0,22.4,21.9,22.3,652811.0,596.0
08/27/2018,22.4,22.5,22.0,22.3,1018468.0,566.0
08/28/2018,22.3,22.7,22.1,22.6,1822790.0,1024.0
08/29/2018,22.7,23.3,22.7,23.1,3388142.0,1858.0
08/30/2018,23.1,23.2,22.5,22.6,1805264.0,821.0
09/03/2018,22.8,22.9,22.3,22.5,1353769.0,793.0
09/04/2018,22.6,22.7,22.0,22.1,1099971.0,644.0
09/05/2018,22.2,22.7,22.0,22.2,1214828.0,614.0
09/06/2018,22.0,23.3,22.0,23.1,3333336.0,1964.0
09/09/2018,23.2,24.2,22.9,23.8,4053571.0,2249.0
09/10/2018,23.9,26.0,23.9,25.3,10142841.0,4497.0
09/11/2018,25.7,25.7,24.3,24.5,3138094.0,1686.0
09/12/2018,24.1,24.5,23.5,23.5,3242460.0,1895.0
09/13/2018,23.6,24.7,23.0,24.3,3820164.0,2042.0
09/16/2018,24.7,25.0,23.7,24.1,2281046.0,1318.0
09/17/2018,24.0,24.0,23.1,23.3,1395843.0,1021.0
09/18/2018,23.5,23.6,22.8,23.0,1263576.0,837.0
09/19/2018,23.0,23.5,22.9,23.0,970898.0,635.0
09/20/2018,23.0,23.2,22.8,22.9,687794.0,485.0
09/23/2018,23.0,23.3,22.5,22.5,788735.0,555.0
09/24/2018,22.8,22.8,22.0,22.0,738814.0,515.0
09/25/2018,22.0,22.4,21.9,22.0,532923.0,382.0
09/26/2018,22.0,22.5,22.0,22.0,607529.0,301.0
09/27/2018,22.0,22.2,21.7,21.8,514143.0,374.0
09/30/2018,21.8,21.8,21.3,21.5,790269.0,544.0
10/01/2018,21.7,21.9,21.6,21.7,387373.0,544.0
10/02/2018,21.9,22.0,21.5,21.6,409829.0,295.0
10/03/2018,21.5,22.0,21.5,21.9,372642.0,267.0
10/04/2018,22.0,22.0,21.8,22.0,357793.0,251.0
10/07/2018,22.0,22.1,21.6,21.7,532525.0,0.0
10/08/2018,22.0,22.0,21.6,21.7,818002.0,
10/09/2018,22.0,22.0,21.7,21.8,401840.0,
10/10/2018,21.8,23.2,21.8,22.4,1690646.0,28.0
10/11/2018,22.8,22.8,22.2,22.2,662657.0,481.0
10/14/2018,22.4,22.5,21.9,22.0,686312.0,395.0
10/15/2018,22.0,22.0,21.7,21.8,245312.0,310.0
10/16/2018,21.9,22.0,21.4,21.5,851035.0,635.0
10/17/2018,21.8,21.8,21.4,21.5,344240.0,382.0
10/18/2018,21.6,21.8,21.3,21.3,350957.0,352.0
10/21/2018,21.5,21.5,20.5,20.6,903935.0,667.0
10/22/2018,20.6,20.8,20.0,20.1,650363.0,649.0
10/23/2018,20.2,20.4,20.0,20.1,526302.0,242.0
10/24/2018,20.4,20.5,20.2,20.4,265156.0,258.0
10/25/2018,20.5,20.5,20.0,20.0,536774.0,
10/28/2018,19.6,19.7,18.3,18.6,1147947.0,
10/29/2018,18.6,18.7,18.3,18.6,507470.0,
10/30/2018,18.6,19.6,18.6,19.4,1457997.0,
10/31/2018,19.6,19.8,19.2,19.3,480486.0,
11/01/2018,19.5,20.0,19.4,19.9,956424.0,
11/04/2018,20.0,20.2,19.9,20.1,699007.0,
11/05/2018,20.0,20.6,20.0,20.5,970452.0,
11/06/2018,20.5,20.7,19.7,19.8,351749.0,
11/07/2018,20.2,20.2,19.7,19.7,229548.0,
11/08/2018,19.8,19.8,19.4,19.5,621942.0,450.0
11/11/2018,19.5,19.7,19.4,19.6,440274.0,308.0
11/12/2018,19.6,19.9,19.5,19.6,676558.0,324.0
11/13/2018,19.6,19.6,19.0,19.1,465459.0,335.0
11/14/2018,19.2,19.2,18.8,19.1,1106923.0,551.0
11/15/2018,19.2,19.2,18.8,19.1,1106923.0,0.0
11/18/2018,19.3,19.3,18.5,19.0,1958393.0,924.0
11/19/2018,19.2,19.4,19.0,19.0,589399.0,326.0
11/20/2018,19.0,19.3,18.9,19.2,1062734.0,488.0
11/22/2018,19.1,19.1,19.0,19.0,524853.0,310.0
11/25/2018,19.2,19.8,18.9,18.9,851516.0,473.0
11/26/2018,19.1,19.2,18.9,19.0,696837.0,301.0
11/27/2018,19.0,19.3,19.0,19.1,807999.0,327.0
11/28/2018,19.1,19.1,18.9,19.0,602069.0,284.0
11/29/2018,19.1,19.1,18.7,18.8,737625.0,402.0
12/02/2018,18.9,19.2,18.8,18.9,958380.0,472.0
12/03/2018,19.3,19.8,19.1,19.3,1458881.0,707.0
12/04/2018,19.6,20.3,19.6,20.2,1958366.0,1003.0
12/05/2018,20.3,20.3,19.7,19.9,805836.0,577.0
12/06/2018,19.9,20.1,19.6,19.6,594945.0,378.0
12/09/2018,19.6,19.7,19.1,19.2,547927.0,274.0
12/10/2018,19.2,19.3,18.9,19.0,414814.0,359.0
12/11/2018,19.0,19.2,18.7,18.8,307085.0,315.0
12/12/2018,18.8,19.0,18.8,18.9,286226.0,212.0
12/13/2018,19.0,19.0,18.6,18.6,322447.0,282.0
12/17/2018,18.6,18.6,18.3,18.3,260411.0,264.0
12/18/2018,18.5,18.5,18.1,18.3,318827.0,252.0
12/19/2018,18.4,18.5,18.3,18.3,255434.0,202.0
12/20/2018,18.5,18.6,18.3,18.3,246870.0,230.0
12/23/2018,18.5,19.0,18.5,18.9,805238.0,440.0
12/24/2018,18.9,19.2,18.9,19.0,628008.0,420.0
12/26/2018,19.2,19.2,18.9,19.0,274645.0,254.0
12/27/2018,19.0,19.1,18.8,18.9,665492.0,394.0
01/01/2019,17.5,18.3,17.3,17.9,2253892.0,934.0
01/02/2019,18.3,18.5,18.0,18.4,1479815.0,706.0
01/03/2019,18.5,19.0,18.4,18.9,1760599.0,898.0
01/06/2019,19.1,19.4,18.5,19.2,3186296.0,1226.0
01/07/2019,19.2,19.3,18.7,18.7,1276500.0,748.0
01/08/2019,18.7,19.3,18.7,19.2,1471751.0,697.0
01/09/2019,19.4,19.5,19.0,19.2,1612529.0,655.0
01/10/2019,19.1,19.4,18.8,19.0,1482765.0,556.0
01/13/2019,19.3,19.3,18.9,19.0,1067601.0,477.0
01/14/2019,19.0,20.0,19.0,19.7,3753271.0,1311.0
01/15/2019,19.8,19.9,19.4,19.5,1449058.0,674.0
01/16/2019,19.4,19.6,19.0,19.0,1323704.0,876.0
01/17/2019,19.1,19.3,18.7,18.7,683379.0,548.0
01/20/2019,18.7,19.0,18.5,18.7,1576286.0,723.0
01/21/2019,18.9,19.2,18.7,18.8,1048342.0,449.0
01/22/2019,18.9,18.9,18.5,18.6,1392875.0,569.0
01/23/2019,18.7,18.8,18.6,18.7,1270604.0,462.0
01/24/2019,18.7,19.0,18.6,18.7,1222662.0,512.0
01/27/2019,18.7,19.2,18.7,19.0,1419300.0,564.0
01/28/2019,19.0,19.0,18.8,18.9,1044136.0,514.0
01/29/2019,18.7,18.7,17.9,17.9,3073660.0,1341.0
01/30/2019,18.3,18.3,17.6,17.9,1375471.0,555.0
