date,open,high,low,close,volume,trade
01/01/2018,17.2,17.4,17.2,17.3,124060.0,85.0
01/02/2018,17.4,17.6,17.4,17.5,134255.0,292.0
01/03/2018,17.8,18.3,17.7,17.8,354979.0,186.0
01/04/2018,18.1,18.3,17.8,17.9,497667.0,237.0
01/07/2018,17.9,18.1,17.5,17.8,304376.0,89.0
01/08/2018,17.6,17.9,17.5,17.7,368816.0,148.0
01/09/2018,17.8,18.0,17.6,17.8,332046.0,156.0
01/10/2018,17.9,18.0,17.5,17.5,194520.0,102.0
01/11/2018,17.8,18.0,17.4,17.5,323932.0,127.0
01/14/2018,17.4,17.4,17.0,17.2,321490.0,143.0
01/15/2018,17.2,17.2,17.0,17.0,108038.0,96.0
01/16/2018,17.0,17.6,17.0,17.4,238460.0,128.0
01/17/2018,17.4,17.4,16.8,16.9,325543.0,139.0
01/18/2018,17.0,17.2,16.9,16.9,113192.0,68.0
01/21/2018,17.0,17.5,16.8,17.0,398246.0,190.0
01/22/2018,17.1,17.5,16.8,17.4,288711.0,154.0
01/23/2018,17.4,17.6,17.0,17.3,358647.0,131.0
01/24/2018,17.4,17.6,17.0,17.3,251114.0,101.0
01/25/2018,17.2,17.3,17.0,17.2,131136.0,76.0
01/28/2018,17.0,17.0,16.8,16.9,200109.0,105.0
01/29/2018,17.3,17.4,17.0,17.1,119758.0,56.0
01/30/2018,17.2,17.2,16.1,16.3,848075.0,354.0
01/31/2018,16.3,16.4,15.6,15.7,256022.0,177.0
02/01/2018,16.0,16.0,15.6,15.6,107978.0,74.0
02/04/2018,15.5,15.6,15.1,15.1,92183.0,89.0
02/05/2018,15.2,15.4,14.8,15.1,141975.0,110.0
02/06/2018,15.3,15.6,14.9,15.0,371325.0,252.0
02/07/2018,15.0,15.3,15.0,15.0,138185.0,62.0
02/08/2018,15.0,15.3,15.0,15.2,81380.0,57.0
02/11/2018,15.3,15.6,15.1,15.6,273517.0,186.0
02/12/2018,15.6,15.8,15.2,15.3,319068.0,155.0
02/13/2018,15.6,15.6,15.2,15.2,251905.0,107.0
02/14/2018,15.6,16.5,15.5,16.0,782302.0,312.0
02/15/2018,16.3,16.5,15.9,16.1,343134.0,281.0
02/18/2018,16.2,16.2,15.5,15.6,192267.0,137.0
02/19/2018,16.0,16.0,15.4,15.5,121050.0,96.0
02/20/2018,15.9,16.0,15.2,15.3,194820.0,147.0
02/22/2018,15.7,15.7,15.2,15.5,27144.0,20.0
02/25/2018,15.5,15.5,14.6,14.9,348175.0,157.0
02/26/2018,14.7,15.1,14.7,14.7,157941.0,106.0
02/27/2018,15.0,15.1,14.8,14.9,103261.0,65.0
02/28/2018,14.9,15.3,14.8,15.0,142200.0,97.0
03/01/2018,14.8,15.7,14.8,15.4,349192.0,132.0
03/04/2018,15.5,15.6,15.2,15.3,277670.0,102.0
03/05/2018,15.2,15.5,15.0,15.2,387826.0,110.0
03/06/2018,15.2,16.5,15.1,15.9,662239.0,188.0
03/07/2018,16.2,16.4,15.7,15.7,277360.0,148.0
03/08/2018,15.7,15.8,15.5,15.8,84000.0,70.0
03/11/2018,15.8,15.9,15.3,15.7,167606.0,110.0
03/12/2018,15.6,15.6,15.2,15.2,274300.0,99.0
03/13/2018,15.0,15.2,14.8,14.9,281788.0,121.0
03/14/2018,15.5,15.9,15.0,15.3,295752.0,106.0
03/15/2018,15.4,15.5,15.1,15.4,73306.0,49.0
03/18/2018,15.4,15.5,15.2,15.3,98822.0,64.0
03/19/2018,15.2,15.4,14.9,15.0,152754.0,87.0
03/20/2018,15.0,15.1,14.9,15.0,76826.0,70.0
03/21/2018,15.0,15.1,14.8,14.9,136569.0,67.0
03/22/2018,15.3,15.3,14.7,15.1,178290.0,85.0
03/25/2018,15.3,15.3,14.8,14.9,46550.0,44.0
03/27/2018,15.0,15.0,14.6,14.7,53796.0,63.0
03/28/2018,15.0,15.0,14.6,14.7,91425.0,57.0
03/29/2018,14.9,15.1,14.8,15.0,82752.0,66.0
04/01/2018,15.2,16.3,15.1,16.0,797573.0,441.0
04/02/2018,15.9,16.4,15.6,16.0,315332.0,170.0
04/03/2018,16.0,16.7,15.8,15.9,477257.0,200.0
04/04/2018,16.3,16.6,16.1,16.4,336235.0,182.0
04/05/2018,16.0,16.9,16.0,16.5,395431.0,137.0
04/08/2018,16.5,16.9,16.5,16.6,336814.0,133.0
04/09/2018,16.7,17.1,16.6,17.0,525197.0,175.0
04/10/2018,17.1,17.5,16.8,16.9,646187.0,182.0
04/11/2018,16.8,16.9,16.2,16.3,590606.0,221.0
04/12/2018,16.2,16.3,15.8,16.1,583340.0,180.0
04/15/2018,15.9,16.0,15.6,15.7,70880.0,63.0
04/16/2018,15.7,15.9,15.4,15.8,47881.0,47.0
04/17/2018,16.1,16.1,15.6,15.6,223433.0,100.0
04/18/2018,15.5,15.8,15.5,15.5,53210.0,61.0
04/19/2018,15.5,15.8,15.2,15.3,118199.0,75.0
04/22/2018,15.4,15.6,15.0,15.2,132075.0,97.0
04/23/2018,15.3,15.4,15.1,15.2,40972.0,44.0
04/24/2018,15.1,15.3,15.1,15.1,80743.0,59.0
04/25/2018,15.1,15.3,15.1,15.1,33601.0,44.0
04/26/2018,15.1,15.3,14.9,15.0,138440.0,99.0
04/30/2018,14.8,15.2,14.8,15.1,63959.0,84.0
05/03/2018,14.9,15.1,14.8,14.8,437655.0,161.0
05/06/2018,15.1,15.7,14.9,15.3,869675.0,311.0
05/07/2018,15.6,15.8,15.0,15.2,945062.0,238.0
05/08/2018,15.3,15.3,14.8,14.8,662116.0,250.0
05/09/2018,15.0,15.2,14.8,15.0,563965.0,163.0
05/10/2018,15.3,15.3,14.8,14.8,514858.0,227.0
05/13/2018,14.9,15.0,14.3,14.4,705550.0,326.0
05/14/2018,14.7,14.7,14.3,14.4,248741.0,110.0
05/15/2018,14.7,14.7,14.2,14.3,293165.0,132.0
05/16/2018,14.3,14.6,14.0,14.1,322531.0,139.0
05/17/2018,14.1,14.1,13.5,13.6,405304.0,219.0
05/20/2018,14.0,14.7,13.2,13.4,126072.0,121.0
05/21/2018,13.9,13.9,13.4,13.5,171906.0,147.0
05/22/2018,13.8,13.8,13.6,13.8,166454.0,129.0
05/23/2018,14.0,14.2,13.4,13.5,86490.0,103.0
05/24/2018,13.9,14.1,13.6,13.9,164769.0,141.0
05/27/2018,14.0,14.5,13.9,14.4,193769.0,140.0
05/28/2018,14.5,14.9,13.8,13.9,193433.0,152.0
05/29/2018,14.2,14.2,13.9,14.0,95807.0,78.0
05/30/2018,14.2,14.3,13.8,13.9,339456.0,178.0
05/31/2018,13.8,14.0,13.5,13.7,127538.0,112.0
06/03/2018,13.8,14.0,13.5,13.6,243874.0,121.0
06/04/2018,13.6,13.7,13.2,13.4,190364.0,152.0
06/05/2018,13.7,13.7,13.2,13.5,326837.0,119.0
06/06/2018,13.4,13.6,13.3,13.4,267742.0,121.0
06/07/2018,13.6,13.7,13.4,13.4,80408.0,50.0
06/10/2018,13.5,13.5,13.3,13.4,84660.0,57.0
06/11/2018,13.4,13.4,13.2,13.3,74655.0,61.0
06/12/2018,13.5,13.9,13.3,13.7,235162.0,103.0
06/18/2018,13.4,13.8,13.3,13.4,127283.0,77.0
06/19/2018,13.6,14.0,13.4,13.6,442534.0,163.0
06/20/2018,13.3,14.1,13.3,13.7,330663.0,179.0
06/21/2018,13.9,14.6,13.8,14.3,484842.0,199.0
06/24/2018,14.4,14.7,14.2,14.4,526279.0,175.0
06/25/2018,14.4,14.4,13.8,13.8,245242.0,135.0
06/26/2018,13.6,14.7,13.6,14.6,843598.0,323.0
06/27/2018,14.6,15.2,14.3,15.0,1009070.0,388.0
06/28/2018,14.8,15.6,14.5,15.2,1043336.0,284.0
07/02/2018,15.0,15.3,14.6,14.7,421771.0,227.0
07/03/2018,15.2,15.2,14.6,14.7,155899.0,115.0
07/04/2018,14.7,15.5,14.6,15.2,1148961.0,444.0
07/05/2018,15.5,15.7,15.2,15.3,500659.0,244.0
07/08/2018,15.5,16.3,15.3,15.8,1680442.0,561.0
07/09/2018,16.2,17.1,16.0,16.1,2448993.0,857.0
07/10/2018,16.3,16.5,15.8,16.1,1061908.0,476.0
07/11/2018,16.4,16.9,15.3,15.5,1594472.0,553.0
07/12/2018,15.5,15.7,15.2,15.4,480599.0,277.0
07/15/2018,15.6,16.4,15.2,16.2,1276341.0,561.0
07/16/2018,16.3,16.3,15.5,15.6,585334.0,333.0
07/17/2018,15.6,15.7,15.1,15.2,605776.0,317.0
07/18/2018,15.3,15.4,14.8,14.9,290994.0,209.0
07/19/2018,14.9,15.6,14.9,15.3,424939.0,254.0
07/22/2018,15.6,16.0,15.1,15.2,607535.0,246.0
07/23/2018,15.5,15.5,14.9,15.0,483999.0,226.0
07/24/2018,15.3,15.5,15.0,15.2,370409.0,177.0
07/25/2018,15.3,16.7,15.2,16.7,3105060.0,1188.0
07/26/2018,17.0,18.1,16.9,17.9,4342309.0,1564.0
07/29/2018,17.9,18.0,17.1,17.2,1907567.0,757.0
07/30/2018,17.3,18.5,16.6,17.7,3064711.0,
07/31/2018,17.9,19.3,17.9,18.7,3760476.0,1222.0
08/01/2018,18.8,19.2,18.0,18.1,1976549.0,768.0
08/02/2018,18.0,19.0,17.9,18.7,1291068.0,752.0
08/05/2018,19.0,19.0,18.0,18.1,1205194.0,548.0
08/06/2018,18.2,18.8,17.3,17.7,901286.0,550.0
08/07/2018,17.9,18.0,17.0,17.3,1126066.0,561.0
08/08/2018,17.4,17.6,16.6,16.7,699869.0,372.0
08/09/2018,16.8,17.7,16.7,17.5,676077.0,411.0
08/12/2018,17.7,18.0,17.0,17.3,669115.0,400.0
08/13/2018,17.1,17.3,16.1,16.4,745965.0,400.0
08/14/2018,17.0,17.0,16.2,16.4,344909.0,229.0
08/16/2018,16.3,16.7,16.1,16.2,346632.0,187.0
08/19/2018,16.3,16.3,15.5,15.5,428419.0,274.0
08/20/2018,16.0,16.7,15.7,16.3,550987.0,289.0
08/26/2018,16.5,17.2,16.5,17.0,548666.0,265.0
08/27/2018,17.2,17.3,16.4,16.5,794755.0,364.0
08/28/2018,16.8,17.2,16.4,17.0,815352.0,376.0
08/29/2018,17.0,17.2,16.6,16.7,586053.0,235.0
08/30/2018,16.8,17.6,16.7,17.2,1078715.0,486.0
09/03/2018,17.2,17.7,17.0,17.1,599209.0,224.0
09/04/2018,17.3,17.5,16.8,17.0,596183.0,178.0
09/05/2018,17.2,17.3,16.5,16.5,527946.0,247.0
09/06/2018,16.5,17.0,16.3,16.4,181575.0,156.0
09/09/2018,16.8,17.0,16.4,16.8,624913.0,251.0
09/10/2018,16.8,17.0,16.2,16.3,793605.0,328.0
09/11/2018,16.6,16.6,16.1,16.4,198176.0,194.0
09/12/2018,16.7,17.2,15.8,16.0,501545.0,317.0
09/13/2018,16.4,16.8,15.9,16.0,588025.0,297.0
09/16/2018,16.0,16.3,15.4,15.5,323579.0,227.0
09/17/2018,15.7,15.8,15.0,15.2,356983.0,192.0
09/18/2018,15.2,15.4,14.9,15.2,269994.0,193.0
09/19/2018,15.3,16.6,15.3,16.4,674303.0,419.0
09/20/2018,16.7,16.7,15.5,15.7,297783.0,282.0
09/23/2018,15.3,15.4,14.6,14.7,637417.0,306.0
09/24/2018,14.8,15.5,14.6,14.8,346134.0,201.0
09/25/2018,15.0,15.2,14.6,14.7,214883.0,108.0
09/26/2018,14.8,15.0,14.6,14.6,172070.0,114.0
09/27/2018,14.6,14.8,14.5,14.5,81850.0,76.0
09/30/2018,14.5,14.7,14.1,14.7,104675.0,95.0
10/01/2018,14.8,15.0,14.6,14.7,52641.0,95.0
10/02/2018,14.8,15.2,14.7,15.0,486174.0,218.0
10/03/2018,15.0,15.2,14.9,15.0,126385.0,88.0
10/04/2018,15.0,15.1,14.7,14.8,230140.0,119.0
10/07/2018,14.9,15.0,14.4,14.6,280873.0,0.0
10/08/2018,15.0,15.0,14.5,14.6,225699.0,
10/09/2018,14.7,15.0,14.7,14.8,187788.0,
10/10/2018,14.7,15.2,14.7,14.7,393714.0,0.0
10/11/2018,14.7,15.4,14.7,15.3,607164.0,305.0
10/14/2018,15.2,15.3,14.9,15.0,157239.0,121.0
10/15/2018,15.3,15.3,14.7,14.8,176394.0,103.0
10/16/2018,14.8,15.0,14.6,14.7,196556.0,95.0
10/17/2018,14.8,14.8,14.5,14.5,274375.0,127.0
10/18/2018,14.4,14.5,14.2,14.3,229718.0,103.0
10/21/2018,14.3,14.4,14.0,14.0,61500.0,71.0
10/22/2018,14.5,14.5,13.7,13.8,182395.0,106.0
10/23/2018,13.9,14.4,13.7,13.8,98714.0,74.0
10/24/2018,13.8,14.1,13.8,13.8,33361.0,47.0
10/25/2018,13.9,14.5,13.7,13.8,118665.0,
10/28/2018,13.8,14.0,13.6,13.7,127104.0,
10/29/2018,14.2,15.7,14.2,15.3,1002549.0,
10/30/2018,15.4,16.8,15.2,16.7,1813076.0,
10/31/2018,16.8,18.3,16.6,17.9,3228130.0,
11/01/2018,18.0,19.6,18.0,19.6,5658853.0,
11/04/2018,19.8,21.0,19.0,20.5,2507086.0,
11/05/2018,20.5,21.1,18.8,19.0,5686341.0,
11/06/2018,19.1,19.6,18.4,19.4,1604205.0,
11/07/2018,19.8,21.3,19.8,21.3,9295141.0,
11/08/2018,21.8,23.1,21.8,22.3,6147655.0,2424.0
11/11/2018,22.2,22.3,20.6,21.0,5034924.0,2159.0
11/12/2018,21.0,22.1,20.3,21.8,4778243.0,1853.0
11/13/2018,22.1,23.4,21.9,22.9,7384909.0,2449.0
11/14/2018,23.0,24.4,22.4,24.1,6031154.0,2221.0
11/15/2018,24.0,25.2,23.7,24.7,8443019.0,2316.0
11/18/2018,24.8,25.7,24.5,25.5,6733396.0,1936.0
11/19/2018,25.7,26.3,24.6,25.0,8129276.0,2534.0
11/20/2018,25.7,26.3,24.6,25.0,8129276.0,0.0
11/22/2018,25.8,25.8,24.8,25.1,6653680.0,2103.0
11/25/2018,25.4,27.5,24.6,27.4,7333515.0,2095.0
11/26/2018,27.7,28.0,26.5,26.8,4381590.0,1998.0
11/27/2018,26.8,28.5,26.5,27.5,6920865.0,2084.0
11/28/2018,27.8,28.1,26.6,27.4,4870224.0,1901.0
11/29/2018,27.6,28.4,26.5,26.9,5651772.0,2423.0
12/02/2018,27.2,27.5,25.4,26.0,6513080.0,2643.0
12/03/2018,26.2,26.4,25.3,25.7,3802318.0,1760.0
12/04/2018,26.2,28.1,25.8,27.0,6007537.0,2174.0
12/05/2018,27.1,27.8,26.6,27.3,6211633.0,1732.0
12/06/2018,27.5,28.3,27.3,27.6,6734995.0,2139.0
12/09/2018,27.7,27.9,26.4,26.7,2011869.0,994.0
12/10/2018,26.7,27.0,25.6,26.0,3041592.0,1134.0
12/11/2018,26.0,26.3,25.0,25.8,3089228.0,1236.0
12/12/2018,26.3,26.5,25.4,25.5,1103455.0,622.0
12/13/2018,25.3,26.0,25.1,25.4,1300898.0,607.0
12/17/2018,25.4,25.4,23.9,24.1,927163.0,561.0
12/18/2018,24.1,24.4,23.6,24.0,843551.0,478.0
12/19/2018,24.3,24.6,24.2,24.3,496326.0,322.0
12/20/2018,24.3,24.8,24.1,24.3,1793593.0,466.0
12/23/2018,24.4,24.5,23.5,23.7,709688.0,381.0
12/24/2018,24.0,24.1,23.7,23.9,546549.0,333.0
12/26/2018,24.0,25.5,24.0,25.2,2999923.0,1075.0
12/27/2018,25.5,25.9,25.2,25.8,2538297.0,773.0
01/01/2019,26.2,26.8,25.7,26.7,4650306.0,1144.0
01/02/2019,26.8,27.2,26.6,27.1,6445487.0,1352.0
01/03/2019,27.3,27.7,25.9,26.4,12286718.0,3256.0
01/06/2019,26.6,27.3,26.4,26.5,5260632.0,1548.0
01/07/2019,26.7,26.9,25.4,25.7,3000951.0,1291.0
01/08/2019,26.0,26.2,24.9,25.2,2456716.0,1181.0
01/09/2019,25.2,25.6,25.2,25.3,1631464.0,571.0
01/10/2019,25.2,26.3,25.0,26.1,2135909.0,788.0
01/13/2019,26.2,26.5,25.9,26.3,5521077.0,1028.0
01/14/2019,26.5,27.0,26.1,26.2,2934194.0,1002.0
01/15/2019,26.0,26.4,25.4,25.6,1896285.0,818.0
01/16/2019,25.6,26.4,25.2,25.4,1548561.0,685.0
01/17/2019,25.6,25.7,25.0,25.1,1018309.0,421.0
01/20/2019,25.2,26.3,24.8,26.1,2712869.0,902.0
01/21/2019,26.3,26.8,26.2,26.6,2961656.0,994.0
01/22/2019,26.6,27.2,26.3,27.1,5902598.0,1199.0
01/23/2019,27.2,28.2,26.8,27.9,6481440.0,1583.0
01/24/2019,28.0,28.5,27.3,28.2,3520013.0,1157.0
01/27/2019,28.3,28.7,27.9,28.3,3215561.0,893.0
01/28/2019,28.4,29.6,28.0,28.3,4583637.0,1535.0
01/29/2019,28.5,30.9,28.4,30.0,3982119.0,1391.0
01/30/2019,30.2,31.5,30.2,31.3,4302519.0,1575.0
01/31/2019,31.3,31.9,30.0,30.7,4465670.0,1203.0
02/03/2019,30.9,32.1,30.5,30.7,3338265.0,1300.0
02/04/2019,30.8,31.5,30.1,30.5,2128911.0,726.0
02/05/2019,30.8,31.2,29.6,29.8,1270936.0,634.0
02/06/2019,30.2,30.2,29.2,29.5,903656.0,456.0
02/07/2019,29.5,31.6,29.5,30.9,3108234.0,945.0
02/10/2019,31.6,32.5,31.3,31.6,3441446.0,1144.0
02/11/2019,31.6,31.8,30.6,30.8,2240818.0,
02/12/2019,30.8,31.3,29.9,30.0,1672168.0,666.0
02/13/2019,30.4,30.7,29.5,29.7,830411.0,555.0
02/14/2019,29.9,30.6,29.7,30.3,2969020.0,1158.0
02/17/2019,30.3,30.9,30.1,30.7,1973644.0,729.0
02/18/2019,30.7,31.0,29.6,29.7,1779281.0,776.0
02/19/2019,30.0,30.3,29.6,30.1,797820.0,332.0
02/20/2019,30.0,30.0,28.9,29.3,890996.0,409.0
02/24/2019,29.4,29.5,28.3,28.5,423440.0,317.0
02/25/2019,28.7,28.7,28.0,28.2,369436.0,240.0
02/26/2019,28.2,28.5,27.8,28.0,426366.0,267.0
02/27/2019,28.0,28.2,27.7,27.9,435966.0,251.0
03/03/2019,27.9,28.0,27.2,27.4,478004.0,334.0
