date,open,high,low,close,volume,trade
01/01/2018,19.5,19.9,19.3,19.7,133823.0,85.0
01/02/2018,19.8,19.9,19.6,19.6,52450.0,213.0
01/03/2018,19.8,21.0,19.3,20.5,640193.0,210.0
01/04/2018,20.9,21.7,20.7,21.0,2221614.0,655.0
01/07/2018,21.3,21.4,20.5,20.6,154193.0,109.0
01/08/2018,20.6,20.9,20.3,20.5,503472.0,275.0
01/09/2018,20.8,21.0,20.5,20.8,387010.0,184.0
01/10/2018,20.8,20.9,20.4,20.6,696593.0,217.0
01/11/2018,20.8,20.8,20.0,20.3,498608.0,268.0
01/14/2018,20.7,20.7,19.9,20.0,264948.0,83.0
01/15/2018,20.4,20.4,19.8,19.9,182430.0,80.0
01/16/2018,20.3,20.5,20.0,20.3,328305.0,119.0
01/17/2018,20.4,20.4,19.7,20.1,303506.0,123.0
01/18/2018,19.9,20.0,19.6,19.6,138492.0,64.0
01/21/2018,19.6,20.1,19.5,19.9,170131.0,99.0
01/22/2018,20.3,20.9,20.0,20.6,715152.0,253.0
01/23/2018,20.9,21.0,20.5,20.9,771118.0,265.0
01/24/2018,21.0,21.1,20.5,20.7,433717.0,147.0
01/25/2018,20.7,20.7,20.1,20.4,201022.0,52.0
01/28/2018,20.3,20.3,19.8,19.9,146975.0,93.0
01/29/2018,20.4,20.4,19.7,19.8,101091.0,93.0
01/30/2018,20.2,20.2,19.0,19.2,600089.0,236.0
01/31/2018,19.3,19.5,18.0,18.3,555056.0,238.0
02/01/2018,18.5,18.7,18.1,18.3,62400.0,57.0
02/04/2018,18.7,18.7,17.8,17.9,126388.0,76.0
02/05/2018,17.9,17.9,17.5,17.7,80753.0,52.0
02/06/2018,18.2,18.9,17.7,17.9,140218.0,102.0
02/07/2018,17.8,18.1,17.8,18.0,389595.0,127.0
02/08/2018,18.4,18.4,17.7,18.1,57078.0,43.0
02/11/2018,18.4,18.9,18.3,18.8,567301.0,157.0
02/12/2018,19.2,19.2,18.4,18.6,293400.0,144.0
02/13/2018,18.6,18.8,18.4,18.6,215813.0,66.0
02/14/2018,18.6,20.1,18.6,19.8,802861.0,247.0
02/15/2018,19.9,20.4,19.7,19.9,717094.0,263.0
02/18/2018,20.0,20.1,19.4,19.9,561320.0,156.0
02/19/2018,19.8,20.3,19.3,19.7,224546.0,85.0
02/20/2018,19.5,19.9,19.2,19.4,236046.0,109.0
02/22/2018,20.0,20.0,19.4,19.5,24867.0,26.0
02/25/2018,19.7,19.8,19.0,19.3,106976.0,91.0
02/26/2018,19.5,19.5,18.8,19.0,72588.0,51.0
02/27/2018,19.0,19.5,19.0,19.1,26102.0,21.0
02/28/2018,19.5,19.6,19.1,19.5,209789.0,86.0
03/01/2018,19.5,19.7,19.4,19.6,93805.0,70.0
03/04/2018,19.7,19.8,19.1,19.2,71925.0,71.0
03/05/2018,19.6,20.5,19.0,19.9,344211.0,134.0
03/06/2018,20.2,20.8,19.7,20.5,389264.0,181.0
03/07/2018,20.7,20.7,20.2,20.6,322304.0,159.0
03/08/2018,20.8,20.8,19.9,20.4,200728.0,101.0
03/11/2018,20.7,20.7,19.8,20.2,73442.0,52.0
03/12/2018,20.5,20.5,19.6,20.2,97700.0,68.0
03/13/2018,20.3,20.3,18.9,19.3,121805.0,96.0
03/14/2018,19.7,20.3,19.1,20.0,141009.0,84.0
03/15/2018,20.1,20.4,19.6,20.3,196624.0,72.0
03/18/2018,20.4,20.7,20.0,20.6,191192.0,126.0
03/19/2018,20.4,20.4,20.0,20.3,99969.0,49.0
03/20/2018,20.3,20.3,19.7,20.1,86578.0,53.0
03/21/2018,20.2,20.3,19.8,19.9,859356.0,110.0
03/22/2018,19.8,21.8,19.7,20.6,746330.0,169.0
03/25/2018,20.9,20.9,20.2,20.7,215525.0,163.0
03/27/2018,20.7,20.9,20.0,20.1,64687.0,98.0
03/28/2018,20.6,21.1,20.1,20.8,676009.0,204.0
03/29/2018,21.0,21.1,20.5,20.8,223399.0,100.0
04/01/2018,21.0,21.0,20.6,20.9,320537.0,186.0
04/02/2018,21.3,21.4,20.7,20.8,205830.0,85.0
04/03/2018,20.7,21.4,20.7,21.1,878256.0,268.0
04/04/2018,21.2,21.3,20.8,21.0,253690.0,135.0
04/05/2018,20.8,21.4,20.8,21.1,536993.0,183.0
04/08/2018,21.3,21.4,21.0,21.0,393401.0,163.0
04/09/2018,21.2,21.3,20.9,21.1,444701.0,156.0
04/10/2018,21.3,21.4,20.8,20.9,149358.0,87.0
04/11/2018,21.2,21.2,20.5,20.6,62353.0,46.0
04/12/2018,20.9,20.9,20.4,20.5,51977.0,46.0
04/15/2018,20.4,20.6,20.3,20.5,31080.0,39.0
04/16/2018,20.2,20.8,20.1,20.3,90450.0,67.0
04/17/2018,20.3,20.9,20.3,20.3,71176.0,70.0
04/18/2018,20.8,20.8,20.1,20.2,59907.0,51.0
04/19/2018,20.0,20.8,19.5,19.6,544512.0,229.0
04/22/2018,20.3,20.3,19.1,19.2,155839.0,86.0
04/23/2018,19.3,19.8,19.2,19.4,64718.0,59.0
04/24/2018,19.6,19.7,18.7,18.9,240830.0,168.0
04/25/2018,19.2,19.4,18.7,18.9,101970.0,63.0
04/26/2018,19.4,19.4,18.6,18.7,274109.0,120.0
04/30/2018,19.0,19.4,18.7,19.0,160197.0,145.0
05/03/2018,19.2,19.6,19.0,19.1,375921.0,178.0
05/06/2018,19.4,19.7,19.3,19.6,353010.0,202.0
05/07/2018,19.8,20.2,19.6,20.0,288847.0,211.0
05/08/2018,20.3,20.3,19.3,19.5,165755.0,111.0
05/09/2018,19.2,20.0,19.2,19.8,192937.0,154.0
05/10/2018,19.6,20.7,19.6,19.7,318234.0,192.0
05/13/2018,20.1,20.1,19.2,19.3,133123.0,93.0
05/14/2018,19.5,20.0,19.3,19.4,146280.0,175.0
05/15/2018,19.6,19.7,18.8,19.0,270236.0,151.0
05/16/2018,18.9,19.4,18.8,18.9,120370.0,126.0
05/17/2018,18.9,19.0,18.6,18.8,133132.0,112.0
05/20/2018,18.6,18.9,18.5,18.6,35842.0,70.0
05/21/2018,18.8,19.1,18.7,18.9,76422.0,70.0
05/22/2018,18.8,19.0,18.7,18.7,108905.0,84.0
05/23/2018,19.1,19.1,18.5,18.6,129668.0,62.0
05/24/2018,18.8,20.4,18.7,20.1,596529.0,316.0
05/27/2018,20.5,21.0,20.1,20.9,4448182.0,527.0
05/28/2018,21.0,21.0,20.0,20.1,361852.0,286.0
05/29/2018,19.8,20.4,19.6,19.7,186134.0,141.0
05/30/2018,19.7,20.2,19.2,19.7,98207.0,73.0
05/31/2018,19.9,19.9,19.4,19.6,37647.0,91.0
06/03/2018,19.8,19.9,19.4,19.6,29683.0,45.0
06/04/2018,19.5,20.1,19.4,19.5,90927.0,81.0
06/05/2018,19.6,19.7,19.5,19.5,5528.0,17.0
06/06/2018,19.5,19.8,19.5,19.7,55330.0,41.0
06/07/2018,19.8,19.8,19.1,19.3,58237.0,60.0
06/10/2018,19.3,19.7,19.0,19.1,117264.0,60.0
06/11/2018,18.8,19.4,18.8,18.9,99164.0,66.0
06/12/2018,19.3,19.3,18.8,18.9,125715.0,88.0
06/18/2018,19.0,19.2,18.8,18.8,31226.0,43.0
06/19/2018,19.1,19.3,18.7,18.8,159800.0,103.0
06/20/2018,19.0,19.5,18.8,19.1,93618.0,57.0
06/21/2018,19.1,19.6,18.8,19.0,301668.0,193.0
06/24/2018,19.5,19.5,19.1,19.3,95100.0,67.0
06/25/2018,19.6,19.8,19.0,19.3,262929.0,147.0
06/26/2018,19.2,19.2,19.0,19.2,118536.0,84.0
06/27/2018,19.2,19.7,19.0,19.2,205841.0,135.0
06/28/2018,19.0,19.3,18.9,19.0,130378.0,85.0
07/02/2018,19.1,19.6,18.8,18.9,415575.0,207.0
07/03/2018,19.3,19.6,18.9,19.1,822306.0,336.0
07/04/2018,19.5,20.0,19.2,19.6,1185073.0,525.0
07/05/2018,20.0,20.6,19.8,20.1,1125692.0,600.0
07/08/2018,20.4,22.1,20.2,22.1,4715723.0,881.0
07/09/2018,22.5,24.3,22.5,23.1,4417127.0,1215.0
07/10/2018,23.0,23.4,22.4,22.8,2025738.0,782.0
07/11/2018,23.4,24.9,22.8,23.2,3485265.0,929.0
07/12/2018,23.6,24.0,22.9,23.9,1778120.0,807.0
07/15/2018,24.4,26.0,24.0,25.7,7960315.0,1907.0
07/16/2018,25.6,25.9,23.4,23.7,4707761.0,1416.0
07/17/2018,23.8,24.0,21.9,22.1,2321128.0,946.0
07/18/2018,21.9,23.0,21.6,21.8,2766543.0,1040.0
07/19/2018,22.1,23.8,22.1,23.4,2299177.0,975.0
07/22/2018,23.6,23.9,22.5,22.9,1883549.0,839.0
07/23/2018,23.0,23.1,22.0,22.1,1188894.0,693.0
07/24/2018,24.3,24.2,22.4,23.9,2850889.0,1269.0
07/25/2018,24.3,26.2,24.2,26.2,7302060.0,1256.0
07/26/2018,27.2,28.8,26.8,27.9,6646283.0,2022.0
07/29/2018,27.9,29.7,26.8,27.3,4692483.0,1711.0
07/30/2018,27.5,30.0,27.4,29.1,11181314.0,
07/31/2018,29.4,31.5,29.3,30.0,7725177.0,2253.0
08/01/2018,30.1,30.7,28.3,28.6,5395592.0,1991.0
08/02/2018,28.9,31.4,28.6,31.0,7648165.0,1749.0
08/05/2018,31.4,33.4,31.2,32.1,5977924.0,2023.0
08/06/2018,32.1,33.5,31.4,31.6,4161781.0,1603.0
08/07/2018,31.9,32.8,30.7,31.1,5770709.0,2068.0
08/08/2018,31.2,32.0,29.8,30.5,3756509.0,1291.0
08/09/2018,31.1,33.5,30.8,33.5,5540614.0,2026.0
08/12/2018,33.8,35.0,32.1,33.8,7704764.0,2598.0
08/13/2018,33.6,33.6,31.7,32.3,3403852.0,1214.0
08/14/2018,32.7,33.0,30.9,31.1,3368602.0,1252.0
08/16/2018,32.9,32.9,30.4,30.5,2237772.0,1042.0
08/19/2018,30.8,31.2,27.6,28.3,3133399.0,1123.0
08/20/2018,28.5,31.1,28.3,30.6,2409433.0,924.0
08/26/2018,31.5,32.8,31.0,32.5,1719074.0,901.0
08/27/2018,32.8,32.8,31.0,31.2,1275303.0,779.0
08/28/2018,31.5,31.9,30.6,31.7,1118358.0,640.0
08/29/2018,31.9,32.4,31.2,31.3,1439287.0,737.0
08/30/2018,31.3,34.4,31.3,34.4,6497371.0,1400.0
09/03/2018,35.0,35.6,33.6,35.4,3958428.0,952.0
09/04/2018,34.6,34.9,33.1,33.3,1960883.0,826.0
09/05/2018,33.7,34.5,33.3,33.6,1740644.0,549.0
09/06/2018,33.5,33.9,32.2,33.5,2103172.0,710.0
09/09/2018,34.5,36.8,33.8,36.8,12691105.0,1323.0
09/10/2018,37.0,37.4,33.7,36.3,2452203.0,841.0
09/11/2018,36.4,36.6,34.5,35.0,834372.0,417.0
09/12/2018,35.0,35.5,34.3,35.3,3248133.0,682.0
09/13/2018,35.4,36.7,34.8,36.4,1621241.0,589.0
09/16/2018,36.9,37.5,33.7,33.9,5791195.0,887.0
09/17/2018,33.9,34.4,32.3,32.5,5649648.0,922.0
09/18/2018,33.4,35.7,32.0,35.3,5019694.0,980.0
09/19/2018,35.3,38.8,35.3,38.8,5347656.0,1069.0
09/20/2018,39.0,39.5,35.6,35.9,2177043.0,714.0
09/23/2018,35.9,36.0,33.4,33.9,780402.0,594.0
09/24/2018,34.0,37.2,33.1,36.7,2951656.0,743.0
09/25/2018,36.7,37.5,34.3,35.3,1304887.0,675.0
09/26/2018,35.5,36.3,34.1,34.4,238699.0,279.0
09/27/2018,34.4,35.3,33.8,34.0,398559.0,293.0
09/30/2018,34.0,36.3,33.9,35.8,545056.0,321.0
10/01/2018,35.8,36.0,34.6,34.9,515780.0,321.0
10/02/2018,35.1,37.5,34.9,36.8,642417.0,337.0
10/03/2018,37.0,37.7,36.3,37.2,510305.0,319.0
10/04/2018,37.2,37.6,36.4,37.2,431428.0,285.0
10/07/2018,37.6,39.4,37.4,38.7,900029.0,0.0
10/08/2018,39.2,39.8,37.5,38.7,982649.0,
10/09/2018,38.7,40.9,38.2,40.3,1352791.0,
10/10/2018,41.0,43.1,40.3,41.9,620068.0,4.0
10/11/2018,41.9,43.4,40.8,42.4,985433.0,838.0
10/14/2018,42.5,43.9,41.4,41.8,533957.0,460.0
10/15/2018,41.2,42.6,40.9,42.4,687908.0,481.0
10/16/2018,42.4,42.5,41.8,41.9,346078.0,223.0
10/17/2018,41.9,41.9,40.1,40.4,301005.0,233.0
10/18/2018,40.5,41.9,40.2,40.9,311736.0,253.0
10/21/2018,40.5,41.2,40.4,40.5,330830.0,215.0
10/22/2018,40.6,41.1,38.9,39.6,243726.0,158.0
10/23/2018,39.3,40.0,38.8,39.3,77457.0,108.0
10/24/2018,39.9,40.0,39.1,39.7,119542.0,179.0
10/25/2018,39.7,40.2,39.0,39.1,128985.0,
10/28/2018,38.3,39.1,38.2,38.7,35143.0,
10/29/2018,39.0,40.6,37.9,39.6,2650538.0,
10/30/2018,40.3,40.9,39.1,39.8,2711853.0,
10/31/2018,41.1,42.8,39.3,40.2,1063515.0,
11/01/2018,40.4,44.2,39.0,42.1,579469.0,
11/04/2018,44.0,46.3,44.0,46.3,1844842.0,
