date,open,high,low,close,volume,trade
01/01/2018,63.2,63.5,62.1,62.5,83920.0,318.0
01/02/2018,62.8,63.6,62.6,63.5,10869.0,730.0
01/03/2018,65.9,65.9,64.1,64.5,51715.0,322.0
01/04/2018,64.5,64.8,63.7,64.1,43357.0,238.0
01/07/2018,64.4,64.4,63.6,63.7,45249.0,217.0
01/08/2018,64.3,64.5,63.4,64.0,59276.0,319.0
01/09/2018,64.4,64.9,64.0,64.7,216713.0,579.0
01/10/2018,64.5,66.4,64.5,65.2,509734.0,995.0
01/11/2018,65.5,65.8,65.0,65.5,106858.0,253.0
01/14/2018,64.9,65.5,64.9,65.1,355652.0,448.0
01/15/2018,64.8,65.2,63.7,64.5,180865.0,375.0
01/16/2018,64.2,65.0,64.2,64.8,52353.0,159.0
01/17/2018,65.1,65.2,63.5,64.4,77631.0,201.0
01/18/2018,63.8,64.4,63.1,63.5,24013.0,103.0
01/21/2018,63.7,64.1,63.2,63.3,77463.0,361.0
01/22/2018,63.0,64.3,63.0,63.8,32916.0,112.0
01/23/2018,64.0,64.7,63.6,64.5,48309.0,190.0
01/24/2018,64.3,65.2,63.9,64.6,90928.0,257.0
01/25/2018,64.3,64.5,63.6,63.7,40239.0,103.0
01/28/2018,62.9,63.2,61.8,62.3,50881.0,201.0
01/29/2018,62.1,63.2,62.0,62.6,37533.0,127.0
01/30/2018,62.8,62.8,62.2,62.3,47683.0,109.0
01/31/2018,62.0,62.0,59.1,59.6,97153.0,231.0
02/01/2018,60.5,60.5,59.7,59.7,27360.0,114.0
02/04/2018,59.7,59.7,57.4,58.0,69876.0,151.0
02/05/2018,58.0,58.9,57.4,58.2,37545.0,79.0
02/06/2018,58.1,62.8,58.1,60.2,68773.0,199.0
02/07/2018,59.7,62.3,59.6,60.0,85264.0,233.0
02/08/2018,61.3,62.0,60.3,60.9,34191.0,106.0
02/11/2018,62.5,64.0,62.3,62.7,139299.0,370.0
02/12/2018,64.1,64.2,62.7,63.5,97982.0,314.0
02/13/2018,64.2,65.5,64.0,65.2,156259.0,490.0
02/14/2018,65.8,65.8,64.4,64.6,117995.0,251.0
02/15/2018,64.4,65.8,63.3,63.7,123174.0,290.0
02/18/2018,64.4,64.4,61.3,61.4,99752.0,307.0
