date,open,high,low,close,volume,trade
01/01/2018,26.6,27.0,26.3,26.5,66825.0,116.0
01/02/2018,25.8,26.8,25.8,26.4,35340.0,180.0
01/03/2018,26.3,26.4,25.8,26.2,166786.0,152.0
01/04/2018,26.1,26.3,26.1,26.2,111367.0,116.0
01/07/2018,26.3,26.4,25.8,25.9,212614.0,201.0
01/08/2018,26.0,26.0,25.6,25.7,211347.0,173.0
01/09/2018,25.8,25.9,25.4,25.7,219834.0,180.0
01/10/2018,26.1,26.2,25.7,25.8,123721.0,121.0
01/11/2018,25.8,26.2,25.6,25.9,129079.0,125.0
01/14/2018,25.9,26.8,25.5,26.6,381292.0,226.0
01/15/2018,25.9,27.2,25.9,26.5,775402.0,450.0
01/16/2018,26.7,26.9,26.4,26.5,302640.0,177.0
01/17/2018,26.8,26.8,26.1,26.2,172192.0,139.0
01/18/2018,26.2,26.5,26.2,26.2,178195.0,106.0
01/21/2018,26.0,27.1,26.0,26.5,116850.0,152.0
01/22/2018,26.5,26.5,26.2,26.2,185709.0,147.0
01/23/2018,26.6,26.6,26.1,26.2,66362.0,85.0
01/24/2018,26.2,26.4,26.0,26.2,42180.0,54.0
01/25/2018,26.7,27.4,26.2,26.6,177313.0,135.0
01/28/2018,26.2,26.6,26.1,26.1,46866.0,54.0
01/29/2018,26.0,26.2,26.0,26.1,53906.0,60.0
01/30/2018,26.1,26.5,26.0,26.2,26443.0,34.0
01/31/2018,26.3,26.3,25.2,25.6,129944.0,125.0
02/01/2018,26.5,26.7,25.4,25.6,129720.0,82.0
02/04/2018,25.6,25.6,24.9,25.0,100154.0,73.0
02/05/2018,25.1,25.1,24.8,24.8,95691.0,100.0
02/06/2018,25.4,25.4,24.9,25.0,49981.0,59.0
02/07/2018,25.0,26.2,24.8,25.6,153658.0,99.0
02/08/2018,24.9,25.6,24.9,25.4,47892.0,53.0
02/11/2018,26.0,26.2,25.7,26.0,65668.0,53.0
02/12/2018,25.9,26.0,25.7,25.8,51498.0,56.0
02/13/2018,25.8,25.8,25.3,25.5,88822.0,106.0
02/14/2018,25.6,25.6,24.9,25.0,399596.0,374.0
02/15/2018,25.1,25.5,24.8,24.9,44047.0,66.0
02/18/2018,25.0,25.1,23.9,24.2,208622.0,246.0
02/19/2018,24.6,24.7,24.2,24.6,44608.0,73.0
02/20/2018,24.6,24.7,23.8,24.0,150789.0,128.0
02/22/2018,24.3,24.4,23.9,24.0,40704.0,56.0
02/25/2018,24.0,24.2,23.8,23.8,18860.0,29.0
02/26/2018,24.1,24.1,23.4,23.6,168013.0,81.0
02/27/2018,23.8,23.9,23.5,23.6,80006.0,71.0
02/28/2018,23.7,23.8,23.3,23.8,35022.0,42.0
03/01/2018,23.5,23.8,23.3,23.5,87768.0,61.0
03/04/2018,23.9,24.1,23.7,23.8,48078.0,95.0
03/05/2018,23.9,23.9,23.8,23.8,69171.0,57.0
03/06/2018,24.0,24.3,23.8,23.9,45645.0,84.0
03/07/2018,23.9,23.9,23.8,23.8,13728.0,18.0
03/08/2018,23.8,23.8,23.5,23.6,66206.0,44.0
03/11/2018,23.5,23.8,23.3,23.4,32805.0,40.0
03/12/2018,23.7,23.7,22.9,23.1,57981.0,72.0
03/13/2018,23.3,23.3,22.7,22.8,51456.0,89.0
03/14/2018,23.0,23.1,22.5,23.0,42193.0,73.0
03/15/2018,22.7,23.6,22.7,23.2,52360.0,59.0
03/18/2018,23.2,23.4,22.8,22.9,20304.0,46.0
03/19/2018,23.1,23.5,22.9,23.1,88724.0,116.0
03/20/2018,23.2,23.2,22.8,22.8,28332.0,64.0
03/21/2018,22.6,23.1,22.5,22.7,30068.0,56.0
03/22/2018,22.8,23.0,22.4,22.6,648945.0,55.0
03/25/2018,22.9,23.2,22.6,22.6,31176.0,72.0
03/27/2018,23.1,23.1,22.1,22.6,59812.0,100.0
03/28/2018,22.5,22.8,22.0,22.4,164234.0,84.0
03/29/2018,22.5,23.1,22.2,22.8,70246.0,126.0
04/01/2018,23.0,23.5,22.9,23.3,30205.0,68.0
04/02/2018,23.8,23.8,23.0,23.8,94442.0,113.0
04/03/2018,24.0,24.0,23.2,23.3,50864.0,99.0
04/04/2018,23.8,25.0,23.3,24.3,496981.0,419.0
04/05/2018,24.6,25.4,24.5,24.7,370354.0,344.0
04/08/2018,25.1,25.4,24.5,25.2,290848.0,291.0
04/09/2018,25.4,26.1,25.3,25.5,267432.0,353.0
04/10/2018,25.9,25.9,24.8,25.0,169024.0,188.0
04/11/2018,25.1,25.7,24.8,25.0,272190.0,215.0
