date,open,high,low,close,volume,trade
01/01/2018,145.6,147.2,144.4,145.1,2220.0,41.0
01/02/2018,150.5,155.0,150.5,151.1,155.0,8.0
01/03/2018,150.0,150.0,149.9,150.0,230.0,5.0
01/04/2018,152.4,160.0,150.0,158.3,11724.0,162.0
01/07/2018,160.0,166.4,156.0,157.9,3938.0,128.0
01/08/2018,159.9,159.9,153.2,156.0,3921.0,95.0
01/09/2018,157.9,160.7,156.0,156.6,3852.0,99.0
01/10/2018,158.8,167.9,158.4,162.7,5445.0,121.0
01/11/2018,166.7,175.0,165.5,166.4,3193.0,65.0
01/14/2018,176.9,176.9,162.2,163.8,5608.0,174.0
01/15/2018,170.0,170.0,153.2,157.2,4073.0,73.0
01/16/2018,165.0,171.0,157.1,161.3,2115.0,67.0
01/17/2018,164.1,169.7,158.0,158.9,1529.0,55.0
01/18/2018,166.4,166.4,166.4,166.4,1.0,1.0
01/21/2018,168.8,170.2,167.9,168.5,293.0,19.0
01/22/2018,165.0,165.0,162.0,162.4,1897.0,34.0
01/23/2018,161.1,167.1,161.1,161.2,566.0,8.0
01/24/2018,163.0,163.0,158.8,159.5,1449.0,42.0
01/25/2018,157.2,165.0,156.7,157.1,1562.0,20.0
01/28/2018,158.3,162.0,155.0,157.2,3148.0,69.0
01/29/2018,162.3,162.4,157.0,161.5,4297.0,57.0
01/30/2018,164.0,164.0,159.1,160.0,1843.0,27.0
01/31/2018,161.0,162.2,154.4,154.9,1910.0,40.0
02/01/2018,158.8,163.0,155.0,161.1,4896.0,98.0
02/04/2018,167.0,167.0,157.0,158.6,804.0,58.0
02/05/2018,155.0,161.8,155.0,157.3,1054.0,53.0
02/06/2018,161.0,163.0,156.5,161.3,3770.0,44.0
02/07/2018,163.0,166.9,155.1,164.6,6813.0,79.0
02/08/2018,168.0,172.5,166.2,170.3,9894.0,226.0
02/11/2018,171.0,176.9,171.0,175.1,1461.0,50.0
02/12/2018,174.0,178.0,170.0,170.9,2819.0,64.0
02/13/2018,175.0,177.0,174.9,175.5,1483.0,42.0
02/14/2018,179.0,179.0,175.0,178.1,2118.0,41.0
02/15/2018,180.0,192.0,180.0,186.9,3144.0,79.0
02/18/2018,186.1,186.1,180.1,184.1,2014.0,34.0
02/19/2018,188.0,189.9,177.1,178.2,1832.0,35.0
02/20/2018,180.0,180.0,161.0,167.9,973.0,29.0
02/22/2018,160.1,168.9,157.1,158.1,4557.0,40.0
02/25/2018,161.2,164.5,161.0,161.2,3518.0,58.0
02/26/2018,161.2,162.0,158.1,159.9,3095.0,43.0
02/27/2018,162.0,166.5,162.0,162.7,1267.0,18.0
02/28/2018,163.5,167.0,162.7,164.7,5659.0,100.0
03/01/2018,168.0,181.1,167.2,181.1,6733.0,102.0
03/04/2018,192.0,199.2,190.0,195.9,17381.0,177.0
03/05/2018,201.0,201.0,190.0,198.3,2932.0,93.0
03/06/2018,200.0,209.8,195.0,199.2,5932.0,144.0
03/07/2018,197.2,203.0,190.0,191.6,2866.0,33.0
03/08/2018,180.1,194.0,180.0,182.7,2993.0,55.0
03/11/2018,184.9,188.8,180.0,183.5,2044.0,50.0
03/12/2018,182.0,182.0,173.0,174.0,2514.0,36.0
03/13/2018,173.0,174.0,165.0,168.1,1839.0,19.0
03/14/2018,161.4,169.8,160.1,168.8,1829.0,41.0
03/15/2018,172.9,172.9,168.0,168.4,2292.0,39.0
03/18/2018,168.0,168.0,160.0,160.1,3681.0,86.0
03/19/2018,167.9,167.9,158.2,158.4,1012.0,33.0
03/20/2018,160.0,170.0,159.0,164.5,1291.0,25.0
03/21/2018,177.0,179.9,170.1,172.8,6730.0,127.0
03/22/2018,175.0,175.0,161.0,174.8,2876.0,33.0
03/25/2018,176.8,176.8,171.0,173.1,279.0,13.0
03/27/2018,165.1,165.1,162.2,162.5,1461.0,36.0
03/28/2018,170.0,170.0,153.1,154.8,1096.0,22.0
03/29/2018,165.0,165.0,154.0,159.1,1672.0,33.0
04/01/2018,169.0,169.0,165.0,166.1,446.0,13.0
04/02/2018,168.0,168.0,163.8,164.6,107.0,4.0
04/03/2018,165.0,165.0,161.0,162.6,386.0,15.0
04/04/2018,160.0,160.0,154.0,156.5,257.0,8.0
04/05/2018,163.5,165.0,163.5,164.8,95.0,10.0
04/08/2018,169.0,169.0,155.7,155.9,2406.0,68.0
04/09/2018,158.0,163.0,157.2,158.5,368.0,13.0
04/10/2018,165.0,165.0,163.0,163.4,65.0,8.0
04/11/2018,160.0,161.9,159.1,160.0,1774.0,41.0
04/12/2018,163.0,163.0,162.5,162.7,349.0,25.0
04/15/2018,162.8,162.8,160.0,160.4,2106.0,15.0
04/16/2018,160.0,160.9,160.0,160.9,653.0,9.0
04/17/2018,166.9,166.9,160.0,163.5,669.0,16.0
04/18/2018,159.8,163.9,158.2,159.6,947.0,17.0
04/19/2018,161.9,161.9,161.9,161.9,6.0,2.0
04/22/2018,161.9,177.9,160.0,176.9,6833.0,133.0
04/23/2018,179.9,185.3,179.9,182.9,3351.0,109.0
04/24/2018,176.0,176.0,165.2,165.6,143.0,3.0
04/25/2018,170.0,173.2,170.0,172.6,31.0,3.0
04/26/2018,166.2,166.2,163.0,164.8,1081.0,27.0
04/30/2018,160.2,164.8,150.0,153.2,1666.0,28.0
05/03/2018,160.0,160.0,160.0,160.0,20.0,2.0
05/06/2018,166.7,166.7,155.0,158.5,510.0,25.0
05/07/2018,160.0,160.0,160.0,160.0,1.0,1.0
05/08/2018,155.0,159.0,153.1,155.0,163.0,20.0
05/09/2018,152.0,163.8,151.2,152.2,429.0,17.0
05/10/2018,155.0,158.0,153.5,154.4,848.0,30.0
05/13/2018,150.1,155.0,146.1,148.4,1539.0,26.0
05/14/2018,155.0,155.0,148.5,148.6,604.0,9.0
05/15/2018,152.9,154.9,141.1,153.1,102.0,5.0
05/16/2018,150.0,153.5,148.1,149.2,958.0,31.0
05/17/2018,144.3,150.0,144.2,147.5,713.0,10.0
05/20/2018,147.0,147.0,147.0,147.0,200.0,4.0
05/21/2018,150.0,150.0,147.5,149.3,133.0,4.0
05/22/2018,155.0,158.7,154.9,155.7,501.0,11.0
05/23/2018,158.0,158.0,158.0,158.0,3.0,1.0
05/24/2018,149.0,150.0,149.0,149.1,190.0,6.0
05/27/2018,148.0,150.0,134.2,141.7,440.0,24.0
05/28/2018,148.0,150.0,134.2,141.7,440.0,0.0
05/29/2018,140.0,144.3,133.0,139.8,265.0,13.0
05/30/2018,150.0,150.0,140.1,143.5,1300.0,32.0
05/31/2018,143.5,157.7,143.5,150.4,1211.0,19.0
06/03/2018,157.0,158.4,155.0,158.0,4038.0,89.0
06/04/2018,159.6,159.6,159.6,159.6,10.0,1.0
06/05/2018,156.0,160.0,156.0,160.0,4590.0,101.0
06/06/2018,163.0,163.0,157.0,157.5,1863.0,78.0
06/07/2018,168.0,168.0,168.0,168.0,1.0,1.0
06/10/2018,170.0,170.0,155.0,160.5,598.0,22.0
06/11/2018,167.0,170.8,158.0,159.1,985.0,26.0
06/12/2018,160.0,165.0,160.0,163.4,3530.0,64.0
06/18/2018,166.8,166.8,147.5,149.0,1616.0,36.0
06/19/2018,158.0,158.0,146.7,150.5,651.0,36.0
06/20/2018,145.1,158.0,145.0,146.8,907.0,27.0
06/21/2018,147.0,155.8,141.1,147.6,2000.0,33.0
06/24/2018,150.0,154.5,150.0,153.2,780.0,14.0
06/25/2018,154.0,154.0,148.0,151.5,770.0,18.0
06/26/2018,145.0,148.6,145.0,148.2,930.0,22.0
06/27/2018,161.9,163.0,161.5,163.0,8246.0,138.0
06/28/2018,176.9,179.3,165.0,179.3,22536.0,218.0
07/02/2018,194.0,197.2,194.0,197.2,20943.0,109.0
07/03/2018,211.0,211.0,177.8,179.6,2416.0,56.0
07/04/2018,162.0,194.8,162.0,188.6,3378.0,68.0
07/05/2018,190.0,190.0,180.0,180.7,4582.0,63.0
07/08/2018,180.6,180.6,165.0,168.3,1573.0,25.0
07/09/2018,169.5,169.5,158.0,163.1,511.0,21.0
07/10/2018,178.0,178.0,160.2,162.9,234.0,23.0
07/11/2018,164.9,169.7,161.3,164.8,1156.0,15.0
07/12/2018,168.9,168.9,160.1,162.0,1303.0,27.0
07/15/2018,159.0,163.5,153.0,156.5,870.0,25.0
07/16/2018,167.0,168.8,153.5,165.4,1342.0,48.0
07/17/2018,172.9,173.0,167.2,170.9,601.0,23.0
07/18/2018,181.0,181.0,166.1,178.8,837.0,37.0
07/19/2018,161.0,161.1,161.0,161.0,3201.0,23.0
07/22/2018,144.9,144.9,144.9,144.9,1408.0,16.0
07/23/2018,130.5,145.0,130.5,138.5,4231.0,56.0
07/24/2018,140.0,146.7,133.5,138.8,2892.0,50.0
07/25/2018,140.0,144.8,138.0,140.5,1968.0,52.0
07/26/2018,142.0,142.0,140.0,141.0,416.0,16.0
07/29/2018,141.1,147.8,132.5,135.5,490.0,19.0
07/30/2018,142.0,148.5,142.0,146.8,1294.0,
07/31/2018,150.0,150.5,140.0,142.3,603.0,14.0
08/01/2018,142.3,142.3,128.1,130.5,2175.0,50.0
08/02/2018,135.0,143.4,135.0,141.5,669.0,16.0
08/05/2018,155.0,155.0,142.0,142.0,732.0,55.0
08/06/2018,143.1,143.1,129.1,132.0,583.0,15.0
08/07/2018,132.2,139.9,118.8,118.9,2316.0,70.0
08/08/2018,119.0,124.9,107.2,108.9,4713.0,88.0
08/09/2018,105.0,105.0,98.1,98.2,4634.0,75.0
08/12/2018,100.1,100.1,88.4,88.5,9875.0,126.0
08/13/2018,88.5,88.5,79.8,81.6,9323.0,151.0
08/14/2018,80.0,82.0,80.0,82.0,2036.0,38.0
08/16/2018,80.0,85.0,75.0,81.7,10686.0,89.0
08/19/2018,81.2,86.1,76.0,80.7,7937.0,73.0
08/20/2018,81.1,88.5,78.9,84.0,2844.0,26.0
08/26/2018,86.6,92.4,86.6,90.7,2871.0,36.0
08/27/2018,91.5,99.7,91.5,99.6,1839.0,20.0
08/28/2018,105.0,109.4,101.0,106.0,12069.0,110.0
08/29/2018,105.0,116.6,102.5,113.8,10106.0,118.0
08/30/2018,118.7,118.7,104.4,106.6,4933.0,65.0
09/03/2018,102.5,102.5,96.0,96.0,4383.0,64.0
09/04/2018,96.0,102.8,86.4,86.5,9038.0,67.0
09/05/2018,86.0,86.0,82.3,83.9,3125.0,52.0
09/06/2018,90.9,90.9,84.0,84.2,4197.0,38.0
