date,open,high,low,close,volume,trade
08/11/2021,11.0,11.0,11.0,11.0,8247.0,66.0
08/12/2021,12.1,12.1,12.1,12.1,8149.0,79.0
08/16/2021,13.3,13.3,13.3,13.3,132965.0,184.0
08/17/2021,14.6,14.6,14.6,14.6,20148.0,180.0
08/18/2021,16.0,16.0,16.0,16.0,54842.0,402.0
08/19/2021,17.6,17.6,17.6,17.6,595091.0,1492.0
08/22/2021,19.3,19.3,19.0,19.3,12908270.0,21044.0
08/23/2021,21.2,21.2,21.2,21.2,3226554.0,8695.0
08/24/2021,23.3,23.3,23.3,23.3,2683834.0,4257.0
08/25/2021,25.6,25.6,25.6,25.6,1208246.0,2903.0
08/26/2021,28.1,28.1,23.2,24.6,29000285.0,55327.0
08/29/2021,24.3,24.5,22.3,22.4,8183947.0,18024.0
08/31/2021,21.9,24.2,21.7,23.0,8137007.0,9766.0
09/01/2021,23.6,24.0,23.1,23.5,6447235.0,6959.0
09/02/2021,23.8,24.0,23.1,23.3,6790101.0,6333.0
09/05/2021,23.6,23.9,22.7,22.8,6981379.0,6028.0
09/06/2021,22.9,22.9,22.1,22.3,5779443.0,5363.0
09/07/2021,22.3,22.5,22.0,22.2,3056926.0,4127.0
09/08/2021,22.3,22.8,21.7,21.8,5466350.0,6434.0
09/09/2021,21.9,22.0,21.0,21.1,4821027.0,4724.0
09/12/2021,21.1,21.3,20.2,20.3,4803589.0,5123.0
09/13/2021,20.3,22.3,20.1,22.3,5016473.0,4565.0
09/14/2021,23.0,23.8,22.3,22.6,9035431.0,6759.0
09/15/2021,22.4,23.0,22.2,22.6,6314313.0,3704.0
09/16/2021,22.7,23.0,22.2,22.3,4361455.0,3142.0
09/19/2021,22.4,22.4,20.7,21.0,3589804.0,2704.0
09/20/2021,21.3,21.5,20.9,21.0,2172968.0,1830.0
09/21/2021,21.1,21.8,21.0,21.5,2653471.0,2613.0
09/22/2021,21.5,21.7,21.3,21.4,1949951.0,1536.0
09/23/2021,21.4,22.0,21.3,21.5,2776277.0,1627.0
09/26/2021,21.4,21.5,20.7,20.8,2607683.0,3918.0
09/27/2021,20.9,21.2,20.8,21.0,1735778.0,2933.0
09/28/2021,20.9,21.2,20.8,21.0,1735778.0,0.0
09/29/2021,20.8,20.9,20.2,20.3,3206973.0,2408.0
09/30/2021,20.2,20.6,20.1,20.2,1636392.0,2391.0
10/03/2021,20.1,20.4,19.7,19.8,1303145.0,2069.0
10/04/2021,19.8,19.9,18.6,19.2,4467512.0,3586.0
10/05/2021,19.5,19.5,18.6,18.8,2641876.0,4262.0
10/06/2021,18.9,18.9,17.5,17.7,4140423.0,3115.0
10/07/2021,17.7,18.6,16.8,17.9,3086651.0,2707.0
10/10/2021,18.0,19.6,18.0,18.7,2711712.0,1647.0
10/11/2021,18.7,18.8,18.1,18.2,2396929.0,2132.0
10/12/2021,18.2,19.7,18.0,19.3,5037303.0,2951.0
10/13/2021,20.0,20.8,19.3,19.4,5921202.0,3995.0
10/14/2021,19.2,19.9,18.7,19.1,4419342.0,2959.0
10/17/2021,19.1,21.0,19.1,21.0,9860765.0,5266.0
10/18/2021,21.6,22.7,21.2,22.1,11133499.0,6577.0
10/19/2021,22.3,23.0,20.0,20.8,12698551.0,4852.0
10/21/2021,21.3,22.5,20.5,22.2,7943337.0,3373.0
10/24/2021,22.2,22.2,20.7,21.5,7394995.0,2915.0
10/25/2021,21.4,21.8,20.0,20.4,6419813.0,2903.0
10/26/2021,20.4,20.8,19.9,20.5,5807532.0,2463.0
10/27/2021,20.7,22.0,20.4,21.6,7826825.0,3268.0
10/28/2021,21.6,22.1,20.9,21.1,6092529.0,3068.0
10/31/2021,21.2,21.7,20.8,20.9,4222068.0,1898.0
11/01/2021,21.1,21.3,20.4,20.5,3712115.0,1945.0
11/02/2021,20.6,20.7,20.0,20.2,2690323.0,1676.0
11/03/2021,20.2,20.8,20.0,20.1,2027131.0,1281.0
11/04/2021,20.4,20.6,20.0,20.2,1819239.0,1270.0
11/07/2021,20.5,20.8,20.3,20.6,3182345.0,1671.0
11/08/2021,20.7,20.9,19.6,19.8,2841163.0,1594.0
11/09/2021,19.8,20.1,19.4,19.5,2441809.0,1535.0
11/10/2021,19.6,20.1,19.5,19.8,2238200.0,989.0
11/11/2021,20.0,20.4,19.6,19.7,2053601.0,1303.0
11/14/2021,19.8,19.8,19.3,19.3,1297802.0,809.0
11/15/2021,19.2,20.0,19.2,19.4,2394499.0,1137.0
11/16/2021,19.8,20.7,19.6,20.5,3127376.0,1894.0
11/17/2021,20.7,20.7,19.9,20.0,3472395.0,1528.0
11/18/2021,20.2,20.7,20.0,20.6,3941893.0,1623.0
11/21/2021,20.9,21.4,20.6,20.8,5409363.0,2302.0
11/22/2021,20.6,20.7,19.7,19.9,2912989.0,1543.0
11/23/2021,19.9,20.2,19.3,19.4,3622049.0,1663.0
11/24/2021,19.6,19.8,18.7,18.8,2329481.0,1476.0
11/25/2021,18.9,19.0,18.5,18.6,1854442.0,977.0
11/28/2021,18.6,18.8,18.0,18.2,1149421.0,994.0
11/29/2021,18.5,18.5,18.1,18.2,891668.0,668.0
11/30/2021,18.5,18.6,17.8,17.9,1372196.0,957.0
12/01/2021,18.3,18.5,18.0,18.2,1015983.0,910.0
12/02/2021,18.0,18.4,17.6,18.2,1354437.0,1246.0
12/05/2021,18.3,18.5,18.1,18.2,820129.0,944.0
12/06/2021,18.4,18.5,18.0,18.2,953263.0,748.0
12/07/2021,18.4,18.7,18.2,18.6,895174.0,768.0
12/08/2021,18.4,18.5,18.0,18.1,1281520.0,1199.0
12/09/2021,18.2,18.4,18.0,18.1,945621.0,851.0
12/12/2021,18.0,18.1,17.6,17.7,1312808.0,1286.0
12/13/2021,17.7,17.9,17.6,17.7,423458.0,631.0
12/14/2021,17.9,17.9,17.5,17.5,606467.0,625.0
12/15/2021,17.8,17.9,17.3,17.4,578859.0,807.0
12/19/2021,17.3,17.4,16.6,16.7,880453.0,1721.0
12/20/2021,16.7,16.9,16.3,16.5,782793.0,1188.0
12/21/2021,16.8,17.0,16.4,16.5,583509.0,761.0
12/22/2021,16.7,16.8,16.3,16.4,402070.0,805.0
12/23/2021,16.4,16.4,15.8,15.9,939215.0,1190.0
12/26/2021,15.8,15.8,15.1,15.1,1110800.0,1430.0
12/27/2021,15.2,15.4,15.0,15.3,598492.0,1100.0
12/28/2021,15.3,16.4,15.1,16.0,1430848.0,1281.0
12/29/2021,15.3,16.4,15.1,16.0,1430848.0,0.0
12/30/2021,15.6,15.6,14.9,15.2,1323668.0,962.0
01/02/2022,15.4,16.2,15.2,15.9,1278728.0,652.0
01/03/2022,16.0,16.1,15.7,15.9,1157666.0,582.0
01/04/2022,15.9,15.9,15.7,15.7,500787.0,397.0
01/05/2022,15.9,16.2,15.6,16.2,1006109.0,580.0
01/06/2022,16.3,17.6,16.2,17.1,1597903.0,1301.0
01/09/2022,17.4,17.4,16.5,16.6,1186844.0,801.0
01/10/2022,16.6,16.7,16.3,16.5,671681.0,563.0
01/11/2022,16.7,17.2,16.5,16.6,887607.0,676.0
01/12/2022,16.9,16.9,16.3,16.4,673667.0,602.0
01/13/2022,16.6,16.6,16.1,16.2,598618.0,533.0
