date,open,high,low,close,volume,trade
01/01/2018,8.0,8.0,7.5,8.0,61210.0,6.0
01/02/2018,7.5,7.5,7.5,7.5,55500.0,36.0
01/03/2018,7.5,7.7,7.5,7.6,39310.0,24.0
01/04/2018,7.7,7.7,7.2,7.3,582087.0,183.0
01/07/2018,7.3,7.4,7.2,7.2,321750.0,99.0
01/08/2018,7.2,7.4,7.2,7.2,163498.0,61.0
01/09/2018,7.2,7.2,7.1,7.1,215000.0,64.0
01/10/2018,7.2,7.3,7.1,7.3,38000.0,13.0
01/11/2018,7.3,7.3,7.1,7.2,52591.0,32.0
01/14/2018,7.1,7.1,6.9,7.0,201175.0,36.0
01/15/2018,7.0,7.2,7.0,7.0,116740.0,32.0
01/16/2018,7.2,7.3,7.0,7.2,30620.0,17.0
01/17/2018,7.3,7.9,7.3,7.8,495463.0,53.0
01/18/2018,7.3,7.5,7.3,7.3,21350.0,27.0
01/21/2018,7.3,7.3,7.1,7.2,79588.0,37.0
01/22/2018,7.2,7.2,7.1,7.2,23100.0,9.0
01/23/2018,7.2,7.2,7.1,7.2,30900.0,6.0
01/24/2018,7.1,7.1,7.1,7.1,37500.0,16.0
01/25/2018,7.1,7.2,7.0,7.2,75235.0,18.0
01/28/2018,7.1,7.1,7.0,7.0,26003.0,19.0
01/29/2018,7.0,7.2,7.0,7.0,68178.0,31.0
01/30/2018,7.1,7.1,7.0,7.0,11710.0,12.0
01/31/2018,7.1,7.1,7.0,7.0,7545.0,7.0
02/01/2018,7.0,7.0,7.0,7.0,7755.0,9.0
02/04/2018,6.9,7.0,6.7,6.8,35150.0,30.0
02/05/2018,6.7,7.0,6.5,6.7,30355.0,24.0
02/06/2018,6.9,7.0,6.8,6.9,3211.0,9.0
02/07/2018,6.9,6.9,6.8,6.8,12367.0,13.0
02/08/2018,6.8,6.8,6.6,6.6,10275.0,7.0
02/11/2018,6.8,7.0,6.8,6.9,19250.0,23.0
02/12/2018,7.0,7.0,6.8,6.9,14610.0,11.0
02/13/2018,6.8,7.0,6.8,6.8,364.0,2.0
02/14/2018,7.0,7.0,6.9,7.0,37260.0,9.0
02/15/2018,6.9,7.0,6.8,6.9,6030.0,9.0
02/18/2018,7.0,7.0,6.8,7.0,19010.0,17.0
02/19/2018,6.8,6.8,6.8,6.8,27795.0,17.0
02/20/2018,6.8,6.8,6.7,6.7,16001.0,13.0
02/22/2018,6.8,6.8,6.7,6.7,9613.0,7.0
02/25/2018,6.7,6.7,6.5,6.6,10930.0,10.0
02/26/2018,6.6,6.6,6.4,6.5,6031.0,10.0
02/27/2018,6.6,6.6,6.5,6.6,15050.0,7.0
02/28/2018,6.6,6.6,6.5,6.5,111200.0,13.0
03/01/2018,6.5,6.6,6.5,6.5,193065.0,41.0
03/04/2018,6.7,6.7,6.6,6.6,18171.0,11.0
03/05/2018,6.6,6.6,6.5,6.5,51006.0,19.0
03/06/2018,6.6,6.6,6.5,6.5,32504.0,11.0
03/07/2018,6.6,6.6,6.5,6.5,32504.0,0.0
03/08/2018,6.6,6.6,6.5,6.5,66125.0,25.0
03/11/2018,6.6,6.6,6.4,6.4,28285.0,15.0
03/12/2018,6.5,6.5,6.4,6.5,46118.0,13.0
03/13/2018,6.6,6.6,6.3,6.4,25150.0,16.0
03/14/2018,6.4,6.4,6.2,6.4,19000.0,29.0
03/15/2018,6.4,7.0,6.4,7.0,280449.0,139.0
03/18/2018,6.9,7.7,6.9,7.5,1242649.0,349.0
03/19/2018,7.8,8.2,7.8,8.1,1942604.0,325.0
03/20/2018,8.3,8.9,7.9,8.2,803894.0,331.0
03/21/2018,8.1,8.2,7.5,7.5,518664.0,174.0
03/22/2018,7.4,7.8,7.2,7.4,351221.0,136.0
03/25/2018,7.3,7.6,7.2,7.2,206928.0,122.0
03/27/2018,7.3,7.3,6.5,6.7,643840.0,223.0
03/28/2018,6.8,6.9,6.6,6.7,328305.0,99.0
03/29/2018,6.7,6.9,6.5,6.7,256891.0,87.0
04/01/2018,6.8,6.9,6.6,6.6,257621.0,102.0
04/02/2018,6.7,7.2,6.7,7.2,325558.0,106.0
04/03/2018,7.3,7.4,7.0,7.0,281231.0,112.0
04/04/2018,7.1,7.1,6.9,6.9,137720.0,55.0
04/05/2018,6.9,7.0,6.8,6.9,144041.0,44.0
04/08/2018,7.0,7.0,6.8,6.9,209277.0,98.0
04/09/2018,7.0,7.0,6.8,6.8,541962.0,120.0
04/10/2018,6.8,6.9,6.8,6.8,71016.0,24.0
04/11/2018,6.9,6.9,6.6,6.7,179301.0,55.0
04/12/2018,6.7,6.9,6.6,6.8,472575.0,72.0
04/15/2018,6.9,6.9,6.7,6.7,17700.0,7.0
04/16/2018,6.8,6.8,6.6,6.7,68355.0,39.0
04/17/2018,6.8,7.0,6.8,7.0,425403.0,107.0
04/18/2018,7.0,7.2,6.8,6.8,317222.0,64.0
04/19/2018,6.8,6.9,6.8,6.8,167985.0,50.0
04/22/2018,6.8,6.9,6.7,6.8,119609.0,40.0
04/23/2018,6.7,6.8,6.7,6.7,142869.0,36.0
