date,open,high,low,close,volume,trade
01/01/2018,23.4,23.7,23.0,23.6,3325345.0,511.0
01/02/2018,22.9,23.8,22.9,23.6,857548.0,340.0
01/03/2018,23.6,23.6,23.2,23.3,1800817.0,369.0
01/04/2018,23.4,23.4,23.1,23.1,691486.0,304.0
01/07/2018,23.1,23.1,22.6,22.7,547183.0,227.0
01/08/2018,22.8,22.8,22.1,22.2,1230671.0,412.0
01/09/2018,22.1,22.4,21.4,21.6,1302935.0,564.0
01/10/2018,21.6,22.1,21.3,21.4,655916.0,257.0
01/11/2018,21.6,21.6,20.5,20.8,1686324.0,615.0
01/14/2018,21.2,21.2,20.0,20.1,836375.0,316.0
01/15/2018,20.5,20.5,19.6,19.6,873093.0,334.0
01/16/2018,19.7,21.4,19.6,20.7,6420964.0,831.0
01/17/2018,21.0,21.6,21.0,21.2,2456312.0,628.0
01/18/2018,21.1,22.1,20.8,22.0,2799637.0,701.0
01/21/2018,21.8,22.1,21.1,21.3,2590555.0,552.0
01/22/2018,21.3,21.7,21.1,21.4,1574026.0,341.0
01/23/2018,21.7,21.8,21.3,21.5,4355461.0,503.0
01/24/2018,21.6,21.8,21.4,21.6,809317.0,253.0
01/25/2018,21.6,21.9,21.6,21.8,1200433.0,296.0
01/28/2018,21.8,22.1,21.6,22.1,1613905.0,388.0
01/29/2018,22.1,22.7,21.8,22.6,2443698.0,499.0
01/30/2018,22.7,22.8,22.1,22.1,841151.0,242.0
01/31/2018,21.8,22.0,21.6,21.7,631752.0,208.0
02/01/2018,21.6,22.3,21.6,22.3,1364142.0,353.0
02/04/2018,22.1,22.2,21.2,21.6,2077834.0,335.0
02/05/2018,21.5,21.7,20.9,21.6,927353.0,232.0
02/06/2018,21.8,22.2,21.7,22.1,2299477.0,319.0
02/07/2018,21.8,22.2,21.6,22.1,2064191.0,315.0
02/08/2018,22.1,22.3,22.0,22.1,582769.0,205.0
02/11/2018,22.1,22.6,22.1,22.4,832277.0,200.0
02/12/2018,22.3,22.6,22.1,22.3,483492.0,168.0
02/13/2018,22.1,22.3,22.0,22.1,965052.0,219.0
02/14/2018,22.1,22.2,21.8,21.9,786142.0,239.0
02/15/2018,21.7,22.3,21.7,22.1,950319.0,309.0
02/18/2018,21.7,22.1,21.7,21.9,2535960.0,340.0
02/19/2018,22.0,22.2,22.0,22.1,668387.0,216.0
02/20/2018,22.1,22.3,22.1,22.1,532271.0,153.0
02/22/2018,22.4,22.6,22.2,22.3,1610955.0,240.0
02/25/2018,22.0,22.1,21.3,21.5,473183.0,137.0
02/26/2018,22.1,22.1,20.9,21.1,247812.0,103.0
02/27/2018,21.7,21.7,21.0,21.1,101358.0,77.0
02/28/2018,21.0,21.5,21.0,21.1,219286.0,88.0
03/01/2018,21.6,21.7,21.3,21.3,326989.0,88.0
03/04/2018,21.4,21.4,21.1,21.1,397423.0,124.0
03/05/2018,21.1,21.3,21.0,21.2,541100.0,202.0
03/06/2018,21.0,21.4,21.0,21.3,581206.0,187.0
03/07/2018,21.2,21.4,21.1,21.2,761572.0,145.0
03/08/2018,21.4,21.4,21.1,21.3,300584.0,41.0
03/11/2018,21.1,21.3,21.0,21.1,199599.0,58.0
03/12/2018,21.0,21.1,20.4,20.6,94574.0,61.0
03/13/2018,20.1,21.0,20.0,20.5,1375269.0,233.0
03/14/2018,21.1,21.1,20.3,20.8,319291.0,175.0
03/15/2018,21.0,21.3,20.6,20.8,1256268.0,273.0
03/18/2018,21.1,21.1,20.6,21.0,116463.0,65.0
