date,open,high,low,close,volume,trade
01/01/2018,15.2,15.5,15.1,15.2,637203.0,365.0
01/02/2018,15.3,15.4,15.2,15.3,196188.0,700.0
01/03/2018,15.7,16.0,15.6,15.7,975212.0,593.0
01/04/2018,15.7,15.8,15.5,15.7,637379.0,320.0
01/07/2018,15.7,15.8,15.5,15.5,605310.0,301.0
01/08/2018,15.5,15.6,15.5,15.5,459373.0,242.0
01/09/2018,15.5,15.7,15.5,15.5,465747.0,399.0
01/10/2018,15.5,15.5,15.3,15.3,513821.0,337.0
01/11/2018,15.3,15.4,15.2,15.3,417784.0,342.0
01/14/2018,15.3,15.4,15.0,15.1,517018.0,330.0
01/15/2018,15.1,15.2,15.0,15.0,308994.0,304.0
01/16/2018,15.0,15.3,15.0,15.2,506743.0,231.0
01/17/2018,15.3,15.3,15.0,15.0,382352.0,304.0
01/18/2018,15.0,15.2,15.0,15.0,259525.0,217.0
01/21/2018,15.1,15.2,15.0,15.0,326971.0,177.0
01/22/2018,15.1,15.2,14.9,15.0,565309.0,329.0
01/23/2018,15.1,15.1,14.9,15.0,412357.0,192.0
01/24/2018,15.0,15.0,14.8,14.9,444027.0,272.0
01/25/2018,14.9,14.9,14.6,14.6,652157.0,416.0
01/28/2018,14.7,14.7,14.4,14.5,512772.0,340.0
01/29/2018,14.5,14.6,14.3,14.4,555791.0,414.0
01/30/2018,14.5,14.7,14.2,14.3,589641.0,311.0
01/31/2018,14.2,14.2,13.7,13.8,531604.0,430.0
02/01/2018,13.9,14.0,13.8,13.8,376795.0,284.0
02/04/2018,14.0,14.0,12.9,13.1,773688.0,451.0
02/05/2018,13.2,13.3,12.3,13.0,926761.0,504.0
02/06/2018,13.2,13.4,13.1,13.2,401811.0,327.0
02/07/2018,13.2,13.2,12.7,13.0,287519.0,226.0
02/08/2018,12.8,13.2,12.7,13.0,456973.0,224.0
02/11/2018,13.2,13.5,13.1,13.5,549852.0,456.0
02/12/2018,13.6,13.9,13.3,13.5,725159.0,468.0
02/13/2018,13.3,13.8,13.3,13.6,507923.0,286.0
02/14/2018,13.5,14.1,13.5,13.8,600162.0,381.0
