date,open,high,low,close,volume,trade
01/01/2018,50.0,50.3,49.0,49.2,235300.0,328.0
01/02/2018,49.3,49.6,49.2,49.5,28128.0,343.0
01/03/2018,49.7,51.3,49.7,50.9,899120.0,745.0
01/04/2018,51.3,51.3,50.5,51.1,729327.0,672.0
01/07/2018,51.3,52.1,51.2,51.6,660268.0,651.0
01/08/2018,51.7,51.7,50.8,50.9,388075.0,403.0
01/09/2018,50.9,51.1,50.6,50.9,221633.0,280.0
01/10/2018,50.9,51.0,49.9,50.2,215244.0,244.0
01/11/2018,50.1,50.5,49.7,50.4,90809.0,192.0
01/14/2018,50.6,50.6,49.7,49.9,240250.0,246.0
01/15/2018,50.0,50.5,49.2,49.5,244510.0,281.0
01/16/2018,49.3,50.9,49.0,50.4,224581.0,263.0
01/17/2018,50.7,50.7,50.0,50.1,144119.0,168.0
01/18/2018,49.7,50.4,49.6,49.8,109407.0,186.0
01/21/2018,49.7,50.4,49.6,49.7,134546.0,188.0
01/22/2018,49.7,50.8,49.5,49.9,400852.0,327.0
01/23/2018,50.5,50.6,50.0,50.3,284337.0,320.0
01/24/2018,50.6,50.6,49.9,50.0,264478.0,289.0
01/25/2018,49.8,50.3,49.8,50.1,208674.0,254.0
01/28/2018,49.5,49.6,48.1,48.3,339838.0,361.0
01/29/2018,48.8,48.8,47.8,48.0,226658.0,223.0
01/30/2018,48.5,48.6,47.0,48.0,407411.0,283.0
01/31/2018,47.6,47.9,46.7,47.3,120553.0,163.0
02/01/2018,46.9,48.0,46.2,46.7,181487.0,189.0
02/04/2018,47.2,47.2,43.8,44.2,179290.0,273.0
02/05/2018,43.8,44.3,42.5,43.6,128819.0,224.0
02/06/2018,43.8,46.0,43.8,45.2,170194.0,224.0
02/07/2018,44.0,46.6,44.0,45.0,180041.0,262.0
02/08/2018,45.0,45.2,44.2,44.8,49218.0,93.0
02/11/2018,44.5,47.0,44.5,45.8,242881.0,308.0
02/12/2018,45.6,45.9,45.0,45.1,86136.0,181.0
02/13/2018,45.9,45.9,44.4,44.6,72540.0,136.0
02/14/2018,45.2,46.0,43.9,44.6,246015.0,307.0
02/15/2018,43.6,45.6,43.6,44.8,82669.0,181.0
02/18/2018,43.6,45.7,43.2,43.6,119505.0,181.0
02/19/2018,43.6,44.4,42.4,42.6,124761.0,171.0
02/20/2018,44.2,44.2,42.3,42.5,104451.0,208.0
02/22/2018,42.3,43.6,42.3,42.6,238012.0,190.0
02/25/2018,43.8,45.5,43.1,43.5,288274.0,359.0
02/26/2018,43.0,44.2,42.1,42.5,95417.0,173.0
02/27/2018,42.9,43.3,42.1,42.2,41244.0,122.0
02/28/2018,42.4,43.6,42.4,42.9,110608.0,176.0
03/01/2018,42.7,43.8,42.7,43.5,160640.0,199.0
03/04/2018,43.0,43.8,42.4,42.5,152255.0,274.0
03/05/2018,42.5,42.6,41.7,42.1,108725.0,255.0
03/06/2018,42.2,42.9,41.6,41.9,216194.0,404.0
03/07/2018,41.9,42.4,41.9,42.1,83052.0,119.0
03/08/2018,41.2,42.7,41.2,42.0,63690.0,153.0
03/11/2018,42.0,42.3,41.6,41.7,79114.0,107.0
03/12/2018,41.5,41.6,40.8,40.9,70262.0,111.0
03/13/2018,41.7,42.0,40.4,41.8,225272.0,471.0
03/14/2018,42.0,42.0,41.0,41.2,77453.0,144.0
03/15/2018,41.4,41.7,40.8,41.4,104881.0,165.0
03/18/2018,41.2,41.4,40.9,41.2,18120.0,43.0
03/19/2018,41.3,41.3,40.6,40.8,71650.0,109.0
03/20/2018,40.5,40.9,39.9,40.1,81915.0,134.0
03/21/2018,39.3,40.4,38.2,38.7,91766.0,143.0
03/22/2018,39.2,39.2,37.2,38.3,187592.0,258.0
03/25/2018,38.5,39.0,38.3,38.6,26646.0,50.0
03/27/2018,37.3,38.2,36.2,36.6,110301.0,185.0
03/28/2018,36.7,37.1,35.3,35.4,232527.0,305.0
03/29/2018,35.4,38.8,35.4,38.4,649910.0,492.0
04/01/2018,40.1,42.2,39.7,42.1,1003716.0,910.0
04/02/2018,42.7,46.3,42.1,46.3,1098320.0,978.0
04/03/2018,46.7,47.4,45.7,45.9,616336.0,760.0
04/04/2018,46.1,47.8,45.2,45.6,653717.0,796.0
04/05/2018,45.7,48.4,44.1,47.0,1332354.0,1093.0
04/08/2018,48.4,51.5,48.2,49.7,874296.0,1152.0
04/09/2018,49.9,50.1,48.2,48.4,854924.0,969.0
04/10/2018,48.5,49.6,48.0,48.3,601168.0,566.0
04/11/2018,47.8,50.4,47.2,47.6,527907.0,846.0
04/12/2018,47.6,48.4,46.7,47.4,171826.0,409.0
04/15/2018,47.5,47.6,44.4,45.3,429243.0,569.0
04/16/2018,45.3,46.7,44.0,46.4,358209.0,506.0
04/17/2018,47.2,47.6,44.8,45.2,222853.0,427.0
04/18/2018,45.2,46.5,45.2,45.3,174087.0,232.0
04/19/2018,45.1,45.9,44.2,44.5,250760.0,269.0
04/22/2018,45.1,45.5,43.8,44.2,197335.0,241.0
04/23/2018,45.0,46.4,44.2,46.2,336975.0,473.0
04/24/2018,45.9,48.8,45.9,48.4,1050954.0,1116.0
04/25/2018,48.8,49.7,47.2,47.5,324465.0,507.0
04/26/2018,48.2,48.6,47.2,47.5,357309.0,395.0
04/30/2018,48.1,48.4,47.0,48.3,234506.0,376.0
05/03/2018,48.4,49.5,48.1,48.8,593170.0,557.0
05/06/2018,48.8,50.3,48.8,49.2,421217.0,547.0
05/07/2018,49.2,50.1,48.9,49.1,375811.0,461.0
05/08/2018,49.1,49.3,47.9,48.2,312070.0,321.0
05/09/2018,48.0,48.4,46.7,46.8,276666.0,369.0
05/10/2018,47.1,47.4,46.2,46.7,215096.0,259.0
05/13/2018,47.3,47.3,45.0,45.2,192756.0,235.0
05/14/2018,46.3,46.3,44.8,45.0,158760.0,234.0
05/15/2018,45.6,45.7,45.2,45.2,140003.0,224.0
05/16/2018,44.6,45.7,44.6,45.0,174932.0,315.0
05/17/2018,45.2,45.2,44.5,44.6,137644.0,263.0
05/20/2018,44.4,44.4,42.9,43.4,173886.0,266.0
05/21/2018,43.9,45.5,43.6,43.6,147873.0,225.0
05/22/2018,44.1,44.2,42.1,42.8,142507.0,272.0
05/23/2018,43.0,43.9,42.2,42.5,182312.0,327.0
05/24/2018,42.5,43.6,42.5,43.4,169764.0,288.0
05/27/2018,44.0,47.6,44.0,47.4,778267.0,928.0
05/28/2018,47.6,50.1,46.8,48.7,1322226.0,1334.0
05/29/2018,48.7,51.2,48.4,50.8,2032473.0,1538.0
05/30/2018,50.9,52.2,48.4,48.8,1582403.0,1133.0
05/31/2018,48.9,50.7,47.3,49.7,894408.0,927.0
06/03/2018,50.1,51.2,49.5,50.0,489755.0,739.0
06/04/2018,50.5,51.8,50.0,51.1,1194618.0,1157.0
06/05/2018,51.7,53.8,51.7,53.0,2533387.0,1916.0
06/06/2018,53.3,53.3,50.3,50.9,1180822.0,1156.0
06/07/2018,51.1,51.2,49.2,49.7,611182.0,719.0
06/10/2018,50.1,50.1,48.3,48.7,576234.0,721.0
06/11/2018,48.4,49.9,48.3,48.6,398061.0,436.0
06/12/2018,48.5,49.8,48.5,49.2,290290.0,425.0
06/18/2018,49.3,50.2,49.2,49.6,737881.0,662.0
06/19/2018,49.6,49.7,48.1,48.4,821513.0,824.0
06/20/2018,49.5,49.5,47.0,47.5,612924.0,699.0
06/21/2018,47.6,49.7,47.5,48.9,937916.0,826.0
06/24/2018,49.2,49.7,47.2,47.9,1150850.0,1008.0
06/25/2018,48.4,48.7,46.3,46.7,591387.0,642.0
06/26/2018,46.8,48.3,46.6,47.5,580148.0,674.0
06/27/2018,47.5,48.0,45.9,46.3,411939.0,495.0
06/28/2018,46.6,47.0,45.8,46.0,636280.0,597.0
07/02/2018,47.2,47.2,45.3,45.7,266470.0,324.0
07/03/2018,46.3,46.7,45.2,45.3,314943.0,333.0
