date,open,high,low,close,volume,trade
01/01/2018,62.8,63.0,61.6,63.0,14119.0,79.0
01/02/2018,63.0,64.5,63.0,63.0,15017.0,156.0
01/03/2018,60.8,62.5,60.8,61.6,20882.0,103.0
01/04/2018,61.6,62.0,59.9,60.0,51759.0,266.0
01/07/2018,60.0,61.0,57.0,57.8,38575.0,216.0
01/08/2018,58.2,58.2,55.1,55.3,31471.0,255.0
01/09/2018,54.8,60.7,54.8,58.6,6310.0,113.0
01/10/2018,61.8,62.5,58.9,60.1,29277.0,245.0
01/11/2018,64.5,64.5,58.5,60.1,31256.0,113.0
01/14/2018,61.9,61.9,56.5,57.6,22676.0,92.0
01/15/2018,56.7,59.9,55.4,56.1,23592.0,140.0
01/16/2018,56.2,57.8,55.1,56.1,23753.0,123.0
01/17/2018,57.1,59.8,56.5,57.9,8342.0,62.0
01/18/2018,57.6,58.8,57.2,57.8,3650.0,33.0
01/21/2018,59.5,59.5,57.5,57.8,13682.0,79.0
01/22/2018,59.6,59.6,56.1,56.3,21874.0,71.0
01/23/2018,57.0,57.5,55.0,55.9,28490.0,181.0
01/24/2018,56.3,57.9,55.9,57.2,3695.0,30.0
01/25/2018,56.2,57.8,56.2,56.9,12171.0,67.0
01/28/2018,56.0,56.0,55.5,55.7,3194.0,39.0
01/29/2018,57.0,57.6,56.5,57.1,3554.0,44.0
01/30/2018,58.4,58.4,55.8,57.0,12876.0,84.0
01/31/2018,56.1,57.9,56.0,56.5,13088.0,114.0
02/01/2018,56.5,60.0,55.5,59.3,36542.0,208.0
02/04/2018,59.4,60.0,56.0,56.5,24221.0,163.0
02/05/2018,55.2,56.9,55.2,56.3,15321.0,105.0
02/06/2018,58.6,58.7,57.4,57.7,4183.0,25.0
02/07/2018,57.8,58.0,57.2,57.3,16250.0,95.0
02/08/2018,58.6,58.6,56.0,56.6,11951.0,119.0
02/11/2018,57.7,59.8,57.7,59.6,24976.0,171.0
02/12/2018,61.0,63.5,59.8,61.7,85225.0,671.0
02/13/2018,65.9,67.8,64.5,67.8,109147.0,417.0
02/14/2018,70.6,73.5,67.8,68.2,49098.0,200.0
02/15/2018,70.0,70.0,63.0,64.5,36756.0,201.0
02/18/2018,67.0,67.0,62.7,63.5,30705.0,217.0
02/19/2018,63.2,63.2,62.1,62.8,12567.0,102.0
02/20/2018,63.5,66.0,63.2,65.2,16630.0,137.0
02/22/2018,66.0,70.0,63.2,63.6,14733.0,96.0
02/25/2018,66.1,66.1,63.2,64.1,14116.0,113.0
02/26/2018,65.8,65.8,63.8,64.8,17758.0,97.0
02/27/2018,66.8,67.5,65.6,67.2,31221.0,277.0
02/28/2018,66.2,69.1,66.2,68.2,37275.0,229.0
03/01/2018,69.8,70.0,67.8,68.6,21668.0,129.0
03/04/2018,69.9,69.9,67.5,68.0,18513.0,119.0
03/05/2018,67.8,68.0,66.0,66.7,24206.0,187.0
03/06/2018,67.9,69.6,66.3,66.9,13469.0,69.0
03/07/2018,67.5,67.5,64.5,64.6,12100.0,105.0
03/08/2018,66.9,66.9,63.5,64.6,7307.0,112.0
03/11/2018,66.8,66.8,62.1,62.3,8412.0,75.0
03/12/2018,61.5,61.5,57.3,57.4,15974.0,145.0
03/13/2018,58.0,58.0,51.7,51.8,27052.0,182.0
03/14/2018,55.0,56.2,51.6,53.6,9157.0,94.0
03/15/2018,53.7,58.0,53.7,55.6,13297.0,127.0
03/18/2018,59.7,59.7,56.0,57.4,3794.0,36.0
03/19/2018,60.0,60.0,55.5,56.1,6683.0,61.0
03/20/2018,55.0,57.7,54.2,54.9,15587.0,125.0
03/21/2018,57.5,60.3,57.0,60.0,43551.0,246.0
03/22/2018,64.3,64.3,58.0,58.1,5407.0,53.0
03/25/2018,57.1,58.5,56.2,56.3,2266.0,34.0
03/27/2018,56.2,56.2,52.0,52.6,19029.0,64.0
03/28/2018,50.2,54.7,50.0,50.6,15281.0,145.0
03/29/2018,50.4,53.5,50.2,53.0,3211.0,42.0
04/01/2018,57.9,58.3,54.6,58.0,15686.0,80.0
04/02/2018,59.0,60.5,58.0,58.7,10879.0,60.0
04/03/2018,60.0,60.0,57.0,57.5,8318.0,58.0
04/04/2018,57.0,58.5,55.0,55.5,22830.0,107.0
04/05/2018,55.0,55.0,52.9,53.1,5074.0,40.0
04/08/2018,58.0,58.0,52.1,52.4,19327.0,182.0
