date,open,high,low,close,volume,trade
01/01/2018,25.6,26.0,25.5,25.8,163028.0,148.0
01/02/2018,25.9,26.2,25.9,26.0,203996.0,457.0
01/03/2018,26.3,27.0,26.3,26.6,2180419.0,619.0
01/04/2018,26.5,27.0,26.5,26.7,2382867.0,535.0
01/07/2018,27.0,27.0,26.3,26.3,955461.0,328.0
01/08/2018,26.3,26.9,26.2,26.7,1121829.0,291.0
01/09/2018,26.9,27.3,26.6,26.8,1859645.0,444.0
01/10/2018,26.9,27.3,26.8,27.0,1378867.0,431.0
01/11/2018,27.0,27.3,26.8,26.9,1989040.0,475.0
01/14/2018,26.7,26.9,26.3,26.5,441295.0,183.0
01/15/2018,26.4,26.6,25.9,26.1,574173.0,189.0
01/16/2018,26.3,26.4,25.9,26.1,699757.0,279.0
01/17/2018,26.3,26.3,25.4,25.7,842621.0,332.0
01/18/2018,26.0,26.1,25.7,25.7,698475.0,247.0
01/21/2018,25.8,26.5,25.7,26.3,538633.0,221.0
01/22/2018,26.4,26.7,26.3,26.5,835200.0,287.0
01/23/2018,26.6,26.8,26.4,26.4,897092.0,210.0
01/24/2018,26.5,26.9,26.2,26.3,611313.0,203.0
01/25/2018,26.2,26.7,26.0,26.1,637263.0,172.0
01/28/2018,26.1,26.1,25.6,25.7,496386.0,165.0
01/29/2018,25.7,26.3,25.7,26.0,521347.0,132.0
01/30/2018,26.1,26.2,25.3,25.5,474158.0,178.0
01/31/2018,25.0,25.5,24.8,24.9,264794.0,124.0
02/01/2018,24.9,25.4,24.7,24.9,217557.0,101.0
02/04/2018,25.0,25.0,24.2,24.3,136111.0,98.0
02/05/2018,25.2,25.2,24.2,24.4,174361.0,78.0
02/06/2018,24.9,25.0,24.3,24.8,99670.0,61.0
02/07/2018,24.3,25.0,24.3,24.7,168774.0,109.0
02/08/2018,24.7,24.9,24.6,24.6,129119.0,94.0
02/11/2018,25.2,25.5,25.0,25.2,294304.0,129.0
02/12/2018,25.2,25.2,24.9,25.0,226009.0,99.0
02/13/2018,24.8,25.7,24.8,25.6,369439.0,161.0
02/14/2018,25.3,26.2,25.3,25.7,490360.0,193.0
