date,open,high,low,close,volume,trade
01/01/2018,53.4,54.2,53.1,53.7,49728.0,162.0
01/02/2018,57.8,57.8,53.9,55.0,13876.0,242.0
01/03/2018,56.5,56.5,53.1,53.4,71673.0,133.0
01/04/2018,54.8,55.0,53.7,54.4,68650.0,181.0
01/07/2018,55.3,55.4,54.0,54.6,78386.0,159.0
01/08/2018,55.3,55.5,54.3,54.7,40012.0,103.0
01/09/2018,55.0,57.0,54.8,55.3,111070.0,216.0
01/10/2018,56.3,59.3,56.0,58.8,379409.0,848.0
01/11/2018,58.8,59.0,57.3,58.3,152098.0,414.0
01/14/2018,58.7,59.0,56.6,56.8,111249.0,311.0
01/15/2018,57.5,58.0,57.0,57.1,81726.0,269.0
01/16/2018,57.2,58.1,57.2,58.0,59201.0,183.0
01/17/2018,58.0,58.8,57.1,57.2,45950.0,125.0
01/18/2018,58.0,58.0,57.0,57.4,30076.0,93.0
01/21/2018,57.5,58.0,57.0,57.1,79380.0,131.0
01/22/2018,57.2,57.9,56.7,56.9,43356.0,114.0
01/23/2018,56.9,57.0,56.6,56.9,45457.0,113.0
01/24/2018,57.9,58.0,55.4,56.0,62146.0,149.0
01/25/2018,56.5,56.5,53.0,53.4,192455.0,439.0
01/28/2018,53.4,56.1,52.7,54.1,66471.0,152.0
01/29/2018,54.2,54.9,54.0,54.6,46360.0,125.0
01/30/2018,57.0,57.0,54.6,55.2,30221.0,95.0
01/31/2018,55.5,55.5,51.7,52.0,102646.0,281.0
02/01/2018,52.7,54.2,52.5,53.8,56844.0,163.0
02/04/2018,57.0,57.0,52.7,53.0,29058.0,97.0
02/05/2018,54.0,54.0,49.0,51.7,70763.0,286.0
02/06/2018,52.7,52.7,52.0,52.4,43640.0,91.0
02/07/2018,52.6,53.1,52.0,52.3,25281.0,105.0
02/08/2018,53.8,53.8,52.0,52.1,48448.0,134.0
02/11/2018,55.9,56.0,52.6,53.4,51067.0,174.0
02/12/2018,53.9,55.9,53.4,55.5,68221.0,216.0
02/13/2018,55.9,57.0,55.4,55.8,78133.0,235.0
02/14/2018,56.0,56.9,55.2,55.7,32278.0,92.0
02/15/2018,56.0,56.0,54.8,55.0,20806.0,78.0
02/18/2018,54.9,56.1,54.9,55.9,61525.0,188.0
02/19/2018,56.3,58.0,56.2,56.9,62961.0,189.0
02/20/2018,57.8,58.0,56.8,57.4,84370.0,158.0
02/22/2018,58.0,59.0,55.9,56.8,19372.0,71.0
02/25/2018,56.8,56.8,54.9,55.1,38360.0,82.0
02/26/2018,55.1,55.1,53.1,54.6,28090.0,102.0
02/27/2018,54.5,54.6,54.0,54.1,18866.0,44.0
02/28/2018,55.6,58.0,53.6,53.9,796945.0,1368.0
03/01/2018,54.5,55.0,52.8,54.4,363187.0,711.0
03/04/2018,54.5,55.2,52.9,53.2,394187.0,838.0
03/05/2018,53.7,55.1,52.4,54.7,831803.0,1532.0
03/06/2018,55.5,57.3,55.4,56.6,966139.0,1611.0
03/07/2018,56.5,56.5,54.5,54.8,567846.0,1008.0
03/08/2018,55.0,55.3,53.7,54.0,361347.0,751.0
03/11/2018,54.2,54.2,52.5,52.7,290261.0,632.0
03/12/2018,52.8,53.4,51.0,51.4,283971.0,640.0
03/13/2018,51.9,52.4,48.4,48.9,359856.0,698.0
03/14/2018,49.0,50.4,48.7,49.1,263646.0,660.0
03/15/2018,49.1,50.1,48.8,49.9,302930.0,600.0
03/18/2018,50.0,50.8,49.5,49.6,231773.0,485.0
03/19/2018,49.6,49.9,47.7,48.0,214403.0,555.0
03/20/2018,48.0,48.0,46.4,46.9,254339.0,502.0
03/21/2018,47.5,47.5,45.1,45.3,249620.0,461.0
03/22/2018,45.3,46.1,44.5,45.2,313964.0,657.0
03/25/2018,45.2,46.9,45.0,45.2,288994.0,617.0
03/27/2018,45.3,45.3,42.7,43.2,283609.0,497.0
03/28/2018,43.7,43.8,41.7,42.3,248499.0,529.0
03/29/2018,43.0,43.9,42.0,43.3,222487.0,541.0
04/01/2018,43.9,45.1,43.8,44.8,223016.0,485.0
04/02/2018,45.2,46.0,44.3,45.7,340413.0,651.0
04/03/2018,45.9,47.4,45.2,45.6,302170.0,583.0
04/04/2018,46.0,46.6,45.0,45.1,300852.0,542.0
04/05/2018,45.5,46.1,45.0,45.4,250995.0,660.0
04/08/2018,46.1,48.0,45.6,47.6,418494.0,775.0
04/09/2018,48.5,49.3,47.1,47.3,458791.0,956.0
04/10/2018,47.8,48.4,46.0,46.5,294125.0,516.0
04/11/2018,47.0,47.2,45.1,45.4,266913.0,528.0
04/12/2018,45.6,46.0,44.4,44.8,222758.0,444.0
04/15/2018,45.3,46.6,44.9,45.4,273990.0,495.0
04/16/2018,45.4,46.0,44.5,45.2,213059.0,398.0
04/17/2018,45.6,45.9,44.5,44.8,208784.0,364.0
04/18/2018,45.5,45.6,44.2,44.3,117530.0,271.0
04/19/2018,44.4,44.7,44.0,44.1,105278.0,236.0
04/22/2018,44.4,44.4,43.0,43.3,155329.0,349.0
04/23/2018,43.3,44.0,43.1,43.3,145295.0,374.0
04/24/2018,43.7,44.9,43.7,44.6,237103.0,510.0
04/25/2018,44.8,44.9,43.3,43.6,190868.0,367.0
04/26/2018,43.6,43.7,42.1,42.9,170635.0,339.0
04/30/2018,42.9,43.1,42.0,42.4,93724.0,234.0
05/03/2018,43.9,45.7,43.6,45.1,349378.0,619.0
05/06/2018,45.8,49.6,45.8,49.3,882301.0,1364.0
05/07/2018,49.4,50.3,47.3,47.6,433365.0,824.0
05/08/2018,46.2,49.0,46.2,48.7,485347.0,807.0
05/09/2018,48.8,51.1,48.8,50.1,1069726.0,1636.0
05/10/2018,50.4,52.6,48.7,51.9,1037583.0,1723.0
05/13/2018,51.9,54.5,51.9,52.8,1486386.0,1772.0
05/14/2018,53.4,53.4,50.8,51.3,774464.0,1237.0
05/15/2018,51.6,54.2,51.2,53.7,868292.0,1450.0
05/16/2018,54.1,54.8,52.5,52.9,886407.0,1289.0
05/17/2018,52.6,53.3,50.2,50.6,825291.0,1240.0
05/20/2018,51.0,54.2,50.6,53.9,1100973.0,1669.0
05/21/2018,54.2,54.6,52.1,52.4,797321.0,1386.0
05/22/2018,52.4,56.3,52.4,55.3,2272181.0,2760.0
05/23/2018,55.9,58.4,55.0,57.7,1546490.0,2099.0
05/24/2018,58.0,60.3,57.0,57.9,2117987.0,2755.0
05/27/2018,57.0,58.5,55.2,55.8,1175153.0,1708.0
05/28/2018,56.6,59.0,55.9,57.6,1482910.0,2096.0
05/29/2018,58.2,59.0,56.1,56.5,1140689.0,1790.0
05/30/2018,56.9,57.5,53.3,54.1,945902.0,1459.0
05/31/2018,54.1,56.4,54.0,55.1,577832.0,1150.0
06/03/2018,55.5,56.4,54.4,54.8,753338.0,1020.0
06/04/2018,54.1,55.5,53.2,53.5,576434.0,879.0
06/05/2018,54.1,54.1,52.3,52.9,487197.0,1067.0
06/06/2018,53.4,53.7,52.2,52.6,343431.0,737.0
06/07/2018,52.9,54.3,52.7,52.9,555100.0,1003.0
06/10/2018,53.9,55.5,53.3,55.1,647009.0,1190.0
06/11/2018,55.3,55.9,53.1,53.6,481219.0,931.0
06/12/2018,53.5,53.9,52.8,53.0,303081.0,561.0
