date,open,high,low,close,volume,trade
01/01/2018,221.1,221.1,212.0,214.5,14349.0,165.0
01/02/2018,216.1,219.0,215.0,216.0,521.0,143.0
01/03/2018,220.0,222.0,217.1,218.6,10731.0,145.0
01/04/2018,220.8,223.8,217.9,221.7,15391.0,219.0
01/07/2018,222.0,222.4,218.2,218.9,8495.0,126.0
01/08/2018,219.0,220.9,215.7,216.8,13352.0,204.0
01/09/2018,219.7,219.7,215.5,216.3,10570.0,110.0
01/10/2018,215.8,216.5,210.0,211.0,13738.0,214.0
01/11/2018,210.1,213.6,210.1,213.2,7839.0,126.0
01/14/2018,212.2,214.5,211.3,212.0,6223.0,98.0
01/15/2018,211.0,213.8,208.5,209.2,17339.0,182.0
01/16/2018,209.4,215.9,209.3,214.6,9691.0,153.0
01/17/2018,217.0,219.5,216.6,217.1,23714.0,276.0
01/18/2018,216.9,219.9,215.2,215.6,11399.0,169.0
01/21/2018,216.1,218.5,214.6,214.9,8117.0,126.0
01/22/2018,218.1,218.2,215.2,216.7,10464.0,119.0
01/23/2018,218.8,219.0,214.9,215.3,8135.0,143.0
01/24/2018,217.6,217.6,213.0,214.3,8254.0,162.0
01/25/2018,213.1,213.8,210.0,210.6,11000.0,162.0
01/28/2018,215.0,215.0,209.0,210.2,3831.0,77.0
01/29/2018,209.5,210.0,206.4,207.9,9946.0,109.0
01/30/2018,207.2,208.7,204.6,205.2,6163.0,124.0
01/31/2018,205.2,206.9,199.6,200.9,7783.0,148.0
02/01/2018,197.0,204.4,197.0,199.7,5925.0,94.0
02/04/2018,195.3,196.3,186.3,188.1,6741.0,86.0
02/05/2018,185.0,193.0,184.1,187.2,6114.0,65.0
02/06/2018,192.0,193.0,187.7,191.4,2575.0,53.0
02/07/2018,190.0,192.0,189.0,190.6,8612.0,125.0
02/08/2018,190.4,207.8,190.4,206.6,17678.0,326.0
02/11/2018,209.8,213.6,207.1,210.8,20966.0,437.0
02/12/2018,211.7,211.7,203.0,203.7,17054.0,314.0
02/13/2018,202.5,211.8,202.5,206.1,19974.0,285.0
02/14/2018,209.9,212.5,205.3,209.3,26807.0,326.0
02/15/2018,210.0,217.0,210.0,212.6,28006.0,422.0
02/18/2018,210.0,210.9,205.6,206.5,17000.0,242.0
02/19/2018,206.9,220.8,206.9,219.6,55755.0,690.0
02/20/2018,220.1,227.0,216.2,217.2,36657.0,547.0
02/22/2018,219.0,219.4,211.6,212.7,17569.0,240.0
