date,open,high,low,close,volume,trade
06/30/2021,11.0,11.0,11.0,11.0,1101.0,46.0
07/05/2021,12.1,12.1,12.1,12.1,1518.0,58.0
07/06/2021,13.3,13.3,13.3,13.3,1110.0,45.0
07/07/2021,14.6,14.6,14.6,14.6,20688.0,35.0
07/08/2021,16.0,16.0,16.0,16.0,907.0,40.0
07/12/2021,60.0,93.5,60.0,86.5,7079879.0,85107.0
07/13/2021,90.0,90.9,80.0,81.0,2115445.0,41519.0
07/14/2021,73.3,79.4,73.2,74.7,4232592.0,22922.0
07/15/2021,74.0,78.9,73.9,75.8,1180681.0,9906.0
07/18/2021,76.2,76.2,70.0,71.3,1885013.0,7592.0
07/19/2021,72.1,75.4,70.7,73.4,1104848.0,5675.0
07/25/2021,73.9,75.0,71.2,71.8,930798.0,3790.0
07/26/2021,72.1,72.3,68.3,68.9,1145299.0,6030.0
07/27/2021,69.3,71.6,68.1,68.5,771063.0,5696.0
07/28/2021,69.0,70.3,68.5,69.1,621850.0,3528.0
07/29/2021,69.5,71.5,69.0,70.4,910238.0,4559.0
08/02/2021,72.0,72.8,69.6,69.8,857611.0,4245.0
08/03/2021,69.8,70.0,68.6,68.9,784831.0,4355.0
08/05/2021,69.8,70.0,68.6,68.9,784831.0,0.0
08/09/2021,68.5,69.5,65.6,66.1,889541.0,3903.0
08/10/2021,66.2,68.3,66.0,67.4,585585.0,2770.0
08/11/2021,67.3,67.7,66.2,66.7,457516.0,2074.0
08/12/2021,66.4,67.5,65.7,66.1,585164.0,2300.0
08/16/2021,66.1,66.1,62.5,63.0,681218.0,3170.0
08/17/2021,63.2,66.3,63.0,64.9,525041.0,2393.0
08/18/2021,64.5,65.7,64.1,65.3,500427.0,2079.0
08/19/2021,66.0,68.9,66.0,68.2,1197849.0,3412.0
08/22/2021,68.1,70.0,67.4,68.7,571657.0,2477.0
08/23/2021,68.8,75.5,68.5,73.7,2660983.0,6217.0
08/24/2021,74.0,75.6,71.5,72.7,911865.0,2792.0
08/25/2021,72.3,75.4,72.3,73.0,1314416.0,3403.0
08/26/2021,73.4,74.9,70.0,70.6,962449.0,3100.0
08/29/2021,71.0,71.4,67.7,68.7,615609.0,2355.0
08/31/2021,70.4,72.7,69.3,71.4,738186.0,2201.0
09/01/2021,72.1,73.5,72.0,72.4,865739.0,2672.0
09/02/2021,72.8,73.4,71.3,71.7,817574.0,2201.0
09/05/2021,71.7,72.1,68.3,68.6,1152234.0,2839.0
09/06/2021,69.2,71.5,68.7,69.3,628496.0,1840.0
09/07/2021,70.0,71.5,69.6,71.0,718770.0,2165.0
09/08/2021,70.4,71.5,69.9,70.1,546213.0,1556.0
09/09/2021,70.2,75.8,70.1,75.2,2782370.0,6203.0
09/12/2021,76.0,81.0,75.2,76.1,2329025.0,5057.0
09/13/2021,76.0,77.4,73.7,74.1,1377247.0,2315.0
09/14/2021,74.4,78.0,74.4,75.9,1466685.0,2801.0
09/15/2021,77.0,80.0,76.7,78.3,1652533.0,3028.0
09/16/2021,81.0,83.7,79.5,82.1,2795927.0,5197.0
09/19/2021,81.9,81.9,75.6,76.4,1712297.0,3097.0
09/20/2021,76.7,77.3,73.1,73.8,1080375.0,2402.0
09/21/2021,73.8,76.4,73.8,74.2,691186.0,1570.0
09/22/2021,74.5,77.6,73.6,74.7,778292.0,1766.0
09/23/2021,75.0,76.2,74.0,75.2,525588.0,1163.0
09/26/2021,75.3,76.9,74.0,74.2,510621.0,1315.0
09/27/2021,74.0,74.9,73.0,73.2,447510.0,1414.0
09/28/2021,73.0,74.4,71.9,72.1,571046.0,1506.0
09/29/2021,72.2,74.4,72.1,72.5,457276.0,1174.0
