date,open,high,low,close,volume,trade
01/01/2018,16.5,16.6,16.5,16.5,4148.0,7.0
01/02/2018,16.5,16.6,16.5,16.5,4148.0,16.0
01/03/2018,16.5,17.0,16.5,17.0,7040.0,11.0
01/04/2018,17.1,17.1,16.7,16.8,7714.0,11.0
01/07/2018,16.7,16.7,16.5,16.6,21084.0,17.0
01/08/2018,16.4,16.6,16.3,16.4,45988.0,33.0
01/09/2018,16.5,16.6,16.3,16.4,23936.0,23.0
01/10/2018,16.7,16.7,16.3,16.4,4070.0,15.0
01/11/2018,16.3,16.4,16.2,16.3,4365.0,9.0
01/14/2018,15.9,16.2,15.7,15.9,24227.0,33.0
01/15/2018,15.8,15.8,15.7,15.8,15616.0,24.0
01/16/2018,16.2,16.3,15.7,15.9,36787.0,52.0
01/17/2018,16.2,16.2,15.8,15.9,4070.0,8.0
01/18/2018,16.2,16.2,15.8,15.9,19250.0,27.0
01/21/2018,15.9,15.9,15.7,15.8,12699.0,15.0
01/22/2018,15.5,15.9,15.5,15.5,39668.0,55.0
01/23/2018,15.8,15.9,15.5,15.7,10187.0,21.0
01/24/2018,16.3,16.3,15.5,15.8,8837.0,18.0
01/25/2018,16.8,16.8,15.5,15.5,16329.0,30.0
01/28/2018,15.5,15.8,15.1,15.3,20135.0,20.0
01/29/2018,15.4,15.4,14.9,15.0,94175.0,110.0
01/30/2018,15.5,15.5,15.2,15.3,30910.0,38.0
01/31/2018,15.4,15.5,15.0,15.3,24820.0,57.0
02/01/2018,14.9,15.4,14.9,15.1,7482.0,22.0
02/04/2018,14.8,14.8,14.3,14.5,46734.0,36.0
02/05/2018,14.2,15.2,14.2,14.2,109549.0,17.0
02/06/2018,15.3,15.3,14.4,14.5,23381.0,41.0
02/07/2018,14.8,14.8,14.2,14.5,23208.0,37.0
02/08/2018,14.5,15.2,14.5,14.8,40052.0,31.0
02/11/2018,15.1,15.5,15.1,15.4,62004.0,63.0
02/12/2018,15.5,15.5,15.1,15.3,42985.0,29.0
02/13/2018,15.5,15.6,15.3,15.4,15902.0,42.0
02/14/2018,15.7,15.8,15.5,15.5,21654.0,42.0
02/15/2018,15.5,15.5,15.2,15.3,47721.0,47.0
02/18/2018,15.6,15.6,15.1,15.1,68494.0,27.0
02/19/2018,14.9,15.4,14.9,15.0,9004.0,11.0
02/20/2018,14.9,15.5,14.9,15.1,18942.0,17.0
02/22/2018,15.2,15.2,14.8,15.0,15712.0,12.0
02/25/2018,16.3,16.3,14.9,16.1,195798.0,18.0
02/26/2018,14.9,15.2,14.9,15.1,29530.0,22.0
02/27/2018,15.2,15.3,14.7,14.9,16737.0,12.0
02/28/2018,14.8,14.9,14.7,14.9,40535.0,23.0
03/01/2018,15.3,15.3,15.0,15.1,11179.0,10.0
03/04/2018,14.8,15.5,14.8,15.4,82877.0,32.0
03/05/2018,15.6,15.6,14.9,15.0,23476.0,20.0
03/06/2018,15.2,15.4,15.0,15.0,33224.0,8.0
03/07/2018,14.8,15.1,14.8,14.9,4272.0,9.0
03/08/2018,14.8,14.8,14.7,14.7,3850.0,7.0
03/11/2018,14.7,14.7,14.5,14.5,19690.0,30.0
03/12/2018,14.0,14.5,13.6,14.3,21320.0,24.0
03/13/2018,14.0,14.3,13.7,13.8,19168.0,27.0
03/14/2018,14.3,14.3,14.0,14.1,895.0,4.0
03/15/2018,14.2,14.4,14.0,14.3,18788.0,24.0
03/18/2018,14.2,14.5,14.2,14.4,29700.0,32.0
03/19/2018,14.4,14.4,14.2,14.3,8690.0,13.0
03/20/2018,14.0,14.1,14.0,14.1,5216.0,8.0
03/21/2018,14.1,14.1,13.7,13.7,42840.0,38.0
03/22/2018,13.7,13.8,13.2,13.5,45505.0,42.0
03/25/2018,14.0,14.0,13.7,13.9,174.0,2.0
03/27/2018,13.7,13.7,13.5,13.7,539.0,3.0
03/28/2018,13.4,13.6,13.1,13.5,27262.0,44.0
03/29/2018,14.0,14.0,13.4,13.9,13759.0,16.0
04/01/2018,14.0,14.4,13.8,14.2,61386.0,65.0
04/02/2018,14.2,14.5,14.1,14.5,19003.0,49.0
04/03/2018,14.5,14.5,14.2,14.4,10670.0,22.0
04/04/2018,14.5,14.5,14.2,14.4,11731.0,8.0
04/05/2018,14.5,14.7,14.5,14.7,17231.0,17.0
04/08/2018,14.8,14.8,14.4,14.5,16107.0,20.0
04/09/2018,14.6,14.6,14.4,14.4,31665.0,34.0
04/10/2018,14.4,14.8,14.4,14.5,91635.0,90.0
04/11/2018,14.8,14.8,14.4,14.5,2880.0,14.0
04/12/2018,14.5,14.6,14.5,14.5,13269.0,18.0
04/15/2018,14.4,14.4,14.2,14.3,8030.0,17.0
04/16/2018,14.0,14.5,13.9,14.1,11039.0,25.0
04/17/2018,14.1,14.3,14.0,14.1,13203.0,23.0
04/18/2018,14.1,14.4,14.0,14.1,24728.0,27.0
04/19/2018,14.3,14.5,13.9,14.0,40064.0,76.0
04/22/2018,14.1,14.2,13.7,13.9,32782.0,45.0
04/23/2018,14.1,14.1,13.8,13.9,11387.0,15.0
04/24/2018,13.8,13.8,13.6,13.7,31919.0,42.0
04/25/2018,14.0,14.1,13.5,13.6,27769.0,23.0
04/26/2018,13.7,13.9,13.6,13.7,15402.0,17.0
04/30/2018,14.5,14.5,13.6,14.0,12760.0,13.0
05/03/2018,14.4,14.4,13.6,13.6,17810.0,27.0
05/06/2018,13.6,13.8,13.5,13.8,22961.0,65.0
05/07/2018,14.0,14.0,13.7,13.8,4257.0,10.0
05/08/2018,14.0,14.0,13.5,13.6,7111.0,14.0
05/09/2018,13.6,13.9,13.6,13.7,7766.0,17.0
05/10/2018,13.8,13.8,13.7,13.8,9810.0,12.0
05/13/2018,13.7,14.0,13.6,13.8,57966.0,40.0
05/14/2018,13.8,13.9,13.7,13.8,7390.0,14.0
05/15/2018,13.8,14.1,13.7,13.8,32112.0,23.0
05/16/2018,13.9,14.0,13.7,13.8,31163.0,31.0
05/17/2018,13.8,14.0,13.6,13.6,20141.0,13.0
05/20/2018,13.7,13.7,13.5,13.6,24310.0,11.0
05/21/2018,13.6,13.8,13.5,13.7,24702.0,27.0
05/22/2018,13.5,13.6,13.5,13.5,22781.0,17.0
05/23/2018,13.6,13.6,13.3,13.4,24129.0,22.0
05/24/2018,13.6,13.6,13.3,13.4,24129.0,0.0
05/27/2018,13.5,14.2,13.5,13.7,6607.0,22.0
05/28/2018,14.2,14.2,13.8,13.9,4460.0,23.0
05/29/2018,13.5,13.8,13.5,13.7,8600.0,7.0
05/30/2018,14.4,14.4,13.9,14.0,21025.0,28.0
05/31/2018,13.9,14.0,13.8,13.8,25706.0,19.0
06/03/2018,14.2,14.2,13.7,13.9,4390.0,10.0
06/04/2018,13.9,13.9,13.7,13.8,27898.0,14.0
06/05/2018,13.8,13.8,13.3,13.5,7348.0,13.0
06/06/2018,13.5,13.7,13.3,13.5,12363.0,15.0
06/07/2018,13.9,14.1,13.6,13.9,19711.0,13.0
06/10/2018,14.3,14.3,14.3,14.3,250.0,1.0
06/11/2018,13.7,14.3,13.7,14.3,4911.0,11.0
06/12/2018,14.4,14.4,14.0,14.1,23650.0,34.0
06/18/2018,14.4,14.4,14.4,14.4,50.0,1.0
06/19/2018,14.3,14.4,14.3,14.3,2996.0,3.0
06/20/2018,13.8,14.4,13.8,14.0,4863.0,11.0
06/21/2018,14.0,14.2,13.4,13.7,25660.0,31.0
