date,open,high,low,close,volume,trade
01/01/2018,17.7,17.7,16.9,17.6,97348.0,92.0
01/02/2018,17.6,17.8,17.6,17.8,22745.0,148.0
01/03/2018,17.9,18.0,17.6,17.9,195888.0,153.0
01/04/2018,18.0,18.0,17.8,17.9,148685.0,126.0
01/07/2018,17.8,18.0,17.7,17.9,120805.0,102.0
01/08/2018,17.9,18.0,17.6,17.9,133554.0,87.0
01/09/2018,18.0,18.9,18.0,18.6,442819.0,401.0
01/10/2018,18.9,20.4,18.8,19.9,1041549.0,697.0
01/11/2018,20.0,20.2,19.4,19.5,372353.0,314.0
01/14/2018,19.8,20.0,19.2,19.4,137788.0,155.0
01/15/2018,19.7,19.7,18.6,19.3,234590.0,261.0
01/16/2018,20.0,20.2,19.5,19.8,377937.0,389.0
01/17/2018,19.8,20.8,19.8,20.5,486268.0,409.0
01/18/2018,21.0,22.0,20.8,21.9,614254.0,495.0
01/21/2018,22.2,22.7,21.6,21.9,494156.0,402.0
01/22/2018,21.8,21.9,20.5,20.9,438855.0,396.0
01/23/2018,20.9,21.7,20.4,21.6,490538.0,457.0
01/24/2018,22.2,22.2,21.5,21.7,281008.0,289.0
01/25/2018,21.7,22.3,21.7,22.0,384018.0,342.0
01/28/2018,21.8,22.1,21.4,21.8,365886.0,320.0
01/29/2018,21.7,22.2,21.5,21.6,340325.0,300.0
01/30/2018,21.7,22.2,20.1,20.3,1078210.0,681.0
01/31/2018,20.3,20.5,18.8,19.1,592570.0,476.0
02/01/2018,19.4,20.4,19.3,19.8,457047.0,458.0
02/04/2018,20.1,21.0,19.3,19.6,483049.0,488.0
02/05/2018,19.7,20.0,19.0,19.6,576075.0,414.0
02/06/2018,19.8,20.1,19.5,20.0,276499.0,250.0
02/07/2018,20.0,20.1,19.7,20.0,237071.0,202.0
02/08/2018,20.3,20.8,20.2,20.7,290122.0,308.0
02/11/2018,21.1,22.2,21.1,21.8,600243.0,538.0
02/12/2018,22.0,22.2,20.9,20.9,535391.0,404.0
02/13/2018,21.3,21.4,20.7,21.3,296112.0,345.0
02/14/2018,21.5,22.0,21.2,21.3,303647.0,342.0
02/15/2018,21.4,21.6,20.7,20.8,488410.0,363.0
02/18/2018,20.8,20.9,19.8,19.9,241503.0,279.0
02/19/2018,20.4,20.8,19.8,20.0,129586.0,173.0
02/20/2018,20.1,20.2,19.4,19.4,183730.0,218.0
02/22/2018,19.9,19.9,18.8,19.3,126990.0,168.0
02/25/2018,19.7,19.7,19.0,19.2,152176.0,161.0
02/26/2018,19.1,19.4,18.7,18.8,250171.0,207.0
02/27/2018,19.5,19.5,18.7,19.1,154871.0,167.0
02/28/2018,19.2,19.2,18.9,19.0,232917.0,188.0
03/01/2018,19.2,19.4,19.0,19.2,314864.0,232.0
03/04/2018,20.0,20.0,19.4,19.7,188513.0,155.0
03/05/2018,19.9,20.1,19.3,19.4,170381.0,204.0
03/06/2018,19.5,20.0,19.3,19.9,158537.0,164.0
03/07/2018,20.0,20.0,19.4,19.5,115616.0,105.0
03/08/2018,19.5,19.5,19.3,19.4,28529.0,48.0
03/11/2018,19.4,19.5,19.1,19.2,72535.0,78.0
03/12/2018,19.0,19.1,18.5,18.6,154715.0,174.0
03/13/2018,18.6,18.6,17.1,17.2,333621.0,349.0
03/14/2018,17.6,18.1,16.9,18.0,134825.0,182.0
03/15/2018,17.7,18.1,17.7,17.8,62783.0,123.0
03/18/2018,17.8,18.1,17.5,17.9,86033.0,105.0
03/19/2018,17.8,18.0,17.6,17.7,60405.0,75.0
03/20/2018,17.7,17.7,17.1,17.5,59630.0,75.0
03/21/2018,17.5,17.6,17.0,17.0,123768.0,158.0
03/22/2018,17.2,17.4,16.7,17.1,154474.0,189.0
03/25/2018,17.1,17.5,17.0,17.1,66937.0,81.0
03/27/2018,17.1,17.1,16.1,16.2,297538.0,242.0
03/28/2018,16.5,16.5,16.0,16.1,64677.0,78.0
03/29/2018,16.2,17.3,16.2,17.1,69918.0,143.0
04/01/2018,17.5,18.3,17.4,18.1,73062.0,131.0
04/02/2018,18.2,18.3,17.8,18.1,77201.0,156.0
04/03/2018,18.0,18.2,17.5,17.7,64633.0,94.0
04/04/2018,17.8,17.8,17.2,17.3,100696.0,96.0
04/05/2018,17.4,18.2,17.0,17.6,103605.0,142.0
04/08/2018,17.7,19.1,17.7,19.0,164950.0,237.0
04/09/2018,19.0,19.0,18.5,18.6,126178.0,140.0
04/10/2018,18.9,19.0,18.3,18.3,141203.0,142.0
04/11/2018,18.6,18.6,18.3,18.3,81505.0,69.0
04/12/2018,18.4,18.4,18.0,18.0,98019.0,89.0
04/15/2018,18.0,18.0,17.5,17.8,51318.0,75.0
04/16/2018,17.3,17.9,17.3,17.8,52290.0,86.0
04/17/2018,18.0,18.4,17.9,18.2,89684.0,84.0
04/18/2018,18.3,18.8,18.2,18.5,73362.0,135.0
04/19/2018,18.5,20.0,18.5,19.8,366650.0,391.0
04/22/2018,20.2,21.2,19.8,20.0,307611.0,412.0
04/23/2018,20.0,20.2,19.3,19.4,127978.0,177.0
04/24/2018,19.5,20.0,19.3,19.5,85968.0,166.0
04/25/2018,19.5,20.4,19.5,20.3,156755.0,227.0
04/26/2018,20.0,20.3,19.7,20.1,99980.0,138.0
04/30/2018,20.1,20.1,18.7,19.0,180798.0,156.0
05/03/2018,19.4,19.4,18.7,18.9,61702.0,108.0
05/06/2018,18.9,20.0,18.5,18.7,86341.0,113.0
05/07/2018,18.7,19.2,18.6,19.0,82635.0,102.0
05/08/2018,18.7,19.2,18.5,18.6,77523.0,80.0
05/09/2018,18.5,19.0,18.1,18.2,85507.0,125.0
05/10/2018,18.3,18.3,17.5,17.7,83242.0,137.0
05/13/2018,17.9,17.9,17.0,17.2,79438.0,113.0
05/14/2018,17.5,17.7,17.4,17.5,30190.0,59.0
05/15/2018,17.4,17.7,17.0,17.1,89942.0,118.0
05/16/2018,17.3,17.5,16.7,17.3,42597.0,75.0
05/17/2018,18.0,18.0,17.0,17.0,21992.0,72.0
05/20/2018,17.3,17.3,16.3,16.4,72858.0,77.0
05/21/2018,17.4,17.4,16.5,16.8,63993.0,90.0
05/22/2018,16.9,16.9,16.2,16.3,87810.0,142.0
05/23/2018,16.3,16.3,15.9,15.9,120365.0,98.0
05/24/2018,17.0,17.0,15.7,15.9,135117.0,116.0
05/27/2018,16.3,16.6,16.0,16.4,64755.0,110.0
05/28/2018,16.6,16.6,16.0,16.2,93568.0,87.0
05/29/2018,16.3,16.7,16.1,16.5,72819.0,102.0
05/30/2018,16.6,16.9,16.0,16.5,71561.0,115.0
05/31/2018,16.6,16.9,16.5,16.8,51171.0,66.0
06/03/2018,16.9,17.5,16.9,17.1,38708.0,58.0
06/04/2018,17.0,17.3,16.8,16.9,30605.0,66.0
06/05/2018,16.5,17.0,16.4,16.7,35377.0,89.0
06/06/2018,16.7,17.7,16.7,17.5,75934.0,102.0
06/07/2018,17.7,17.8,17.3,17.5,41021.0,100.0
06/10/2018,17.1,17.3,16.7,17.1,76982.0,92.0
06/11/2018,17.0,17.3,17.0,17.0,48934.0,95.0
06/12/2018,17.3,17.4,16.9,17.0,61569.0,86.0
06/18/2018,17.5,17.5,16.8,16.9,46735.0,69.0
06/19/2018,17.0,17.3,17.0,17.1,63831.0,71.0
06/20/2018,17.6,17.9,17.1,17.3,54091.0,101.0
06/21/2018,17.4,17.4,16.9,17.0,112266.0,132.0
06/24/2018,17.1,18.0,17.0,17.1,113180.0,186.0
06/25/2018,17.0,17.9,16.3,16.7,132852.0,168.0
06/26/2018,16.8,17.0,16.2,16.5,92710.0,131.0
06/27/2018,16.8,16.8,16.5,16.5,72304.0,95.0
