date,open,high,low,close,volume,trade
01/01/2018,61.0,62.5,61.0,61.9,121784.0,238.0
01/02/2018,62.2,62.2,61.9,61.9,29914.0,824.0
01/03/2018,61.0,61.0,59.3,60.0,452996.0,484.0
01/04/2018,60.6,60.6,59.7,60.2,133152.0,199.0
01/07/2018,60.0,60.7,59.7,60.2,130685.0,211.0
01/08/2018,59.7,60.4,59.7,60.1,48901.0,88.0
01/09/2018,60.0,60.2,59.8,60.0,78773.0,132.0
01/10/2018,60.0,60.5,59.5,60.0,132819.0,195.0
01/11/2018,60.0,60.0,59.5,59.7,150815.0,193.0
01/14/2018,59.7,59.8,59.1,59.2,115117.0,170.0
01/15/2018,59.0,59.2,58.8,58.9,65983.0,124.0
01/16/2018,58.6,59.3,58.2,59.2,94107.0,146.0
01/17/2018,59.3,59.3,58.8,59.0,82396.0,155.0
01/18/2018,58.9,59.4,58.8,59.0,83493.0,122.0
01/21/2018,58.5,59.0,58.1,58.3,120764.0,221.0
01/22/2018,58.3,60.0,58.3,58.9,76122.0,171.0
01/23/2018,59.3,59.3,58.4,58.9,59867.0,158.0
01/24/2018,59.0,60.0,59.0,59.6,99418.0,209.0
01/25/2018,60.0,60.0,59.0,59.3,134855.0,207.0
01/28/2018,59.9,60.0,58.6,58.6,146051.0,182.0
01/29/2018,58.6,59.0,58.4,58.5,59487.0,109.0
01/30/2018,58.6,59.0,58.4,58.6,52086.0,137.0
01/31/2018,58.2,58.8,57.4,57.8,94852.0,150.0
02/01/2018,58.0,58.5,57.5,57.6,41782.0,122.0
02/04/2018,57.6,57.6,56.5,56.9,96079.0,200.0
02/05/2018,56.9,57.8,52.5,55.0,130384.0,270.0
02/06/2018,56.0,56.9,55.2,55.9,55701.0,135.0
02/07/2018,53.6,55.8,53.5,54.9,85601.0,178.0
02/08/2018,54.9,56.1,54.6,54.9,39525.0,102.0
02/11/2018,56.4,56.4,55.7,56.1,61694.0,128.0
02/12/2018,56.3,56.3,55.3,55.6,55844.0,107.0
02/13/2018,56.1,56.1,55.2,55.8,13088.0,43.0
02/14/2018,55.2,56.7,53.9,54.2,264322.0,507.0
02/15/2018,54.8,55.0,53.5,54.0,310224.0,547.0
02/18/2018,54.0,54.0,52.8,53.2,235522.0,320.0
02/19/2018,53.5,54.4,53.0,53.1,58303.0,142.0
02/20/2018,53.3,54.2,52.8,53.0,42392.0,112.0
02/22/2018,53.0,54.1,52.9,53.0,32028.0,98.0
02/25/2018,53.7,53.7,52.9,52.9,35162.0,71.0
02/26/2018,53.2,53.2,52.2,52.4,48934.0,109.0
02/27/2018,52.4,53.1,51.9,52.6,10397.0,37.0
02/28/2018,52.5,53.1,52.2,52.6,19063.0,68.0
03/01/2018,52.4,53.1,52.2,52.6,90727.0,196.0
03/04/2018,54.0,54.0,52.6,53.1,23900.0,60.0
03/05/2018,52.9,52.9,52.4,52.7,55164.0,87.0
03/06/2018,52.8,53.0,52.2,52.4,36106.0,100.0
03/07/2018,52.5,52.6,52.2,52.3,27628.0,79.0
03/08/2018,52.6,52.7,52.2,52.3,10732.0,43.0
03/11/2018,52.4,52.5,51.9,52.0,22107.0,76.0
03/12/2018,52.3,52.3,51.7,51.8,24420.0,79.0
03/13/2018,51.6,51.8,51.4,51.5,21992.0,58.0
03/14/2018,51.5,52.0,51.5,51.6,15828.0,46.0
03/15/2018,51.6,52.3,51.2,51.7,29321.0,62.0
03/18/2018,52.4,52.4,51.7,52.0,23320.0,46.0
03/19/2018,51.5,51.9,51.1,51.2,15921.0,64.0
03/20/2018,51.0,51.8,51.0,51.2,24388.0,53.0
03/21/2018,51.3,51.4,50.5,50.9,20832.0,76.0
03/22/2018,50.7,53.3,50.5,51.1,41850.0,104.0
03/25/2018,51.0,51.7,50.6,51.0,12905.0,54.0
03/27/2018,50.7,50.7,49.1,49.2,75786.0,170.0
03/28/2018,49.0,50.3,49.0,49.2,34523.0,94.0
03/29/2018,49.5,50.0,48.8,49.1,42667.0,152.0
04/01/2018,50.6,51.0,49.6,49.8,67447.0,176.0
04/02/2018,50.0,51.9,49.9,51.4,53135.0,206.0
04/03/2018,52.3,52.4,51.4,51.7,78299.0,162.0
04/04/2018,51.6,52.4,51.6,52.2,84649.0,188.0
04/05/2018,52.3,52.5,51.4,51.7,62198.0,127.0
04/08/2018,52.3,52.4,51.1,51.5,104471.0,183.0
04/09/2018,51.9,52.3,51.8,52.0,34225.0,98.0
04/10/2018,52.3,52.6,52.0,52.2,96854.0,179.0
04/11/2018,52.6,52.8,51.9,52.3,29605.0,106.0
04/12/2018,52.6,52.8,51.9,52.2,33046.0,108.0
04/15/2018,53.2,53.2,51.9,52.0,17001.0,56.0
04/16/2018,52.8,52.8,51.2,51.7,22769.0,76.0
04/17/2018,52.4,52.4,51.7,52.0,15768.0,60.0
04/18/2018,52.3,52.8,51.4,51.5,16572.0,61.0
04/19/2018,51.6,52.4,51.6,51.8,22148.0,54.0
04/22/2018,51.5,51.9,51.2,51.3,34467.0,64.0
04/23/2018,51.5,51.7,50.9,50.9,23893.0,67.0
04/24/2018,51.9,51.9,50.7,50.8,20536.0,67.0
04/25/2018,51.6,51.6,50.5,51.2,18311.0,60.0
04/26/2018,51.9,51.9,50.4,50.5,46775.0,112.0
04/30/2018,51.9,51.9,51.2,51.4,51235.0,140.0
05/03/2018,52.2,52.3,51.0,51.1,21305.0,83.0
05/06/2018,51.0,51.8,50.8,51.2,54645.0,109.0
05/07/2018,51.5,51.5,51.0,51.1,11282.0,56.0
05/08/2018,51.7,51.7,50.7,50.8,7951.0,45.0
05/09/2018,51.2,51.4,49.6,50.6,45293.0,98.0
05/10/2018,51.2,51.4,50.0,50.6,29638.0,76.0
05/13/2018,50.6,51.0,50.4,50.6,14106.0,33.0
05/14/2018,51.3,51.8,50.5,51.5,82060.0,149.0
05/15/2018,51.4,51.4,50.8,51.0,30169.0,98.0
05/16/2018,51.0,51.3,50.3,50.4,71376.0,116.0
05/17/2018,51.2,51.2,49.8,49.8,26540.0,152.0
05/20/2018,49.6,49.8,48.1,48.8,26402.0,72.0
05/21/2018,50.2,50.4,48.8,49.2,13397.0,47.0
05/22/2018,48.9,49.5,48.6,49.0,24518.0,69.0
05/23/2018,49.8,49.8,48.2,48.8,50598.0,121.0
05/24/2018,48.8,49.5,48.6,48.9,29687.0,80.0
05/27/2018,50.1,50.1,49.2,49.5,24678.0,59.0
05/28/2018,50.3,50.3,48.2,48.6,32679.0,87.0
05/29/2018,48.3,48.6,48.1,48.3,31239.0,104.0
05/30/2018,48.3,48.8,48.3,48.6,38538.0,106.0
05/31/2018,48.6,49.0,47.5,48.5,53268.0,146.0
06/03/2018,48.6,48.6,47.7,47.8,33580.0,95.0
06/04/2018,48.1,48.3,47.2,47.5,82820.0,215.0
06/05/2018,47.6,47.9,46.7,47.0,74163.0,139.0
06/06/2018,48.1,48.1,46.9,47.1,28479.0,107.0
06/07/2018,48.0,48.0,46.7,46.8,43336.0,118.0
06/10/2018,47.8,50.9,47.4,47.8,64274.0,110.0
06/11/2018,48.0,48.1,47.2,47.6,40552.0,86.0
06/12/2018,47.7,47.8,47.1,47.6,33701.0,138.0
06/18/2018,47.2,48.3,47.2,47.6,38410.0,108.0
06/19/2018,48.1,48.1,47.4,47.7,54805.0,158.0
06/20/2018,48.1,48.5,47.7,48.1,53098.0,138.0
06/21/2018,48.0,48.3,47.6,48.2,129772.0,245.0
06/24/2018,48.5,49.3,48.0,49.0,97525.0,229.0
06/25/2018,49.4,49.4,47.8,48.0,74752.0,197.0
06/26/2018,48.1,48.7,48.1,48.4,42040.0,126.0
06/27/2018,48.2,49.1,47.8,48.6,45167.0,115.0
06/28/2018,47.9,48.7,47.9,48.3,94635.0,149.0
07/02/2018,47.8,49.0,47.6,47.6,88435.0,180.0
07/03/2018,48.6,48.6,47.5,47.5,44446.0,109.0
07/04/2018,47.6,48.4,47.5,47.6,40701.0,116.0
07/05/2018,48.5,50.6,47.9,49.5,206287.0,422.0
07/08/2018,50.0,51.2,49.6,50.5,79078.0,194.0
07/09/2018,50.5,51.0,49.6,50.0,94003.0,185.0
07/10/2018,49.9,50.5,49.0,50.3,82682.0,177.0
07/11/2018,50.5,51.0,49.6,49.9,141313.0,216.0
07/12/2018,49.5,50.5,49.1,49.3,49876.0,103.0
07/15/2018,49.5,49.6,48.9,49.0,60913.0,127.0
07/16/2018,48.4,49.3,48.4,48.6,65207.0,152.0
07/17/2018,48.6,49.1,47.8,48.0,70424.0,159.0
07/18/2018,47.7,48.9,47.7,48.1,84256.0,134.0
07/19/2018,48.0,49.3,48.0,49.0,34863.0,82.0
07/22/2018,48.8,50.8,48.6,50.6,114686.0,214.0
07/23/2018,51.2,51.2,50.1,50.1,82050.0,124.0
07/24/2018,49.1,49.8,48.0,49.6,15823.0,44.0
07/25/2018,49.1,49.8,48.6,49.0,46632.0,108.0
07/26/2018,49.5,49.9,48.9,49.0,34790.0,94.0
07/29/2018,48.9,49.5,48.6,48.7,39653.0,92.0
07/30/2018,48.7,49.0,47.6,47.7,40342.0,
07/31/2018,47.9,49.0,47.9,48.3,24207.0,76.0
08/01/2018,48.9,48.9,48.2,48.4,25356.0,56.0
08/02/2018,49.2,49.2,48.4,48.8,40884.0,61.0
08/05/2018,48.6,49.3,48.5,48.9,51844.0,106.0
08/06/2018,49.0,49.1,48.6,48.9,24119.0,65.0
08/07/2018,48.6,48.9,48.3,48.3,30621.0,128.0
08/08/2018,48.6,49.0,48.3,48.7,25005.0,66.0
08/09/2018,49.0,49.4,48.4,48.8,50176.0,154.0
08/12/2018,48.3,49.8,48.3,48.6,49903.0,105.0
08/13/2018,49.4,49.4,48.1,48.3,42199.0,93.0
08/14/2018,48.3,49.0,48.3,48.7,16262.0,60.0
08/16/2018,48.7,49.4,48.7,49.3,27780.0,107.0
08/19/2018,48.7,49.3,48.6,48.8,54171.0,133.0
08/20/2018,49.0,49.5,49.0,49.4,43011.0,119.0
08/26/2018,49.5,49.5,48.9,49.3,12383.0,51.0
08/27/2018,49.0,51.0,49.0,50.0,73921.0,151.0
08/28/2018,50.5,50.5,49.4,49.8,44945.0,110.0
08/29/2018,50.5,50.5,49.4,49.5,25289.0,63.0
