date,open,high,low,close,volume,trade
01/17/2019,42.1,46.3,37.0,42.2,8954698.0,15298.0
01/20/2019,42.5,42.9,39.6,40.2,1501801.0,3770.0
01/21/2019,39.6,40.8,36.3,36.8,4451560.0,7136.0
01/22/2019,37.0,40.4,36.9,40.4,1577275.0,2680.0
01/23/2019,41.3,42.7,37.4,38.0,3390978.0,4855.0
01/24/2019,39.6,40.0,37.5,37.7,1877420.0,3031.0
01/27/2019,37.7,38.0,35.8,36.0,2008529.0,3420.0
01/28/2019,36.4,37.7,36.1,36.9,1095868.0,2114.0
01/29/2019,37.0,37.8,36.1,36.4,1097615.0,2082.0
01/30/2019,36.4,37.5,36.1,36.4,1233553.0,1887.0
01/31/2019,36.6,36.8,35.4,35.6,1111741.0,1606.0
02/03/2019,36.1,36.1,33.4,33.8,1480471.0,2539.0
02/04/2019,34.3,34.7,32.8,33.0,1020559.0,1753.0
02/05/2019,33.1,34.2,33.1,33.3,814911.0,1445.0
02/06/2019,33.7,34.4,33.1,33.2,1155586.0,1954.0
02/07/2019,33.4,33.7,32.1,32.2,824744.0,1536.0
02/10/2019,32.7,32.7,30.4,30.6,1149666.0,1765.0
02/11/2019,31.1,32.6,30.6,32.2,927052.0,
02/12/2019,32.4,33.2,32.2,32.3,801426.0,1399.0
02/13/2019,32.3,32.5,31.3,31.5,654656.0,1281.0
02/14/2019,31.7,32.1,31.4,31.6,682544.0,944.0
02/17/2019,32.0,33.1,31.8,32.2,979261.0,1517.0
02/18/2019,32.2,32.5,31.6,31.7,568930.0,926.0
02/19/2019,32.2,32.2,31.5,31.6,392927.0,682.0
02/20/2019,31.7,31.9,31.1,31.2,398410.0,777.0
02/24/2019,31.1,31.6,30.6,30.7,382111.0,793.0
02/25/2019,31.1,31.5,30.5,30.8,310911.0,683.0
02/26/2019,30.8,31.1,30.1,30.3,332227.0,749.0
02/27/2019,30.6,30.6,29.9,30.1,434607.0,767.0
03/03/2019,29.9,31.2,29.9,30.8,497378.0,897.0
03/04/2019,31.0,31.5,30.6,30.8,635829.0,1086.0
03/05/2019,31.1,31.1,30.0,30.1,348103.0,603.0
03/06/2019,30.1,30.5,29.7,29.8,328893.0,
03/07/2019,29.9,30.3,29.7,29.8,311542.0,
03/10/2019,30.2,30.5,29.8,29.9,212516.0,
03/11/2019,29.9,30.3,29.6,29.7,263523.0,
03/12/2019,30.0,30.3,29.5,29.7,679555.0,
03/13/2019,29.7,30.0,28.4,28.5,477332.0,
03/14/2019,28.7,28.8,26.8,27.0,526455.0,
03/18/2019,27.1,27.1,24.9,25.2,571635.0,
03/19/2019,25.8,26.3,25.2,25.8,268400.0,
03/20/2019,25.8,26.4,25.2,25.3,372938.0,
03/21/2019,25.3,25.6,24.9,25.2,311099.0,
03/24/2019,25.2,25.3,24.7,24.8,208210.0,
03/25/2019,24.8,25.5,24.8,25.2,195224.0,
03/27/2019,25.2,26.7,25.2,26.4,826185.0,
03/28/2019,26.5,27.0,26.2,26.3,322779.0,
03/31/2019,26.3,26.3,25.1,25.2,449060.0,
04/01/2019,24.8,25.3,23.9,24.2,603583.0,
04/02/2019,24.2,24.7,24.1,24.3,278710.0,
04/03/2019,24.2,24.2,23.2,23.3,1147046.0,
04/04/2019,23.4,23.6,22.6,22.9,695633.0,
04/07/2019,23.0,23.2,22.1,22.3,698591.0,
04/08/2019,22.5,22.5,21.8,21.9,570108.0,
04/09/2019,22.0,22.2,21.5,21.5,614528.0,
04/10/2019,21.6,21.9,21.1,21.2,556446.0,
04/11/2019,21.2,21.7,21.2,21.6,213980.0,
04/15/2019,21.8,22.3,21.2,21.5,394619.0,
04/16/2019,21.2,21.5,20.8,20.9,380327.0,
04/17/2019,21.0,21.2,20.4,20.5,300394.0,426.0
04/18/2019,20.6,21.2,20.5,21.0,511017.0,553.0
04/21/2019,21.4,21.5,20.7,20.9,276445.0,380.0
04/23/2019,20.9,21.0,20.1,20.2,302169.0,416.0
04/24/2019,20.3,20.3,19.9,20.0,377397.0,320.0
04/25/2019,20.0,20.9,20.0,20.6,457206.0,559.0
04/28/2019,20.6,22.2,20.5,21.4,1006767.0,1054.0
04/29/2019,21.4,21.9,21.0,21.0,465718.0,600.0
04/30/2019,21.5,22.1,21.1,21.3,570013.0,607.0
05/02/2019,21.3,22.6,21.3,22.3,752416.0,810.0
05/05/2019,22.6,24.3,22.6,24.1,1752757.0,1377.0
05/06/2019,24.8,26.4,24.4,26.4,2737426.0,2362.0
05/07/2019,26.7,26.9,25.5,25.6,1656683.0,1504.0
05/08/2019,25.6,26.8,25.1,26.3,2402346.0,1710.0
05/09/2019,26.9,29.0,26.8,28.1,3148224.0,2600.0
05/12/2019,28.6,28.6,27.2,27.4,2061554.0,1678.0
05/13/2019,27.4,28.3,26.9,27.2,1607238.0,1515.0
05/14/2019,27.5,27.7,26.5,26.8,1226440.0,1348.0
05/15/2019,26.9,27.0,25.3,25.6,1618037.0,1540.0
05/16/2019,25.8,25.9,25.1,25.3,945618.0,960.0
05/19/2019,25.5,26.3,25.3,26.0,1098803.0,1042.0
05/20/2019,26.1,26.4,25.5,25.6,937285.0,825.0
05/21/2019,25.6,25.7,24.2,24.4,1330157.0,1301.0
05/22/2019,24.7,25.2,24.2,24.5,683862.0,801.0
05/23/2019,24.6,24.7,23.7,23.8,678180.0,806.0
05/26/2019,24.2,24.2,23.0,23.1,668614.0,757.0
05/27/2019,23.1,23.1,22.2,22.4,537242.0,661.0
05/28/2019,22.5,23.4,22.5,23.2,399519.0,562.0
05/29/2019,23.2,23.8,23.2,23.4,598147.0,852.0
05/30/2019,23.6,24.0,23.5,23.8,594731.0,713.0
06/09/2019,24.4,24.4,23.4,23.5,332539.0,425.0
06/10/2019,23.6,24.0,23.6,23.7,461592.0,491.0
06/11/2019,23.8,24.9,23.7,24.7,862314.0,941.0
06/12/2019,24.8,24.8,24.1,24.2,564329.0,620.0
06/13/2019,24.4,24.4,23.8,23.9,463587.0,525.0
06/16/2019,24.3,24.3,23.1,23.3,741587.0,875.0
06/17/2019,23.7,23.7,22.7,22.9,669732.0,675.0
06/18/2019,22.9,23.2,22.8,23.1,436301.0,429.0
06/19/2019,23.2,23.6,22.9,23.0,419762.0,430.0
06/20/2019,23.1,23.1,22.5,22.6,372638.0,509.0
06/23/2019,22.7,22.7,22.0,22.2,228844.0,391.0
06/24/2019,22.4,22.4,21.8,22.0,262633.0,384.0
06/25/2019,22.1,22.4,22.1,22.3,174002.0,248.0
06/26/2019,22.3,23.2,22.3,23.0,362563.0,498.0
06/27/2019,23.0,23.1,22.8,22.9,369121.0,353.0
06/30/2019,22.8,23.0,22.5,22.6,190677.0,292.0
07/02/2019,22.6,23.1,22.3,22.9,455690.0,515.0
07/03/2019,23.0,23.4,22.6,22.7,484391.0,463.0
07/04/2019,22.9,23.1,22.5,22.6,297755.0,358.0
07/07/2019,22.5,22.8,21.9,22.1,401481.0,459.0
07/08/2019,22.0,22.5,21.9,22.1,250372.0,269.0
07/09/2019,22.1,22.3,21.5,21.6,244325.0,322.0
07/10/2019,21.9,21.9,20.6,20.9,393008.0,424.0
07/11/2019,21.2,21.2,20.5,21.0,229364.0,286.0
07/14/2019,21.3,21.3,20.2,20.4,159815.0,285.0
07/15/2019,20.4,20.4,19.4,19.6,311258.0,336.0
07/16/2019,19.7,20.4,19.6,19.9,109187.0,193.0
07/17/2019,19.9,21.0,19.9,20.9,293073.0,404.0
07/18/2019,20.9,21.4,20.5,20.6,262009.0,322.0
07/21/2019,20.5,20.8,19.4,19.5,225131.0,312.0
07/22/2019,19.9,19.9,18.5,18.9,242422.0,278.0
07/23/2019,19.5,19.9,19.4,19.9,144488.0,232.0
07/24/2019,19.9,20.0,19.3,19.5,258999.0,289.0
07/25/2019,19.8,20.2,19.7,20.0,200640.0,276.0
07/28/2019,20.5,20.5,19.8,19.9,221349.0,249.0
07/29/2019,20.1,20.5,19.7,20.5,328794.0,327.0
07/30/2019,20.8,21.0,20.0,20.2,347416.0,432.0
07/31/2019,20.2,20.4,19.4,19.6,368882.0,475.0
08/01/2019,19.7,20.0,19.6,19.8,337003.0,315.0
08/04/2019,20.1,20.5,19.9,20.3,379351.0,398.0
08/05/2019,20.3,20.5,20.0,20.2,309918.0,372.0
08/06/2019,20.2,21.5,20.2,21.0,886274.0,964.0
08/07/2019,21.0,21.5,20.3,20.6,493396.0,477.0
08/08/2019,20.6,20.8,20.4,20.6,238423.0,269.0
08/18/2019,20.6,21.7,20.6,21.5,649092.0,733.0
08/19/2019,21.6,22.3,21.6,21.8,961314.0,777.0
08/20/2019,21.4,23.9,21.4,23.9,2440109.0,1926.0
08/21/2019,24.7,24.9,23.3,24.4,2071994.0,1650.0
08/22/2019,24.4,25.0,23.9,24.6,2296682.0,1330.0
08/25/2019,24.7,24.8,23.7,24.0,1529021.0,869.0
08/26/2019,24.0,24.6,23.5,24.1,1692641.0,977.0
08/27/2019,24.6,26.4,24.6,25.9,3660313.0,2589.0
08/28/2019,26.4,27.1,25.5,26.5,2684452.0,1785.0
08/29/2019,26.4,27.3,25.9,26.6,2005712.0,1519.0
09/01/2019,26.8,26.8,25.5,25.7,1653031.0,988.0
09/02/2019,25.7,26.0,25.0,25.4,1640016.0,1000.0
09/03/2019,26.0,27.4,25.7,27.3,1710051.0,1359.0
09/04/2019,27.4,28.0,27.1,27.8,2840686.0,1681.0
09/05/2019,27.8,28.4,27.6,28.1,2220639.0,1189.0
09/08/2019,28.2,28.2,27.4,27.7,1429428.0,842.0
09/09/2019,27.8,28.7,27.7,28.0,1830002.0,1240.0
09/11/2019,28.0,28.2,26.9,27.2,1180654.0,747.0
09/12/2019,27.0,27.8,27.0,27.5,868247.0,657.0
09/15/2019,27.4,27.4,25.8,27.1,786450.0,585.0
09/16/2019,27.3,27.6,25.9,26.3,655625.0,541.0
09/17/2019,26.5,27.1,25.9,26.2,634463.0,550.0
09/18/2019,26.5,27.4,25.9,26.2,1192938.0,695.0
09/19/2019,26.2,26.7,24.8,25.8,533289.0,550.0
09/22/2019,25.9,26.2,25.1,26.0,492005.0,423.0
09/23/2019,26.2,26.9,26.2,26.4,619189.0,465.0
09/24/2019,26.8,26.8,25.8,26.3,448435.0,397.0
09/25/2019,26.4,26.4,25.9,26.2,222650.0,170.0
09/26/2019,26.3,27.2,26.1,26.9,1259762.0,844.0
09/29/2019,27.0,27.9,26.9,27.7,998898.0,1144.0
09/30/2019,27.8,27.9,26.9,27.1,529551.0,381.0
10/01/2019,27.4,27.4,26.1,26.4,636538.0,373.0
10/02/2019,26.4,26.5,25.5,25.7,671688.0,552.0
10/03/2019,25.7,26.6,25.7,26.0,878744.0,
10/06/2019,26.2,26.6,26.1,26.3,534597.0,522.0
10/07/2019,26.4,26.4,25.7,25.9,288583.0,281.0
10/09/2019,26.1,26.1,24.9,25.1,266264.0,
10/10/2019,25.3,25.3,23.2,23.9,193209.0,299.0
10/13/2019,24.0,24.0,21.6,22.7,223910.0,467.0
10/14/2019,22.7,23.0,21.9,22.5,156602.0,289.0
10/15/2019,22.7,24.2,22.7,23.7,315415.0,362.0
10/16/2019,23.7,23.9,22.6,23.1,160749.0,201.0
10/17/2019,22.7,23.8,20.9,23.1,1086398.0,
10/20/2019,23.5,24.7,22.8,24.2,807581.0,675.0
10/21/2019,24.0,25.2,24.0,24.4,921809.0,656.0
10/22/2019,24.4,24.4,22.8,23.1,352546.0,359.0
10/23/2019,23.1,23.5,22.3,22.7,342252.0,
10/24/2019,22.9,24.5,22.8,24.2,439280.0,440.0
10/27/2019,25.1,25.1,24.1,24.6,417056.0,481.0
10/28/2019,24.8,25.3,24.1,24.9,521340.0,464.0
10/29/2019,25.6,25.7,24.6,25.1,606318.0,549.0
10/30/2019,25.3,25.6,24.8,25.0,488601.0,492.0
10/31/2019,25.4,26.5,25.1,26.1,919199.0,884.0
11/03/2019,26.5,26.9,26.5,26.7,651697.0,687.0
11/04/2019,26.8,27.1,25.8,25.9,862480.0,775.0
11/05/2019,26.3,26.8,25.5,26.5,599651.0,453.0
11/06/2019,26.9,27.6,26.8,27.2,836266.0,673.0
11/07/2019,27.4,27.5,26.5,26.7,536462.0,502.0
11/11/2019,27.1,27.3,26.5,26.9,486677.0,432.0
11/12/2019,27.3,27.4,26.9,27.1,756966.0,505.0
11/13/2019,27.4,28.0,27.1,27.5,1763298.0,841.0
11/14/2019,27.8,27.9,27.4,27.8,734625.0,465.0
11/17/2019,28.3,28.3,26.5,26.8,681739.0,492.0
11/18/2019,26.5,26.6,25.4,25.7,915502.0,749.0
11/19/2019,26.1,26.4,25.1,26.1,694209.0,574.0
11/20/2019,26.5,26.9,26.0,26.7,1575858.0,820.0
11/21/2019,26.5,26.9,26.0,26.7,1575858.0,0.0
11/24/2019,27.2,29.1,27.2,28.7,1686299.0,884.0
11/25/2019,29.2,29.5,27.7,28.6,1497111.0,1252.0
11/26/2019,28.7,29.2,27.5,27.7,1577399.0,1101.0
11/27/2019,27.9,28.1,27.3,27.7,1405711.0,783.0
11/28/2019,27.9,28.6,27.1,28.2,754189.0,610.0
12/01/2019,28.1,28.6,26.9,27.4,773151.0,591.0
12/02/2019,27.5,27.5,25.7,26.0,541690.0,561.0
12/03/2019,26.2,26.5,24.9,25.2,923234.0,783.0
12/04/2019,25.2,26.1,25.0,25.2,725763.0,674.0
12/05/2019,25.6,26.1,25.5,25.8,910145.0,585.0
12/08/2019,26.2,26.2,24.3,24.5,477853.0,485.0
12/09/2019,25.0,25.2,24.1,24.3,316973.0,467.0
12/10/2019,24.9,25.0,22.8,23.0,627251.0,685.0
12/11/2019,23.2,24.0,22.8,23.2,353801.0,406.0
12/12/2019,23.2,23.3,22.6,22.9,253521.0,307.0
12/15/2019,23.2,23.2,20.7,21.7,464203.0,641.0
12/17/2019,21.7,22.2,20.4,20.9,1745994.0,728.0
12/18/2019,20.8,21.2,18.9,20.8,2079665.0,1384.0
12/19/2019,20.8,21.6,20.3,20.5,665784.0,563.0
12/22/2019,20.4,20.4,19.4,19.6,1268130.0,958.0
12/23/2019,19.5,21.6,19.5,21.6,2002329.0,1480.0
12/24/2019,21.6,22.6,21.0,21.6,1587151.0,1368.0
12/26/2019,21.3,21.5,20.5,20.6,760365.0,900.0
12/29/2019,21.0,21.7,20.8,21.0,1085785.0,903.0
