date,open,high,low,close,volume,trade
01/01/2018,111.0,112.0,109.6,111.3,9498.0,122.0
01/02/2018,111.0,112.0,109.6,111.3,9498.0,111.0
01/03/2018,112.9,113.6,110.2,111.4,5303.0,58.0
01/04/2018,113.2,113.2,110.0,111.2,5403.0,62.0
01/07/2018,110.0,111.0,108.0,109.4,5771.0,44.0
01/08/2018,110.8,110.8,108.0,108.8,2140.0,24.0
01/09/2018,108.0,109.0,108.0,108.2,640.0,12.0
01/10/2018,109.0,109.8,108.8,109.4,1750.0,26.0
01/11/2018,109.8,109.8,107.1,108.1,1505.0,19.0
01/14/2018,109.1,109.8,105.0,108.8,4465.0,87.0
01/15/2018,109.1,109.9,107.0,108.0,8712.0,74.0
01/16/2018,109.0,109.9,107.0,109.0,3095.0,34.0
01/17/2018,109.8,109.9,108.5,108.8,3350.0,25.0
01/18/2018,110.0,111.5,108.5,109.1,1265.0,10.0
01/21/2018,111.0,111.5,108.0,108.6,3877.0,16.0
01/22/2018,110.0,110.4,106.1,106.9,8099.0,113.0
01/23/2018,107.0,108.4,105.5,107.7,1827.0,37.0
01/24/2018,108.0,108.1,107.7,108.0,4308.0,16.0
01/25/2018,111.0,113.0,109.0,111.2,7344.0,39.0
01/28/2018,111.2,112.0,108.0,110.7,8342.0,47.0
01/29/2018,112.0,112.6,111.0,111.6,7503.0,71.0
01/30/2018,113.4,115.0,109.0,112.1,32250.0,186.0
01/31/2018,111.9,111.9,108.0,108.7,1067.0,18.0
02/01/2018,112.1,113.5,110.2,110.7,8193.0,118.0
02/04/2018,110.8,110.8,107.0,108.0,3550.0,39.0
02/05/2018,105.2,110.4,105.2,108.4,2266.0,18.0
02/06/2018,110.4,110.4,108.0,109.0,1698.0,10.0
02/07/2018,109.0,111.0,106.0,106.9,11555.0,76.0
02/08/2018,108.6,110.8,108.6,109.1,4529.0,49.0
02/11/2018,116.4,116.4,111.0,112.2,17615.0,107.0
02/12/2018,114.4,114.4,112.0,112.4,8396.0,55.0
02/13/2018,114.3,114.3,110.2,111.8,8861.0,131.0
02/14/2018,110.0,112.9,109.1,112.3,2480.0,40.0
02/15/2018,114.0,114.0,110.3,110.7,7015.0,28.0
02/18/2018,112.5,113.0,109.3,109.8,4416.0,38.0
02/19/2018,115.0,115.0,110.2,111.2,7003.0,94.0
02/20/2018,112.9,112.9,110.1,110.4,14893.0,151.0
02/22/2018,116.0,120.0,108.7,115.2,40190.0,331.0
02/25/2018,116.0,119.0,115.0,117.7,32740.0,209.0
02/26/2018,121.8,125.0,117.1,119.4,23627.0,288.0
02/27/2018,120.0,120.0,117.2,118.9,8690.0,154.0
02/28/2018,118.0,119.2,115.2,116.7,13942.0,174.0
03/01/2018,119.4,119.6,118.5,118.8,5677.0,81.0
03/04/2018,119.0,119.6,118.1,118.9,7730.0,54.0
03/05/2018,118.1,120.0,115.0,116.9,32642.0,211.0
03/06/2018,118.4,118.4,114.0,114.6,2679.0,46.0
03/07/2018,115.8,115.8,110.2,111.8,7520.0,62.0
03/08/2018,113.7,113.8,113.0,113.3,2236.0,24.0
03/11/2018,113.8,115.1,112.3,113.7,6417.0,73.0
03/12/2018,119.7,119.7,114.5,115.6,8407.0,187.0
03/13/2018,118.9,118.9,110.0,111.1,13081.0,135.0
03/14/2018,115.0,115.0,112.2,112.5,3730.0,49.0
03/15/2018,115.7,115.7,113.5,114.6,7011.0,71.0
03/18/2018,115.0,116.0,112.4,115.4,7578.0,63.0
03/19/2018,115.5,116.3,113.6,115.7,7575.0,79.0
03/20/2018,116.5,116.5,114.5,115.6,7406.0,81.0
03/21/2018,115.6,115.7,112.1,113.8,12199.0,185.0
03/22/2018,117.0,117.0,110.6,112.9,3695.0,109.0
03/25/2018,114.5,116.5,113.0,114.2,3058.0,58.0
03/27/2018,115.6,115.6,112.9,114.2,6478.0,114.0
03/28/2018,114.0,114.1,112.5,113.1,6652.0,77.0
03/29/2018,112.0,115.4,111.9,112.6,8241.0,85.0
04/01/2018,115.8,115.8,112.0,112.9,7416.0,85.0
04/02/2018,113.1,114.5,113.0,113.5,1270.0,15.0
04/03/2018,114.2,115.0,113.6,114.6,5715.0,60.0
04/04/2018,115.0,115.7,113.1,113.3,4296.0,48.0
04/05/2018,115.0,115.0,112.5,113.7,7460.0,124.0
04/08/2018,114.0,114.0,112.7,113.2,2767.0,61.0
04/09/2018,114.0,114.6,110.7,111.5,5243.0,77.0
04/10/2018,113.8,114.1,113.0,113.7,6442.0,135.0
04/11/2018,117.0,117.0,112.4,113.3,1860.0,35.0
04/12/2018,114.0,115.3,113.0,114.7,8298.0,105.0
04/15/2018,115.8,115.8,112.6,113.0,3923.0,93.0
04/16/2018,114.9,114.9,112.6,113.3,4705.0,65.0
04/17/2018,114.8,114.8,113.0,113.0,6299.0,72.0
04/18/2018,114.8,114.8,112.6,112.9,2214.0,34.0
04/19/2018,115.1,115.1,112.8,113.3,2784.0,30.0
04/22/2018,114.0,115.5,113.0,114.2,15266.0,241.0
04/23/2018,115.4,115.4,114.0,114.4,1250.0,20.0
04/24/2018,116.8,116.8,112.8,113.7,7250.0,108.0
