date,open,high,low,close,volume,trade
01/01/2018,40.6,40.8,39.9,40.4,156168.0,365.0
01/02/2018,40.2,40.5,40.2,40.3,22965.0,375.0
01/03/2018,41.6,43.4,41.6,43.1,223313.0,530.0
01/04/2018,43.1,43.5,42.5,42.5,165880.0,401.0
01/07/2018,42.7,42.7,41.8,42.3,53610.0,181.0
01/08/2018,42.7,42.7,40.8,41.1,97824.0,257.0
01/09/2018,41.1,42.2,41.1,41.5,50034.0,167.0
01/10/2018,41.1,41.9,40.9,41.2,47474.0,161.0
01/11/2018,41.3,41.3,41.0,41.2,46703.0,165.0
01/14/2018,41.4,41.4,40.3,40.6,82116.0,180.0
01/15/2018,40.2,40.6,40.2,40.3,45511.0,119.0
01/16/2018,40.4,41.0,40.4,40.7,36324.0,139.0
01/17/2018,40.5,41.3,40.5,40.7,21984.0,64.0
01/18/2018,40.5,41.2,40.5,40.7,83589.0,263.0
01/21/2018,41.9,41.9,40.8,40.8,20757.0,76.0
01/22/2018,40.9,40.9,40.4,40.5,38253.0,131.0
01/23/2018,40.6,40.9,40.5,40.6,100278.0,135.0
01/24/2018,40.8,40.8,40.5,40.8,63428.0,104.0
01/25/2018,40.5,40.6,40.4,40.4,39129.0,109.0
01/28/2018,40.1,40.2,39.7,39.8,49964.0,151.0
01/29/2018,40.8,40.8,39.6,39.8,64164.0,185.0
01/30/2018,39.7,39.9,39.4,39.4,72333.0,140.0
01/31/2018,39.4,39.4,38.3,38.4,68932.0,178.0
02/01/2018,38.4,38.5,37.9,38.2,130642.0,347.0
02/04/2018,37.7,37.7,37.1,37.4,54276.0,184.0
02/05/2018,37.4,37.8,37.1,37.5,80293.0,167.0
02/06/2018,37.7,38.4,37.5,37.7,24473.0,60.0
02/07/2018,37.5,38.4,37.5,37.7,48947.0,129.0
02/08/2018,37.8,38.2,37.6,37.8,144632.0,382.0
02/11/2018,39.0,39.0,38.1,38.6,74998.0,270.0
02/12/2018,38.6,38.8,38.3,38.4,48421.0,121.0
02/13/2018,38.5,38.6,38.1,38.1,63393.0,181.0
02/14/2018,38.2,38.6,38.1,38.4,46457.0,115.0
02/15/2018,38.3,38.5,38.2,38.3,28786.0,74.0
02/18/2018,38.5,39.9,38.4,39.3,131835.0,376.0
02/19/2018,39.7,39.9,39.4,39.8,99086.0,218.0
02/20/2018,40.5,40.9,39.8,40.0,172297.0,355.0
02/22/2018,40.2,40.2,39.4,39.6,23386.0,75.0
02/25/2018,39.6,39.6,38.8,38.9,36429.0,82.0
02/26/2018,39.1,39.3,37.9,38.4,33484.0,144.0
02/27/2018,38.4,38.4,37.9,38.1,51822.0,208.0
02/28/2018,37.9,38.7,37.9,38.2,46598.0,135.0
03/01/2018,38.3,38.9,38.3,38.6,59816.0,124.0
03/04/2018,39.4,39.6,38.7,38.8,150137.0,150.0
03/05/2018,38.8,38.8,38.6,38.7,46282.0,99.0
03/06/2018,38.8,39.5,38.8,38.9,88462.0,179.0
03/07/2018,39.0,39.4,38.8,39.0,83518.0,143.0
03/08/2018,38.9,39.2,38.8,39.1,30469.0,95.0
03/11/2018,38.9,39.3,38.9,39.2,52208.0,141.0
03/12/2018,39.1,39.4,38.2,38.8,67530.0,174.0
03/13/2018,38.8,39.0,38.5,38.8,30118.0,85.0
03/14/2018,38.7,38.8,38.5,38.6,58028.0,116.0
03/15/2018,38.7,39.0,38.6,38.9,186041.0,205.0
03/18/2018,39.3,40.8,39.0,40.5,219526.0,478.0
03/19/2018,40.5,40.8,39.8,40.1,134008.0,215.0
03/20/2018,40.1,40.4,39.7,40.0,96982.0,212.0
03/21/2018,39.7,41.8,39.7,41.7,485089.0,1009.0
03/22/2018,41.8,44.2,41.8,44.0,394172.0,961.0
03/25/2018,43.6,46.5,43.6,46.2,600831.0,1074.0
03/27/2018,46.2,47.2,44.5,45.2,476113.0,1001.0
03/28/2018,46.1,47.7,45.1,47.5,528672.0,1102.0
03/29/2018,48.3,48.7,45.1,45.4,625094.0,1340.0
04/01/2018,44.5,46.2,44.5,45.1,278501.0,727.0
04/02/2018,44.6,46.9,44.6,45.0,378429.0,843.0
04/03/2018,45.6,45.6,45.0,45.4,130046.0,323.0
04/04/2018,45.8,46.8,45.6,46.1,212478.0,573.0
04/05/2018,46.1,48.9,45.7,48.9,688136.0,1274.0
04/08/2018,49.9,51.9,49.9,51.4,542522.0,1052.0
04/09/2018,51.9,52.0,49.2,49.4,328114.0,777.0
04/10/2018,50.2,51.0,49.4,49.6,242913.0,626.0
04/11/2018,50.8,51.3,49.7,49.7,187619.0,521.0
04/12/2018,49.9,50.5,49.5,49.8,225767.0,534.0
04/15/2018,50.1,52.9,50.1,52.9,522957.0,1084.0
04/16/2018,53.6,54.6,52.2,52.5,348591.0,836.0
04/17/2018,52.5,52.6,50.5,50.7,436352.0,968.0
04/18/2018,51.3,51.9,50.5,50.8,182956.0,438.0
04/19/2018,51.1,51.1,50.2,50.4,120229.0,317.0
04/22/2018,50.3,52.8,50.3,51.7,269455.0,540.0
04/23/2018,52.0,54.6,52.0,54.0,449185.0,1059.0
04/24/2018,53.1,53.9,51.3,51.9,356936.0,790.0
04/25/2018,51.6,52.4,50.6,50.8,230746.0,689.0
04/26/2018,52.2,52.3,51.3,52.2,138567.0,415.0
04/30/2018,53.0,53.6,52.2,52.7,181238.0,488.0
05/03/2018,53.6,54.4,51.6,52.3,294560.0,692.0
05/06/2018,52.4,52.7,51.9,52.3,193755.0,361.0
05/07/2018,52.8,52.9,51.6,51.9,184393.0,457.0
05/08/2018,52.0,52.0,50.8,50.9,135306.0,414.0
05/09/2018,51.1,51.7,50.5,50.7,92494.0,296.0
