date,open,high,low,close,volume,trade
01/01/2018,25.1,25.1,24.2,24.2,39461.0,62.0
01/02/2018,25.1,25.1,24.2,24.2,39461.0,39.0
01/03/2018,24.5,24.5,24.4,24.5,11116.0,21.0
01/04/2018,24.5,24.7,24.4,24.5,27554.0,39.0
01/07/2018,24.5,24.6,24.3,24.4,45551.0,62.0
01/08/2018,24.6,24.7,24.3,24.4,31081.0,43.0
01/09/2018,24.6,24.8,24.3,24.4,51427.0,62.0
01/10/2018,24.7,24.9,24.6,24.7,12301.0,34.0
01/11/2018,25.0,25.0,24.5,24.7,45964.0,65.0
01/14/2018,24.9,25.5,24.9,25.1,145565.0,195.0
01/15/2018,25.1,25.2,24.6,24.8,71910.0,80.0
01/16/2018,25.0,25.0,24.4,24.4,32221.0,49.0
01/17/2018,24.6,24.7,24.4,24.5,21777.0,34.0
01/18/2018,24.4,25.0,24.4,24.9,27305.0,29.0
01/21/2018,24.9,25.4,24.9,25.0,86444.0,62.0
01/22/2018,25.0,25.2,25.0,25.0,21562.0,42.0
01/23/2018,25.3,26.5,25.0,26.3,117259.0,124.0
01/24/2018,26.4,26.7,26.1,26.3,139831.0,153.0
01/25/2018,26.4,27.3,26.3,26.7,194350.0,262.0
01/28/2018,26.6,26.8,26.3,26.4,44899.0,61.0
01/29/2018,26.4,26.5,26.2,26.3,40768.0,47.0
01/30/2018,25.7,25.9,25.6,25.7,23027.0,42.0
01/31/2018,25.6,25.7,24.8,24.9,41796.0,98.0
02/01/2018,24.9,25.3,24.6,24.6,52316.0,79.0
02/04/2018,24.6,24.9,24.0,24.1,45063.0,79.0
02/05/2018,24.0,24.2,23.5,23.8,23943.0,48.0
02/06/2018,24.1,24.6,23.9,24.4,26315.0,58.0
02/07/2018,24.3,24.6,24.3,24.5,20145.0,49.0
02/08/2018,24.5,25.0,24.5,24.8,25062.0,42.0
02/11/2018,25.5,26.0,25.0,25.9,52049.0,84.0
02/12/2018,26.5,26.8,25.8,25.9,38122.0,59.0
